lga_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,lga_name16
10050,27381.0,43.0,1429404940.0,43695.0,52204.0,4.36,1.75,0.4,0.17,0.44,7.7,19.7,30.1,24.9,27.5,27.9,19.7,Albury (C)
10130,14902.0,46.0,695045704.0,38249.0,46641.0,5.66,1.91,0.34,0.13,0.49200000000000005,7.1,20.1,31.6,30.7,28.7,22.6,18.0,Armidale Regional (A)
10250,22990.0,49.0,1103019924.0,37741.0,47978.0,5.57,1.94,0.35,0.13,0.486,8.1,21.5,32.7,30.8,29.2,21.9,18.1,Ballina (A)
10300,1156.0,45.0,49188074.0,38656.0,42550.0,4.56,1.8,0.39,0.15,0.534,5.2,18.7,30.8,28.7,30.2,25.4,15.7,Balranald (A)
10470,20703.0,44.0,1118598172.0,45164.0,54031.0,4.64,1.83,0.4,0.17,0.43799999999999994,6.2,17.9,28.6,24.5,26.2,25.4,23.9,Bathurst Regional (A)
10550,17941.0,51.0,779669361.0,35737.0,43457.0,5.35,1.84,0.34,0.13,0.47600000000000003,7.5,20.2,31.3,32.8,29.7,23.2,14.2,Bega Valley (A)
10600,6575.0,50.0,269297809.0,32939.0,40958.0,6.43,1.97,0.31,0.1,0.498,6.3,19.4,31.4,35.9,28.9,20.9,14.4,Bellingen (A)
10650,4556.0,49.0,199057739.0,36964.0,43691.0,5.3,1.85,0.35,0.12,0.48200000000000004,6.8,19.3,30.5,32.7,27.8,24.2,15.3,Berrigan (A)
10750,162615.0,39.0,8651546317.0,48236.0,53203.0,3.79,1.64,0.43,0.22,0.385,4.7,15.2,25.3,21.3,25.7,31.3,21.6,Blacktown (C)
10800,3147.0,48.0,164557980.0,38576.0,52290.0,5.71,2.15,0.38,0.14,0.517,8.7,22.6,34.6,30.5,27.9,19.7,21.8,Bland (A)
10850,3769.0,46.0,189379183.0,41780.0,50247.0,5.61,1.92,0.34,0.13,0.48200000000000004,6.9,18.9,30.2,27.8,26.7,23.5,22.0,Blayney (A)
10900,43163.0,47.0,2447762821.0,45821.0,56710.0,5.39,1.94,0.36,0.15,0.457,6.5,18.8,29.8,26.4,23.6,23.3,26.7,Blue Mountains (C)
10950,1573.0,45.0,78224453.0,41296.0,49729.0,5.62,1.96,0.35,0.12,0.496,5.7,18.6,30.4,28.9,26.0,23.1,22.0,Bogan (A)
11100,23800.0,39.0,1360590421.0,48339.0,57168.0,4.04,1.74,0.43,0.23,0.41700000000000004,6.1,17.9,28.4,21.5,25.7,28.3,24.5,Botany Bay (C)
11150,1337.0,43.0,62115627.0,43895.0,46459.0,4.94,1.72,0.35,0.11,0.46799999999999997,4.9,15.8,26.7,26.7,25.3,29.0,19.0,Bourke (A)
11200,567.0,47.0,23740845.0,39822.0,41871.0,4.77,1.76,0.37,0.08,0.516,4.0,15.9,27.5,27.1,30.5,26.8,15.6,Brewarrina (A)
11250,8402.0,45.0,450678203.0,45514.0,53639.0,4.8,1.88,0.39,0.16,0.429,5.2,16.2,27.0,24.5,25.9,25.0,24.5,Broken Hill (C)
13910,9238.0,46.0,417251121.0,38063.0,45167.0,5.12,1.8,0.35,0.12,0.485,7.1,20.3,31.7,30.5,30.2,23.8,15.5,Hilltops (A)
14000,85008.0,45.0,5750182905.0,50292.0,67643.0,5.8,2.02,0.35,0.15,0.494,8.3,22.0,33.7,24.9,21.4,21.5,32.2,Hornsby (A)
14100,8114.0,48.0,1060589707.0,64933.0,130711.0,7.19,2.34,0.33,0.14,0.65,20.5,41.1,52.8,20.8,17.8,17.7,43.7,Hunters Hill (A)
