lga_code16,p_m1_tram_inc_lr_15_24,p_m1_tram_inc_lr_25_34,p_m1_tram_inc_lr_35_44,p_m1_tram_inc_lr_45_54,p_m1_tram_inc_lr_55_64,p_m1_tram_inc_lr_65_74,p_m1_tram_inc_lr_75ov,p_m1_tram_inc_lr_tot,p_m1_taxi_15_24,p_m1_taxi_25_34,p_m1_taxi_35_44,p_m1_taxi_45_54,p_m1_taxi_55_64,p_m1_taxi_65_74,p_m1_taxi_75ov,p_m1_taxi_tot,p_m1_carasdriv_15_24,p_m1_carasdriv_25_34,p_m1_carasdriv_35_44,p_m1_carasdriv_45_54,p_m1_carasdriv_55_64,p_m1_carasdriv_65_74,p_m1_carasdriv_75ov,p_m1_carasdriv_tot,p_m1_caraspas_15_24,p_m1_caraspas_25_34,p_m1_caraspas_35_44,p_m1_caraspas_45_54,p_m1_caraspas_55_64,p_m1_caraspas_65_74,p_m1_caraspas_75ov,p_m1_caraspas_tot,p_m1_truck_15_24,p_m1_truck_25_34,p_m1_truck_35_44,p_m1_truck_45_54,p_m1_truck_55_64,p_m1_truck_65_74,p_m1_truck_75ov,p_m1_truck_tot,p_m1_mbikescoot_15_24,p_m1_mbikescoot_25_34,p_m1_mbikescoot_35_44,p_m1_mbikescoot_45_54,p_m1_mbikescoot_55_64,p_m1_mbikescoot_65_74,p_m1_mbikescoot_75ov,p_m1_mbikescoot_tot,p_m1_bicycle_15_24,p_m1_bicycle_25_34,p_m1_bicycle_35_44,p_m1_bicycle_45_54,p_m1_bicycle_55_64,p_m1_bicycle_65_74,p_m1_bicycle_75ov,p_m1_bicycle_tot,p_m1_other_15_24,p_m1_other_25_34,p_m1_other_35_44,p_m1_other_45_54,p_m1_other_55_64,p_m1_other_65_74,p_m1_other_75ov,p_m1_other_tot,p_m1_wlkonly_15_24,p_m1_wlkonly_25_34,p_m1_wlkonly_35_44,p_m1_wlkonly_45_54,p_m1_wlkonly_55_64,p_m1_wlkonly_65_74,p_m1_wlkonly_75ov,p_m1_wlkonly_tot,p_m1_tot_m1_15_24,p_m1_tot_m1_25_34,p_m1_tot_m1_35_44,p_m1_tot_m1_45_54,p_m1_tot_m1_55_64,p_m1_tot_m1_65_74,p_m1_tot_m1_75ov,p_m1_tot_m1_tot,p_m2_trnbus_15_24,p_m2_trnbus_25_34,p_m2_trnbus_35_44,p_m2_trnbus_45_54,p_m2_trnbus_55_64,p_m2_trnbus_65_74,p_m2_trnbus_75ov,p_m2_trnbus_tot,p_m2_trnfer_15_24,p_m2_trnfer_25_34,p_m2_trnfer_35_44,p_m2_trnfer_45_54,p_m2_trnfer_55_64,p_m2_trnfer_65_74,p_m2_trnfer_75ov,p_m2_trnfer_tot,p_m2_trntrm_inc_lr_15_24,p_m2_trntrm_inc_lr_25_34,p_m2_trntrm_inc_lr_35_44,p_m2_trntrm_inc_lr_45_54,p_m2_trntrm_inc_lr_55_64,p_m2_trntrm_inc_lr_65_74,p_m2_trntrm_inc_lr_75ov,p_m2_trntrm_inc_lr_tot,p_m2_trncarasdriv_15_24,p_m2_trncarasdriv_25_34,p_m2_trncarasdriv_35_44,p_m2_trncarasdriv_45_54,p_m2_trncarasdriv_55_64,p_m2_trncarasdriv_65_74,p_m2_trncarasdriv_75ov,p_m2_trncarasdriv_tot,p_m2_trncaraspas_15_24,p_m2_trncaraspas_25_34,p_m2_trncaraspas_35_44,p_m2_trncaraspas_45_54,p_m2_trncaraspas_55_64,p_m2_trncaraspas_65_74,p_m2_trncaraspas_75ov,p_m2_trncaraspas_tot,p_m2_trnoth_15_24,p_m2_trnoth_25_34,p_m2_trnoth_35_44,p_m2_trnoth_45_54,p_m2_trnoth_55_64,p_m2_trnoth_65_74,p_m2_trnoth_75ov,p_m2_trnoth_tot,p_m2_train_and_tot_15_24,p_m2_train_and_tot_25_34,p_m2_train_and_tot_35_44,p_m2_train_and_tot_45_54,p_m2_train_and_tot_55_64,p_m2_train_and_tot_65_74,p_m2_train_and_tot_75ov,p_m2_train_and_tot_tot,p_m2_busfer_15_24,p_m2_busfer_25_34,p_m2_busfer_35_44,p_m2_busfer_45_54,p_m2_busfer_55_64,p_m2_busfer_65_74,p_m2_busfer_75ov,p_m2_busfer_tot,p_m2_bustrm_inc_lr_15_24,p_m2_bustrm_inc_lr_25_34,p_m2_bustrm_inc_lr_35_44,p_m2_bustrm_inc_lr_45_54,p_m2_bustrm_inc_lr_55_64,p_m2_bustrm_inc_lr_65_74,p_m2_bustrm_inc_lr_75ov,p_m2_bustrm_inc_lr_tot,p_m2_buscarasdriv_15_24,p_m2_buscarasdriv_25_34,p_m2_buscarasdriv_35_44,p_m2_buscarasdriv_45_54,p_m2_buscarasdriv_55_64,p_m2_buscarasdriv_65_74,p_m2_buscarasdriv_75ov,p_m2_buscarasdriv_tot,p_m2_buscaraspas_15_24,p_m2_buscaraspas_25_34,p_m2_buscaraspas_35_44,p_m2_buscaraspas_45_54,p_m2_buscaraspas_55_64,p_m2_buscaraspas_65_74,p_m2_buscaraspas_75ov,p_m2_buscaraspas_tot,p_m2_busoth_15_24,p_m2_busoth_25_34,p_m2_busoth_35_44,p_m2_busoth_45_54,p_m2_busoth_55_64,p_m2_busoth_65_74,p_m2_busoth_75ov,p_m2_busoth_tot,p_m2_bustot_15_24,p_m2_bustot_25_34,p_m2_bustot_35_44,p_m2_bustot_45_54,p_m2_bustot_55_64,p_m2_bustot_65_74,p_m2_bustot_75ov,p_m2_bustot_tot,p_m2_other_m2_15_24,p_m2_other_m2_25_34,p_m2_other_m2_35_44,p_m2_other_m2_45_54,p_m2_other_m2_55_64,p_m2_other_m2_65_74,p_m2_other_m2_75ov,p_m2_other_m2_tot,p_m2_tot_m2_15_24,p_m2_tot_m2_25_34,p_m2_tot_m2_35_44,p_m2_tot_m2_45_54,p_m2_tot_m2_55_64,p_m2_tot_m2_65_74,p_m2_tot_m2_75ov,p_m2_tot_m2_tot,lga_name16
10050,0,0,0,0,0,0,0,3,9,5,10,4,7,0,0,36,2480,3802,3909,4395,3204,609,51,18449,607,187,145,144,96,24,0,1203,10,18,28,34,27,9,0,123,26,14,13,16,11,4,0,88,32,44,55,55,40,10,0,220,4,12,13,20,19,7,0,77,161,154,116,135,132,27,3,728,3352,4264,4319,4827,3545,699,53,21069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,20,3,0,0,0,0,0,0,6,14,0,6,3,3,0,0,27,31,20,35,21,21,8,0,130,42,23,41,26,24,8,0,160,Albury (C)
10130,0,0,0,0,3,0,0,5,7,7,8,4,8,0,0,34,1305,1657,1720,2104,1532,289,26,8629,294,170,120,122,91,19,7,827,6,9,15,30,37,31,3,133,11,13,12,37,20,3,5,102,14,16,19,32,27,0,0,116,7,10,16,17,22,16,3,88,117,135,108,117,124,49,10,651,1774,2032,2042,2464,1871,408,56,10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,9,21,27,16,17,12,4,0,93,19,23,15,21,17,4,0,104,Armidale Regional (A)
10250,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,11,1169,1590,2194,2558,2096,413,31,10047,306,96,86,93,89,20,3,691,7,16,24,32,46,26,4,148,24,14,9,18,21,3,0,88,36,23,43,58,39,10,0,211,7,5,12,17,24,5,6,80,82,58,82,138,110,36,12,526,1649,1820,2468,2933,2436,513,56,11879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,0,0,0,14,0,0,0,0,0,0,0,7,8,6,3,3,0,0,0,21,21,23,15,24,12,4,0,96,29,26,18,25,13,3,0,122,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,68,105,99,127,18,3,465,10,11,8,14,3,4,0,47,0,0,0,5,0,0,0,9,0,0,3,0,0,0,0,3,0,0,0,4,3,0,0,6,0,3,9,3,0,3,0,16,5,12,20,26,24,3,0,90,72,96,143,145,157,24,4,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,Balranald (A)
10470,0,0,0,0,0,0,0,0,4,15,7,8,0,7,0,36,1766,2511,2675,2895,2041,413,43,12339,378,154,112,139,109,20,8,924,12,22,27,37,51,19,6,173,8,11,5,14,13,7,0,61,16,20,17,19,16,3,0,85,4,13,14,14,20,10,4,77,166,159,87,118,120,34,11,694,2372,2909,2958,3256,2383,515,70,14464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,3,3,6,6,5,3,0,0,17,14,36,9,16,17,8,0,93,17,39,16,25,20,6,0,120,Bathurst Regional (A)
10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,782,1087,1504,2184,1844,336,27,7758,213,69,56,83,53,15,0,500,5,12,16,43,34,23,0,136,14,3,9,17,18,3,0,60,3,5,6,15,12,6,0,51,4,3,11,23,30,13,3,81,88,77,96,136,153,54,8,605,1115,1268,1708,2506,2144,441,43,9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,14,7,16,12,12,13,0,0,63,12,15,8,20,20,0,0,76,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,167,317,439,572,540,98,5,2135,46,9,14,19,27,8,0,126,0,4,0,6,13,5,3,40,10,10,3,14,3,0,0,29,3,0,4,3,7,0,0,16,0,7,0,9,8,7,3,31,38,37,39,55,51,16,6,238,262,379,502,680,651,133,17,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,3,0,0,20,7,11,4,5,3,0,0,29,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,259,312,357,395,114,18,1655,38,16,10,12,3,4,3,83,0,8,4,9,19,6,0,49,0,0,4,0,4,3,0,15,3,0,0,8,9,0,0,24,0,12,10,11,3,0,0,32,20,37,26,42,55,21,5,212,264,328,371,443,486,153,31,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,10,4,3,0,0,4,0,0,10,Berrigan (A)
10750,0,3,0,3,0,0,0,3,17,52,60,49,28,8,0,217,8473,17185,18962,18083,11730,2152,126,76715,2618,1048,691,799,604,136,11,5905,80,247,362,369,225,53,3,1335,90,101,103,86,52,7,0,437,39,54,50,63,28,3,0,243,46,91,121,107,85,20,4,484,427,306,269,282,205,43,7,1537,12898,20143,21230,20398,13335,2498,153,90662,288,303,209,149,115,22,0,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,60,53,63,31,7,0,240,48,37,22,13,17,0,0,141,4,13,12,13,9,0,0,53,377,409,296,238,172,35,0,1520,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,19,19,7,13,0,0,69,80,29,14,16,4,3,0,147,4,3,4,0,0,0,0,14,108,46,35,27,17,3,0,232,115,153,128,104,62,13,3,572,591,604,460,376,249,48,4,2328,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,257,310,292,268,50,16,1359,52,34,24,22,17,4,0,154,0,4,13,7,12,6,4,46,0,0,0,0,0,3,0,4,3,0,3,0,0,0,0,12,0,7,12,14,12,3,0,48,18,23,25,30,39,20,9,146,238,345,396,395,376,86,27,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,4,0,0,0,19,0,4,3,3,3,0,0,15,0,9,12,5,4,0,0,33,Bland (A)
