lga_code16,nsq_ce_ii_indst_nsp,nsq_crt_ii_totm,nsq_crt_ii_totf,nsq_crt_ii_totp,nsq_crt_iii_ovr_ind_m,nsq_crt_iii_ovr_ind_f,nsq_crt_iii_ovr_ind_p,nsq_cer_iii_ov_no_in_m,nsq_cer_iii_ov_no_in_f,nsq_cer_iii_ov_no_in_p,nsq_ce_iii_ov_ind_s_nsm,nsq_ce_iii_ov_ind_s_nsf,nsq_ce_iii_ov_ind_s_nsp,nsq_crt_iii_ovr_totm,nsq_crt_iii_ovr_totf,nsq_crt_iii_ovr_totp,mig_sme_add_1_yr_ago_indig_m,mig_sme_add_1_yr_ago_indig_f,mig_sme_add_1_yr_ago_indig_p,mig_sme_add_1_yr_ago_no_ind_m,mig_sme_add_1_yr_ago_no_ind_f,mig_sme_add_1_yr_ago_no_ind_p,mig_sa_ad_1_yr_ag_indst_nsm,mig_sa_ad_1_yr_ag_indst_nsf,mig_sa_ad_1_yr_ag_indst_nsp,mig_sme_add_1_yr_ago_totm,mig_sme_add_1_yr_ago_totf,mig_sme_add_1_yr_ago_totp,mig_diff_add_1_yr_ago_indig_m,mig_diff_add_1_yr_ago_indig_f,mig_diff_add_1_yr_ago_indig_p,mig_diff_ad_1_yr_ago_no_ind_m,mig_diff_ad_1_yr_ago_no_ind_f,mig_diff_ad_1_yr_ago_no_ind_p,mig_dif_ad_1_yr_ag_in_st_nsm,mig_dif_ad_1_yr_ag_in_st_nsf,mig_dif_ad_1_yr_ag_in_st_nsp,mig_diff_add_1_yr_ago_totm,mig_diff_add_1_yr_ago_totf,mig_diff_add_1_yr_ago_totp,mig_sme_add_5_ago_indig_m,mig_sme_add_5_ago_indig_f,mig_sme_add_5_ago_indig_p,mig_sme_ad_5_ago_no_ind_m,mig_sme_ad_5_ago_no_ind_f,mig_sme_ad_5_ago_no_ind_p,mig_sa_ad_5_ag_in_st_nsm,mig_sa_ad_5_ag_in_st_nsf,mig_sa_ad_5_ag_in_st_nsp,mig_sme_add_5_ago_totm,mig_sme_add_5_ago_totf,mig_sme_add_5_ago_totp,mig_diff_add_5_ago_ind_m,mig_diff_add_5_ago_ind_f,mig_diff_add_5_ago_ind_p,mig_diff_ad_5_ag_no_ind_m,mig_diff_ad_5_ag_no_ind_f,mig_diff_ad_5_ag_no_ind_p,mi_dif_ad_5_ag_in_st_nsm,mi_dif_ad_5_ag_in_st_nsf,mi_dif_ad_5_ag_in_st_nsp,mig_diff_add_5_ago_totm,mig_diff_add_5_ago_totf,mig_diff_add_5_ago_totp,lga_name16
11730,3,207,406,609,196,197,385,5494,2716,8205,56,25,84,5742,2932,8671,1123,1182,2303,17868,18308,36177,266,283,546,19256,19771,39028,309,347,658,2850,2966,5823,35,56,90,3198,3367,6566,635,696,1331,12869,13002,25876,185,201,386,13693,13899,27591,631,681,1313,7092,7644,14732,95,113,209,7815,8440,16254,Clarence Valley (A)
11750,0,10,39,51,47,24,71,477,186,662,9,4,11,534,215,753,256,242,505,1451,1365,2821,30,24,46,1737,1634,3371,47,52,93,254,251,503,0,0,3,305,299,606,176,176,351,961,875,1836,17,12,29,1161,1059,2219,92,99,192,659,647,1304,3,7,16,758,748,1506,Cobar (A)
11800,4,303,638,940,255,223,482,7518,3622,11142,65,18,83,7837,3862,11703,1321,1379,2700,24864,26355,51222,253,282,536,26447,28010,54451,315,390,709,4928,5412,10339,52,39,91,5292,5843,11139,750,739,1487,16370,17109,33472,162,183,344,17280,18028,35309,734,861,1590,12423,13760,26183,117,105,224,13272,14725,27995,Coffs Harbour (C)
12000,0,16,33,49,8,3,11,424,203,627,0,0,3,435,211,643,40,50,89,1572,1572,3140,21,24,46,1629,1647,3278,24,15,38,204,209,411,7,6,12,236,228,463,25,35,55,1126,1157,2286,19,21,41,1177,1209,2383,25,28,53,583,552,1133,3,7,11,617,585,1197,Coolamon (A)
12150,0,7,34,45,47,43,88,223,113,338,11,0,8,271,168,439,424,498,928,932,867,1798,26,24,49,1381,1395,2774,75,74,151,128,147,273,3,0,4,205,225,430,295,354,650,720,638,1357,23,19,36,1034,1011,2043,160,166,323,311,344,652,6,4,9,472,516,990,Coonamble (A)
12350,0,49,101,149,60,51,116,1259,567,1824,5,4,11,1324,626,1944,401,372,773,4393,4479,8865,55,59,112,4843,4909,9752,74,83,152,597,650,1243,5,8,8,671,737,1406,265,223,486,3177,3164,6334,41,39,83,3477,3428,6911,159,183,338,1606,1755,3360,8,16,31,1773,1954,3732,Cowra (A)
12380,6,482,846,1323,95,68,159,11193,5333,16529,69,27,92,11355,5421,16780,542,553,1095,82980,80931,163905,577,531,1108,84094,82016,166112,95,108,208,17267,14140,31404,118,76,199,17481,14327,31812,367,385,750,51875,52690,104571,377,389,764,52627,53465,106088,224,230,453,42890,37016,79902,241,172,418,43351,37423,80776,Cumberland (A)
12700,0,26,58,84,22,13,39,1099,450,1549,16,9,23,1138,466,1603,176,171,350,3402,3390,6793,64,52,116,3639,3618,7257,30,35,65,424,446,866,6,4,6,456,482,941,129,122,252,2511,2425,4932,42,37,79,2681,2585,5264,55,69,132,1127,1238,2365,22,16,38,1208,1321,2532,Dungog (A)
12730,0,32,62,91,13,19,31,856,434,1294,4,8,7,872,458,1330,120,140,264,3144,3232,6380,54,44,101,3319,3421,6739,29,47,76,466,475,941,7,6,12,505,528,1034,79,83,170,2287,2300,4586,35,32,68,2402,2423,4827,56,76,134,1147,1229,2375,20,19,35,1220,1326,2542,Edward River (A)
12750,4,153,240,395,112,96,213,4375,1854,6227,34,9,48,4522,1961,6483,750,787,1538,13115,13605,26721,168,168,334,14031,14560,28592,180,206,387,2146,2274,4426,29,21,48,2363,2498,4859,445,459,906,9097,9300,18389,107,105,217,9647,9858,19511,382,436,817,5823,6246,12065,72,63,131,6272,6737,13016,Eurobodalla (A)
11300,0,63,100,170,10,6,18,1488,737,2221,11,3,10,1502,750,2254,51,55,106,12680,13723,26399,57,61,122,12788,13840,26630,22,19,36,3608,3757,7366,16,12,32,3643,3784,7430,32,36,66,7956,8674,16635,39,45,89,8034,8757,16787,33,35,62,7899,8405,16303,33,31,65,7968,8461,16433,Burwood (A)
11350,3,74,138,212,54,31,82,2777,1207,3976,29,12,35,2854,1248,4102,206,227,428,10420,11031,21452,136,161,301,10763,11417,22180,57,59,116,2105,2548,4655,28,42,67,2190,2649,4840,127,145,275,6931,7075,14007,91,102,193,7150,7322,14476,121,118,237,5086,5963,11047,65,87,149,5271,6167,11436,Byron (A)
11400,3,44,105,155,37,15,55,1385,586,1975,16,10,24,1437,611,2048,199,187,387,5149,5138,10291,68,90,157,5421,5412,10831,47,41,83,581,640,1217,3,11,13,633,685,1321,134,129,261,3769,3644,7412,45,63,110,3952,3838,7786,95,84,180,1692,1847,3539,17,30,46,1805,1962,3764,Cabonne (A)
11450,3,199,527,726,163,105,267,8410,3600,12015,32,11,52,8607,3724,12333,733,702,1434,28133,29284,57418,178,210,386,29046,30195,59235,193,202,396,6034,6327,12364,41,43,87,6266,6578,12844,406,387,787,16058,16673,32733,107,123,235,16575,17182,33753,437,449,883,16119,17027,33147,88,97,188,16647,17577,34221,Camden (A)
11500,10,500,1020,1518,318,338,660,13172,6792,19965,65,42,110,13555,7173,20731,2118,2447,4565,57665,59660,117324,435,461,897,60216,62573,122783,447,517,960,9327,9635,18963,67,72,134,9836,10222,20058,1305,1544,2848,39742,40958,80698,310,321,630,41355,42827,84180,982,1158,2136,23984,25247,49228,150,149,299,25115,26547,51662,Campbelltown (C) (NSW)
11520,0,167,257,424,40,11,48,4514,2005,6519,17,5,26,4565,2026,6594,146,161,308,31161,33837,65001,158,161,326,31464,34161,65628,45,34,84,7051,7404,14454,28,17,49,7122,7463,14580,100,96,198,18734,20816,39548,120,113,227,18953,21017,39973,78,97,168,17996,19126,37119,57,58,113,18128,19280,37411,Canada Bay (A)
11570,10,780,1464,2246,156,121,279,20918,9609,30530,163,62,220,21238,9788,31027,937,1087,2023,133752,136690,270443,969,961,1936,135662,138735,274403,156,210,368,20943,20363,41314,179,143,321,21279,20714,41997,656,757,1412,90987,94011,184995,700,678,1378,92340,95448,187790,352,449,800,55943,55284,111225,301,297,598,56593,56033,112625,Canterbury-Bankstown (A)
11600,0,9,15,29,18,6,18,211,102,317,0,3,0,231,111,342,80,84,162,992,891,1879,10,11,23,1086,980,2067,26,17,39,160,149,306,3,8,10,183,169,350,52,50,107,730,635,1366,7,4,18,793,696,1487,39,32,76,355,346,697,11,3,16,402,383,788,Carrathool (A)
11650,24,1093,2255,3346,967,792,1761,34994,17369,52365,304,136,435,36265,18292,54557,4603,4717,9320,117878,125238,243115,1188,1318,2507,123670,131278,254948,1197,1182,2376,19427,21350,40772,199,188,387,20819,22709,43534,2650,2665,5308,78582,83163,161745,841,957,1791,82070,86779,168850,2559,2739,5295,53775,58804,112578,431,452,880,56759,61990,118746,Central Coast (C) (NSW)
11700,0,7,14,21,27,20,45,82,40,121,3,0,3,106,57,165,295,324,613,413,312,727,14,13,29,715,653,1365,44,33,78,51,57,101,3,0,6,93,93,188,218,258,475,300,230,537,11,11,27,536,503,1035,86,78,156,136,124,256,3,0,3,220,198,426,Central Darling (A)
11720,7,215,528,743,303,243,551,6438,3180,9617,47,17,63,6785,3442,10224,1452,1401,2852,19105,19827,38931,245,246,493,20809,21472,42279,332,365,693,3018,3208,6222,26,34,65,3374,3609,6983,843,796,1634,13213,13318,26531,163,165,322,14220,14275,28491,758,805,1563,7818,8655,16469,83,93,172,8662,9543,18207,Cessnock (C)
12850,9,524,1012,1539,85,71,153,11407,5681,17089,78,31,117,11571,5789,17364,569,575,1139,79285,82269,161553,587,574,1163,80439,83421,163859,110,121,228,10238,10482,20722,101,89,193,10449,10692,21142,379,398,773,57903,59977,117878,436,437,877,58721,60805,119526,220,229,455,27623,28749,56366,209,173,382,28053,29148,57197,Fairfield (C)
12870,0,32,98,139,16,7,24,1423,560,1980,18,3,22,1457,569,2028,66,72,138,4593,4601,9195,67,54,116,4725,4731,9451,28,23,49,704,746,1447,3,5,9,732,780,1511,48,44,90,3443,3431,6874,46,39,80,3528,3512,7048,36,43,80,1629,1706,3333,14,16,32,1676,1763,3445,Federation (A)
12900,0,40,75,113,59,62,124,850,397,1249,10,9,21,927,462,1392,394,413,808,3252,3166,6420,77,64,141,3726,3640,7364,84,100,185,440,492,938,10,16,25,535,609,1146,258,269,528,2308,2253,4556,52,43,91,2622,2556,5175,165,206,369,1220,1221,2442,27,23,51,1409,1450,2865,Forbes (A)
12930,5,296,522,816,62,32,98,8409,3749,12159,57,19,79,8529,3803,12334,289,334,630,55592,58468,114058,295,283,578,56174,59092,115265,57,74,130,10326,10753,21072,44,57,99,10423,10882,21304,172,213,384,37219,39510,76722,217,208,423,37606,39923,77532,153,194,339,26265,27324,53590,99,107,208,26513,27623,54139,Georges River (A)
12950,0,18,29,50,30,28,63,360,202,565,0,0,0,396,228,628,229,234,462,1395,1471,2865,25,23,44,1647,1727,3374,32,32,69,180,177,356,3,3,12,218,220,438,130,125,254,1042,1087,2129,15,15,32,1188,1223,2411,95,128,219,467,491,958,11,9,23,571,627,1198,Gilgandra (A)
13010,0,50,66,121,25,26,58,768,409,1181,8,4,14,802,448,1247,180,166,352,2999,3126,6122,41,57,93,3221,3352,6570,48,58,107,454,507,963,4,6,4,503,569,1070,103,91,193,2212,2258,4475,34,48,75,2348,2398,4741,103,102,206,1108,1231,2335,7,6,15,1220,1343,2557,Glen Innes Severn (A)
13310,7,110,188,294,61,48,108,3182,1570,4752,26,20,51,3269,1640,4907,387,426,812,10494,10558,21051,131,130,261,11004,11115,22124,97,106,201,1883,1944,3830,32,22,53,2008,2075,4083,211,246,451,7041,7027,14066,85,90,179,7337,7360,14698,206,232,444,4767,4932,9699,60,56,113,5034,5222,10250,Goulburn Mulwaree (A)
13340,5,38,68,107,23,19,45,1088,536,1628,17,3,20,1129,557,1692,132,129,257,4090,3978,8064,56,38,89,4272,4139,8415,40,27,70,450,514,965,6,7,9,489,553,1040,60,63,124,3002,2818,5814,38,24,63,3102,2905,6010,76,71,151,1303,1472,2767,15,14,28,1392,1556,2951,Greater Hume Shire (A)
13450,0,63,158,224,91,58,147,2349,1067,3419,25,15,38,2460,1140,3599,464,448,912,9000,9073,18068,109,95,208,9566,9619,19189,110,122,232,1496,1505,3002,20,14,35,1623,1645,3270,261,271,534,6415,6412,12824,86,73,167,6769,6753,13519,233,239,474,3567,3664,7232,34,27,68,3838,3931,7773,Griffith (C)
13510,0,44,97,139,33,35,72,1096,525,1616,9,6,15,1137,567,1704,207,197,401,4081,4190,8272,62,71,135,4347,4460,8803,42,45,89,572,608,1186,11,8,20,624,668,1295,132,127,263,3022,3097,6116,48,51,98,3204,3275,6480,81,97,174,1433,1515,2956,22,30,46,1536,1642,3179,Gundagai (A)
13550,0,44,90,136,92,95,184,1158,527,1681,9,4,15,1258,619,1878,584,588,1168,4018,3993,8014,56,60,119,4656,4646,9300,142,139,282,688,705,1389,4,7,16,830,857,1684,343,324,665,2729,2674,5401,41,45,90,3114,3039,6156,265,313,580,1699,1778,3474,16,22,37,1978,2110,4088,Gunnedah (A)
13660,0,14,26,44,13,13,29,398,232,633,7,3,10,421,248,667,111,89,202,1876,1853,3734,44,27,73,2035,1973,4006,34,42,79,253,268,517,4,0,4,292,312,604,80,53,131,1403,1381,2784,25,21,50,1514,1459,2967,50,62,117,617,638,1254,12,0,15,680,709,1389,Gwydir (A)
13800,4,173,463,638,197,142,344,8095,3445,11540,44,18,68,8346,3612,11955,956,921,1880,24224,24824,49047,155,194,352,25334,25940,51273,190,192,386,3527,3624,7152,16,24,44,3735,3845,7575,586,574,1158,16923,17169,34093,125,134,256,17636,17877,35509,436,449,888,9770,10281,20048,43,81,120,10252,10806,21061,Hawkesbury (C)
13850,0,11,25,39,12,6,23,241,120,362,3,4,6,251,130,382,80,66,143,1032,1020,2046,22,16,33,1127,1101,2224,13,11,26,136,155,288,4,3,4,153,167,323,48,45,95,771,747,1519,11,14,20,827,801,1635,33,28,61,346,374,717,14,3,19,385,411,800,Hay (A)
16380,9,291,624,919,278,214,493,8676,4165,12836,70,35,101,9027,4411,13439,1169,1187,2353,27273,29683,56952,276,339,617,28713,31207,59923,306,343,650,5030,5549,10584,69,54,127,5405,5947,11357,629,617,1243,17559,18994,36550,198,234,433,18389,19840,38229,716,753,1470,13760,15231,28989,128,134,261,14600,16124,30722,Port Macquarie-Hastings (A)
16400,5,254,531,792,253,205,454,8630,3794,12425,62,31,87,8943,4023,12970,1229,1253,2481,24654,25195,49849,268,286,552,26151,26728,52878,324,337,666,4423,4629,9056,31,38,68,4782,5006,9791,732,778,1513,16193,16463,32651,197,220,411,17122,17455,34582,661,648,1312,11923,12368,24291,90,91,177,12667,13110,25777,Port Stephens (A)
16490,3,154,329,485,111,106,219,5054,2232,7284,44,15,52,5209,2346,7556,631,636,1271,20455,20240,40700,197,193,385,21286,21076,42361,158,167,326,3802,3855,7662,31,22,54,3987,4052,8043,349,364,713,13516,13353,26877,119,132,253,13987,13849,27835,371,396,765,9664,9879,19542,81,64,145,10117,10337,20451,Queanbeyan-Palerang Regional (A)
16550,6,230,400,632,145,85,232,7259,2868,10124,47,15,56,7447,2969,10414,732,799,1531,46682,49744,96428,250,290,538,47662,50834,98497,122,146,273,12608,13364,25974,41,57,100,12773,13571,26345,447,485,927,27729,30431,58158,186,201,386,28360,31115,59476,334,403,736,29808,30839,60646,94,120,206,30225,31358,61585,Randwick (C)
16610,4,91,196,289,85,69,151,2308,1220,3534,25,13,32,2421,1304,3720,610,603,1210,7990,8146,16133,141,143,287,8744,8892,17633,142,163,298,1223,1287,2513,28,17,43,1387,1463,2852,353,349,698,5772,5848,11620,103,88,192,6228,6282,12508,300,321,626,3049,3155,6206,42,49,96,3398,3528,6925,Richmond Valley (A)
16650,0,230,421,652,67,37,106,6348,2948,9294,40,18,60,6450,3001,9458,267,259,521,39854,41312,81160,265,258,520,40384,41830,82208,75,76,154,8518,8438,16956,45,41,83,8637,8558,17198,135,156,294,25669,27096,52766,196,185,374,25998,27436,53433,187,161,351,20847,20743,41586,76,102,171,21103,21000,42109,Rockdale (C)
16700,3,209,389,598,34,17,55,5759,2621,8383,28,9,41,5821,2648,8473,155,164,323,42186,44691,86874,206,196,405,42547,45056,87603,38,45,79,9782,10455,20236,38,30,65,9863,10523,20388,95,102,202,26515,28316,54827,157,158,317,26766,28572,55340,98,101,198,23469,24829,48301,76,64,134,23638,24993,48631,Ryde (C)
16900,3,224,521,746,179,156,334,8148,3970,12111,48,18,68,8381,4143,12517,997,1024,2025,25426,26684,52111,259,248,500,26681,27956,54636,210,229,431,3710,3949,7661,29,43,69,3944,4215,8163,605,637,1248,18004,18713,36717,173,192,367,18781,19539,38328,472,492,962,9887,10761,20642,87,78,161,10438,11326,21771,Shellharbour (C)
16950,6,365,772,1138,367,282,647,12105,5078,17181,89,47,142,12556,5407,17962,1988,2028,4020,34903,36126,71026,373,427,802,37265,38584,75847,492,535,1020,6030,6486,12519,68,70,133,6589,7088,13679,1143,1141,2287,23604,24047,47655,236,306,543,24990,25498,50490,1042,1133,2175,15977,17229,33208,145,157,309,17170,18526,35692,Shoalhaven (C)
17000,3,89,206,289,121,68,188,2940,1314,4256,23,13,36,3082,1396,4481,489,486,971,8283,8073,16353,94,92,183,8862,8648,17511,120,119,241,1505,1376,2884,14,14,25,1644,1514,3155,309,294,599,5634,5433,11067,75,76,148,6013,5796,11817,230,251,483,3733,3576,7310,24,25,46,3988,3855,7844,Singleton (A)
17040,4,74,166,239,45,23,69,2441,988,3430,29,7,33,2512,1015,3532,175,134,310,7519,7206,14722,94,77,173,7789,7416,15204,41,44,86,1332,1272,2600,16,15,29,1380,1334,2719,109,81,195,5368,5124,10490,70,65,128,5548,5271,10818,85,83,172,3140,3026,6165,28,27,60,3260,3135,6392,Snowy Monaro Regional (A)
17080,0,46,121,160,35,32,63,1485,665,2149,15,3,19,1533,695,2231,229,233,467,5184,5187,10369,74,60,138,5492,5482,10970,47,66,116,755,767,1528,16,12,28,818,848,1668,147,151,304,3881,3738,7618,56,50,100,4081,3937,8023,96,120,220,1823,1935,3752,20,22,40,1942,2071,4016,Snowy Valleys (A)
17420,10,288,642,930,80,37,116,10462,4356,14814,66,17,84,10602,4405,15011,327,332,660,63000,65105,128109,300,314,616,63629,65750,129377,52,63,119,9289,9588,18876,38,32,74,9379,9683,19068,217,194,407,42509,43829,86337,216,240,458,42935,44265,87203,143,178,320,26958,28018,54974,92,93,188,27192,28287,55483,The Hills Shire (A)
17550,4,265,517,782,293,200,494,9836,4428,14260,81,35,111,10204,4662,14867,1372,1380,2754,31429,33766,65191,399,408,811,33203,35556,68757,308,345,656,6072,6609,12680,42,71,111,6426,7027,13446,800,784,1586,20634,21958,42590,277,297,575,21710,23045,44758,749,820,1572,15468,17226,32697,121,134,253,16336,18189,34530,Tweed (A)
17620,3,40,97,142,64,47,111,1519,692,2207,20,6,23,1597,746,2347,283,282,563,4998,5094,10092,68,76,141,5341,5455,10801,65,59,129,775,812,1595,14,6,22,861,885,1745,186,189,372,3508,3535,7050,37,56,95,3731,3781,7517,134,130,267,1981,2110,4087,31,30,55,2139,2271,4407,Upper Hunter Shire (A)
17640,5,30,55,82,20,4,29,840,363,1207,13,4,17,874,378,1251,71,69,144,3004,2924,5924,49,48,98,3125,3038,6167,15,11,23,368,377,752,7,8,17,390,399,792,53,41,94,2194,2108,4298,39,40,76,2289,2185,4470,22,36,56,992,1046,2036,20,11,30,1032,1092,2119,Upper Lachlan Shire (A)
17650,0,29,47,75,26,18,50,587,287,870,5,3,14,625,311,930,160,165,326,2202,2353,4556,38,25,62,2400,2546,4947,31,42,70,268,281,551,4,6,9,299,334,630,101,111,210,1643,1649,3285,20,18,40,1764,1774,3542,75,84,155,716,866,1586,8,10,20,795,967,1761,Uralla (A)
17750,5,268,455,729,213,192,401,6360,3309,9671,48,15,60,6620,3513,10136,1182,1254,2439,21108,22007,43116,186,192,381,22479,23455,45933,377,447,826,4772,5123,9893,45,37,86,5192,5608,10801,638,644,1281,13457,14022,27482,133,141,273,14226,14807,29041,733,890,1621,11225,12142,23369,80,81,161,12038,13112,25150,Wagga Wagga (C)
17850,0,11,28,37,13,9,26,283,116,400,3,4,4,298,130,431,73,53,129,1125,1123,2250,15,18,34,1210,1195,2411,22,18,37,116,135,251,0,0,0,141,153,290,54,41,97,864,867,1736,8,11,20,926,923,1848,37,24,55,322,327,650,0,0,8,358,349,708,Walcha (A)
17900,0,27,34,59,57,55,110,374,146,522,9,0,7,437,202,646,699,759,1461,1666,1309,2971,44,45,94,2411,2108,4520,109,113,224,221,228,451,4,14,19,339,347,692,517,558,1079,1268,924,2198,33,38,72,1825,1516,3342,213,246,457,543,543,1087,13,13,28,775,806,1577,Walgett (A)
17950,0,4,21,21,12,11,26,209,71,285,3,0,8,230,87,316,159,177,334,884,887,1770,26,22,49,1069,1082,2157,17,13,35,91,83,179,4,3,9,117,97,220,111,110,229,680,653,1332,23,22,42,813,783,1593,49,56,104,259,264,526,5,10,18,313,333,644,Warren (A)
18020,5,52,71,124,50,42,94,795,365,1166,3,3,12,848,418,1269,348,346,692,3245,3198,6443,45,49,91,3636,3590,7223,71,97,163,368,393,758,3,9,10,441,492,933,226,227,454,2424,2320,4744,40,38,79,2689,2584,5266,151,177,326,1047,1129,2177,13,9,20,1209,1313,2521,Warrumbungle Shire (A)
18050,0,90,135,217,22,17,42,2666,1143,3805,14,6,21,2697,1167,3865,121,87,211,21812,23070,44880,126,161,288,22062,23311,45372,24,19,45,5938,6367,12309,20,22,43,5983,6415,12397,75,49,129,12620,13299,25918,76,99,174,12772,13452,26217,63,54,111,14057,15146,29200,51,66,119,14164,15264,29434,Waverley (A)
18100,0,17,37,55,11,5,21,337,167,497,5,0,4,351,171,521,44,37,86,1398,1400,2795,19,18,37,1457,1454,2912,13,8,23,153,161,316,3,0,6,170,174,341,34,18,55,1082,1044,2123,14,13,26,1132,1077,2211,18,22,43,421,448,864,5,0,13,447,475,921,Weddin (A)
18200,3,22,42,67,19,29,48,678,293,973,7,8,16,710,330,1040,243,256,497,2406,2223,4622,36,45,77,2679,2524,5203,56,59,110,322,346,671,12,9,20,383,416,796,164,177,343,1755,1561,3317,29,39,69,1949,1777,3725,97,120,216,835,886,1720,15,8,29,945,1018,1961,Wentworth (A)
18230,11,156,417,575,464,390,854,4562,2330,6890,61,29,90,5088,2746,7839,2645,2705,5355,14936,15828,30768,206,233,431,17786,18767,36548,725,806,1533,2737,2984,5719,23,29,54,3482,3822,7300,1499,1588,3088,10089,10572,20660,144,157,300,11730,12316,24042,1457,1556,3020,6845,7517,14369,64,73,132,8371,9150,17519,Western Plains Regional (A)
18250,0,85,175,259,12,3,17,1997,1117,3117,10,6,16,2016,1128,3145,48,56,104,26757,28968,55724,94,116,211,26899,29141,56040,15,12,21,5967,6570,12535,19,18,33,5990,6594,12591,31,24,55,16012,17483,33494,63,78,141,16109,17586,33693,31,37,64,15301,16750,32047,33,50,82,15369,16831,32198,Willoughby (C)
18350,0,134,315,447,80,73,154,4775,2092,6866,34,11,52,4893,2181,7072,331,406,741,17063,18605,35670,151,197,344,17541,19210,36757,79,76,160,3077,3408,6483,24,27,54,3180,3515,6689,209,243,452,11084,11994,23079,97,133,235,11396,12373,23765,171,198,372,8416,9446,17861,57,83,141,8648,9731,18374,Wingecarribee (A)
18400,6,134,352,488,127,85,208,6361,2489,8854,56,24,81,6547,2602,9144,624,624,1253,18756,18843,37596,204,193,402,19589,19665,39251,109,124,235,2611,2697,5316,25,28,50,2751,2850,5598,393,391,785,12751,12597,25346,142,138,284,13293,13126,26419,274,293,562,7484,7858,15346,60,63,129,7820,8222,16038,Wollondilly (A)
18450,13,630,1298,1924,393,295,692,20492,9084,29575,146,58,203,21034,9437,30466,2005,2117,4128,76250,78584,154832,737,818,1551,78987,81517,160507,432,454,886,12685,12772,25457,105,145,251,13220,13376,26594,1234,1335,2566,53290,54834,108126,489,563,1051,55011,56733,111746,971,1019,1991,32469,33362,65833,227,260,495,33671,34645,68310,Wollongong (C)
18500,0,64,96,158,6,4,9,1324,728,2049,3,5,10,1336,738,2069,52,48,107,17554,19986,37534,107,114,218,17711,20147,37852,22,22,45,4466,5283,9746,18,30,52,4508,5338,9839,27,23,49,10033,11823,21857,66,76,140,10129,11923,22053,45,57,97,11359,12963,24320,55,56,108,11458,13071,24525,Woollahra (A)
18710,0,42,79,123,27,17,39,1473,621,2094,6,5,13,1510,635,2149,162,147,308,6086,6286,12372,56,67,117,6301,6509,12807,38,38,68,909,992,1897,6,7,15,945,1033,1978,103,91,193,4322,4374,8698,41,53,88,4459,4512,8976,67,74,140,2295,2599,4897,18,23,37,2385,2690,5075,Yass Valley (A)
19399,0,5,5,10,0,0,3,121,55,171,3,5,3,124,62,184,17,13,29,417,361,777,4,7,16,439,385,818,0,3,3,45,49,90,0,3,3,49,48,99,7,14,20,309,256,564,4,3,10,323,268,594,6,7,15,130,130,261,0,4,4,140,139,277,Unincorporated NSW
20110,0,38,75,117,11,3,13,1398,557,1953,16,3,18,1418,569,1991,37,38,77,4712,4801,9509,60,64,128,4811,4902,9717,12,13,20,655,730,1384,7,7,16,669,748,1418,24,20,45,3464,3504,6965,43,46,90,3524,3565,7094,20,27,52,1714,1845,3566,21,16,41,1755,1892,3650,Alpine (S)
20260,3,42,59,105,6,3,10,1073,520,1596,13,10,21,1093,524,1620,49,43,93,4186,4170,8358,62,65,131,4294,4283,8578,13,15,25,625,640,1268,12,8,17,652,667,1315,28,31,58,3128,3097,6230,49,55,106,3206,3186,6390,24,25,47,1463,1533,2997,18,14,27,1498,1574,3076,Ararat (RC)
20570,5,298,663,964,85,80,163,9317,5058,14367,86,30,115,9482,5170,14646,490,564,1050,35947,38694,74642,364,392,759,36798,39648,76451,159,173,335,7240,8040,15278,61,66,131,7459,8277,15741,274,312,586,22798,24612,47407,284,270,551,23352,25192,48543,303,351,654,18451,20353,38801,120,137,253,18867,20849,39718,Ballarat (C)
20660,3,232,387,622,55,43,96,9012,3665,12677,67,22,87,9128,3730,12859,271,269,538,46677,49582,96258,357,386,744,47308,50237,97542,60,64,125,7097,7335,14434,50,48,102,7211,7450,14661,184,175,362,33337,35811,69151,277,295,566,33801,36277,70078,124,146,266,18396,19154,37555,103,100,201,18626,19400,38022,Banyule (C)
20740,0,91,199,289,27,15,44,3763,1548,5315,45,21,60,3840,1581,5421,122,105,232,11725,12423,24145,153,194,343,12003,12725,24722,35,24,57,2289,2547,4842,33,20,49,2358,2600,4954,55,47,97,7741,8083,15818,104,136,237,7902,8258,16160,76,72,149,5643,6379,12018,61,66,129,5786,6516,12304,Bass Coast (S)
20830,0,126,325,451,34,15,51,5662,2644,8306,31,10,48,5731,2676,8404,170,184,351,17870,18684,36548,155,185,342,18196,19048,37245,56,43,105,2987,3428,6413,33,26,58,3082,3494,6575,115,109,220,11881,12306,24186,108,137,247,12099,12552,24653,86,92,177,8112,8955,17067,63,66,122,8258,9110,17368,Baw Baw (S)
20910,0,136,266,400,15,10,17,4184,2002,6188,22,13,39,4225,2023,6248,80,70,150,35849,39415,75262,220,296,513,36152,39775,75929,20,15,34,6242,6811,13051,28,33,55,6283,6860,13149,47,47,99,24437,27182,51617,149,224,374,24631,27454,52089,47,31,77,16442,17982,34415,77,88,173,16567,18101,34667,Bayside (C)
21010,4,44,115,164,9,17,25,1510,692,2198,17,8,22,1529,717,2249,73,86,164,5093,5368,10464,63,77,141,5231,5532,10766,18,25,48,753,864,1620,5,11,15,784,894,1678,48,60,102,3707,3839,7541,47,55,100,3798,3949,7745,33,41,79,1948,2203,4155,17,32,49,2002,2275,4276,Benalla (RC)
