lga_code_2016,separate_house_nofb_0_i_b,separate_house_nofb_1,separate_house_nofb_2,separate_house_nofb_3,separate_house_nofb_4,separate_house_nofb_5,separate_house_nofb_6_or_m,separate_house_nofb_ns,separate_house_total,se_d_r_or_t_h_t_1_s_nofb_0_ib,se_d_r_or_t_h_t_1_st_nofb_1,se_d_r_or_t_h_t_1_st_nofb_2,se_d_r_or_t_h_t_1_st_nofb_3,se_d_r_or_t_h_t_1_st_nofb_4,se_d_r_or_t_h_t_1_st_nofb_5,se_d_r_or_t_h_t_1_st_nofb_6_m,se_d_r_or_t_h_t_1_st_nofb_ns,se_d_r_or_t_h_t_1_st_total,se_d_r_or_t_h_t_2_s_nofb_0_ib,se_d_r_or_t_h_t_2_sts_nofb_1,se_d_r_or_t_h_t_2_sts_nofb_2,se_d_r_or_t_h_t_2_sts_nofb_3,se_d_r_or_t_h_t_2_sts_nofb_4,se_d_r_or_t_h_t_2_sts_nofb_5,se_d_r_or_t_h_t_2_st_nofb_6_m,se_d_r_or_t_h_t_2_sts_nofb_ns,se_d_r_or_t_h_t_2_sts_total,se_d_r_or_t_h_t_tot_nofb_0_ib,se_d_r_or_t_h_t_tot_nofb_1,se_d_r_or_t_h_t_tot_nofb_2,se_d_r_or_t_h_t_tot_nofb_3,se_d_r_or_t_h_t_tot_nofb_4,se_d_r_or_t_h_t_tot_nofb_5,se_d_r_or_t_h_t_tot_nofb_6_m,se_d_r_or_t_h_t_tot_nofb_ns,se_d_r_or_t_h_t_tot_total,flt_at_1_or2_st_bl_nofb_0_ib,flt_at_in_1_or2_s_b_nofb_1,flt_at_in_1_or2_s_b_nofb_2,flt_at_in_1_or2_s_b_nofb_3,flt_at_in_1_or2_s_b_nofb_4,flt_at_in_1_or2_s_b_nofb_5,flt_at_in_1_or2_s_b_nob_6_m,flt_at_in_1_or2_s_b_nob_ns,flt_at_in_1_or2_s_b_total,flt_apt_3_st_bl_nob_0_ib,flt_apt_in_3_st_bl_nofb_1,flt_apt_in_3_st_bl_nofb_2,flt_apt_in_3_st_bl_nofb_3,flt_apt_in_3_st_bl_nofb_4,flt_apt_in_3_st_bl_nofb_5,flt_apt_in_3_s_bl_nofb_6_m,flt_apt_in_3_st_bl_nofb_ns,flt_apt_in_3_st_bl_total,flt_apt_4_or_m_s_b_nofb_0_ib,flt_apt_4_or_m_s_b_nofb_1,flt_apt_4_or_m_s_b_nofb_2,flt_apt_4_or_m_s_b_nofb_3,flt_apt_4_or_m_s_b_nofb_4,flt_apt_4_or_m_s_b_nofb_5,flt_apt_4_or_m_s_b_nofb_6_m,flt_apt_4_or_m_s_b_nofb_ns,flt_apt_4_or_m_s_b_total,flt_apt_at_to_a_h_nofb_0_ib,flt_apt_at_to_a_hse_nofb_1,flt_apt_at_to_a_hse_nofb_2,flt_apt_at_to_a_hse_nofb_3,flt_apt_at_to_a_hse_nofb_4,flt_apt_at_to_a_hse_nofb_5,flt_apt_at_to_a_hs_nofb_6_m,flt_apt_at_to_a_hs_nofb_ns,flt_apt_at_to_a_hse_total,flt_apart_tot_nofb_0_i_b,flt_apart_tot_nofb_1,flt_apart_tot_nofb_2,flt_apart_tot_nofb_3,flt_apart_tot_nofb_4,flt_apart_tot_nofb_5,flt_apart_tot_nofb_6_or_m,flt_apart_tot_nofb_ns,flt_apart_tot_total,other_dwelling_nofb_0_i_b,other_dwelling_nofb_1,other_dwelling_nofb_2,other_dwelling_nofb_3,other_dwelling_nofb_4,other_dwelling_nofb_5,other_dwelling_nofb_6_or_m,other_dwelling_nofb_ns,other_dwelling_total,dweling_structu_ns_nofb_0_i_b,dweling_structur_ns_nofb_1,dweling_structur_ns_nofb_2,dweling_structur_ns_nofb_3,dweling_structur_ns_nofb_4,dweling_structur_ns_nofb_5,dwelig_struct_ns_nofb_6_or_m,dweling_structur_ns_nofb_ns,dweling_structur_ns_total,total_nofb_0_i_b,total_nofb_1,total_nofb_2,total_nofb_3,total_nofb_4,total_nofb_5,total_nofb_6_or_m,total_nofb_ns,total_total,lga_name16
10050,20,107,1781,7744,4990,681,124,1055,16497,13,354,2011,433,34,3,8,331,3183,7,109,160,112,17,0,3,89,494,17,465,2167,552,45,3,9,421,3683,5,52,188,25,0,0,0,111,388,0,8,46,0,0,0,0,22,79,0,3,27,0,0,0,0,10,36,0,0,0,0,0,0,0,5,6,5,65,261,27,5,0,0,141,499,12,30,25,24,10,0,0,24,125,5,10,22,22,12,4,0,5,80,61,670,4254,8364,5056,685,133,1646,20877,Albury (C)
10130,13,191,988,4037,2636,592,138,661,9265,4,76,511,154,13,6,0,67,832,0,29,79,22,3,0,0,19,158,5,108,586,171,21,5,0,91,993,6,146,251,54,9,0,6,81,565,0,9,25,6,3,0,0,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,158,281,63,11,0,6,90,616,16,23,15,16,3,0,3,37,110,0,5,15,34,17,3,3,17,100,42,490,1891,4321,2683,601,155,898,11079,Armidale Regional (A)
10250,23,139,1034,5143,3846,727,170,791,11875,3,108,997,871,81,8,4,210,2285,0,112,597,660,72,3,0,152,1602,0,224,1601,1532,148,15,7,362,3885,7,67,335,153,15,4,0,56,630,0,3,109,46,0,0,0,10,170,0,0,28,30,0,0,0,9,63,0,3,3,0,0,0,0,0,7,7,78,471,224,15,4,0,75,882,91,188,250,63,20,0,0,173,777,0,13,26,27,18,6,0,41,135,118,640,3377,6992,4049,759,179,1439,17555,Ballina (A)
10300,0,14,87,371,225,23,3,92,819,3,0,4,4,0,0,0,3,18,0,0,0,3,0,0,0,0,3,3,0,4,3,0,0,0,4,24,0,11,21,4,0,0,0,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,4,0,0,0,5,41,10,10,0,8,0,0,0,25,61,0,0,0,0,0,0,0,0,4,17,39,120,384,223,25,8,135,951,Balranald (A)
10470,26,161,994,5064,4578,969,212,804,12813,5,97,632,329,34,4,0,129,1239,6,78,89,115,24,6,3,40,357,10,176,717,445,62,6,0,168,1595,17,125,349,56,8,0,6,106,674,0,3,6,0,0,0,0,3,12,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,17,132,355,63,8,0,6,111,686,6,12,23,10,7,0,0,17,67,0,67,16,16,7,8,0,56,172,65,539,2109,5599,4658,987,219,1158,15333,Bathurst Regional (A)
10550,55,314,1566,5440,2909,507,108,847,11747,9,100,492,192,18,0,0,79,889,0,35,247,193,23,0,0,54,547,11,133,743,382,38,3,0,138,1440,6,110,278,118,5,0,0,72,591,0,3,18,3,0,0,0,3,29,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,109,294,125,5,6,0,76,621,43,101,106,53,11,0,3,120,435,9,16,52,43,21,6,4,19,164,124,669,2754,6043,2979,522,120,1188,14407,Bega Valley (A)
10600,31,175,776,2125,1072,188,46,343,4754,3,24,74,52,11,5,0,22,190,0,0,21,22,9,0,0,3,56,3,22,93,71,21,3,3,26,246,3,29,72,14,3,0,0,21,143,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,77,17,3,0,0,18,152,38,63,20,16,6,0,3,26,180,3,12,7,13,14,3,0,5,54,82,309,974,2251,1115,193,54,415,5387,Bellingen (A)
10650,5,37,417,1489,772,123,25,324,3197,0,12,71,22,0,0,0,10,115,0,0,0,0,0,0,0,0,0,0,12,71,22,0,0,0,10,115,6,23,71,16,4,0,0,35,149,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,77,16,4,0,0,35,151,15,46,37,25,12,0,0,31,172,7,0,3,3,0,0,0,0,12,29,116,602,1550,792,123,28,401,3649,Berrigan (A)
10750,118,646,3909,36806,28677,5783,1192,4928,82065,35,269,747,2931,1939,177,12,375,6494,28,409,1166,5146,2653,396,66,670,10537,63,677,1918,8075,4589,577,81,1042,17028,96,543,311,472,70,0,0,226,1725,7,36,566,42,0,0,3,150,809,11,141,2512,194,12,0,3,245,3116,3,27,6,3,3,0,0,10,51,120,748,3399,709,92,3,5,636,5708,7,52,171,118,43,9,0,151,554,5,44,68,92,55,15,5,73,358,314,2171,9470,45805,33452,6377,1292,6832,105709,Blacktown (C)
10800,3,32,232,977,642,112,10,279,2289,0,0,10,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,17,0,27,27,3,3,0,0,14,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,3,3,0,0,14,68,0,4,8,3,0,0,0,10,28,7,11,9,13,3,4,3,13,57,13,72,289,993,649,114,14,315,2461,Bland (A)
10850,7,47,278,1134,789,155,51,197,2658,0,3,15,4,6,0,0,3,31,0,0,0,3,0,0,0,0,4,0,3,17,5,4,0,0,3,38,3,16,29,8,0,0,0,21,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,29,8,0,0,0,21,73,4,10,3,6,3,0,6,9,44,0,0,0,3,0,0,0,26,29,6,73,331,1154,799,155,54,256,2836,Blayney (A)
10900,28,408,3338,11859,8305,1982,422,1277,27618,18,189,263,296,23,3,0,86,878,0,54,245,256,13,6,3,52,627,18,246,511,550,39,7,5,132,1506,11,160,192,44,5,0,0,59,468,0,45,71,14,0,0,0,17,147,0,0,4,0,0,0,0,3,11,0,6,3,0,0,0,0,3,9,13,213,270,55,7,0,0,81,639,11,21,13,17,7,0,0,44,112,3,13,30,21,17,7,9,22,119,67,895,4163,12499,8373,1999,440,1560,29996,Blue Mountains (C)
