lga_code16,tot_mgr,tot_pfn,tot_tch_trwk,tot_co_pswk,tot_cl_adwk,tot_sal,tot_mchop,tot_lab,tot_inad_ns,tot_to,lga_name16
14870,744,953,1325,996,1016,654,955,957,144,7747,Lithgow (C)
14900,8369,14216,12194,8491,13427,7713,8752,8722,2077,83946,Liverpool (C)
14920,624,341,340,310,280,207,352,459,58,2964,Liverpool Plains (A)
14950,384,169,134,121,125,74,112,130,26,1275,Lockhart (A)
15050,3256,5701,5877,3836,4537,3540,3370,3672,507,34298,Maitland (C)
15240,3642,4862,4409,3787,3327,3511,1943,3989,517,29990,Mid-Coast (A)
15270,1438,1285,1691,929,984,879,1229,1159,149,9742,Mid-Western Regional (A)
15300,1137,789,672,545,670,444,551,717,109,5643,Moree Plains (A)
15350,3297,5440,619,993,1669,1072,98,290,299,13773,Mosman (A)
15520,1225,711,647,482,523,416,332,696,86,5116,Murray River (A)
15560,495,155,179,135,179,83,154,277,36,1701,Murrumbidgee (A)
15650,644,753,1368,613,668,539,1226,882,109,6806,Muswellbrook (A)
15700,778,1005,943,913,670,525,442,898,120,6298,Nambucca (A)
15750,1032,831,868,494,623,481,736,724,121,5911,Narrabri (A)
15800,490,275,297,214,239,147,188,405,41,2309,Narrandera (A)
15850,579,330,331,276,268,177,272,279,41,2547,Narromine (A)
15900,7278,19684,9286,8895,9498,6728,3756,6256,1026,72409,Newcastle (C)
15950,8683,17577,2097,2438,5108,2668,377,792,691,40427,North Sydney (A)
15990,23543,36451,14614,12151,17298,11697,3530,6577,2082,127948,Northern Beaches (A)
16100,407,270,325,218,232,161,315,272,48,2250,Oberon (A)
16150,1930,3804,2643,2056,2311,1750,1238,1879,260,17872,Orange (C)
16200,1027,857,845,605,649,523,611,600,109,5818,Parkes (A)
16260,13748,33765,11056,8830,16478,9033,5102,6959,2119,107086,Parramatta (C)
16350,9530,14018,14012,9875,16793,9010,10235,9135,1814,94410,Penrith (C)
11300,1929,4899,1846,1692,2352,1829,622,1544,441,17157,Burwood (A)
11350,2075,3420,1938,1688,1326,1315,476,1315,240,13782,Byron (A)
11400,1215,978,864,549,723,399,422,681,101,5925,Cabonne (A)
11450,5067,7049,5961,4011,6603,3957,3251,3087,739,39736,Camden (A)
11500,5762,10526,9536,7743,11066,6674,8206,7774,1373,68657,Campbelltown (C) (NSW)
11520,8083,14654,3846,3275,6566,4038,1036,1927,826,44247,Canada Bay (A)
11570,13839,26091,19338,14440,20831,13797,11655,14639,3315,137954,Canterbury-Bankstown (A)
11600,441,101,138,92,118,41,159,289,21,1414,Carrathool (A)
11650,15351,25634,21394,17148,18948,14740,8278,14308,2376,138163,Central Coast (C) (NSW)
11700,184,67,68,85,37,13,36,125,18,631,Central Darling (A)
11720,1962,2453,3883,2525,2408,2191,2802,3006,360,21584,Cessnock (C)
11730,2129,2782,2517,2432,2197,1911,1310,2279,310,17876,Clarence Valley (A)
11750,349,289,406,171,199,115,377,213,37,2157,Cobar (A)
11800,3536,5637,3989,3732,3928,3272,1616,3740,513,29958,Coffs Harbour (C)
12000,403,233,225,175,173,127,129,183,28,1676,Coolamon (A)
12150,392,175,151,165,144,76,86,192,35,1416,Coonamble (A)
12350,870,663,653,510,506,473,318,735,94,4823,Cowra (A)
12380,7669,16420,13338,8430,12354,8095,7321,10480,2559,86662,Cumberland (A)
12700,597,542,687,354,485,279,358,459,61,3813,Dungog (A)
12730,690,572,479,411,441,329,275,548,72,3827,Edward River (A)
12750,1593,2079,2065,1696,1601,1523,698,1462,225,12944,Eurobodalla (A)
12850,5603,9918,10725,7229,10078,6851,8725,10505,2082,71714,Fairfield (C)
12870,876,551,755,509,504,428,420,870,85,4998,Federation (A)
12900,745,565,557,382,403,375,323,519,87,3950,Forbes (A)
12930,8395,17602,7989,6813,10798,7033,3543,5767,1391,69330,Georges River (A)
12950,482,223,205,220,139,111,120,236,23,1749,Gilgandra (A)
13010,673,436,386,391,337,283,211,422,66,3206,Glen Innes Severn (A)
13310,1450,1864,1877,2170,1546,1264,1099,1507,214,12987,Goulburn Mulwaree (A)
13340,1062,607,625,434,517,340,343,548,76,4543,Greater Hume Shire (A)
13450,1797,1576,1640,1018,1374,1233,809,2132,202,11769,Griffith (C)
13510,722,560,592,464,448,365,305,797,80,4336,Gundagai (A)
13550,907,716,758,493,541,420,797,690,104,5426,Gunnedah (A)
13660,689,228,176,164,193,108,167,324,42,2081,Gwydir (A)
13800,4107,4729,5968,3285,4890,2792,2699,3120,563,32161,Hawkesbury (C)
13850,253,131,181,119,136,107,143,208,29,1308,Hay (A)
16380,3361,5910,4395,3814,3928,3252,1633,3120,440,29847,Port Macquarie-Hastings (A)
16400,2967,4103,4761,3477,3567,2863,2229,3072,452,27498,Port Stephens (A)
