lga_code16,p_ewft_35_39_es_ns,p_ewft_35_39_tot,p_ewft_40_44_e,p_ewft_40_44_om_ie,p_ewft_40_44_om_uie,p_ewft_40_44_cfw,p_ewft_40_44_es_ns,p_ewft_40_44_tot,p_ewft_45_49_e,p_ewft_45_49_om_ie,p_ewft_45_49_om_uie,p_ewft_45_49_cfw,p_ewft_45_49_es_ns,p_ewft_45_49_tot,p_ewft_50_54_e,p_ewft_50_54_om_ie,p_ewft_50_54_om_uie,p_ewft_50_54_cfw,p_ewft_50_54_es_ns,p_ewft_50_54_tot,p_ewft_55_59_e,p_ewft_55_59_om_ie,p_ewft_55_59_om_uie,p_ewft_55_59_cfw,p_ewft_55_59_es_ns,p_ewft_55_59_tot,p_ewft_60_64_e,p_ewft_60_64_om_ie,p_ewft_60_64_om_uie,p_ewft_60_64_cfw,p_ewft_60_64_es_ns,p_ewft_60_64_tot,p_ewft_65_69_e,p_ewft_65_69_om_ie,p_ewft_65_69_om_uie,p_ewft_65_69_cfw,p_ewft_65_69_es_ns,p_ewft_65_69_tot,p_ewft_70_74_e,p_ewft_70_74_om_ie,p_ewft_70_74_om_uie,p_ewft_70_74_cfw,p_ewft_70_74_es_ns,p_ewft_70_74_tot,p_ewft_75ov_e,p_ewft_75ov_om_ie,p_ewft_75ov_om_uie,p_ewft_75ov_cfw,p_ewft_75ov_es_ns,p_ewft_75ov_tot,p_ewft_tot_e,p_ewft_tot_om_ie,p_ewft_tot_om_uie,p_ewft_tot_cfw,p_ewft_tot_es_ns,p_ewft_tot_tot,p_ewpt_15_19_e,p_ewpt_15_19_om_ie,p_ewpt_15_19_om_uie,p_ewpt_15_19_cfw,p_ewpt_15_19_es_ns,p_ewpt_15_19_tot,p_ewpt_20_24_e,p_ewpt_20_24_om_ie,p_ewpt_20_24_om_uie,p_ewpt_20_24_cfw,p_ewpt_20_24_es_ns,p_ewpt_20_24_tot,p_ewpt_25_29_e,p_ewpt_25_29_om_ie,p_ewpt_25_29_om_uie,p_ewpt_25_29_cfw,p_ewpt_25_29_es_ns,p_ewpt_25_29_tot,p_ewpt_30_34_e,p_ewpt_30_34_om_ie,p_ewpt_30_34_om_uie,p_ewpt_30_34_cfw,p_ewpt_30_34_es_ns,p_ewpt_30_34_tot,p_ewpt_35_39_e,p_ewpt_35_39_om_ie,p_ewpt_35_39_om_uie,p_ewpt_35_39_cfw,p_ewpt_35_39_es_ns,p_ewpt_35_39_tot,p_ewpt_40_44_e,p_ewpt_40_44_om_ie,p_ewpt_40_44_om_uie,p_ewpt_40_44_cfw,p_ewpt_40_44_es_ns,p_ewpt_40_44_tot,p_ewpt_45_49_e,p_ewpt_45_49_om_ie,p_ewpt_45_49_om_uie,p_ewpt_45_49_cfw,p_ewpt_45_49_es_ns,p_ewpt_45_49_tot,p_ewpt_50_54_e,p_ewpt_50_54_om_ie,p_ewpt_50_54_om_uie,p_ewpt_50_54_cfw,p_ewpt_50_54_es_ns,p_ewpt_50_54_tot,p_ewpt_55_59_e,p_ewpt_55_59_om_ie,p_ewpt_55_59_om_uie,p_ewpt_55_59_cfw,p_ewpt_55_59_es_ns,p_ewpt_55_59_tot,p_ewpt_60_64_e,p_ewpt_60_64_om_ie,p_ewpt_60_64_om_uie,p_ewpt_60_64_cfw,p_ewpt_60_64_es_ns,p_ewpt_60_64_tot,p_ewpt_65_69_e,p_ewpt_65_69_om_ie,p_ewpt_65_69_om_uie,p_ewpt_65_69_cfw,p_ewpt_65_69_es_ns,p_ewpt_65_69_tot,p_ewpt_70_74_e,p_ewpt_70_74_om_ie,p_ewpt_70_74_om_uie,p_ewpt_70_74_cfw,p_ewpt_70_74_es_ns,p_ewpt_70_74_tot,p_ewpt_75ov_e,p_ewpt_75ov_om_ie,p_ewpt_75ov_om_uie,p_ewpt_75ov_cfw,p_ewpt_75ov_es_ns,p_ewpt_75ov_tot,p_ewpt_tot_e,p_ewpt_tot_om_ie,p_ewpt_tot_om_uie,p_ewpt_tot_cfw,p_ewpt_tot_es_ns,p_ewpt_tot_tot,p_eafw_e,p_eafw_om_ie,p_eafw_om_uie,p_eafw_cfw,p_eafw_es_ns,p_eafw_tot,p_h_ns_e,p_h_ns_om_ie,p_h_ns_om_uie,p_h_ns_cfw,p_h_ns_es_ns,p_h_ns_tot,p_tot_e,p_tot_om_ie,p_tot_om_uie,p_tot_cfw,p_tot_es_ns,p_tot_tot,lga_name16
10050,7,1492,1359,127,119,14,6,1624,1498,176,123,17,17,1831,1425,200,134,15,10,1785,1261,146,132,11,8,1559,686,102,90,12,11,901,179,50,42,14,0,288,25,13,13,0,3,50,8,4,5,3,0,23,12113,1055,942,104,88,14305,1226,3,6,8,11,1251,979,0,18,4,3,1004,653,11,30,3,4,702,757,21,51,12,0,842,703,25,65,21,6,825,724,37,58,12,3,832,681,50,63,14,4,809,681,43,60,7,8,802,663,41,71,16,7,795,550,41,70,22,3,689,275,38,64,18,0,388,59,12,19,14,4,115,31,0,9,12,6,60,7994,333,588,150,53,9118,851,23,56,15,17,966,318,10,26,27,48,426,21280,1419,1605,299,212,24820,Albury (C)
10130,5,681,694,51,79,14,3,849,763,78,74,12,3,933,796,97,111,18,8,1034,690,83,94,25,11,904,377,52,102,21,4,563,83,27,82,27,4,218,25,14,31,33,4,106,10,11,20,26,0,63,6046,533,746,203,58,7585,616,0,3,14,4,641,652,3,7,4,10,668,367,0,13,3,3,387,325,10,24,8,0,356,309,12,25,3,7,356,364,20,29,8,0,423,346,13,39,5,3,406,341,17,48,12,5,421,329,22,42,13,0,409,240,19,47,16,5,322,124,11,40,31,3,209,45,6,34,22,3,107,18,5,19,22,3,67,4077,140,364,156,41,4776,420,21,25,16,7,487,177,7,14,21,27,254,10721,696,1153,401,130,13097,Armidale Regional (A)
10250,10,821,678,115,110,19,7,938,752,116,145,11,9,1028,776,143,152,22,6,1094,717,91,163,16,4,995,402,66,131,18,7,617,93,35,62,11,0,203,23,19,22,8,3,75,9,6,19,14,0,48,5825,757,1036,143,55,7814,741,0,4,6,7,755,462,0,13,0,7,481,324,4,19,10,3,359,355,11,45,11,3,426,386,26,71,14,0,488,476,30,97,12,3,618,504,32,86,15,6,654,507,35,96,22,3,667,564,42,97,24,6,728,418,47,108,21,8,602,199,44,76,26,7,356,60,9,37,16,3,128,19,15,24,19,5,77,5020,299,768,179,66,6333,384,34,55,12,5,487,164,22,16,18,61,277,11398,1109,1874,353,181,14913,Ballina (A)
10300,0,40,36,13,9,3,0,66,38,7,4,8,0,56,35,8,10,9,0,54,37,12,19,7,0,75,23,6,13,5,0,43,5,3,8,0,0,17,0,0,3,0,0,3,0,0,0,0,0,0,308,62,77,36,3,487,8,0,0,0,0,13,17,0,0,0,0,18,16,3,0,0,0,16,8,4,0,0,0,13,18,0,0,0,0,25,24,0,5,3,0,33,20,4,0,0,0,29,22,0,5,0,0,31,25,0,0,0,0,29,28,0,3,5,0,37,5,5,0,0,0,11,0,0,0,0,0,5,3,0,0,0,0,4,201,19,18,17,7,257,25,0,0,0,0,28,11,0,3,7,3,28,545,80,104,61,13,795,Balranald (A)
10470,0,1053,1010,100,90,14,14,1230,1089,120,106,20,3,1338,1045,115,104,21,15,1298,909,94,92,27,13,1135,523,63,78,26,6,694,133,46,68,30,5,274,24,13,22,16,0,76,11,7,22,12,0,46,8669,751,811,179,78,10491,777,0,3,8,8,802,791,4,14,7,6,821,451,9,12,5,3,473,445,15,31,8,8,504,393,15,44,12,0,474,455,14,47,10,7,533,416,24,45,9,8,500,399,19,35,18,3,475,392,21,56,23,3,494,333,22,56,12,0,426,157,19,47,19,0,243,61,12,34,18,3,129,24,6,19,18,3,78,5099,194,447,154,50,5940,584,25,30,17,25,679,243,7,34,13,53,343,14588,976,1322,362,201,17455,Bathurst Regional (A)
10550,8,538,502,83,79,4,8,678,643,92,105,14,9,862,685,111,133,20,12,962,584,104,143,23,9,852,320,67,104,20,11,523,89,46,50,19,5,209,10,10,28,14,0,65,10,3,16,11,0,40,4596,600,828,139,86,6246,486,0,3,5,5,501,234,0,3,0,3,252,210,6,9,3,0,226,272,6,16,9,3,304,310,18,42,3,0,368,331,25,48,13,6,425,398,25,66,11,10,502,464,26,68,20,5,589,549,54,96,17,3,724,384,44,91,34,10,566,164,29,75,22,3,290,37,21,35,18,6,115,18,11,25,10,0,61,3855,257,583,170,63,4922,406,36,63,17,13,531,145,9,25,22,38,244,9000,900,1499,350,194,11940,Bega Valley (A)
10600,3,141,135,17,34,7,5,199,174,25,29,10,0,228,169,24,49,4,3,250,153,24,69,3,5,253,94,18,51,10,4,167,22,12,26,12,0,74,5,8,9,5,0,25,0,3,8,10,3,25,1169,155,325,66,24,1731,135,0,3,0,0,145,63,0,3,0,0,68,60,0,10,3,3,83,93,0,18,4,3,115,99,3,15,5,0,126,110,10,30,9,0,162,121,14,43,7,0,179,134,11,37,8,4,193,162,10,40,12,3,221,143,8,40,6,5,204,37,4,42,14,0,95,13,5,15,10,0,44,5,0,11,10,0,30,1172,59,310,84,23,1653,99,8,26,14,0,139,43,0,16,7,17,82,2479,222,676,168,70,3609,Bellingen (A)
10650,3,130,82,24,40,9,0,163,102,33,38,12,3,191,107,33,29,6,0,172,112,29,26,11,5,190,89,29,31,15,4,171,25,10,17,12,3,71,3,8,11,13,0,26,0,3,10,8,0,18,969,203,253,96,28,1552,76,0,0,5,3,78,49,0,3,4,0,53,60,0,4,7,0,69,43,4,0,0,0,54,57,4,12,5,0,78,62,7,10,7,0,80,57,3,3,6,0,70,85,5,8,8,0,99,94,15,14,9,0,135,68,9,19,11,5,114,49,6,8,3,0,69,23,3,3,5,0,32,11,5,3,10,0,29,726,59,91,75,10,960,87,7,11,7,3,126,43,7,5,9,13,79,1831,279,360,183,59,2709,Berrigan (A)
10750,45,8582,7584,764,483,50,48,8932,7274,790,458,48,49,8615,6998,702,437,48,66,8253,5764,564,330,45,42,6735,3308,350,229,36,31,3952,999,181,98,17,11,1307,190,68,24,11,0,295,32,20,14,3,3,68,61038,4972,3139,338,451,69939,4155,15,20,34,23,4251,3979,28,80,34,17,4140,2282,64,148,24,17,2536,2405,142,240,61,19,2867,2354,185,292,74,10,2917,2327,180,304,66,27,2895,2186,175,283,58,35,2731,1916,180,281,48,20,2450,1749,110,238,44,13,2154,1361,154,210,34,12,1775,663,93,133,33,15,932,242,40,65,10,9,369,73,17,26,14,0,136,25684,1388,2324,538,232,30163,2468,86,123,45,54,2775,1888,121,136,67,264,2479,91085,6561,5723,984,999,105352,Blacktown (C)
10800,0,167,127,13,37,14,0,194,111,15,47,20,0,194,97,20,59,17,0,187,116,12,52,27,4,211,66,15,35,15,3,131,16,9,29,11,0,68,5,6,10,11,0,28,0,3,13,11,4,34,1032,126,357,149,17,1674,62,0,0,0,0,65,48,0,3,0,0,57,41,0,3,3,0,50,53,0,4,4,0,73,53,3,9,0,0,61,53,0,3,7,0,70,44,3,8,3,0,57,68,0,3,0,0,76,58,3,14,3,0,79,48,10,13,3,0,75,22,0,7,6,0,33,7,0,6,4,0,20,8,0,8,14,0,24,575,24,95,51,4,751,55,3,19,11,3,91,32,0,13,19,14,80,1697,157,481,233,40,2599,Bland (A)
