lga_code16,lab_1000_1249_h_0,lab_1000_1249_h_1_15,lab_1000_1249_h_16_24,lab_1000_1249_h_25_34,lab_1000_1249_h_35_39,lab_1000_1249_h_40,lab_1000_1249_h_41_48,lab_1000_1249_h_49mo,lab_1000_1249_h_ns,lab_1000_1249_h_tot,lab_1250_1499_h_0,lab_1250_1499_h_1_15,lab_1250_1499_h_16_24,lab_1250_1499_h_25_34,lab_1250_1499_h_35_39,lab_1250_1499_h_40,lab_1250_1499_h_41_48,lab_1250_1499_h_49mo,lab_1250_1499_h_ns,lab_1250_1499_h_tot,lab_1500_1749_h_0,lab_1500_1749_h_1_15,lab_1500_1749_h_16_24,lab_1500_1749_h_25_34,lab_1500_1749_h_35_39,lab_1500_1749_h_40,lab_1500_1749_h_41_48,lab_1500_1749_h_49mo,lab_1500_1749_h_ns,lab_1500_1749_h_tot,lab_1750_1999_h_0,lab_1750_1999_h_1_15,lab_1750_1999_h_16_24,lab_1750_1999_h_25_34,lab_1750_1999_h_35_39,lab_1750_1999_h_40,lab_1750_1999_h_41_48,lab_1750_1999_h_49mo,lab_1750_1999_h_ns,lab_1750_1999_h_tot,lab_2000_2999_h_0,lab_2000_2999_h_1_15,lab_2000_2999_h_16_24,lab_2000_2999_h_25_34,lab_2000_2999_h_35_39,lab_2000_2999_h_40,lab_2000_2999_h_41_48,lab_2000_2999_h_49mo,lab_2000_2999_h_ns,lab_2000_2999_h_tot,lab_3000mo_h_0,lab_3000mo_h_1_15,lab_3000mo_h_16_24,lab_3000mo_h_25_34,lab_3000mo_h_35_39,lab_3000mo_h_40,lab_3000mo_h_41_48,lab_3000mo_h_49mo,lab_3000mo_h_ns,lab_3000mo_h_tot,lab_pins_h_0,lab_pins_h_1_15,lab_pins_h_16_24,lab_pins_h_25_34,lab_pins_h_35_39,lab_pins_h_40,lab_pins_h_41_48,lab_pins_h_49mo,lab_pins_h_ns,lab_pins_h_tot,lab_tot_h_0,lab_tot_h_1_15,lab_tot_h_16_24,lab_tot_h_25_34,lab_tot_h_35_39,lab_tot_h_40,lab_tot_h_41_48,lab_tot_h_49mo,lab_tot_h_ns,lab_tot_h_tot,oidns_nni_h_0,oidns_nni_h_1_15,oidns_nni_h_16_24,oidns_nni_h_25_34,oidns_nni_h_35_39,oidns_nni_h_40,oidns_nni_h_41_48,oidns_nni_h_49mo,oidns_nni_h_ns,oidns_nni_h_tot,oidns_1_149_h_0,oidns_1_149_h_1_15,oidns_1_149_h_16_24,oidns_1_149_h_25_34,oidns_1_149_h_35_39,oidns_1_149_h_40,oidns_1_149_h_41_48,oidns_1_149_h_49mo,oidns_1_149_h_ns,oidns_1_149_h_tot,oidns_150_299_h_0,oidns_150_299_h_1_15,oidns_150_299_h_16_24,oidns_150_299_h_25_34,oidns_150_299_h_35_39,oidns_150_299_h_40,oidns_150_299_h_41_48,oidns_150_299_h_49mo,oidns_150_299_h_ns,oidns_150_299_h_tot,oidns_300_399_h_0,oidns_300_399_h_1_15,oidns_300_399_h_16_24,oidns_300_399_h_25_34,oidns_300_399_h_35_39,oidns_300_399_h_40,oidns_300_399_h_41_48,oidns_300_399_h_49mo,oidns_300_399_h_ns,oidns_300_399_h_tot,oidns_400_499_h_0,oidns_400_499_h_1_15,oidns_400_499_h_16_24,oidns_400_499_h_25_34,oidns_400_499_h_35_39,oidns_400_499_h_40,oidns_400_499_h_41_48,oidns_400_499_h_49mo,oidns_400_499_h_ns,oidns_400_499_h_tot,oidns_500_649_h_0,oidns_500_649_h_1_15,oidns_500_649_h_16_24,oidns_500_649_h_25_34,oidns_500_649_h_35_39,oidns_500_649_h_40,oidns_500_649_h_41_48,oidns_500_649_h_49mo,oidns_500_649_h_ns,oidns_500_649_h_tot,oidns_650_799_h_0,oidns_650_799_h_1_15,oidns_650_799_h_16_24,oidns_650_799_h_25_34,oidns_650_799_h_35_39,oidns_650_799_h_40,oidns_650_799_h_41_48,oidns_650_799_h_49mo,oidns_650_799_h_ns,oidns_650_799_h_tot,oidns_800_999_h_0,oidns_800_999_h_1_15,oidns_800_999_h_16_24,oidns_800_999_h_25_34,oidns_800_999_h_35_39,oidns_800_999_h_40,oidns_800_999_h_41_48,oidns_800_999_h_49mo,oidns_800_999_h_ns,oidns_800_999_h_tot,oidns_1000_1249_h_0,oidns_1000_1249_h_1_15,oidns_1000_1249_h_16_24,oidns_1000_1249_h_25_34,oidns_1000_1249_h_35_39,oidns_1000_1249_h_40,oidns_1000_1249_h_41_48,oidns_1000_1249_h_49mo,oidns_1000_1249_h_ns,oidns_1000_1249_h_tot,oidns_1250_1499_h_0,oidns_1250_1499_h_1_15,oidns_1250_1499_h_16_24,oidns_1250_1499_h_25_34,oidns_1250_1499_h_35_39,oidns_1250_1499_h_40,oidns_1250_1499_h_41_48,oidns_1250_1499_h_49mo,oidns_1250_1499_h_ns,oidns_1250_1499_h_tot,oidns_1500_1749_h_0,oidns_1500_1749_h_1_15,oidns_1500_1749_h_16_24,oidns_1500_1749_h_25_34,oidns_1500_1749_h_35_39,oidns_1500_1749_h_40,oidns_1500_1749_h_41_48,oidns_1500_1749_h_49mo,oidns_1500_1749_h_ns,oidns_1500_1749_h_tot,oidns_1750_1999_h_0,oidns_1750_1999_h_1_15,oidns_1750_1999_h_16_24,oidns_1750_1999_h_25_34,oidns_1750_1999_h_35_39,oidns_1750_1999_h_40,oidns_1750_1999_h_41_48,oidns_1750_1999_h_49mo,oidns_1750_1999_h_ns,oidns_1750_1999_h_tot,lga_name16
47630,0,0,0,3,32,24,10,12,0,76,0,0,0,0,0,0,10,10,0,22,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,13,32,98,39,51,290,96,65,49,15,750,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,3,0,0,0,0,10,3,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,3,6,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,Tatiara (DC)
47700,4,5,5,13,36,30,19,21,0,140,0,3,3,0,10,13,12,13,0,57,0,0,3,0,6,9,7,8,0,35,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,14,0,19,0,3,0,0,0,0,0,3,0,6,0,14,0,9,4,0,0,4,3,37,62,781,389,346,289,161,99,117,52,2297,4,0,0,0,0,0,0,0,6,20,0,5,0,0,0,0,0,3,4,13,0,4,0,0,0,0,0,0,6,18,0,3,0,0,0,0,0,0,7,12,3,0,0,3,0,0,0,0,8,9,0,3,3,3,3,0,0,0,3,22,0,0,0,3,9,3,0,0,3,29,3,3,0,3,6,9,0,3,7,34,0,0,0,3,5,5,0,4,6,28,0,0,0,0,11,0,3,0,0,20,0,0,0,0,0,7,0,0,0,9,0,0,0,0,0,3,0,4,0,4,Tea Tree Gully (C)
47800,0,0,0,3,6,10,10,14,0,44,0,0,0,0,0,0,3,7,0,10,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,70,35,47,43,51,34,66,7,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Coorong (DC)
47910,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,36,14,19,18,11,9,5,0,118,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tumby Bay (DC)
47980,0,3,0,4,40,27,7,4,3,94,0,0,0,3,3,4,9,3,3,25,0,0,0,0,3,3,0,5,0,19,0,0,0,0,0,0,3,6,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,3,3,0,3,0,0,0,3,15,36,383,167,196,225,97,46,52,22,1223,3,4,0,0,0,0,0,0,4,5,3,4,0,0,0,0,0,0,3,12,0,3,3,0,0,0,0,0,3,13,0,3,0,0,0,0,0,0,0,6,0,0,3,4,0,3,0,0,7,17,0,0,0,3,9,0,0,0,9,20,0,0,0,0,3,3,0,4,9,24,0,0,3,7,10,5,0,3,3,28,0,3,3,3,13,11,4,0,9,41,0,0,3,0,4,7,0,0,4,19,0,0,0,0,3,8,0,0,0,11,0,0,0,0,3,3,0,0,0,8,Unley (C)
48050,0,0,0,5,7,4,3,3,0,27,0,0,0,0,0,3,3,3,0,7,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,14,200,79,75,52,26,13,31,10,508,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,Victor Harbor (C)
48130,4,0,0,3,36,15,4,9,0,72,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,3,0,4,14,19,89,42,63,257,99,33,34,10,646,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Wakefield (DC)
48340,3,0,3,0,34,27,19,13,0,99,7,0,3,0,16,4,0,13,0,47,5,0,0,0,6,7,7,3,0,33,7,0,0,0,3,6,9,3,0,24,4,8,0,0,5,4,0,0,0,28,4,0,3,0,0,0,0,3,3,12,0,3,0,3,4,3,0,0,4,24,55,172,73,106,204,141,70,72,18,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,Wattle Range (DC)
51960,0,0,0,0,5,0,4,13,0,23,4,0,0,0,0,3,3,9,0,20,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,3,5,0,15,0,0,0,0,0,0,0,14,0,18,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,3,15,27,4,16,14,9,15,64,5,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coolgardie (S)
52030,0,0,0,0,0,0,4,3,0,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,12,4,9,8,19,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coorow (S)
