lga_code,lga_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
10050,Albury (C),395,84,480,111301.9,16749.4,17869.0,145920.3,42365.2,188285.5
10110,Armidale Dumaresq (A),41,11,52,12173.2,2444.9,4241.5,18859.6,27327.7,46187.3
10150,Ashfield (A),13,421,535,3586.8,109048.8,50345.9,162981.5,70980.7,233962.2
10200,Auburn (C),211,2609,2829,36101.3,743713.4,5962.5,785777.2,102451.8,888229.0
10250,Ballina (A),256,60,322,70951.4,13464.0,15030.6,99446.1,17855.1,117301.2
10300,Balranald (A),0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
10350,Bankstown (C),508,1416,1953,103889.4,325935.0,19873.1,449697.4,102322.8,552020.3
10470,Bathurst Regional (A),251,122,375,68710.6,23495.0,7658.4,99864.0,61075.7,160939.7
10550,Bega Valley (A),158,18,179,49536.1,3640.0,9273.7,62449.7,20128.7,82578.5
10600,Bellingen (A),27,0,35,6362.7,0.0,2822.5,9185.3,1907.0,11092.3
10650,Berrigan (A),45,0,45,12562.7,0.0,2896.0,15458.8,2474.0,17932.7
10750,Blacktown (C),2483,849,3374,617628.6,141848.4,41851.7,801328.6,362282.5,1163611.1
10800,Bland (A),9,0,9,1900.4,0.0,462.9,2363.3,1220.0,3583.3
10850,Blayney (A),14,0,14,4704.3,0.0,735.9,5440.2,846.5,6286.8
10900,Blue Mountains (C),222,19,247,80767.0,3967.1,27949.7,112683.8,5879.8,118563.7
10950,Bogan (A),2,0,2,673.0,0.0,282.0,955.0,180.0,1135.0
11000,Bombala (A),2,0,2,770.0,0.0,261.7,1031.7,170.0,1201.7
11050,Boorowa (A),10,0,10,3157.6,0.0,364.0,3521.6,0.0,3521.6
11100,Botany Bay (C),70,2106,2176,17926.2,591457.0,7880.5,617263.7,361572.4,978836.1
11150,Bourke (A),5,4,9,1275.7,1553.6,132.0,2961.3,929.4,3890.7
11200,Brewarrina (A),0,0,0,0.0,0.0,10.0,10.0,300.0,310.0
11250,Broken Hill (C),10,0,10,2406.0,0.0,2045.1,4451.0,9111.1,13562.2
11300,Burwood (A),28,286,314,8835.9,75024.8,7549.1,91409.9,17713.0,109122.9
11350,Byron (A),192,33,242,54246.6,17046.0,16391.4,87684.0,117358.4,205042.4
11400,Cabonne (A),32,0,32,11302.8,0.0,3309.9,14612.7,6147.0,20759.7
11450,Camden (A),1956,57,2014,559914.8,13802.7,9473.3,583190.8,302133.8,885324.6
11500,Campbelltown (C),855,636,1497,210297.6,124673.4,11196.9,346167.9,114277.4,460445.3
11520,Canada Bay (A),109,847,965,45679.2,290465.9,48285.3,384430.4,54073.3,438503.6
11550,Canterbury (C),174,1490,1672,45938.9,395875.0,30709.6,472523.5,80924.9,553448.4
11600,Carrathool (A),8,0,8,2154.0,0.0,184.2,2338.2,960.0,3298.2
11700,Central Darling (A),1,0,1,108.3,0.0,1404.0,1512.3,3206.9,4719.2
11720,Cessnock (C),263,33,301,60180.6,5841.3,10464.1,76486.1,19395.3,95881.3
11730,Clarence Valley (A),135,2,138,30522.9,196.4,9312.3,40031.7,5871.7,45903.3
11750,Cobar (A),2,0,2,220.0,0.0,385.8,605.8,1337.6,1943.4
11800,Coffs Harbour (C),306,89,403,90664.0,21591.5,14568.4,126824.0,45573.0,172396.9
11860,Conargo (A),2,0,2,531.5,0.0,230.0,761.5,0.0,761.5
12000,Coolamon (A),20,0,22,5242.6,0.0,627.9,5870.5,1758.0,7628.5
12050,Cooma-Monaro (A),17,11,28,4355.5,2000.0,2213.9,8569.3,2591.0,11160.3
12150,Coonamble (A),0,0,0,0.0,0.0,0.0,0.0,2089.1,2089.1
