lga_code16,uie_idns_omoe_nil_em,uie_idns_omoe_1_19_em,uie_idns_omoe_20more_em,uie_idns_omoe_ne_ns,uie_idns_tot,uie_tot_omoe_nil_em,uie_tot_omoe_1_19_em,uie_tot_omoe_20more_em,uie_tot_omoe_ne_ns,uie_tot_tot,lga_name16
10050,49,4,0,6,56,1069,490,24,17,1605,Albury (C)
10130,27,0,0,0,32,720,386,22,24,1153,Armidale Regional (A)
10250,60,19,0,0,84,1314,512,20,25,1874,Ballina (A)
10300,3,0,0,0,5,53,44,0,0,104,Balranald (A)
10470,38,11,0,0,49,873,416,8,16,1322,Bathurst Regional (A)
10550,43,14,0,3,57,986,459,15,38,1499,Bega Valley (A)
10600,29,6,0,0,39,520,147,0,16,676,Bellingen (A)
10650,12,0,0,0,13,234,112,0,8,360,Berrigan (A)
10750,243,38,6,8,293,4565,1045,47,63,5723,Blacktown (C)
10800,6,0,0,5,14,279,183,0,15,481,Bland (A)
10850,10,0,0,0,11,261,82,0,12,351,Blayney (A)
10900,87,12,0,0,98,2110,522,10,25,2671,Blue Mountains (C)
10950,4,0,0,0,5,98,70,0,9,173,Bogan (A)
11100,92,3,0,3,100,1148,246,13,17,1427,Botany Bay (C)
11150,8,0,0,0,7,87,37,0,3,125,Bourke (A)
11200,0,0,0,0,0,31,20,0,4,57,Brewarrina (A)
11250,5,6,0,0,14,238,120,13,14,375,Broken Hill (C)
13910,15,12,0,0,28,504,381,18,28,931,Hilltops (A)
14000,155,25,0,4,176,2940,680,12,23,3662,Hornsby (A)
14100,16,5,0,0,16,296,76,4,3,373,Hunters Hill (A)
14170,266,38,0,5,314,5165,1049,33,49,6302,Inner West (A)
14200,15,8,0,3,23,478,240,3,17,737,Inverell (A)
14300,3,3,0,0,4,165,81,0,6,260,Junee (A)
14350,32,7,0,3,42,670,273,4,32,974,Kempsey (A)
14400,13,5,0,0,18,587,212,3,13,814,Kiama (A)
14500,107,13,0,3,121,2514,497,11,27,3053,Ku-ring-gai (A)
14550,13,0,0,0,14,417,95,3,10,524,Kyogle (A)
14600,11,0,0,0,11,205,170,0,5,382,Lachlan (A)
14650,132,16,3,0,155,3327,1004,34,45,4411,Lake Macquarie (C)
14700,49,8,0,3,51,870,192,4,8,1075,Lane Cove (A)
14750,8,0,0,0,10,260,114,4,6,386,Leeton (A)
14850,65,11,0,0,81,1386,527,21,43,1973,Lismore (C)
14870,20,6,0,0,22,350,160,4,10,528,Lithgow (C)
14900,173,21,0,3,196,2842,746,29,33,3649,Liverpool (C)
14920,8,4,0,0,14,284,112,0,10,409,Liverpool Plains (A)
14950,4,0,0,0,4,128,80,0,3,211,Lockhart (A)
15050,51,14,0,0,62,1132,426,19,22,1595,Maitland (C)
15240,81,30,0,7,114,2112,843,17,67,3049,Mid-Coast (A)
15270,27,6,0,0,31,638,307,3,26,970,Mid-Western Regional (A)
15300,12,6,0,0,19,372,270,14,17,672,Moree Plains (A)
15350,45,3,0,0,51,838,182,8,7,1029,Mosman (A)
15520,10,7,0,0,19,338,186,4,9,537,Murray River (A)
15560,4,0,0,0,4,139,71,0,7,222,Murrumbidgee (A)
15650,13,0,0,0,18,273,99,13,10,392,Muswellbrook (A)
15700,13,3,0,0,19,505,213,0,17,737,Nambucca (A)
15750,17,3,0,0,23,366,179,3,12,564,Narrabri (A)
15800,5,0,0,0,5,197,105,0,9,315,Narrandera (A)
15850,8,0,0,0,13,213,118,3,9,341,Narromine (A)
15900,131,28,3,3,167,3255,1043,92,51,4443,Newcastle (C)
15950,132,24,5,0,157,2242,558,60,20,2875,North Sydney (A)
15990,398,44,4,3,456,7317,1613,53,72,9061,Northern Beaches (A)
16100,6,0,0,0,12,182,72,0,8,258,Oberon (A)
16150,24,0,0,0,28,857,377,16,21,1271,Orange (C)
16200,5,5,0,0,16,395,209,0,10,615,Parkes (A)
16260,278,40,0,9,327,4072,1100,54,45,5276,Parramatta (C)
16350,203,35,0,3,237,3111,979,26,48,4164,Penrith (C)
11300,50,8,0,0,60,778,259,13,10,1058,Burwood (A)
11350,118,15,0,3,136,2030,512,16,58,2621,Byron (A)
11400,15,3,0,0,18,448,222,0,28,697,Cabonne (A)
