lga_code16,m_vietnam_om_uie,m_vietnam_cfw,m_vietnam_es_ns,m_vietnam_tot,m_zimbabwe_e,m_zimbabwe_om_ie,m_zimbabwe_om_uie,m_zimbabwe_cfw,m_zimbabwe_es_ns,m_zimbabwe_tot,m_elsewhere_e,m_elsewhere_om_ie,m_elsewhere_om_uie,m_elsewhere_cfw,m_elsewhere_es_ns,m_elsewhere_tot,m_cob_ns_e,m_cob_ns_om_ie,m_cob_ns_om_uie,m_cob_ns_cfw,m_cob_ns_es_ns,m_cob_ns_tot,m_tot_e,m_tot_om_ie,m_tot_om_uie,m_tot_cfw,m_tot_es_ns,m_tot_tot,f_australia_e,f_australia_om_ie,f_australia_om_uie,f_australia_cfw,f_australia_es_ns,f_australia_tot,f_canada_e,f_canada_om_ie,f_canada_om_uie,f_canada_cfw,f_canada_es_ns,f_canada_tot,f_china_e,f_china_om_ie,f_china_om_uie,f_china_cfw,f_china_es_ns,f_china_tot,f_croatia_e,f_croatia_om_ie,f_croatia_om_uie,f_croatia_cfw,f_croatia_es_ns,f_croatia_tot,f_egypt_e,f_egypt_om_ie,f_egypt_om_uie,f_egypt_cfw,f_egypt_es_ns,f_egypt_tot,f_fiji_e,f_fiji_om_ie,f_fiji_om_uie,f_fiji_cfw,f_fiji_es_ns,f_fiji_tot,f_fyrom_e,f_fyrom_om_ie,f_fyrom_om_uie,f_fyrom_cfw,f_fyrom_es_ns,f_fyrom_tot,f_germany_e,f_germany_om_ie,f_germany_om_uie,f_germany_cfw,f_germany_es_ns,f_germany_tot,f_greece_e,f_greece_om_ie,f_greece_om_uie,f_greece_cfw,f_greece_es_ns,f_greece_tot,f_hongkong_e,f_hongkong_om_ie,f_hongkong_om_uie,f_hongkong_cfw,f_hongkong_es_ns,f_hongkong_tot,f_india_e,f_india_om_ie,f_india_om_uie,f_india_cfw,f_india_es_ns,f_india_tot,f_indonesia_e,f_indonesia_om_ie,f_indonesia_om_uie,f_indonesia_cfw,f_indonesia_es_ns,f_indonesia_tot,f_iran_e,f_iran_om_ie,f_iran_om_uie,f_iran_cfw,f_iran_es_ns,f_iran_tot,f_iraq_e,f_iraq_om_ie,f_iraq_om_uie,f_iraq_cfw,f_iraq_es_ns,f_iraq_tot,f_ireland_e,f_ireland_om_ie,f_ireland_om_uie,f_ireland_cfw,f_ireland_es_ns,f_ireland_tot,f_italy_e,f_italy_om_ie,f_italy_om_uie,f_italy_cfw,f_italy_es_ns,f_italy_tot,f_japan_e,f_japan_om_ie,f_japan_om_uie,f_japan_cfw,f_japan_es_ns,f_japan_tot,f_koreasouth_e,f_koreasouth_om_ie,f_koreasouth_om_uie,f_koreasouth_cfw,f_koreasouth_es_ns,f_koreasouth_tot,f_lebanon_e,f_lebanon_om_ie,f_lebanon_om_uie,f_lebanon_cfw,f_lebanon_es_ns,f_lebanon_tot,f_malaysia_e,f_malaysia_om_ie,f_malaysia_om_uie,f_malaysia_cfw,f_malaysia_es_ns,f_malaysia_tot,f_malta_e,f_malta_om_ie,f_malta_om_uie,f_malta_cfw,f_malta_es_ns,f_malta_tot,f_netherlands_e,f_netherlands_om_ie,f_netherlands_om_uie,f_netherlands_cfw,f_netherlands_es_ns,f_netherlands_tot,f_nz_e,f_nz_om_ie,f_nz_om_uie,f_nz_cfw,f_nz_es_ns,f_nz_tot,f_pakistan_e,f_pakistan_om_ie,f_pakistan_om_uie,f_pakistan_cfw,f_pakistan_es_ns,f_pakistan_tot,f_philippines_e,f_philippines_om_ie,f_philippines_om_uie,f_philippines_cfw,f_philippines_es_ns,f_philippines_tot,f_poland_e,f_poland_om_ie,f_poland_om_uie,f_poland_cfw,f_poland_es_ns,f_poland_tot,f_singapore_e,f_singapore_om_ie,f_singapore_om_uie,f_singapore_cfw,f_singapore_es_ns,f_singapore_tot,f_sthafrica_e,f_sthafrica_om_ie,f_sthafrica_om_uie,f_sthafrica_cfw,f_sthafrica_es_ns,f_sthafrica_tot,f_srilanka_e,f_srilanka_om_ie,f_srilanka_om_uie,f_srilanka_cfw,lga_name16
10050,0,0,0,15,3,0,0,0,0,3,221,13,19,3,3,257,105,14,16,4,10,144,9322,959,919,137,105,11437,10630,379,598,136,87,11827,9,0,0,0,0,12,34,5,3,0,0,39,8,0,0,0,0,8,0,0,0,0,0,0,17,3,0,0,0,17,0,0,0,0,0,0,34,5,4,0,0,39,0,0,0,0,0,3,3,0,4,0,0,10,135,5,3,0,0,142,6,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,7,9,0,0,0,0,7,3,0,0,0,0,3,9,0,0,0,0,11,4,0,0,0,0,3,23,0,0,0,0,26,3,0,0,0,0,3,22,0,4,4,0,31,134,7,9,0,0,151,0,0,0,0,0,0,97,3,3,0,0,100,5,0,0,0,0,11,10,0,0,0,0,10,43,3,4,0,0,50,19,0,0,0,Albury (C)
10130,0,0,0,13,6,0,0,0,0,6,180,6,7,3,3,205,57,5,10,10,10,86,4891,481,748,208,65,6397,4976,178,360,165,52,5728,20,0,0,0,0,20,35,0,4,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,33,0,0,0,0,31,0,0,0,0,0,0,3,0,0,0,0,7,27,3,0,0,0,31,11,0,0,0,0,11,12,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,8,6,0,0,0,0,6,17,0,0,0,0,17,4,0,0,0,0,4,3,0,0,0,0,3,9,0,0,0,0,17,0,0,0,0,0,0,14,0,3,3,0,18,95,6,4,0,0,102,3,0,0,0,0,3,46,0,3,0,0,47,0,0,0,0,0,0,8,0,0,0,0,8,25,0,0,0,0,31,12,0,0,0,Armidale Regional (A)
10250,4,0,0,11,4,3,3,0,0,12,75,10,21,4,8,120,80,17,24,3,11,127,5143,735,1123,167,91,7260,5374,302,597,155,72,6499,19,0,0,0,0,21,11,0,8,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,10,0,0,0,0,0,0,26,3,6,3,0,40,3,0,0,0,0,3,8,3,0,0,0,8,15,3,3,0,0,23,13,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,13,0,4,0,0,16,13,3,3,0,0,15,13,0,6,0,0,23,5,0,0,0,0,12,0,0,0,0,0,0,10,0,0,0,0,18,3,0,0,0,0,6,22,0,5,3,0,30,154,3,14,3,0,179,0,0,0,0,0,0,47,0,3,0,3,55,0,0,3,0,0,6,4,0,0,0,0,6,26,3,10,3,0,35,3,0,0,0,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,13,0,0,0,0,19,259,56,71,34,6,430,244,22,27,19,3,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,3,0,0,16,5,0,0,0,0,8,104,4,9,0,0,114,79,11,13,5,8,123,6681,644,799,190,113,8420,7055,285,435,151,76,8007,15,0,0,0,0,15,25,0,3,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,19,0,3,0,0,22,0,0,0,0,0,0,4,0,0,0,0,4,40,3,3,3,0,50,3,0,3,0,0,3,9,0,0,0,0,9,0,0,0,0,0,0,15,0,0,0,0,20,7,0,0,0,0,8,7,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,3,15,0,0,0,0,16,7,0,0,0,0,7,9,0,3,3,0,14,100,6,11,0,0,124,3,0,0,0,0,3,61,0,0,3,0,65,3,0,0,0,0,4,4,0,3,0,0,7,23,0,3,0,0,25,9,0,3,0,Bathurst Regional (A)
10550,0,0,0,6,3,0,3,0,0,3,51,10,17,0,0,80,93,7,24,3,7,140,4044,602,910,158,113,5823,4292,258,484,163,67,5259,17,0,0,0,0,17,8,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,26,0,8,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,4,3,0,0,0,0,7,3,0,3,0,0,5,0,0,0,0,0,0,4,0,3,0,0,11,0,0,0,0,0,0,11,0,3,0,0,18,85,4,7,3,0,90,0,0,0,0,0,0,42,0,4,0,0,46,3,0,0,0,0,4,4,0,0,0,0,4,7,3,3,0,0,10,0,0,0,0,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,23,4,10,0,0,34,25,0,12,0,7,47,1162,146,395,80,40,1823,1128,56,219,68,27,1498,3,0,0,0,0,6,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,8,19,0,4,3,0,28,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,5,0,0,0,0,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,8,0,3,3,0,13,25,0,3,3,0,30,850,187,230,106,30,1414,871,81,118,69,22,1156,3,0,0,0,0,3,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,18,3,3,5,0,22,0,0,0,0,0,0,7,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,Berrigan (A)
10750,59,16,21,872,75,0,0,0,0,86,3825,391,400,59,48,4716,557,64,54,5,40,726,50356,4992,3719,498,610,60169,24895,719,871,207,186,26878,50,0,4,0,0,54,814,101,82,50,9,1059,127,7,7,0,3,145,186,26,14,3,3,229,830,27,25,8,8,903,38,3,0,0,0,43,108,4,5,3,0,123,21,4,10,0,0,34,176,3,11,0,0,196,2102,133,156,45,14,2451,174,13,11,3,0,201,141,13,8,3,0,174,139,8,19,5,3,172,101,3,3,0,0,109,117,7,4,3,0,137,22,0,7,0,0,32,184,26,44,7,0,269,198,19,17,4,0,244,191,19,17,3,0,233,144,9,18,3,0,173,47,0,3,0,3,50,1183,19,49,5,16,1275,170,25,37,7,3,235,2372,59,89,16,23,2562,153,7,5,0,0,161,68,7,0,0,0,76,355,13,19,3,0,388,393,34,49,8,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,16,18,7,3,5,0,37,898,112,318,136,29,1487,734,45,145,89,13,1024,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,12,0,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,Bland (A)
