lga_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,lga_name16
10050,26796.0,26948.0,27054.0,27381.0,28134.0,42.0,43.0,43.0,43.0,43.0,1272114935.0,1331182577.0,1371738639.0,1429404940.0,1512916776.0,39888.0,41383.0,42556.0,43695.0,44586.0,47474.0,49398.0,50704.0,52204.0,53775.0,Albury (C)
10130,14536.0,14679.0,14623.0,14902.0,15124.0,45.0,45.0,46.0,46.0,45.0,617100765.0,652575155.0,669716440.0,695045704.0,742729287.0,34905.0,36245.0,37366.0,38249.0,39635.0,42453.0,44456.0,45799.0,46641.0,49109.0,Armidale Regional (A)
10250,22250.0,22308.0,22240.0,22990.0,23555.0,48.0,48.0,49.0,49.0,49.0,928095569.0,973881845.0,1028657336.0,1103019924.0,1159458563.0,32909.0,34565.0,36520.0,37741.0,38458.0,41712.0,43656.0,46253.0,47978.0,49223.0,Ballina (A)
10300,1120.0,1105.0,1130.0,1156.0,1147.0,46.0,46.0,45.0,45.0,46.0,45412232.0,49187688.0,49504846.0,49188074.0,54157835.0,34589.0,36824.0,36377.0,38656.0,41600.0,40547.0,44514.0,43810.0,42550.0,47217.0,Balranald (A)
10470,20041.0,20398.0,20543.0,20703.0,21192.0,43.0,43.0,43.0,44.0,44.0,972113716.0,1044946854.0,1083349529.0,1118598172.0,1176803783.0,40820.0,43341.0,44275.0,45164.0,46456.0,48506.0,51228.0,52736.0,54031.0,55531.0,Bathurst Regional (A)
10550,17597.0,17845.0,17726.0,17941.0,18445.0,50.0,50.0,51.0,51.0,51.0,684228941.0,728254207.0,747515491.0,779669361.0,821335478.0,32124.0,33355.0,34514.0,35737.0,36357.0,38883.0,40810.0,42171.0,43457.0,44529.0,Bega Valley (A)
10600,6432.0,6434.0,6380.0,6575.0,6637.0,49.0,50.0,50.0,50.0,51.0,227371986.0,242739279.0,251595887.0,269297809.0,282064024.0,28659.0,30259.0,32008.0,32939.0,34251.0,35350.0,37728.0,39435.0,40958.0,42499.0,Bellingen (A)
10650,4488.0,4535.0,4490.0,4556.0,4590.0,49.0,49.0,49.0,49.0,49.0,169868618.0,177955357.0,185451340.0,199057739.0,214503319.0,31370.0,32456.0,34409.0,36964.0,38633.0,37850.0,39240.0,41303.0,43691.0,46733.0,Berrigan (A)
10750,150773.0,153738.0,157330.0,162615.0,170908.0,39.0,39.0,39.0,39.0,39.0,7190258025.0,7674591959.0,8176726046.0,8651546317.0,9284747312.0,43716.0,45630.0,47309.0,48236.0,49080.0,47689.0,49920.0,51972.0,53203.0,54326.0,Blacktown (C)
10800,3082.0,3156.0,3189.0,3147.0,3132.0,46.0,47.0,47.0,48.0,48.0,152594666.0,141049914.0,146359764.0,164557980.0,161811630.0,36957.0,35516.0,35746.0,38576.0,39540.0,49512.0,44693.0,45895.0,52290.0,51664.0,Bland (A)
