state_code,state_name,lga_code17,lga_name17,males_num,females_num,persons_num,sex_ratio,median_male_age,median_female_age,median_persons_age,percentage_person_aged_0_14,percentage_person_aged_15_64,percentage_person_aged_65_plus
1,New South Wales,10050,Albury (C),25703,27246,52949,94.3,36.9,39.6,38.4,19.4,63.1,17.6
1,New South Wales,10130,Armidale Regional (A),14855,15739,30594,94.4,34.6,36.5,35.6,18.1,65.4,16.5
1,New South Wales,10250,Ballina (A),20952,22505,43457,93.1,45.8,48.5,47.2,16.9,58.3,24.8
1,New South Wales,10300,Balranald (A),1200,1141,2341,105.2,39.9,40.6,40.3,20.7,62.5,16.8
1,New South Wales,10470,Bathurst Regional (A),21487,21292,42779,100.9,35.1,38.1,36.5,19.8,64.2,16.1
1,New South Wales,10500,Bayside (A),85037,85052,170089,100.0,34.4,35.8,35.1,16.1,69.8,14.1
1,New South Wales,10550,Bega Valley (A),16731,17371,34102,96.3,50.4,51.1,50.8,15.9,58.3,25.8
1,New South Wales,10600,Bellingen (A),6281,6665,12946,94.2,47.4,48.8,48.2,17.7,59.4,22.9
1,New South Wales,10650,Berrigan (A),4352,4312,8664,100.9,47.8,49.0,48.4,17.0,54.6,28.4
1,New South Wales,10750,Blacktown (C),179045,178434,357479,100.3,33.0,34.0,33.5,22.8,67.0,10.2
1,New South Wales,10800,Bland (A),3009,2976,5985,101.1,42.3,42.7,42.5,20.6,58.3,21.1
1,New South Wales,10850,Blayney (A),3676,3668,7344,100.2,42.0,42.1,42.1,21.0,60.7,18.3
1,New South Wales,10900,Blue Mountains (C),38458,40510,78968,94.9,42.3,44.9,43.7,18.6,62.0,19.4
1,New South Wales,10950,Bogan (A),1338,1326,2664,100.9,41.3,40.3,40.7,21.2,60.3,18.5
1,New South Wales,11150,Bourke (A),1302,1393,2695,93.5,37.5,34.7,36.1,23.7,63.0,13.3
1,New South Wales,11200,Brewarrina (A),886,784,1670,113.0,32.0,34.5,33.2,24.5,66.5,9.0
1,New South Wales,11250,Broken Hill (C),8751,9122,17873,95.9,43.3,45.2,44.3,16.8,61.6,21.6
1,New South Wales,14100,Hunters Hill (A),7472,7275,14747,102.7,38.9,45.2,42.5,19.1,60.2,20.7
1,New South Wales,14170,Inner West (A),95817,98747,194564,97.0,35.9,36.7,36.3,15.1,72.8,12.1
1,New South Wales,14200,Inverell (A),8279,8536,16815,97.0,40.7,42.4,41.6,20.5,59.0,20.5
1,New South Wales,14300,Junee (A),3744,2767,6511,135.3,38.2,40.8,39.1,17.5,66.9,15.6
1,New South Wales,14350,Kempsey (A),14924,14610,29534,102.1,46.3,47.7,46.9,17.6,58.9,23.5
1,New South Wales,14400,Kiama (A),11026,11424,22450,96.5,44.6,47.5,46.1,17.3,59.6,23.1
1,New South Wales,14500,Ku-ring-gai (A),60125,64319,124444,93.5,39.8,42.1,41.0,20.2,62.0,17.8
1,New South Wales,14550,Kyogle (A),4596,4383,8979,104.9,50.8,49.7,50.2,16.6,60.8,22.6
1,New South Wales,14600,Lachlan (A),3089,3136,6225,98.5,39.8,38.5,39.2,22.8,57.3,19.9
1,New South Wales,14650,Lake Macquarie (C),99463,103913,203376,95.7,40.3,43.1,41.7,18.8,61.2,20.0
1,New South Wales,14700,Lane Cove (A),19174,19568,38742,98.0,35.3,37.2,36.3,18.5,68.0,13.5
1,New South Wales,14750,Leeton (A),5683,5734,11417,99.1,38.8,38.5,38.6,21.1,61.4,17.5
1,New South Wales,14850,Lismore (C),21479,22426,43905,95.8,42.1,43.4,42.8,18.2,63.7,18.1
1,New South Wales,14870,Lithgow (C),10992,10573,21565,104.0,43.6,45.6,44.7,17.5,60.6,21.9
1,New South Wales,14900,Liverpool (C),108572,109014,217586,99.6,33.0,34.0,33.5,22.7,67.0,10.4
1,New South Wales,14920,Liverpool Plains (A),3941,3926,7867,100.4,44.0,45.7,44.9,19.0,59.0,22.0
1,New South Wales,14950,Lockhart (A),1601,1636,3237,97.9,46.8,42.5,44.5,21.6,57.2,21.2
1,New South Wales,15050,Maitland (C),39682,41307,80989,96.1,34.6,36.5,35.6,22.2,63.8,14.0
1,New South Wales,15240,Mid-Coast (A),45357,47105,92462,96.3,51.3,52.1,51.7,15.8,54.5,29.7
1,New South Wales,15270,Mid-Western Regional (A),12483,12332,24815,101.2,40.8,42.1,41.5,20.6,60.4,19.0
1,New South Wales,15300,Moree Plains (A),6770,6681,13451,101.3,37.4,37.0,37.2,22.5,62.6,14.8
1,New South Wales,15350,Mosman (A),14287,16277,30564,87.8,40.7,43.1,42.0,17.5,63.4,19.1
1,New South Wales,15520,Murray River (A),5941,6015,11956,98.8,47.8,47.2,47.5,17.8,56.4,25.8
1,New South Wales,15560,Murrumbidgee (A),2070,1882,3952,110.0,38.6,41.6,40.1,20.9,61.9,17.2
1,New South Wales,15650,Muswellbrook (A),8441,7990,16431,105.6,34.9,35.6,35.2,22.9,64.4,12.6
1,New South Wales,15700,Nambucca (A),9659,10029,19688,96.3,50.7,51.1,50.9,16.9,55.9,27.2
1,New South Wales,15750,Narrabri (A),6638,6640,13278,100.0,40.1,38.8,39.4,22.3,60.8,16.9
1,New South Wales,15800,Narrandera (A),2969,2962,5931,100.2,43.3,44.4,43.8,20.5,58.1,21.5
1,New South Wales,15850,Narromine (A),3279,3299,6578,99.4,40.4,41.4,40.9,22.1,57.7,20.1
1,New South Wales,15900,Newcastle (C),80645,81713,162358,98.7,35.3,37.6,36.4,17.1,67.6,15.3
1,New South Wales,15950,North Sydney (A),34843,38189,73032,91.2,36.7,37.4,37.0,12.8,73.0,14.2
1,New South Wales,15990,Northern Beaches (A),132173,136493,268666,96.8,39.0,40.8,39.9,19.5,64.1,16.4
1,New South Wales,16100,Oberon (A),2821,2561,5382,110.2,42.8,45.8,44.3,17.6,60.9,21.6
1,New South Wales,16150,Orange (C),20203,21265,41468,95.0,35.6,37.8,36.7,21.5,62.1,16.4
1,New South Wales,16200,Parkes (A),7355,7551,14906,97.4,39.5,41.0,40.3,20.8,60.0,19.2
1,New South Wales,16260,Parramatta (C),122790,120486,243276,101.9,34.2,34.9,34.6,18.6,69.5,11.9
1,New South Wales,16350,Penrith (C),102048,102995,205043,99.1,33.5,34.8,34.1,21.3,67.2,11.5
