lga_code16,m_ewft_15_19_e,m_ewft_15_19_om_ie,m_ewft_15_19_om_uie,m_ewft_15_19_cfw,m_ewft_15_19_es_ns,m_ewft_15_19_tot,m_ewft_20_24_e,m_ewft_20_24_om_ie,m_ewft_20_24_om_uie,m_ewft_20_24_cfw,m_ewft_20_24_es_ns,m_ewft_20_24_tot,m_ewft_25_29_e,m_ewft_25_29_om_ie,m_ewft_25_29_om_uie,m_ewft_25_29_cfw,m_ewft_25_29_es_ns,m_ewft_25_29_tot,m_ewft_30_34_e,m_ewft_30_34_om_ie,m_ewft_30_34_om_uie,m_ewft_30_34_cfw,m_ewft_30_34_es_ns,m_ewft_30_34_tot,m_ewft_35_39_e,m_ewft_35_39_om_ie,m_ewft_35_39_om_uie,m_ewft_35_39_cfw,m_ewft_35_39_es_ns,m_ewft_35_39_tot,m_ewft_40_44_e,m_ewft_40_44_om_ie,m_ewft_40_44_om_uie,m_ewft_40_44_cfw,m_ewft_40_44_es_ns,m_ewft_40_44_tot,m_ewft_45_49_e,m_ewft_45_49_om_ie,m_ewft_45_49_om_uie,m_ewft_45_49_cfw,m_ewft_45_49_es_ns,m_ewft_45_49_tot,m_ewft_50_54_e,m_ewft_50_54_om_ie,m_ewft_50_54_om_uie,m_ewft_50_54_cfw,m_ewft_50_54_es_ns,m_ewft_50_54_tot,m_ewft_55_59_e,m_ewft_55_59_om_ie,m_ewft_55_59_om_uie,m_ewft_55_59_cfw,m_ewft_55_59_es_ns,m_ewft_55_59_tot,m_ewft_60_64_e,m_ewft_60_64_om_ie,m_ewft_60_64_om_uie,m_ewft_60_64_cfw,m_ewft_60_64_es_ns,m_ewft_60_64_tot,m_ewft_65_69_e,m_ewft_65_69_om_ie,m_ewft_65_69_om_uie,m_ewft_65_69_cfw,m_ewft_65_69_es_ns,m_ewft_65_69_tot,m_ewft_70_74_e,m_ewft_70_74_om_ie,m_ewft_70_74_om_uie,m_ewft_70_74_cfw,m_ewft_70_74_es_ns,m_ewft_70_74_tot,m_ewft_75ov_e,m_ewft_75ov_om_ie,m_ewft_75ov_om_uie,m_ewft_75ov_cfw,m_ewft_75ov_es_ns,m_ewft_75ov_tot,m_ewft_tot_e,m_ewft_tot_om_ie,m_ewft_tot_om_uie,m_ewft_tot_cfw,m_ewft_tot_es_ns,m_ewft_tot_tot,m_ewpt_15_19_e,m_ewpt_15_19_om_ie,m_ewpt_15_19_om_uie,m_ewpt_15_19_cfw,m_ewpt_15_19_es_ns,m_ewpt_15_19_tot,m_ewpt_20_24_e,m_ewpt_20_24_om_ie,m_ewpt_20_24_om_uie,m_ewpt_20_24_cfw,m_ewpt_20_24_es_ns,m_ewpt_20_24_tot,m_ewpt_25_29_e,m_ewpt_25_29_om_ie,m_ewpt_25_29_om_uie,m_ewpt_25_29_cfw,m_ewpt_25_29_es_ns,m_ewpt_25_29_tot,m_ewpt_30_34_e,m_ewpt_30_34_om_ie,m_ewpt_30_34_om_uie,m_ewpt_30_34_cfw,m_ewpt_30_34_es_ns,m_ewpt_30_34_tot,m_ewpt_35_39_e,m_ewpt_35_39_om_ie,m_ewpt_35_39_om_uie,m_ewpt_35_39_cfw,m_ewpt_35_39_es_ns,m_ewpt_35_39_tot,m_ewpt_40_44_e,m_ewpt_40_44_om_ie,m_ewpt_40_44_om_uie,m_ewpt_40_44_cfw,m_ewpt_40_44_es_ns,m_ewpt_40_44_tot,m_ewpt_45_49_e,m_ewpt_45_49_om_ie,m_ewpt_45_49_om_uie,m_ewpt_45_49_cfw,m_ewpt_45_49_es_ns,m_ewpt_45_49_tot,m_ewpt_50_54_e,m_ewpt_50_54_om_ie,m_ewpt_50_54_om_uie,m_ewpt_50_54_cfw,m_ewpt_50_54_es_ns,m_ewpt_50_54_tot,m_ewpt_55_59_e,m_ewpt_55_59_om_ie,m_ewpt_55_59_om_uie,m_ewpt_55_59_cfw,m_ewpt_55_59_es_ns,m_ewpt_55_59_tot,m_ewpt_60_64_e,m_ewpt_60_64_om_ie,m_ewpt_60_64_om_uie,m_ewpt_60_64_cfw,m_ewpt_60_64_es_ns,m_ewpt_60_64_tot,m_ewpt_65_69_e,m_ewpt_65_69_om_ie,m_ewpt_65_69_om_uie,m_ewpt_65_69_cfw,m_ewpt_65_69_es_ns,m_ewpt_65_69_tot,m_ewpt_70_74_e,m_ewpt_70_74_om_ie,m_ewpt_70_74_om_uie,m_ewpt_70_74_cfw,m_ewpt_70_74_es_ns,m_ewpt_70_74_tot,m_ewpt_75ov_e,m_ewpt_75ov_om_ie,m_ewpt_75ov_om_uie,m_ewpt_75ov_cfw,m_ewpt_75ov_es_ns,m_ewpt_75ov_tot,m_ewpt_tot_e,m_ewpt_tot_om_ie,m_ewpt_tot_om_uie,m_ewpt_tot_cfw,m_ewpt_tot_es_ns,m_ewpt_tot_tot,m_eafw_e,m_eafw_om_ie,m_eafw_om_uie,m_eafw_cfw,m_eafw_es_ns,m_eafw_tot,m_h_ns_e,m_h_ns_om_ie,m_h_ns_om_uie,m_h_ns_cfw,m_h_ns_es_ns,m_h_ns_tot,m_tot_e,m_tot_om_ie,m_tot_om_uie,m_tot_cfw,m_tot_es_ns,m_tot_tot,f_ewft_15_19_e,f_ewft_15_19_om_ie,f_ewft_15_19_om_uie,f_ewft_15_19_cfw,f_ewft_15_19_es_ns,f_ewft_15_19_tot,f_ewft_20_24_e,f_ewft_20_24_om_ie,f_ewft_20_24_om_uie,f_ewft_20_24_cfw,f_ewft_20_24_es_ns,f_ewft_20_24_tot,f_ewft_25_29_e,f_ewft_25_29_om_ie,lga_name16
10050,224,0,0,0,0,228,709,12,20,0,0,740,807,38,46,0,4,893,875,59,60,0,6,1006,805,76,72,0,6,966,787,96,77,7,3,969,820,128,78,11,4,1044,753,143,87,6,4,994,661,121,95,6,7,891,397,87,61,6,7,563,116,38,37,7,0,192,20,13,12,3,3,42,3,3,5,3,0,16,6976,810,645,59,58,8539,466,0,8,4,4,478,285,0,4,4,0,300,169,3,11,0,0,186,124,3,18,6,0,142,119,9,15,3,0,145,114,11,10,0,0,131,122,19,23,3,0,165,105,13,25,0,0,140,110,27,29,3,0,173,158,20,40,4,0,230,109,22,30,9,0,165,36,8,14,6,0,72,19,0,10,11,4,37,1924,139,236,54,11,2364,252,9,26,6,8,306,170,3,15,16,23,234,9322,959,919,137,105,11437,129,0,0,0,0,134,533,0,3,0,3,550,639,11,Albury (C)
10130,98,0,4,0,0,105,312,6,7,5,5,333,409,18,26,0,0,454,401,35,27,3,0,463,342,39,46,9,0,443,372,43,65,5,3,493,398,58,56,10,0,516,401,69,87,8,6,580,363,59,70,10,7,515,208,44,58,19,4,334,53,22,55,13,0,144,9,14,27,16,0,64,8,11,16,23,0,54,3365,409,550,130,39,4488,239,0,0,6,0,252,250,3,3,0,4,266,121,0,5,0,0,135,96,0,11,0,0,107,81,3,6,0,3,92,74,3,11,3,0,94,91,3,11,0,0,103,80,3,20,5,0,113,81,8,25,3,0,113,82,9,23,3,0,120,60,4,16,17,0,99,27,7,19,12,0,67,13,4,12,9,3,42,1287,53,169,60,13,1587,144,11,17,8,3,184,93,9,15,14,10,138,4891,481,748,208,65,6397,59,0,0,0,0,59,229,0,0,0,0,233,282,5,Armidale Regional (A)
10250,107,0,0,0,0,109,300,8,8,0,0,316,340,17,32,0,0,390,378,27,50,3,3,461,364,76,75,5,8,524,378,93,74,13,3,558,408,94,95,10,4,603,403,106,109,9,3,627,397,65,112,11,0,593,226,48,98,14,4,389,53,34,49,7,0,144,12,12,19,3,0,50,5,6,11,11,0,34,3375,575,739,76,38,4801,311,0,7,3,0,317,176,0,8,0,3,189,108,0,8,0,3,123,104,3,9,3,0,117,94,9,20,0,0,123,108,8,44,3,0,164,101,3,29,3,3,147,119,17,49,4,0,184,152,19,47,7,0,226,134,22,49,8,0,221,107,30,50,17,7,200,30,5,21,9,0,72,11,11,19,10,7,53,1555,134,349,67,23,2133,130,18,19,11,3,178,90,13,12,10,28,155,5143,735,1123,167,91,7260,52,0,0,0,0,56,213,0,8,0,0,217,192,3,Ballina (A)
10300,6,0,0,0,0,6,25,0,0,0,0,30,17,3,5,0,0,20,21,3,3,0,0,24,19,9,3,0,0,31,19,8,9,0,0,44,21,3,6,4,0,38,21,4,8,7,0,36,25,10,11,5,0,50,12,5,6,5,0,29,5,0,5,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,190,47,63,25,3,331,3,0,0,0,0,3,6,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,8,3,0,0,0,0,7,8,0,0,0,0,7,5,0,0,0,0,7,12,0,0,0,0,12,3,0,0,0,0,5,0,0,0,0,0,5,3,0,0,0,0,3,55,6,6,9,0,75,6,0,0,0,0,8,10,0,0,4,4,16,259,56,71,34,6,430,3,0,0,0,0,3,9,0,0,0,0,13,15,0,Balranald (A)
10470,168,0,0,0,0,170,497,6,12,0,3,521,623,28,44,0,11,699,589,68,47,0,6,707,538,53,61,3,0,662,561,76,66,10,9,719,577,76,77,11,3,744,563,83,69,6,11,732,481,72,63,16,4,641,294,47,66,15,0,421,77,38,48,17,3,184,13,8,19,12,0,50,5,7,15,5,0,37,4995,559,589,100,50,6291,282,0,3,5,4,294,296,0,6,0,3,308,145,3,3,0,3,158,84,4,10,0,4,95,57,3,12,0,0,76,64,4,13,6,3,87,69,6,16,3,3,94,76,9,16,3,0,94,80,6,20,10,0,118,107,9,24,3,0,146,63,9,20,10,0,105,34,4,16,12,0,70,15,7,15,13,0,51,1372,72,169,69,19,1702,192,18,19,8,11,249,117,4,22,10,26,178,6681,644,799,190,113,8420,77,0,0,0,0,83,346,3,12,3,3,358,436,6,Bathurst Regional (A)
10550,109,0,0,0,3,108,210,3,18,0,0,229,234,5,19,0,3,257,279,23,31,0,3,330,260,44,51,4,5,354,289,58,55,4,5,410,356,71,65,4,9,505,392,80,97,7,7,583,337,78,87,15,5,522,186,61,78,16,5,347,57,31,42,11,5,148,4,7,15,6,0,39,3,3,12,9,0,31,2718,453,568,79,51,3877,184,0,0,4,3,193,98,0,3,0,0,104,70,0,5,0,0,77,53,0,3,3,0,62,59,0,12,0,0,78,74,7,20,0,4,105,91,13,24,3,0,128,90,6,30,5,3,138,147,23,57,3,0,237,131,30,50,12,8,226,61,17,52,13,0,144,19,9,21,7,6,57,14,8,20,7,0,49,1092,117,295,62,33,1592,157,20,31,12,6,226,81,7,11,8,21,131,4044,602,910,158,113,5823,63,0,0,0,0,63,153,0,9,0,0,167,164,0,Bega Valley (A)
10600,28,0,0,0,0,25,31,0,3,0,3,37,60,0,5,0,0,68,74,9,14,3,0,106,81,8,12,3,3,107,91,16,22,7,0,132,97,24,9,9,0,141,109,18,38,3,3,162,88,19,40,0,0,148,53,11,30,4,0,99,14,5,24,3,0,49,4,6,11,0,0,19,0,3,9,8,0,14,730,113,217,41,19,1116,62,0,0,0,0,67,21,0,0,0,0,21,22,0,6,0,0,27,33,0,8,0,0,37,40,0,9,0,0,47,34,6,6,0,0,43,21,11,18,0,0,42,27,4,22,4,4,61,54,3,25,3,0,80,50,3,22,3,5,74,16,4,24,7,0,46,5,4,12,4,0,21,3,0,6,6,0,16,374,29,148,30,10,593,36,3,16,8,0,64,23,0,9,0,11,46,1162,146,395,80,40,1823,5,0,0,0,0,3,26,0,0,0,0,28,33,0,Bellingen (A)
10650,35,0,0,0,0,33,69,0,0,3,3,77,67,5,7,0,0,90,71,10,10,7,0,91,51,10,12,3,3,78,56,23,25,4,0,108,59,25,24,10,3,116,60,21,21,0,0,103,64,26,20,7,4,124,65,27,27,11,3,129,21,8,11,13,3,57,3,7,7,12,0,23,3,3,4,3,0,10,614,160,175,70,24,1039,20,0,0,3,0,29,15,0,0,0,0,19,8,0,0,0,0,15,4,0,0,0,0,6,10,0,4,0,0,14,12,0,0,0,0,9,7,0,3,0,0,10,16,3,5,0,0,21,15,6,5,0,0,30,19,3,10,9,0,44,19,4,9,0,0,34,18,0,0,3,0,18,7,3,3,6,0,21,169,20,39,30,4,265,40,5,4,8,5,58,29,4,5,6,5,46,850,187,230,106,30,1414,12,0,0,0,0,13,29,0,3,0,0,36,38,0,Berrigan (A)
10750,875,5,0,0,12,892,3035,52,59,6,25,3183,4669,241,159,11,40,5119,5182,461,255,23,38,5957,5069,533,287,28,32,5944,4931,630,366,25,34,5987,4528,643,336,29,31,5566,4380,574,320,30,45,5352,3609,451,260,29,27,4379,2160,297,182,27,18,2687,722,158,86,11,9,989,142,61,21,11,0,229,16,18,14,3,0,48,39316,4125,2345,224,326,46336,1755,10,12,16,13,1803,2004,21,56,20,13,2109,980,37,75,6,14,1113,722,62,106,14,6,908,545,84,110,22,3,766,495,82,130,25,17,741,504,72,134,20,13,755,463,100,150,15,12,737,438,58,136,17,4,654,461,102,132,23,0,720,301,58,100,19,9,475,134,30,52,9,8,227,48,18,24,8,0,91,8846,729,1218,214,101,11106,1050,54,65,22,23,1216,1145,86,96,41,154,1512,50356,4992,3719,498,610,60169,421,0,4,0,3,425,2002,8,26,0,12,2052,2764,37,Blacktown (C)
10800,29,0,0,0,0,26,72,0,13,0,0,89,78,3,8,3,0,97,88,10,18,6,0,116,84,12,23,6,0,125,76,12,23,11,0,124,61,9,21,8,0,110,65,13,46,7,0,138,75,8,34,20,3,144,47,8,28,12,3,94,15,6,25,7,0,51,0,3,6,9,0,20,0,3,9,5,4,21,698,97,258,97,13,1159,21,0,0,0,0,23,16,0,3,0,0,19,9,0,0,0,0,18,7,0,3,0,0,9,10,0,3,0,0,14,14,0,3,0,0,14,6,3,4,0,0,15,19,0,0,0,0,22,12,0,5,3,0,28,10,5,5,0,0,23,9,0,3,3,0,14,7,0,5,3,0,17,5,0,4,11,0,13,162,5,46,20,3,235,17,3,10,6,0,37,23,3,8,10,6,51,898,112,318,136,29,1487,9,0,0,0,0,9,34,0,3,0,0,42,41,3,Bland (A)
