yr,priv_hlth_taxpayers_report_having_priv_hlth_insur_num,core_activity_need_asst_p_need_asst_core_activ_pr100,lga_code18,lga_name18,ogc_fid
2014,45169.0,,58050,Swan (C),2728
2013,41087.0,,58050,Swan (C),2729
2012,36907.0,,58050,Swan (C),2730
2011,34229.0,3.5,58050,Swan (C),2731
2016,1393.0,6.1,47800,The Coorong (DC),2732
2015,1552.0,,47800,The Coorong (DC),2733
2014,1522.0,,47800,The Coorong (DC),2734
2013,1463.0,,47800,The Coorong (DC),2735
2012,1475.0,,47800,The Coorong (DC),2736
2011,1447.0,5.3,47800,The Coorong (DC),2737
2016,1357.0,8.1,62210,George Town (M),2738
2015,1319.0,,62210,George Town (M),2739
2014,1271.0,,62210,George Town (M),2740
2013,1259.0,,62210,George Town (M),2741
2012,1227.0,,62210,George Town (M),2742
2011,1220.0,7.0,62210,George Town (M),2743
2016,1696.0,6.1,59370,York (S),2744
2015,1382.0,,59370,York (S),2745
2014,1327.0,,59370,York (S),2746
2013,1264.0,,59370,York (S),2747
2012,1131.0,,59370,York (S),2748
2011,1079.0,5.3,59370,York (S),2749
2016,47924.0,3.8,51820,Cockburn (C),2750
2016,238.0,4.0,59100,Wickepin (S),2768
2014,20467.0,,16380,Port Macquarie-Hastings (A),3006
2013,18610.0,,16380,Port Macquarie-Hastings (A),3007
2012,18416.0,,16380,Port Macquarie-Hastings (A),3008
2011,17944.0,6.6,16380,Port Macquarie-Hastings (A),3009
2016,259.0,4.1,57770,Shark Bay (S),3010
2015,274.0,,57770,Shark Bay (S),3011
2014,257.0,,57770,Shark Bay (S),3012
2013,245.0,,57770,Shark Bay (S),3013
2012,210.0,,57770,Shark Bay (S),3014
2011,207.0,4.4,57770,Shark Bay (S),3015
2016,3476.0,6.9,12160,Cootamundra-Gundagai Regional (A),3016
2015,3414.0,,12160,Cootamundra-Gundagai Regional (A),3017
2014,3326.0,,12160,Cootamundra-Gundagai Regional (A),3018
2013,3024.0,,12160,Cootamundra-Gundagai Regional (A),3019
2012,3123.0,,12160,Cootamundra-Gundagai Regional (A),3020
2011,3046.0,6.5,12160,Cootamundra-Gundagai Regional (A),3021
2016,32782.0,6.7,47140,Salisbury (C),3022
2015,32172.0,,47140,Salisbury (C),3023
2014,30431.0,,47140,Salisbury (C),3024
2013,28355.0,,47140,Salisbury (C),3025
2012,27286.0,,47140,Salisbury (C),3026
2011,26800.0,5.8,47140,Salisbury (C),3027
2016,496.0,3.8,46860,Robe (DC),3028
2015,528.0,,46860,Robe (DC),3029
2014,512.0,,46860,Robe (DC),3030
2013,497.0,,46860,Robe (DC),3031
2012,502.0,,46860,Robe (DC),3032
2011,473.0,2.8,46860,Robe (DC),3033
2016,1384.0,3.6,51540,Carnarvon (S),3034
2015,1368.0,,51540,Carnarvon (S),3035
2014,1401.0,,51540,Carnarvon (S),3036
2013,1270.0,,51540,Carnarvon (S),3037
2012,1238.0,,51540,Carnarvon (S),3038
2011,1253.0,3.7,51540,Carnarvon (S),3039
2016,,3.0,33830,Hope Vale (S),3040
2013,23.0,,33830,Hope Vale (S),3041
2015,354.0,,59100,Wickepin (S),2769
2011,,2.7,33830,Hope Vale (S),3042
2016,1946.0,1.7,79399,Unincorporated NT,3043
2015,1820.0,,79399,Unincorporated NT,3044
2014,1878.0,,79399,Unincorporated NT,3045
2013,1969.0,,79399,Unincorporated NT,3046
2012,2029.0,,79399,Unincorporated NT,3047
2011,1919.0,1.3,79399,Unincorporated NT,3048
2016,53706.0,4.9,12930,Georges River (A),3049
2015,52158.0,,12930,Georges River (A),3050
2014,49906.0,,12930,Georges River (A),3051
2013,47072.0,,12930,Georges River (A),3052
2012,46245.0,,12930,Georges River (A),3053
2011,44890.0,4.4,12930,Georges River (A),3054
2016,517.0,2.5,49399,Unincorporated SA,3055
2015,603.0,,49399,Unincorporated SA,3056
2014,605.0,,49399,Unincorporated SA,3057
2013,581.0,,49399,Unincorporated SA,3058
2012,639.0,,49399,Unincorporated SA,3059
2011,624.0,2.2,49399,Unincorporated SA,3060
2016,23157.0,8.3,31820,Bundaberg (R),3061
2015,23384.0,,31820,Bundaberg (R),3062
2014,22821.0,,31820,Bundaberg (R),3063
2013,22120.0,,31820,Bundaberg (R),3064
2012,21467.0,,31820,Bundaberg (R),3065
2011,20754.0,7.2,31820,Bundaberg (R),3066
2016,5476.0,6.8,48540,Whyalla (C),3067
2015,5600.0,,48540,Whyalla (C),3068
2014,5340.0,,48540,Whyalla (C),3069
2013,4660.0,,48540,Whyalla (C),3070
2012,4302.0,,48540,Whyalla (C),3071
2011,4214.0,6.0,48540,Whyalla (C),3072
2016,,2.8,34570,Lockhart River (S),3073
2011,20.0,0.6,34570,Lockhart River (S),3074
2016,3192.0,5.7,46090,Port Augusta (C),3075
2015,3328.0,,46090,Port Augusta (C),3076
2014,356.0,,59100,Wickepin (S),2770
2014,3291.0,,46090,Port Augusta (C),3077
2013,3016.0,,46090,Port Augusta (C),3078
2012,3032.0,,46090,Port Augusta (C),3079
2011,3013.0,5.3,46090,Port Augusta (C),3080
2016,5154.0,3.5,53290,Esperance (S),3081
2015,5111.0,,53290,Esperance (S),3082
2014,4879.0,,53290,Esperance (S),3083
2013,4712.0,,53290,Esperance (S),3084
2012,4772.0,,53290,Esperance (S),3085
2011,4596.0,3.7,53290,Esperance (S),3086
2016,3133.0,5.6,15520,Murray River (A),3087
2015,3109.0,,15520,Murray River (A),3088
2014,2962.0,,15520,Murray River (A),3089
2013,2671.0,,15520,Murray River (A),3090
2012,2763.0,,15520,Murray River (A),3091
2011,2669.0,5.3,15520,Murray River (A),3092
2016,42410.0,5.8,12380,Cumberland (A),3093
2015,40604.0,,12380,Cumberland (A),3094
2014,38649.0,,12380,Cumberland (A),3095
2013,35364.0,,12380,Cumberland (A),3096
2012,34389.0,,12380,Cumberland (A),3097
2011,33062.0,5.3,12380,Cumberland (A),3098
2016,125317.0,3.7,15990,Northern Beaches (A),3099
2015,122995.0,,15990,Northern Beaches (A),3100
2014,117465.0,,15990,Northern Beaches (A),3101
2013,111762.0,,15990,Northern Beaches (A),3102
2012,110600.0,,15990,Northern Beaches (A),3103
2011,106660.0,3.3,15990,Northern Beaches (A),3104
2016,4798.0,4.9,17080,Snowy Valleys (A),3105
2015,4613.0,,17080,Snowy Valleys (A),3106
2014,4339.0,,17080,Snowy Valleys (A),3107
2013,3874.0,,17080,Snowy Valleys (A),3108
2012,3787.0,,17080,Snowy Valleys (A),3109
2011,3607.0,5.0,17080,Snowy Valleys (A),3110
2016,77441.0,4.1,16260,Parramatta (C),3111
2013,343.0,,59100,Wickepin (S),2771
2015,74004.0,,16260,Parramatta (C),3112
2014,69722.0,,16260,Parramatta (C),3113
2013,64734.0,,16260,Parramatta (C),3114
2012,62224.0,,16260,Parramatta (C),3115
2011,60333.0,3.9,16260,Parramatta (C),3116
2016,5742.0,6.2,13910,Hilltops (A),3117
2015,5629.0,,13910,Hilltops (A),3118
2014,5397.0,,13910,Hilltops (A),3119
2013,4858.0,,13910,Hilltops (A),3120
2012,4732.0,,13910,Hilltops (A),3121
2011,4569.0,6.0,13910,Hilltops (A),3122
2016,7258.0,4.4,17040,Snowy Monaro Regional (A),3123
2015,7250.0,,17040,Snowy Monaro Regional (A),3124
2014,6790.0,,17040,Snowy Monaro Regional (A),3125
2013,6139.0,,17040,Snowy Monaro Regional (A),3126
2012,5886.0,,17040,Snowy Monaro Regional (A),3127
2011,5638.0,4.5,17040,Snowy Monaro Regional (A),3128
2016,21890.0,3.9,16490,Queanbeyan-Palerang Regional (A),3129
2015,20959.0,,16490,Queanbeyan-Palerang Regional (A),3130
2014,19744.0,,16490,Queanbeyan-Palerang Regional (A),3131
2013,18610.0,,16490,Queanbeyan-Palerang Regional (A),3132
2012,17855.0,,16490,Queanbeyan-Palerang Regional (A),3133
2011,17115.0,3.3,16490,Queanbeyan-Palerang Regional (A),3134
2016,3916.0,5.4,12870,Federation (A),3135
2015,4001.0,,12870,Federation (A),3136
2014,3797.0,,12870,Federation (A),3137
2013,3499.0,,12870,Federation (A),3138
2012,3464.0,,12870,Federation (A),3139
2011,3358.0,4.9,12870,Federation (A),3140
2016,99032.0,6.4,11650,Central Coast (C) (NSW),3141
2015,96051.0,,11650,Central Coast (C) (NSW),3142
2014,91009.0,,11650,Central Coast (C) (NSW),3143
2013,85159.0,,11650,Central Coast (C) (NSW),3144
2012,84365.0,,11650,Central Coast (C) (NSW),3145
2011,81912.0,5.7,11650,Central Coast (C) (NSW),3146
2012,352.0,,59100,Wickepin (S),2772
2016,9406.0,5.2,10130,Armidale Regional (A),3147
2015,9171.0,,10130,Armidale Regional (A),3148
2014,8819.0,,10130,Armidale Regional (A),3149
2013,7893.0,,10130,Armidale Regional (A),3150
2012,7560.0,,10130,Armidale Regional (A),3151
2011,7277.0,4.6,10130,Armidale Regional (A),3152
2016,14223.0,4.7,53800,Greater Geraldton (C),3153
2015,14098.0,,53800,Greater Geraldton (C),3154
2014,13497.0,,53800,Greater Geraldton (C),3155
2013,12942.0,,53800,Greater Geraldton (C),3156
2012,12127.0,,53800,Greater Geraldton (C),3157
2011,11509.0,3.9,53800,Greater Geraldton (C),3158
2016,141.0,2.6,74550,Victoria Daly (R),3159
2015,159.0,,74550,Victoria Daly (R),3160
2014,156.0,,74550,Victoria Daly (R),3161
2013,140.0,,74550,Victoria Daly (R),3162
2012,127.0,,74550,Victoria Daly (R),3163
2011,125.0,3.5,74550,Victoria Daly (R),3164
2016,1075.0,4.8,56790,Northampton (S),3165
2015,1078.0,,56790,Northampton (S),3166
2014,1042.0,,56790,Northampton (S),3167
2013,990.0,,56790,Northampton (S),3168
2012,1051.0,,56790,Northampton (S),3169
2011,985.0,4.7,56790,Northampton (S),3170
2016,76188.0,3.2,17420,The Hills Shire (A),3171
2015,74858.0,,17420,The Hills Shire (A),3172
2014,70987.0,,17420,The Hills Shire (A),3173
2013,67153.0,,17420,The Hills Shire (A),3174
2012,66527.0,,17420,The Hills Shire (A),3175
2011,64381.0,2.6,17420,The Hills Shire (A),3176
2016,58.0,1.4,74680,West Daly (R),3177
2015,58.0,,74680,West Daly (R),3178
2014,58.0,,74680,West Daly (R),3179
2013,39.0,,74680,West Daly (R),3180
2012,30.0,,74680,West Daly (R),3181
2011,355.0,4.0,59100,Wickepin (S),2773
2016,159.0,5.2,53080,Dundas (S),2774
2015,143.0,,53080,Dundas (S),2775
2014,162.0,,53080,Dundas (S),2776
2013,146.0,,53080,Dundas (S),2777
2012,171.0,,53080,Dundas (S),2778
2011,164.0,3.7,53080,Dundas (S),2779
2016,3523.0,7.1,12350,Cowra (A),2780
2015,3351.0,,12350,Cowra (A),2781
2014,3088.0,,12350,Cowra (A),2782
2013,2899.0,,12350,Cowra (A),2783
2012,2857.0,,12350,Cowra (A),2784
2011,2795.0,6.6,12350,Cowra (A),2785
2016,66010.0,3.6,14500,Ku-ring-gai (A),2786
2015,64425.0,,14500,Ku-ring-gai (A),2787
2014,62136.0,,14500,Ku-ring-gai (A),2788
2013,60045.0,,14500,Ku-ring-gai (A),2789
2012,59443.0,,14500,Ku-ring-gai (A),2790
2011,57518.0,3.1,14500,Ku-ring-gai (A),2791
2016,16673.0,4.6,18400,Wollondilly (A),2792
2015,16103.0,,18400,Wollondilly (A),2793
2014,15077.0,,18400,Wollondilly (A),2794
2013,13683.0,,18400,Wollondilly (A),2795
2012,13566.0,,18400,Wollondilly (A),2796
2011,12883.0,3.8,18400,Wollondilly (A),2797
2016,315.0,4.6,36150,Quilpie (S),2798
2015,333.0,,36150,Quilpie (S),2799
2014,320.0,,36150,Quilpie (S),2800
2013,326.0,,36150,Quilpie (S),2801
2012,324.0,,36150,Quilpie (S),2802
2011,305.0,4.0,36150,Quilpie (S),2803
2016,449.0,1.6,54130,Jerramungup (S),2804
2015,473.0,,54130,Jerramungup (S),2805
2014,469.0,,54130,Jerramungup (S),2806
2013,443.0,,54130,Jerramungup (S),2807
2012,432.0,,54130,Jerramungup (S),2808
2011,451.0,1.8,54130,Jerramungup (S),2809
2011,24.0,2.5,74680,West Daly (R),3182
2016,657.0,2.4,54900,Lake Grace (S),2810
2016,10545.0,5.8,27170,Wodonga (C),3183
2015,712.0,,54900,Lake Grace (S),2811
2015,10387.0,,27170,Wodonga (C),3184
2014,707.0,,54900,Lake Grace (S),2812
2014,9672.0,,27170,Wodonga (C),3185
2013,688.0,,54900,Lake Grace (S),2813
2013,8834.0,,27170,Wodonga (C),3186
2012,731.0,,54900,Lake Grace (S),2814
2012,8592.0,,27170,Wodonga (C),3187
2011,714.0,1.6,54900,Lake Grace (S),2815
2016,7882.0,5.5,26730,Warrnambool (C),2816
2016,2892.0,4.0,45090,Naracoorte and Lucindale (DC),2822
2011,8161.0,5.0,27170,Wodonga (C),3188
2016,73843.0,4.5,14170,Inner West (A),3189
2015,70782.0,,14170,Inner West (A),3190
2014,67629.0,,14170,Inner West (A),3191
2013,63303.0,,14170,Inner West (A),3192
2012,60845.0,,14170,Inner West (A),3193
2011,58361.0,4.3,14170,Inner West (A),3194
2015,2941.0,,45090,Naracoorte and Lucindale (DC),2823
2014,2859.0,,45090,Naracoorte and Lucindale (DC),2824
2013,2666.0,,45090,Naracoorte and Lucindale (DC),2825
2012,2677.0,,45090,Naracoorte and Lucindale (DC),2826
2011,2559.0,4.0,45090,Naracoorte and Lucindale (DC),2827
2016,6464.0,9.1,36630,South Burnett (R),2828
2015,6640.0,,36630,South Burnett (R),2829
2014,6538.0,,36630,South Burnett (R),2830
2013,6404.0,,36630,South Burnett (R),2831
2012,6286.0,,36630,South Burnett (R),2832
2011,6134.0,7.9,36630,South Burnett (R),2833
2016,4362.0,7.2,60610,Burnie (C),2834
2015,4343.0,,60610,Burnie (C),2835
2014,4044.0,,60610,Burnie (C),2836
2013,3713.0,,60610,Burnie (C),2837
2012,3750.0,,60610,Burnie (C),2838
2011,3701.0,6.1,60610,Burnie (C),2839
2016,42126.0,6.6,41060,Charles Sturt (C),2840
2015,40670.0,,41060,Charles Sturt (C),2841
2014,38553.0,,41060,Charles Sturt (C),2842
2013,35995.0,,41060,Charles Sturt (C),2843
2012,35160.0,,41060,Charles Sturt (C),2844
2011,33953.0,6.3,41060,Charles Sturt (C),2845
2016,7023.0,4.3,18710,Yass Valley (A),2846
2015,6796.0,,18710,Yass Valley (A),2847
2014,6507.0,,18710,Yass Valley (A),2848
2013,5989.0,,18710,Yass Valley (A),2849
2012,5694.0,,18710,Yass Valley (A),2850
2011,5365.0,4.1,18710,Yass Valley (A),2851
2016,5592.0,6.2,64210,Meander Valley (M),2852
2015,5670.0,,64210,Meander Valley (M),2853
2014,5374.0,,64210,Meander Valley (M),2854
2013,5036.0,,64210,Meander Valley (M),2855
2012,4991.0,,64210,Meander Valley (M),2856
2011,4953.0,5.9,64210,Meander Valley (M),2857
2016,1818.0,5.5,56460,Narrogin (S),3195
2015,1659.0,,56460,Narrogin (S),3196
2014,1580.0,,56460,Narrogin (S),3197
2013,1543.0,,56460,Narrogin (S),3198
2012,1511.0,,56460,Narrogin (S),3199
2011,1462.0,5.1,56460,Narrogin (S),3200
2016,2890.0,6.2,12730,Edward River (A),3201
2015,3409.0,,12730,Edward River (A),3202
2014,3223.0,,12730,Edward River (A),3203
2013,2973.0,,12730,Edward River (A),3204
2012,3074.0,,12730,Edward River (A),3205
2011,2980.0,5.6,12730,Edward River (A),3206
2016,69050.0,4.3,14000,Hornsby (A),3207
2015,67369.0,,14000,Hornsby (A),3208
2014,65252.0,,14000,Hornsby (A),3209
2013,62353.0,,14000,Hornsby (A),3210
2012,62126.0,,14000,Hornsby (A),3211
2011,60721.0,3.9,14000,Hornsby (A),3212
