LGA_MAIN11,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,LGA_NAME11
14650,0,16830,16830,23847,1419,25266,10798,171,10969,11011,50,11061,4584,6,4590,1836,6,1842,52076,18482,70558,Lake Macquarie (C)
14700,0,3024,3024,3491,453,3944,1776,109,1885,1955,26,1981,812,10,822,223,4,227,8257,3626,11883,Lane Cove (A)
14750,0,1004,1004,1185,76,1261,578,10,588,514,0,514,278,0,278,144,0,144,2699,1090,3789,Leeton (A)
14800,0,6290,6290,6696,1124,7820,3215,385,3600,2594,99,2693,697,22,719,189,5,194,13391,7925,21316,Leichhardt (A)
14850,0,4487,4487,5263,612,5875,2256,134,2390,2129,47,2176,945,14,959,455,3,458,11048,5297,16345,Lismore (C)
14870,0,2392,2392,2609,165,2774,996,6,1002,996,0,996,442,0,442,178,3,181,5221,2566,7787,Lithgow (C)
14900,0,8596,8596,11915,828,12743,9794,101,9895,11860,34,11894,6219,13,6232,4231,4,4235,44019,9576,53595,Liverpool (C)
14920,0,832,832,1078,73,1151,386,4,390,331,3,334,176,0,176,66,0,66,2037,912,2949,Liverpool Plains (A)
14950,0,302,302,402,21,423,153,0,153,117,0,117,84,0,84,48,0,48,804,323,1127,Lockhart (A)
15050,0,5185,5185,7604,494,8098,4009,54,4063,4128,17,4145,1778,5,1783,823,0,823,18342,5755,24097,Maitland (C)
15150,0,3831,3831,4799,637,5436,2089,224,2313,2382,43,2425,924,13,937,187,3,190,10381,4751,15132,Manly (A)
15200,0,8773,8773,8679,2029,10708,4318,693,5011,3450,284,3734,1109,72,1181,554,16,570,18110,11867,29977,Marrickville (A)
15270,0,2273,2273,2916,197,3113,1146,13,1159,1018,4,1022,551,0,551,245,0,245,5876,2487,8363,Mid-Western Regional (A)
15300,0,1312,1312,1422,101,1523,655,9,664,620,7,627,318,0,318,220,0,220,3235,1429,4664,Moree Plains (A)
15350,0,3406,3406,3297,289,3586,1371,40,1411,1485,14,1499,679,0,679,162,0,162,6994,3749,10743,Mosman (A)
15500,0,744,744,1099,51,1150,297,10,307,294,0,294,160,0,160,54,0,54,1904,805,2709,Murray (A)
15550,0,223,223,286,17,303,110,3,113,110,0,110,60,0,60,27,0,27,593,243,836,Murrumbidgee (A)
15650,0,1416,1416,1711,157,1868,793,18,811,813,8,821,445,0,445,171,0,171,3933,1599,5532,Muswellbrook (A)
15700,0,2384,2384,2800,217,3017,864,15,879,739,0,739,376,0,376,221,0,221,5000,2616,7616,Nambucca (A)
15750,0,1277,1277,1611,99,1710,635,11,646,644,4,648,344,0,344,158,0,158,3392,1391,4783,Narrabri (A)
15800,0,713,713,721,39,760,282,0,282,265,3,268,140,3,143,79,0,79,1487,758,2245,Narrandera (A)
15850,0,691,691,817,44,861,316,6,322,292,0,292,166,0,166,117,0,117,1708,741,2449,Narromine (A)
15900,0,17266,17266,17646,2568,20214,8249,829,9078,7401,289,7690,2936,120,3056,1077,69,1146,37309,21141,58450,Newcastle (C)
15950,0,10691,10691,9740,1614,11354,3149,472,3621,2021,80,2101,519,8,527,127,6,133,15556,12871,28427,North Sydney (A)
16100,0,510,510,664,29,693,254,0,254,243,0,243,138,0,138,50,0,50,1349,539,1888,Oberon (A)
16150,0,3879,3879,4226,346,4572,1944,73,2017,1925,29,1954,987,3,990,449,3,452,9531,4333,13864,Orange (C)
16180,0,923,923,1693,72,1765,725,9,734,877,3,880,391,3,394,154,0,154,3840,1010,4850,Palerang (A)
16200,0,1561,1561,1795,81,1876,726,22,748,595,3,598,389,0,389,229,0,229,3734,1667,5401,Parkes (A)
16250,0,13158,13158,14764,1570,16334,10029,488,10517,9472,214,9686,4133,68,4201,2771,35,2806,41169,15533,56702,Parramatta (C)
16350,0,11418,11418,16300,1264,17564,10637,175,10812,11170,35,11205,5376,5,5381,3011,0,3011,46494,12897,59391,Penrith (C)
