lga_name_2016,lga_code_2016,p_oth_scs_15_19,p_oth_scs_20_24,p_oth_scs_25_34,p_oth_scs_35_44,p_oth_scs_45_54,p_oth_scs_55_64,p_oth_scs_65_74,p_oth_scs_75_84,p_oth_scs_85ov,p_oth_scs_tot,p_id_ns_15_19,p_id_ns_20_24,p_id_ns_25_34,p_id_ns_35_44,p_id_ns_45_54,p_id_ns_55_64,p_id_ns_65_74,p_id_ns_75_84,p_id_ns_85ov,p_id_ns_tot,p_tot_15_19,p_tot_20_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Albury (C),10050,41,111,234,186,175,140,39,11,0,935,51,101,147,134,180,133,67,13,0,838,1527,2314,4826,4616,4817,3830,877,86,10,22907
Armidale Regional (A),10130,28,62,78,68,84,61,11,9,0,401,25,37,75,63,60,42,34,8,3,340,838,1306,2288,2180,2698,2207,665,119,27,12327
Ballina (A),10250,30,65,94,126,139,120,31,0,0,614,39,30,88,156,134,121,57,14,11,654,1064,1081,2574,3571,4304,3717,990,122,36,17463
Balranald (A),10300,0,0,3,0,4,3,3,0,0,21,8,11,3,10,11,9,8,0,0,57,41,81,154,191,220,232,52,8,3,982
Bathurst Regional (A),10470,39,88,150,161,124,87,32,4,0,677,53,58,127,128,122,105,41,15,3,649,1103,1874,3697,3638,3887,3048,777,129,19,18165
Bega Valley (A),10550,35,38,73,75,101,103,24,3,0,461,37,38,39,83,108,117,39,7,4,476,801,815,1746,2299,3344,3219,806,111,11,13153
Bellingen (A),10600,7,20,22,39,38,35,4,0,0,161,16,8,18,22,33,46,16,12,4,181,241,230,624,914,1278,1229,315,67,11,4890
Berrigan (A),10650,8,23,17,39,26,23,6,4,0,148,12,13,15,27,31,35,15,4,0,150,168,226,515,611,671,758,273,48,11,3282
Blacktown (C),10750,268,561,1338,1228,1102,705,167,13,0,5381,390,980,2222,2142,1786,1031,234,30,8,8820,7534,14896,37579,38413,30423,18947,3449,197,33,151468
Bland (A),10800,15,14,25,17,13,19,0,0,0,105,10,15,13,16,16,19,11,3,8,105,124,195,423,502,526,523,182,61,16,2541
Blayney (A),10850,15,13,25,32,31,19,0,0,0,140,9,9,15,26,22,23,14,4,0,132,180,230,517,650,772,609,209,45,15,3222
Blue Mountains (C),10900,63,113,184,249,287,226,70,7,0,1194,64,110,202,230,288,222,82,20,3,1229,1944,2660,5392,7684,8762,7329,1899,169,20,35860
Bogan (A),10950,3,3,4,7,7,0,3,4,0,33,5,3,7,6,9,10,7,0,0,42,57,104,218,205,294,175,82,39,5,1173
Botany Bay (C),11100,21,84,225,197,180,117,35,0,0,857,23,103,336,233,210,128,31,5,0,1074,774,2265,6596,5588,4434,2610,634,51,8,22963
Bourke (A),11150,5,4,5,7,6,4,4,0,0,33,3,3,8,4,16,5,5,0,0,48,25,80,233,182,233,169,72,14,3,1000
Brewarrina (A),11200,0,3,3,3,3,0,0,0,0,11,0,0,3,6,6,4,3,0,0,22,15,36,101,87,126,102,28,0,0,498
Broken Hill (C),11250,15,32,72,47,54,61,16,7,0,294,7,32,44,29,48,57,8,6,8,251,379,601,1410,1259,1543,1386,280,33,11,6902
Hilltops (A),13910,17,38,48,49,62,47,16,3,0,291,22,33,49,57,70,72,28,13,0,342,448,597,1183,1483,1770,1446,516,111,12,7563
Hornsby (A),14000,115,234,430,488,550,413,111,7,3,2348,119,223,526,634,701,420,132,26,7,2789,3561,6253,11736,16817,17356,11582,3093,355,38,70798
Hunters Hill (A),14100,13,21,28,37,52,32,10,3,0,194,15,15,39,55,63,50,21,9,3,275,262,491,901,1360,1570,1070,480,80,17,6240
Inner West (A),14170,72,300,924,707,599,396,94,6,0,3107,98,347,1161,966,770,422,119,32,4,3917,2180,8636,29355,25436,19439,11409,2825,264,31,99575
Inverell (A),14200,16,21,47,47,48,42,18,0,0,238,16,22,40,36,59,42,35,15,4,268,403,551,1110,1212,1445,1182,365,100,21,6393
Junee (A),14300,6,5,18,18,19,11,0,0,0,78,3,5,17,13,17,11,6,0,3,82,120,189,450,425,515,455,136,16,13,2318
Kempsey (A),14350,18,34,43,79,73,66,14,0,0,332,34,24,75,69,83,78,30,11,0,402,596,681,1419,1778,2277,2062,561,76,13,9463
Kiama (A),14400,22,23,37,65,86,48,15,0,0,293,13,24,35,48,90,67,21,3,0,305,556,801,1487,1905,2272,1992,411,57,4,9488
Ku-ring-gai (A),14500,89,153,217,279,387,264,96,22,3,1503,78,160,330,485,634,379,151,41,4,2272,2764,4737,7746,12038,14723,9082,3196,574,71,54920
Kyogle (A),14550,3,14,11,18,25,21,0,0,0,94,15,11,21,28,32,26,12,12,3,161,156,183,375,524,818,863,238,63,11,3239
Lachlan (A),14600,0,8,13,11,13,20,4,0,3,70,11,14,30,23,27,21,11,5,0,139,85,206,491,448,480,497,182,60,5,2472
Lake Macquarie (C),14650,229,413,756,784,818,527,115,14,0,3668,167,327,582,620,711,460,153,43,6,3064,5420,7675,16751,18401,19781,14196,2738,274,33,85264
Lane Cove (A),14700,20,44,130,128,111,74,36,3,0,546,22,57,196,195,158,84,46,6,0,777,517,1484,5193,4779,3783,2530,870,113,13,19292
Leeton (A),14750,5,23,37,25,25,24,8,3,0,152,22,18,43,39,40,34,13,3,0,209,293,396,842,902,1117,895,210,48,3,4705
Lismore (C),14850,22,68,141,125,176,129,48,4,0,714,31,52,117,120,149,131,41,18,3,653,1114,1443,2892,3590,4316,3723,939,134,14,18168
Lithgow (C),14870,21,40,65,59,57,46,18,0,0,303,21,32,54,55,64,58,20,11,3,322,450,651,1388,1491,1866,1536,348,51,10,7798
Liverpool (C),14900,135,313,775,805,704,370,84,8,0,3197,266,622,1236,1257,1183,691,145,29,5,5438,4172,9029,19671,20019,18278,10597,1979,155,16,83905
Liverpool Plains (A),14920,9,8,17,15,27,24,9,0,0,101,10,9,22,35,21,31,12,3,0,149,117,195,504,559,699,660,234,40,10,3013
Lockhart (A),14950,3,3,7,10,11,3,0,0,0,37,0,0,3,5,15,8,0,0,0,43,49,81,172,231,325,286,119,24,4,1294
Maitland (C),15050,86,198,428,332,314,192,47,7,0,1599,87,136,288,277,271,184,47,11,13,1310,2181,3378,7920,7734,7511,4925,928,94,23,34692
Mid-Coast (A),15240,53,111,184,249,274,234,70,8,0,1177,76,97,136,187,277,247,98,43,13,1174,1795,2069,4266,5452,7468,6826,1863,258,41,30032
Mid-Western Regional (A),15270,21,70,88,100,96,67,19,0,0,457,19,23,36,52,70,41,23,11,0,274,512,701,1818,1964,2331,1680,553,118,19,9689
Moree Plains (A),15300,20,30,56,55,51,29,11,0,0,250,22,28,28,47,48,53,36,5,0,267,251,453,1054,1112,1236,990,347,78,3,5521
Mosman (A),15350,25,29,72,91,75,49,20,3,0,368,16,46,119,136,148,97,44,17,3,618,421,918,2781,3189,3224,2238,1021,185,21,13999
Murray River (A),15520,7,7,36,21,34,33,13,3,0,141,9,15,25,30,42,43,22,10,0,190,272,315,838,899,1170,1077,338,68,18,4994
Murrumbidgee (A),15560,6,6,16,5,15,4,4,0,0,52,5,8,15,14,14,15,3,0,0,67,77,118,312,323,397,357,106,27,3,1716
Muswellbrook (A),15650,9,47,66,58,45,25,7,0,0,259,12,22,41,55,59,27,12,3,0,243,381,602,1488,1449,1561,989,219,31,9,6732
Nambucca (A),15700,16,29,45,37,43,45,18,0,0,234,18,19,44,32,45,40,26,10,0,216,356,449,881,1130,1492,1495,348,68,9,6229
Narrabri (A),15750,28,25,54,48,53,32,11,0,0,262,26,24,57,39,61,46,16,14,0,273,333,408,1054,1110,1261,1070,347,65,8,5657
Narrandera (A),15800,3,7,10,14,8,19,3,3,0,71,6,12,10,16,18,28,8,5,0,101,96,190,365,447,527,497,150,35,7,2325
Narromine (A),15850,11,19,23,25,18,16,3,0,0,115,7,8,21,11,19,24,15,3,0,112,106,194,458,488,566,534,196,39,13,2592
Newcastle (C),15900,138,372,696,546,466,350,91,26,4,2685,116,286,554,486,460,297,89,36,3,2328,3786,8749,18194,15468,14599,10090,1890,242,27,73034
North Sydney (A),15950,24,72,305,211,172,127,49,5,0,967,25,86,499,368,259,187,115,24,6,1575,543,2523,13792,10057,6446,4678,2068,303,39,40445
Northern Beaches (A),15990,248,504,1023,1049,1059,676,223,30,3,4815,242,456,1164,1535,1568,837,319,76,26,6223,6049,9818,24664,31693,31017,19477,6067,805,97,129685
Oberon (A),16100,3,6,13,17,7,8,3,0,0,63,5,11,17,27,37,22,19,4,0,140,141,157,326,406,543,430,214,27,7,2241
Orange (C),16150,52,80,201,146,138,88,26,3,0,723,46,45,87,111,128,85,37,12,0,557,1068,1573,3973,3874,3708,2775,728,102,9,17805
Parkes (A),16200,15,50,43,44,41,33,10,0,0,249,10,37,40,36,42,31,12,3,3,219,379,513,1065,1103,1327,1068,311,63,17,5840
Parramatta (C),16260,85,302,873,767,784,496,118,9,3,3434,142,485,1705,1300,995,660,203,31,10,5533,3246,8837,32450,26306,19521,12793,3056,326,53,106593
Edward River (A),12730,5,9,26,31,24,30,13,0,0,135,12,17,15,30,28,22,17,0,0,145,217,317,633,737,821,784,238,50,3,3812
Eurobodalla (A),12750,31,42,81,114,113,108,27,0,0,525,33,41,69,84,118,118,34,15,3,508,816,811,1770,2367,3195,3154,760,93,14,12976
Fairfield (C),12850,79,401,868,900,736,413,74,9,0,3483,245,717,1346,1240,1474,947,155,28,5,6159,3104,9025,17004,14556,15468,10750,1854,131,11,71899
Federation (A),12870,15,20,34,47,28,22,10,0,0,184,18,13,30,43,40,48,16,3,0,214,308,378,741,931,1157,1065,324,50,10,4970
Forbes (A),12900,9,14,35,32,27,20,12,3,0,145,16,28,27,26,40,21,13,12,5,187,232,334,731,735,869,729,230,69,15,3944
Georges River (A),12930,71,242,502,496,550,398,96,14,0,2380,125,384,973,679,739,507,130,37,6,3580,2712,6885,18017,14972,14732,9664,2287,246,31,69537
Gilgandra (A),12950,0,3,6,9,14,15,3,0,0,64,3,11,12,11,12,10,6,4,0,65,77,137,282,302,402,383,143,44,10,1783
Glen Innes Severn (A),13010,7,16,33,21,30,25,6,4,0,144,9,11,29,21,31,22,17,11,0,157,191,233,464,579,710,690,273,72,8,3224
Goulburn Mulwaree (A),13310,30,69,124,113,87,79,32,3,0,532,27,50,97,85,103,89,25,9,0,493,795,1110,2453,2517,2908,2256,579,86,14,12722
Greater Hume Shire (A),13340,17,15,25,30,47,40,3,0,0,179,16,16,22,22,39,41,17,7,3,179,284,283,640,829,1144,998,348,73,19,4614
Griffith (C),13450,40,76,114,92,78,63,17,3,3,482,45,58,104,84,105,81,36,9,0,521,798,1044,2544,2269,2512,1889,557,86,14,11713
Gundagai (A),13510,10,22,19,19,30,24,16,0,0,141,11,15,31,36,33,35,17,8,3,186,266,334,672,849,1020,891,262,74,6,4382
Gunnedah (A),13550,24,40,44,46,43,50,5,0,0,253,6,19,26,34,44,37,20,3,0,202,322,439,1125,1029,1125,1000,264,60,8,5381
Gwydir (A),13660,5,10,8,11,8,6,3,0,0,57,6,8,5,17,13,11,13,4,0,73,82,141,299,376,514,415,196,51,6,2083
Hawkesbury (C),13800,100,208,316,333,314,209,51,7,0,1526,125,174,325,353,417,239,95,28,0,1750,2133,3387,6233,6499,7570,5054,1276,157,7,32329
Hay (A),13850,6,4,5,6,14,6,0,0,0,37,11,11,9,18,12,18,0,0,0,75,76,108,188,202,333,275,87,22,0,1296
Penrith (C),16350,214,474,972,771,693,499,117,13,0,3750,302,602,1207,1086,1010,669,160,28,3,5061,5812,10145,22677,21017,18734,13555,2700,203,20,94859
Burwood (A),11300,14,60,151,98,117,81,31,3,0,554,40,149,385,164,184,123,22,3,3,1069,570,2032,5503,3302,3122,2062,499,64,9,17174
Byron (A),11350,17,20,85,109,133,78,20,0,0,468,39,51,159,187,182,144,49,11,5,834,582,727,2283,3028,3327,2831,683,85,16,13557
Cabonne (A),11400,20,14,46,37,43,39,12,0,0,213,21,21,29,40,47,43,21,17,3,251,351,360,883,1240,1477,1157,447,106,11,6032
Camden (A),11450,110,187,411,356,303,195,39,3,0,1599,117,202,438,453,378,219,79,13,9,1909,2571,3796,9724,9938,8109,4767,1006,81,23,40014
Campbelltown (C) (NSW),11500,114,340,564,481,436,373,96,4,0,2413,210,475,993,840,803,574,130,18,3,4038,3555,7505,16261,14857,13855,10662,1996,125,14,68841
Canada Bay (A),11520,47,121,350,296,331,215,75,10,0,1445,46,161,616,432,394,235,99,15,5,2001,1291,3531,12629,10665,8794,5806,1744,207,26,44699
Canterbury-Bankstown (A),11570,202,596,1407,1491,1264,845,177,20,0,6004,321,1012,2290,1982,1922,1208,241,47,20,9043,5658,14478,34834,31707,28829,18654,3661,327,32,138192
Carrathool (A),11600,0,0,3,3,4,6,0,0,0,24,7,5,4,15,19,6,7,3,0,63,77,109,265,253,309,254,72,27,5,1384
Central Coast (C) (NSW),11650,271,657,1237,1211,1320,912,230,26,3,5868,332,591,1019,1193,1345,967,301,75,21,5841,8614,12714,26212,29776,32560,23909,5250,496,72,139593
Central Darling (A),11700,0,0,0,3,6,5,0,0,0,11,0,0,6,4,0,3,6,0,0,20,15,36,96,95,122,145,45,12,0,564
Cessnock (C),11720,63,170,288,221,217,108,27,3,0,1103,49,108,173,195,214,150,28,15,8,941,1379,2104,4668,4677,4681,3358,668,83,15,21626
Clarence Valley (A),11730,37,78,130,142,183,113,35,3,0,727,47,53,89,120,153,132,55,27,3,681,1077,1242,2490,3416,4311,3901,934,165,30,17565
Cobar (A),11750,5,13,18,11,13,6,0,0,0,64,8,11,9,18,12,9,5,0,4,70,82,166,491,409,406,354,84,22,4,2014
Coffs Harbour (C),11800,60,117,247,205,263,188,59,4,0,1156,59,100,205,236,247,179,57,18,3,1113,1898,2385,5375,6077,6916,5645,1197,109,14,29620
Coolamon (A),12000,0,8,11,12,7,5,0,0,0,48,3,8,12,12,16,11,4,10,0,70,88,146,241,321,433,328,117,32,7,1728
Coonamble (A),12150,3,7,11,6,10,12,3,0,0,44,6,3,12,14,10,13,8,3,0,67,52,102,260,229,334,297,114,28,7,1419
Cowra (A),12350,16,24,33,37,40,27,9,3,0,192,15,23,31,27,24,39,12,4,0,176,316,419,725,867,1104,963,326,78,11,4811
Cumberland (A),12380,88,293,849,688,600,387,94,3,0,2995,235,835,2130,1362,1141,712,134,22,14,6589,3231,9714,26505,19973,15394,10000,1872,123,25,86838
