lga_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,lga_name16
10050,26796.0,42.0,1272114935.0,39888.0,47474.0,4.62,1.75,0.38,0.16,0.446,8.2,20.0,30.3,24.3,27.1,27.8,20.8,Albury (C)
10130,14536.0,45.0,617100765.0,34905.0,42453.0,5.82,1.87,0.32,0.13,0.488,7.4,20.3,31.7,29.4,29.0,23.3,18.4,Armidale Regional (A)
10250,22250.0,48.0,928095569.0,32909.0,41712.0,6.26,1.95,0.31,0.11,0.506,8.6,22.0,33.4,31.4,29.1,21.8,17.8,Ballina (A)
10300,1120.0,46.0,45412232.0,34589.0,40547.0,5.27,1.79,0.34,0.14,0.5379999999999999,7.7,22.4,33.5,29.9,27.9,25.2,17.0,Balranald (A)
10470,20041.0,43.0,972113716.0,40820.0,48506.0,5.02,1.85,0.37,0.15,0.441,6.3,17.9,28.5,24.5,25.5,25.3,24.7,Bathurst Regional (A)
10550,17597.0,50.0,684228941.0,32124.0,38883.0,5.91,1.85,0.31,0.12,0.478,7.5,19.9,31.2,32.3,29.6,23.3,14.9,Bega Valley (A)
10600,6432.0,49.0,227371986.0,28659.0,35350.0,6.93,1.99,0.29,0.08,0.506,6.6,19.5,31.6,36.1,29.8,20.6,13.5,Bellingen (A)
10650,4488.0,49.0,169868618.0,31370.0,37850.0,6.73,1.95,0.29,0.09,0.5,6.6,19.8,31.4,34.2,28.3,22.4,15.0,Berrigan (A)
10750,150773.0,39.0,7190258025.0,43716.0,47689.0,3.99,1.64,0.41,0.2,0.389,4.5,15.0,25.2,21.1,25.0,31.4,22.5,Blacktown (C)
10800,3082.0,46.0,152594666.0,36957.0,49512.0,5.99,2.06,0.34,0.13,0.503,7.2,22.1,33.7,27.6,26.5,21.9,24.0,Bland (A)
10850,3652.0,45.0,170496082.0,38795.0,46686.0,5.6,1.94,0.35,0.12,0.47700000000000004,6.8,18.5,29.9,26.6,25.7,24.0,23.7,Blayney (A)
10900,42632.0,46.0,2169459216.0,41204.0,50888.0,5.87,1.95,0.33,0.14,0.46299999999999997,6.6,18.8,29.8,26.0,23.5,22.6,27.8,Blue Mountains (C)
10950,1474.0,44.0,74707356.0,39550.0,50683.0,5.95,2.0,0.34,0.12,0.49,6.6,20.5,32.2,26.4,24.6,23.7,25.3,Bogan (A)
11100,21556.0,39.0,1090769848.0,42938.0,50602.0,4.32,1.75,0.41,0.19,0.424,6.1,17.8,28.4,21.6,25.6,28.2,24.7,Botany Bay (C)
11150,1319.0,42.0,62130827.0,41202.0,47104.0,4.49,1.75,0.39,0.16,0.436,6.2,17.5,28.0,23.8,25.9,27.3,23.1,Bourke (A)
11200,596.0,45.0,29629683.0,38439.0,49714.0,4.41,1.79,0.41,0.23,0.479,8.1,24.6,35.1,22.9,31.5,25.5,20.1,Brewarrina (A)
11250,8238.0,44.0,382326628.0,38299.0,46410.0,5.41,1.96,0.36,0.14,0.45399999999999996,5.5,17.1,28.4,26.4,26.7,23.1,23.7,Broken Hill (C)
13910,9159.0,45.0,373537460.0,34452.0,40784.0,5.58,1.81,0.32,0.11,0.479,6.9,19.6,31.0,29.5,29.8,24.1,16.5,Hilltops (A)
14000,82618.0,45.0,5090081897.0,45255.0,61610.0,6.17,2.04,0.33,0.14,0.502,8.8,22.7,34.4,24.4,21.6,21.2,32.8,Hornsby (A)
14100,7507.0,47.0,889384438.0,57521.0,118474.0,7.93,2.47,0.31,0.13,0.649,20.6,40.4,52.4,20.8,18.4,16.8,44.0,Hunters Hill (A)
14170,101619.0,38.0,6805048935.0,49789.0,66966.0,4.86,1.9,0.39,0.2,0.485,9.7,23.7,34.9,19.6,21.7,23.8,35.0,Inner West (A)
14200,7799.0,45.0,280719723.0,32081.0,35994.0,6.0,1.73,0.29,0.08,0.51,7.4,19.9,31.3,33.0,29.5,25.1,12.4,Inverell (A)
14300,2602.0,44.0,121558069.0,38685.0,46717.0,5.36,1.83,0.34,0.14,0.47700000000000004,7.6,20.2,31.5,27.1,25.6,26.3,20.9,Junee (A)
14350,12324.0,48.0,436214537.0,29645.0,35396.0,6.62,1.91,0.29,0.1,0.484,5.9,18.4,30.2,34.7,31.0,21.0,13.3,Kempsey (A)
14400,11844.0,48.0,606345906.0,38792.0,51194.0,6.39,2.08,0.33,0.13,0.488,8.2,21.0,32.2,27.5,24.7,20.5,27.4,Kiama (A)
14500,68712.0,48.0,6494620498.0,49653.0,94519.0,8.83,2.55,0.29,0.12,0.618,14.8,34.1,47.0,25.0,18.9,16.0,40.1,Ku-ring-gai (A)
14550,4289.0,49.0,136095454.0,25694.0,31731.0,8.16,1.99,0.24,0.05,0.546,7.6,21.3,33.6,39.7,29.7,20.4,10.2,Kyogle (A)
14600,3337.0,45.0,154001179.0,35567.0,46150.0,5.71,1.93,0.34,0.11,0.503,8.3,22.9,34.6,27.5,29.9,22.7,19.9,Lachlan (A)
14650,101946.0,44.0,5124345863.0,40329.0,50265.0,5.64,1.93,0.34,0.13,0.469,7.4,19.9,31.1,25.7,24.8,24.1,25.3,Lake Macquarie (C)
14700,19909.0,42.0,1881637509.0,56326.0,94512.0,6.3,2.11,0.33,0.15,0.583,15.4,33.5,45.4,20.1,18.1,19.5,42.2,Lane Cove (A)
14750,5738.0,43.0,229274240.0,35562.0,39957.0,5.12,1.78,0.35,0.12,0.467,6.3,17.7,28.6,28.4,28.8,26.4,16.4,Leeton (A)
14850,22387.0,45.0,883129604.0,33965.0,39448.0,5.56,1.77,0.32,0.12,0.465,6.6,18.8,29.9,30.2,29.7,24.6,15.5,Lismore (C)
14870,9595.0,45.0,497200954.0,40545.0,51819.0,5.84,2.1,0.36,0.13,0.47,5.2,17.4,29.6,25.0,25.4,21.8,27.8,Lithgow (C)
14900,85180.0,39.0,4016212573.0,42256.0,47150.0,4.03,1.66,0.41,0.2,0.4,5.4,16.1,26.3,21.7,26.3,30.6,21.4,Liverpool (C)
14920,3861.0,47.0,154120233.0,32874.0,39917.0,6.81,1.93,0.28,0.08,0.5329999999999999,7.6,21.2,33.3,32.1,28.6,22.3,17.0,Liverpool Plains (A)
14950,1699.0,47.0,78206847.0,37840.0,46031.0,5.23,1.9,0.36,0.11,0.46399999999999997,6.4,18.8,29.9,25.6,28.0,24.4,22.0,Lockhart (A)
15050,35982.0,41.0,1916180068.0,43503.0,53254.0,5.21,1.89,0.36,0.15,0.451,6.4,18.3,29.5,23.2,23.6,24.8,28.3,Maitland (C)
