LGA_MAIN11,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total,LGA_NAME11
51540,36,11,47,811,275,40,1126,2670,684,4480,Carnarvon (S)
51610,3,0,6,224,65,10,299,550,65,914,Chapman Valley (S)
32330,0,0,0,202,135,50,387,382,14,783,Cherbourg (S)
32450,13,5,18,459,156,17,632,1515,416,2563,Cloncurry (S)
32500,15,4,19,465,159,29,653,1937,805,3395,Cook (S)
32600,0,3,3,57,6,0,63,127,43,233,Croydon (S)
37300,0,0,0,581,142,48,771,1345,337,2453,Weipa (T)
37310,413,102,518,5239,1669,267,7175,14643,2389,24207,Western Downs (R)
37340,274,69,346,4520,1396,265,6181,15961,3396,25538,Whitsunday (R)
32750,0,0,0,37,4,3,44,174,15,233,Diamantina (S)
32770,7,0,7,241,72,14,327,458,11,796,Doomadgee (S)
33100,3,0,3,137,34,6,177,474,80,731,Etheridge (S)
33200,13,6,19,278,105,15,398,870,146,1414,Flinders (S)
33220,1474,594,2072,13511,4718,696,18925,51202,6955,77082,Fraser Coast (R)
33360,353,60,417,10497,2978,559,14034,26488,4137,44659,Gladstone (R)
33430,6741,2492,9304,79431,26395,3602,109428,256593,36757,402778,Gold Coast (C)
33610,117,39,156,1849,508,77,2434,4859,795,8088,Goondiwindi (R)
33620,505,297,808,6925,2326,361,9612,23507,3249,36368,Gympie (R)
33800,271,37,314,1653,652,75,2380,6410,733,9523,Hinchinbrook (S)
33830,3,0,6,170,135,15,320,331,40,691,Hope Vale (S)
33960,1440,333,1802,29776,10365,1600,41741,75769,9562,127072,Ipswich (C)
33980,54,12,66,4669,830,241,5740,8975,2162,16877,Isaac (R)
34420,3,0,3,194,169,21,384,345,13,742,Kowanyama (S)
34570,0,0,0,78,95,21,194,152,9,355,Lockhart River (S)
34580,379,80,462,5412,1899,299,7610,17171,2448,27229,Lockyer Valley (R)
34590,1878,597,2504,48452,17082,2496,68030,129000,16389,213419,Logan (C)
34710,52,9,64,684,206,36,926,2010,221,3157,Longreach (R)
34830,6,0,6,55,14,0,69,126,8,203,Mapoon (S)
34860,132,22,157,2165,647,78,2890,6099,1117,10106,Maranoa (R)
35010,4270,1268,5578,66979,23367,3803,94149,180557,20374,295080,Moreton Bay (R)
35250,3,0,3,155,156,45,356,360,20,736,Mornington (S)
35300,56,10,69,3445,1007,191,4643,8832,2644,16119,Mount Isa (C)
35600,62,13,75,720,215,28,963,2258,374,3595,Murweh (S)
35670,0,0,0,134,126,38,298,261,9,568,Napranum (S)
35760,128,84,215,1452,516,70,2038,5216,906,8160,North Burnett (R)
35780,5,0,8,429,173,6,608,792,87,1487,Northern Peninsula Area (R)
35790,3,0,3,364,230,37,631,931,41,1603,Palm Island (S)
35800,18,4,22,238,96,14,348,951,142,1441,Paroo (S)
37400,18,3,21,185,54,9,248,734,99,1081,Winton (S)
37550,0,0,0,154,59,0,213,374,18,605,Woorabinda (S)
51960,4,5,9,722,159,37,918,1639,439,2996,Coolgardie (S)
52030,6,0,6,134,55,12,201,616,59,876,Coorow (S)
37570,0,0,0,51,39,0,90,125,0,215,Wujal Wujal (S)
37600,8,0,8,399,395,22,816,750,15,1581,Yarrabah (S)
39399,6,3,9,33,26,0,59,302,92,453,
39499,41,12,53,911,637,49,1597,7974,1912,11483,
40070,312,49,364,1248,847,46,2141,14202,2153,18496,Adelaide (C)
40120,465,94,569,6840,2810,456,10106,19435,1493,31034,Adelaide Hills (DC)
40220,494,76,579,3493,1753,184,5430,13132,1144,19706,Alexandrina (DC)
40250,9,0,13,371,329,104,804,909,91,1804,Anangu Pitjantjatjara (AC)
40310,469,80,552,3815,1516,209,5540,11314,904,17758,Barossa (DC)
40430,80,16,96,328,129,12,469,1469,133,2071,Barunga West (DC)
40520,185,76,264,1555,641,77,2273,5474,743,8490,Berri and Barmera (DC)
40700,1205,328,1557,6361,2889,315,9565,23851,2076,35492,Burnside (C)
40910,1121,186,1325,7354,3337,269,10960,27028,2129,40117,Campbelltown (C)
41010,36,7,43,500,233,36,769,1768,181,2718,Ceduna (DC)
41060,2594,693,3316,15128,6864,605,22597,59682,6057,88336,Charles Sturt (C)
41190,39,10,49,285,106,12,403,912,54,1369,Cleve (DC)
41330,7,0,7,175,61,14,250,954,210,1414,Coober Pedy (DC)
41830,40,6,46,230,94,10,334,938,114,1386,Flinders Ranges (DC)
42030,407,83,493,3172,1368,168,4708,10965,1122,16795,Gawler (T)
42600,1440,270,1724,4307,2549,221,7077,21074,2090,30241,Holdfast Bay (C)
42750,84,20,104,696,289,43,1028,2346,253,3627,Kangaroo Island (DC)
43080,18,3,21,154,59,6,219,557,63,839,Karoonda East Murray (DC)
43220,17,18,35,205,49,7,261,552,64,877,Kimba (DC)
43360,50,4,54,343,124,17,484,1313,125,1922,Kingston (DC)
43650,148,31,179,2569,856,164,3589,6537,545,10671,Light (RegC)
43710,43,11,54,875,327,48,1250,2300,285,3835,Lower Eyre Peninsula (DC)
43790,282,40,331,1696,688,106,2490,6086,561,9137,Loxton Waikerie (DC)
43920,66,6,72,1438,514,72,2024,4234,389,6647,Mallala (DC)
44000,0,0,0,9,15,3,27,27,3,57,Maralinga Tjarutja (AC)
44060,1968,435,2418,12430,5447,658,18535,46858,4132,69525,Marion (C)
44210,116,20,136,998,513,63,1574,4584,735,6893,Mid Murray (DC)
44340,1679,249,1962,10232,4541,648,15421,34114,2387,51922,Mitcham (C)
44550,389,60,454,5545,2082,379,8006,14257,991,23254,Mount Barker (DC)
44620,444,79,526,4197,1866,251,6314,12555,1129,19998,Mount Gambier (C)
44830,62,12,74,391,163,23,577,1618,201,2396,Mount Remarkable (DC)
45040,327,77,407,2839,1199,152,4190,10195,1570,15955,Murray Bridge (RC)
45090,166,36,205,1382,518,58,1958,4112,426,6496,Naracoorte and Lucindale (DC)
45120,121,6,127,699,292,33,1024,2460,184,3668,Northern Areas (DC)
45290,1116,155,1282,4720,2143,228,7091,21094,1844,30029,Norwood Payneham St Peters (C)
45340,2263,530,2820,26736,11716,1653,40105,81322,7040,128467,Onkaparinga (C)
45400,30,9,39,120,48,0,168,530,50,748,Orroroo/Carrieton (DC)
45540,32,11,43,218,92,8,318,978,130,1426,Peterborough (DC)
45890,2220,562,2799,16584,6494,712,23790,61698,7925,93413,Port Adelaide Enfield (C)
46090,113,71,187,1897,930,128,2955,6517,1673,11145,Port Augusta (C)
46300,280,65,345,2278,970,138,3386,7029,803,11218,Port Lincoln (C)
46450,368,56,427,2586,1099,146,3831,9070,966,13867,Port Pirie City and Dists (M)
46510,424,60,484,3250,1017,128,4395,11226,960,16581,Prospect (C)
46670,115,70,188,1344,498,59,1901,4876,707,7484,Renmark Paringa (DC)
46860,19,0,22,204,88,17,309,768,90,1167,Robe (DC)
46970,3,0,3,1011,139,47,1197,1955,475,3627,Roxby Downs (M)
47140,1400,339,1750,20989,8147,955,30091,66110,7271,103472,Salisbury (C)
47290,62,13,75,339,118,23,480,1119,97,1696,Southern Mallee (DC)
47490,47,9,56,315,96,25,436,1091,148,1675,Streaky Bay (DC)
47630,153,14,167,1142,361,57,1560,3366,217,5143,Tatiara (DC)
47700,1356,292,1664,15501,7445,863,23809,50801,3665,78275,Tea Tree Gully (C)
47800,83,24,107,867,385,38,1290,2776,406,4472,The Coorong (DC)
47980,1199,297,1512,5648,2335,285,8268,20776,1864,30908,Unley (C)
48050,534,150,684,1468,938,102,2508,8374,1125,12007,Victor Harbor (C)
48130,167,24,194,1026,426,66,1518,3400,373,5291,Wakefield (DC)
48640,36,9,45,239,69,18,326,595,46,967,Wudinna (DC)
48750,95,24,119,559,342,35,936,2588,221,3745,Yankalilla (DC)
48260,224,42,272,963,519,34,1516,4063,391,5970,Walkerville (M)
48340,195,51,249,1888,704,90,2682,6097,557,9336,Wattle Range (DC)
48410,1452,419,1885,7801,3250,310,11361,32367,3156,46884,West Torrens (C)
48540,241,66,307,3499,1395,161,5055,11119,1482,17656,Whyalla (C)
48830,293,40,337,1353,650,78,2081,6721,523,9325,Yorke Peninsula (DC)
49399,11,5,16,620,182,27,829,2235,589,3653,Unincorporated SA
49499,58,11,75,298,153,9,460,1845,461,2766,
50080,618,130,752,5414,1922,348,7684,17176,2061,26921,Albany (C)
50210,520,136,662,10345,3801,655,14801,30211,3916,48928,Armadale (C)
50250,3,0,3,1880,354,71,2305,4508,1402,8215,Ashburton (S)
51680,20,6,29,789,264,27,1080,2122,252,3454,Chittering (S)
51750,296,86,388,1245,571,61,1877,5256,690,7823,Claremont (T)
51820,736,196,942,16182,5084,774,22040,44276,4618,70934,Cockburn (C)
51890,122,21,143,1494,589,75,2158,4571,631,7360,Collie (S)
52100,29,6,35,153,71,11,235,577,61,873,Corrigin (S)
52170,126,70,196,1154,501,53,1708,3894,676,6278,Cottesloe (T)
52240,10,3,13,170,45,14,229,530,86,845,Cranbrook (S)
52310,6,0,6,163,38,9,210,440,38,688,Cuballing (S)
52380,5,0,5,18,3,3,24,144,58,226,Cue (S)
52450,20,9,29,185,60,9,254,736,67,1057,Cunderdin (S)
52520,11,6,17,204,80,13,297,667,53,1017,Dalwallinu (S)
52590,24,10,34,481,144,26,651,1614,307,2572,Dandaragan (S)
52660,163,35,201,2374,747,141,3262,5674,613,9549,Dardanup (S)
52730,82,20,102,820,246,81,1147,2791,258,4196,Denmark (S)
52800,24,8,32,973,504,115,1592,2758,2141,6491,Derby-West Kimberley (S)
52870,62,13,75,837,308,35,1180,2825,276,4281,Donnybrook-Balingup (S)
52940,15,9,24,122,47,7,176,315,29,520,Dowerin (S)
53010,7,0,7,111,39,12,162,300,23,485,Dumbleyung (S)
53080,6,3,9,155,41,11,207,550,170,927,Dundas (S)
53150,138,19,157,1230,472,67,1769,3484,377,5630,East Fremantle (T)
54280,125,36,161,5217,1340,315,6872,13648,3294,23814,Kalgoorlie/Boulder (C)
53710,14,3,17,178,58,5,241,469,46,756,Goomalling (S)
53780,784,261,1053,17810,6085,861,24756,51669,7565,83990,Gosnells (C)
53920,9,8,17,436,361,112,909,1393,188,2490,Halls Creek (S)
53990,162,38,200,4262,1363,235,5860,10606,1427,17893,Harvey (S)
54060,41,8,49,570,158,23,751,1834,226,2811,Irwin (S)
54130,5,0,5,196,61,10,267,489,58,814,Jerramungup (S)
54170,1560,395,1974,26475,10061,1469,38005,78508,6435,122948,Joondalup (C)
54200,603,157,771,8628,3761,519,12908,27140,2931,42979,Kalamunda (S)
54340,39,25,64,695,199,33,927,1976,258,3161,Katanning (S)
54480,0,0,0,117,31,0,148,233,9,390,Kent (S)
54550,34,3,37,354,150,17,521,947,91,1559,Kojonup (S)
54620,9,3,12,189,74,13,276,483,90,849,Kondinin (S)
54690,4,0,4,75,21,0,96,216,15,327,Koorda (S)
54760,13,0,13,168,56,11,235,365,21,621,Kulin (S)
54830,193,62,255,5151,1613,268,7032,12691,2803,22526,Kwinana (T)
54900,10,3,13,266,65,10,341,672,57,1070,Lake Grace (S)
54970,0,0,0,167,86,11,264,675,132,1071,Laverton (S)
56520,96,14,110,611,265,61,937,2054,244,3235,Narrogin (T)
56580,476,132,613,3497,1229,200,4926,10633,948,16507,Nedlands (C)
55040,6,0,9,337,84,16,437,1073,595,2105,Leonora (S)
55390,0,0,0,46,35,0,81,190,38,309,Menzies (S)
55530,3,0,3,90,14,3,107,233,22,362,Mingenew (S)
55670,12,3,15,146,44,18,208,409,51,668,Morawa (S)
55600,37,8,45,433,144,24,601,1201,125,1927,Moora (S)
65010,52,11,63,989,334,38,1361,3086,350,4797,Southern Midlands (M)
65210,31,8,39,336,155,14,505,1298,168,1971,Tasman (M)
56930,32,11,43,236,103,9,348,764,121,1233,Peppermint Grove (S)
55740,184,40,224,1271,482,50,1803,4748,569,7120,Mosman Park (T)
55810,0,0,0,55,16,4,75,368,75,518,Mount Magnet (S)
55880,3,0,3,86,17,9,112,251,7,370,Mount Marshall (S)
57140,22,4,26,171,79,10,260,579,70,909,Pingelly (S)
57210,75,13,88,785,212,32,1029,2535,360,3924,Plantagenet (S)
57280,23,7,30,2178,499,112,2789,6449,2600,11838,Port Hedland (T)
57630,0,0,0,7,0,0,7,68,17,92,Sandstone (S)
55950,3,0,3,67,35,8,110,266,25,401,Mukinbudin (S)
70200,65,47,115,3785,1351,273,5409,11740,2463,19612,Alice Springs (T)
56160,0,0,0,23,3,0,26,57,6,89,Murchison (S)
56230,137,47,184,2120,827,138,3085,7260,1006,11351,Murray (S)
56300,11,3,14,166,73,14,253,740,69,1062,Nannup (S)
62210,85,18,103,1002,422,49,1473,3403,366,5242,George Town (M)
62410,82,26,108,498,242,21,761,2576,254,3591,Glamorgan/Spring Bay (M)
62610,836,180,1026,6708,2964,363,10035,23677,2498,36210,Glenorchy (C)
62810,1018,256,1288,6741,2826,431,9998,28802,2746,41546,Hobart (C)
63010,170,29,199,2511,865,142,3518,7867,691,12076,Huon Valley (M)
63210,75,11,86,938,318,43,1299,3307,290,4896,Kentish (M)
63410,28,7,35,196,82,12,290,951,83,1324,King Island (M)
63610,469,128,609,5930,2486,393,8809,16743,1324,26876,Kingborough (M)
63810,168,26,194,1520,554,81,2155,5387,471,8013,Latrobe (M)
64010,1344,251,1602,9870,3746,468,14084,34693,3549,52326,Launceston (C)
64210,327,46,376,3052,1124,143,4319,10107,887,15313,Meander Valley (M)
64610,165,31,196,1918,682,101,2701,6563,619,9883,Northern Midlands (M)
64810,161,35,196,2231,812,144,3187,6682,717,10586,Sorell (M)
56370,15,11,29,120,47,7,174,440,46,660,Narembeen (S)
62010,13,3,16,98,41,6,145,476,45,666,Flinders (M)
56730,147,25,178,1511,594,97,2202,5165,899,8266,Northam (S)
57000,3,0,3,147,35,5,187,511,83,781,Perenjori (S)
57080,93,23,122,989,587,16,1592,11578,2685,15855,Perth (C)
58330,26,12,38,583,244,39,866,2397,335,3598,Toodyay (S)
72800,50,18,68,5203,1326,321,6850,11231,2194,20275,Palmerston (C)
74050,0,0,0,425,234,33,692,1078,64,1834,Tiwi Islands (S)
74500,8,0,11,1153,707,160,2020,1692,236,3948,Victoria-Daly (S)
58400,7,0,7,57,6,7,70,187,22,279,Trayning (S)
58470,0,0,0,40,11,0,51,104,28,183,Upper Gascoyne (S)
58540,6,3,9,175,37,6,218,429,46,693,Victoria Plains (S)
74560,0,0,0,47,26,0,73,219,35,327,Wagait (S)
74660,3,3,19,762,1138,672,2572,1544,308,4424,West Arnhem (S)
58570,518,80,606,4173,1366,217,5756,18849,2583,27188,Vincent (T)
99399,4,0,4,322,71,21,414,1211,884,2509,Unincorp. Other Territories
99499,0,0,0,3,0,0,3,18,0,21,
59030,3,0,3,50,9,0,59,151,18,228,Westonia (S)
59100,7,3,10,142,39,6,187,352,40,579,Wickepin (S)
59170,7,0,7,157,64,14,235,457,37,729,Williams (S)
59310,16,3,19,264,75,16,355,667,67,1089,Wongan-Ballidu (S)
59360,10,0,10,276,53,8,337,822,177,1336,Yilgarn (S)
59370,35,13,48,483,232,35,750,1796,229,2775,York (S)
59399,0,0,0,32,8,0,40,311,65,416,
59499,9,8,17,561,249,29,839,4552,1299,6690,
60210,111,26,140,828,260,22,1110,3623,432,5165,Break O'Day (M)
60410,108,18,126,2780,827,142,3749,6774,960,11483,Brighton (M)
60610,247,149,396,3023,1150,144,4317,9976,1181,15474,Burnie (C)
60810,329,112,441,3263,1361,169,4793,11229,1309,17331,Central Coast (M)
61010,20,3,23,318,104,7,429,1242,165,1836,Central Highlands (M)
61210,115,17,132,1396,491,74,1961,3790,418,6169,Circular Head (M)
61410,1041,161,1216,8275,3738,435,12448,26782,2894,42124,Clarence (C)
61510,121,19,140,1568,542,71,2181,5008,561,7750,Derwent Valley (M)
61610,516,147,663,3724,1519,232,5475,12813,1532,19820,Devonport (C)
61810,110,15,125,1039,395,36,1470,3654,362,5486,Dorset (M)
70420,19,0,22,992,589,86,1667,2467,827,4961,Barkly (S)
70540,0,0,0,10,41,0,51,67,10,128,Belyuen (S)
70620,13,3,24,535,429,144,1108,1187,352,2647,Central Desert (S)
70700,0,0,0,135,42,9,186,533,186,905,Coomalie (S)
71000,254,55,312,10239,3524,535,14298,36573,8154,59025,Darwin (C)
71300,16,0,16,1090,1846,558,3494,2434,306,6234,East Arnhem (S)
72200,23,4,27,1456,437,74,1967,4043,871,6881,Katherine (T)
72300,35,8,43,2955,961,148,4064,8746,2160,14970,Litchfield (M)
72330,11,4,15,784,495,131,1410,1825,1112,4347,MacDonnell (S)
