lga_code16,f_is_ns_25_34_pd_gd_gcl,f_is_ns_25_34_bdl,f_is_ns_25_34_adip_dipl,f_is_ns_25_34_crt_iii_an_iv_l,f_is_ns_25_34_ct_i_ii,f_is_ns_25_34_cl_nfd,f_is_ns_25_34_loe_ns,f_is_ns_25_34_tot,f_is_ns_35_44_pd_gd_gcl,f_is_ns_35_44_bdl,f_is_ns_35_44_adip_dipl,f_is_ns_35_44_crt_iii_an_iv_l,f_is_ns_35_44_ct_i_ii,f_is_ns_35_44_cl_nfd,f_is_ns_35_44_loe_ns,f_is_ns_35_44_tot,f_is_ns_45_54_pd_gd_gcl,f_is_ns_45_54_bdl,f_is_ns_45_54_adip_dipl,f_is_ns_45_54_crt_iii_an_iv_l,f_is_ns_45_54_ct_i_ii,f_is_ns_45_54_cl_nfd,f_is_ns_45_54_lev_of_ed_ns,f_is_ns_45_54_tot,f_is_ns_55_64_pgde_gddp_gdc,f_is_ns_55_64_bacheldegre_l,f_is_ns_55_64_adip_dipl,f_is_ns_55_64_crt_iii_and_iv,f_is_ns_55_64_crt_i_and_ii,f_is_ns_55_64_certi_level_nfd,f_is_ns_55_64_lev_of_ed_ns,f_is_ns_55_64_tot,f_is_ns_65ov_ptgde_gddp_gdct,f_is_ns_65ov_bdl,f_is_ns_65ov_addip_and_dipl,f_is_ns_65ov_ct_iii_iv,f_is_ns_65ov_ct_i_ii,f_is_ns_65ov_cl_nfd,f_is_ns_65ov_lev_of_ed_ns,f_is_ns_65ov_tot,f_is_ns_tot_pgde_gddp_gdctl,f_is_ns_tot_bdl,f_is_ns_tot_adip_dipl,f_is_ns_tot_ct_iii_and_iv_l,f_is_ns_tot_ct_i_and_ii_l,f_is_ns_tot_cl_nfd,f_is_ns_tot_lev_of_ed_ns,f_is_ns_tot_tot,f_t_15_19_pd_gd_gcl,f_t_15_19_bdl,f_t_15_19_adip_dipl,f_t_15_19_ct_iii_iv,f_t_15_19_ct_i_ii,f_t_15_19_cl_nfd,f_t_15_19_loe_ns,f_t_15_19_tot,f_t_20_24_pd_gd_gcl,f_t_20_24_bdl,f_t_20_24_adip_dipl,f_t_20_24_ct_iii_iv,f_t_20_24_ct_i_ii,f_t_20_24_cl_nfd,f_t_20_24_loe_ns,f_t_20_24_tot,f_t_25_34_pd_gd_gcl,f_t_25_34_bdl,f_t_25_34_adip_dipl,f_t_25_34_ct_iii_iv,f_t_25_34_ct_i_ii,f_t_25_34_cl_nfd,f_t_25_34_loe_ns,f_t_25_34_tot,f_t_35_44_pd_gd_gcl,f_t_35_44_bdl,f_t_35_44_adip_dipl,f_t_35_44_ct_iii_iv,f_t_35_44_ct_i_ii,f_t_35_44_cl_nfd,f_t_35_44_loe_ns,f_t_35_44_tot,f_t_45_54_pd_gd_gcl,f_t_45_54_bdl,f_t_45_54_adip_dipl,f_t_45_54_ct_iii_iv,f_t_45_54_ct_i_ii,f_t_45_54_cl_nfd,f_t_45_54_loe_ns,f_t_45_54_tot,f_t_55_64_pd_gd_gcl,f_t_55_64_bdl,f_t_55_64_adip_dipl,f_t_55_64_ct_iii_iv,f_t_55_64_ct_i_ii,f_t_55_64_cl_nfd,f_t_55_64_loe_ns,f_t_55_64_tot,f_t_65ov_ptgdde_gddp_gdct,f_t_65ov_bdl,f_t_65ov_adip_dipl,f_t_65ov_ct_iii_iv,f_t_65ov_ct_i_ii,f_t_65ov_cl_nfd,f_t_65ov_loe_ns,f_t_65ov_tot,f_t_tot_pd_gd_gcl,f_t_tot_bdl,f_t_tot_adip_dipl,f_t_tot_ct_iii_iv,f_t_tot_ct_i_ii,f_t_tot_cl_nfd,f_t_tot_loe_ns,f_t_tot_tot,p_ind_15_19_pd_gd_gcl,p_ind_15_19_bdl,p_ind_15_19_adip_dipl,p_ind_15_19_ct_iii_iv,p_ind_15_19_ct_i_ii,p_ind_15_19_cl_nfd,p_ind_15_19_loe_ns,p_ind_15_19_tot,p_ind_20_24_pd_gd_gcl,p_ind_20_24_bdl,p_ind_20_24_adip_dipl,p_ind_20_24_ct_iii_iv,p_ind_20_24_ct_i_ii,p_ind_20_24_cl_nfd,p_ind_20_24_loe_ns,p_ind_20_24_tot,p_ind_25_34_pd_gd_gcl,p_ind_25_34_bdl,p_ind_25_34_adip_dipl,p_ind_25_34_ct_iii_iv,p_ind_25_34_ct_i_ii,p_ind_25_34_cl_nfd,p_ind_25_34_loe_ns,p_ind_25_34_tot,p_ind_35_44_pd_gd_gcl,p_ind_35_44_bdl,p_ind_35_44_adip_dipl,p_ind_35_44_ct_iii_iv,p_ind_35_44_ct_i_ii,p_ind_35_44_cl_nfd,p_ind_35_44_loe_ns,p_ind_35_44_tot,p_ind_45_54_pd_gd_gcl,p_ind_45_54_bdl,p_ind_45_54_adip_dipl,p_ind_45_54_ct_iii_iv,p_ind_45_54_ct_i_ii,p_ind_45_54_cl_nfd,p_ind_45_54_loe_ns,p_ind_45_54_tot,p_ind_55_64_pd_gd_gcl,p_ind_55_64_bdl,p_ind_55_64_adip_dipl,p_ind_55_64_ct_iii_iv,p_ind_55_64_ct_i_ii,p_ind_55_64_cl_nfd,p_ind_55_64_loe_ns,p_ind_55_64_tot,p_ind_65ov_ptgdde_gddp_gdct,p_ind_65ov_bdl,p_ind_65ov_adip_dipl,p_ind_65ov_ct_iii_iv,p_ind_65ov_ct_i_ii,p_ind_65ov_cl_nfd,p_ind_65ov_loe_ns,p_ind_65ov_tot,p_ind_tot_pd_gd_gcl,p_ind_tot_bdl,p_ind_tot_adip_dipl,p_ind_tot_ct_iii_iv,p_ind_tot_ct_i_ii,p_ind_tot_cl_nfd,p_ind_tot_loe_ns,p_ind_tot_tot,p_noni_15_19_ptgdde_gddp_gdct,p_noni_15_19_bdl,p_noni_15_19_adip_dipl,p_noni_15_19_ct_iii_iv,p_noni_15_19_ct_i_ii,p_noni_15_19_cl_nfd,p_noni_15_19_loe_ns,p_noni_15_19_tot,p_noni_20_24_ptgdde_gddp_gdct,p_noni_20_24_bdl,p_noni_20_24_adip_dipl,p_noni_20_24_ct_iii_iv,p_noni_20_24_ct_i_ii,p_noni_20_24_cl_nfd,p_noni_20_24_loe_ns,p_noni_20_24_tot,p_noni_25_34_ptgdde_gddp_gdct,p_noni_25_34_bdl,p_noni_25_34_adip_dipl,p_noni_25_34_ct_iii_iv,p_noni_25_34_ct_i_ii,p_noni_25_34_cl_nfd,p_noni_25_34_loe_ns,p_noni_25_34_tot,lga_name16
10050,0,4,0,0,0,0,208,216,0,3,0,7,0,0,179,191,0,0,0,3,0,0,162,172,0,0,3,0,0,0,200,212,0,3,4,3,0,0,358,369,3,13,13,21,0,5,1319,1366,0,0,14,83,17,11,140,273,19,180,113,412,59,38,157,983,255,820,417,644,93,54,277,2562,274,741,375,593,69,88,253,2392,259,479,455,527,80,102,287,2195,214,404,412,424,65,138,368,2015,98,300,342,212,42,140,992,2127,1120,2935,2133,2897,430,575,2465,12553,0,0,0,12,0,0,11,24,0,0,7,30,5,4,11,61,3,5,8,46,7,6,16,89,4,8,12,30,9,0,12,72,0,5,14,31,3,0,8,58,0,3,3,15,0,3,12,33,0,3,5,11,0,0,10,21,13,30,45,163,22,15,70,366,0,0,20,148,33,13,107,326,24,243,160,844,101,53,62,1483,371,1239,686,1710,148,90,126,4369,Albury (C)
10130,3,3,0,4,0,0,119,128,0,0,0,3,0,0,93,95,0,3,0,3,0,0,140,143,0,0,3,3,0,0,113,120,0,3,0,0,0,0,165,174,3,12,11,14,0,0,844,878,3,0,12,65,24,8,124,241,8,160,50,187,41,29,174,653,215,504,150,272,17,22,171,1350,264,413,169,224,28,36,129,1266,275,340,244,242,29,69,221,1420,276,301,232,141,41,70,194,1248,167,296,238,82,21,96,504,1411,1205,2023,1100,1209,203,331,1511,7581,0,0,0,12,0,3,22,39,3,5,7,32,13,4,15,81,0,8,13,62,6,7,22,126,8,6,14,47,3,10,16,108,8,5,15,34,0,4,28,99,9,7,10,20,0,4,16,68,0,8,7,10,0,3,21,45,22,45,73,214,28,34,136,553,3,0,17,119,37,17,63,253,8,243,68,371,69,43,62,860,383,794,227,641,32,38,80,2195,Armidale Regional (A)
10250,0,0,0,3,0,0,100,106,0,3,4,3,0,0,132,137,0,0,3,0,0,3,173,182,0,0,3,3,0,0,203,216,3,4,3,3,0,4,340,354,3,11,17,14,0,7,1038,1091,4,0,6,44,18,9,113,182,8,77,58,159,30,26,62,421,135,462,236,341,28,37,157,1395,207,689,344,394,37,64,203,1937,237,577,443,448,57,136,290,2188,278,539,503,432,68,149,348,2319,145,450,499,203,56,189,1128,2678,1012,2792,2086,2024,295,606,2301,11115,0,0,0,3,0,0,17,19,3,0,4,20,3,0,5,38,0,10,16,46,4,3,17,91,0,15,17,36,7,6,10,101,3,15,21,31,0,6,13,97,3,12,15,21,0,0,8,56,0,4,9,18,0,6,20,49,17,51,78,181,17,21,87,446,0,0,8,64,31,12,102,218,8,106,66,339,49,41,38,649,186,713,338,899,53,59,95,2340,Ballina (A)
10300,0,0,0,0,0,0,10,10,0,0,0,0,0,0,11,11,0,0,0,0,0,0,5,12,0,0,0,0,0,0,18,18,0,0,0,0,0,0,19,19,0,0,0,0,0,0,83,82,0,0,0,9,0,0,13,21,0,4,0,6,0,0,9,26,8,22,12,29,3,0,20,91,4,19,9,17,3,4,13,74,10,4,12,7,3,3,18,61,5,10,15,13,3,3,35,84,0,7,7,3,0,0,41,63,24,63,60,88,16,12,145,410,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,7,0,0,0,9,0,0,3,11,3,3,0,4,0,0,0,11,0,0,0,0,0,0,3,9,0,0,3,0,0,0,3,10,0,0,0,0,0,0,3,3,3,3,4,20,3,0,19,56,0,0,0,10,3,0,14,25,0,6,5,22,0,0,0,35,8,29,20,46,3,0,9,115,Balranald (A)
10470,0,0,0,4,0,0,106,120,0,3,3,3,0,0,116,134,0,3,0,7,0,0,150,163,0,8,0,3,0,0,162,172,0,0,0,0,0,0,337,342,4,13,7,23,3,10,1122,1177,0,0,13,63,25,18,175,300,8,142,93,272,54,36,173,778,169,600,249,463,71,50,162,1761,198,554,292,435,69,84,174,1808,195,444,337,416,58,127,237,1814,196,374,337,251,52,122,304,1629,154,256,333,151,32,125,728,1782,920,2382,1651,2048,358,558,1957,9875,0,0,0,8,4,0,30,40,0,0,7,47,15,5,61,133,8,19,19,82,8,0,89,234,4,15,20,53,3,12,60,167,6,11,19,26,0,7,28,94,3,10,17,17,3,0,19,65,3,3,4,8,0,0,18,34,27,55,80,242,40,26,296,763,0,0,19,112,39,18,107,295,13,221,108,578,68,40,177,1206,250,891,368,1296,98,79,350,3337,Bathurst Regional (A)
10550,0,0,0,3,0,0,81,92,0,6,6,0,3,0,94,110,3,4,3,4,0,0,174,184,0,0,3,5,0,3,191,205,0,4,3,8,0,0,319,332,4,12,10,20,3,4,939,1004,0,0,0,40,15,9,134,191,8,44,34,112,31,17,55,307,69,221,124,273,50,34,125,895,114,333,200,292,52,59,144,1191,161,389,301,385,48,85,277,1649,251,438,405,351,68,138,358,2005,147,395,375,195,43,144,898,2198,746,1821,1444,1649,309,482,1983,8438,0,0,0,4,0,0,19,19,0,0,0,15,9,0,3,33,0,0,5,31,4,0,10,61,7,3,8,20,3,0,12,49,8,0,8,17,0,0,8,52,4,10,6,14,3,5,9,51,0,5,0,4,0,0,14,21,18,23,33,114,19,11,69,289,0,0,0,62,19,11,147,234,7,59,41,284,46,30,45,508,101,288,173,705,63,52,75,1457,Bega Valley (A)
10600,0,3,0,3,0,0,24,25,0,3,0,5,0,0,36,46,0,0,0,0,0,0,55,58,0,4,0,0,0,0,60,65,0,4,3,0,0,0,107,111,5,13,4,6,0,3,302,332,0,0,4,16,0,0,37,61,4,17,10,45,13,3,18,107,23,96,57,94,15,9,43,331,47,210,90,101,17,18,55,545,91,201,151,156,14,39,85,728,103,208,168,139,24,55,122,810,78,162,132,57,19,48,282,768,341,896,607,600,92,177,634,3345,0,0,0,4,0,0,6,11,0,0,0,9,0,0,0,13,0,0,0,18,0,3,0,29,0,0,3,16,0,3,0,26,5,3,3,13,0,0,0,23,4,5,0,10,0,0,3,28,0,0,0,4,0,3,0,9,4,18,15,75,5,13,14,137,0,0,4,21,8,0,65,97,5,25,11,73,18,6,14,163,26,148,78,244,22,14,21,550,Bellingen (A)
10650,0,0,0,0,0,0,36,34,0,0,0,0,0,0,41,46,0,0,0,0,0,0,48,48,0,0,0,0,0,0,55,58,0,0,0,0,0,0,119,114,0,0,0,3,3,0,327,334,0,0,0,7,0,0,36,47,0,6,15,27,3,0,30,87,12,76,46,94,8,8,36,292,17,72,35,90,14,17,62,302,24,46,53,92,10,13,67,308,19,56,60,97,10,18,91,358,9,74,60,51,9,28,271,503,82,333,275,464,59,92,588,1888,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,12,0,0,0,11,0,0,0,18,0,0,0,4,3,0,4,12,0,0,3,9,0,0,0,6,0,0,0,3,0,0,0,6,0,0,0,3,0,0,3,10,4,3,6,38,3,0,11,68,0,0,0,10,3,3,36,52,0,13,19,91,3,3,19,147,20,121,76,216,7,12,20,474,Berrigan (A)
10750,11,16,15,11,0,3,1104,1155,11,11,11,17,0,3,972,1024,3,8,6,9,0,3,806,843,4,19,10,8,0,3,706,754,0,10,9,7,3,9,961,993,34,77,49,64,4,21,5359,5605,5,22,135,333,134,74,792,1497,243,1824,1044,1395,210,208,756,5682,3208,7339,3222,3327,384,441,1966,19892,2767,6241,3146,2964,477,665,1863,18122,1266,3672,2483,2336,387,713,1716,12584,695,2344,1524,1382,308,596,1682,8539,317,1269,873,574,114,395,2832,6367,8508,22722,12429,12317,2017,3097,11605,72697,0,0,6,47,14,5,81,153,3,26,38,170,28,23,87,377,21,60,89,249,22,28,125,594,18,42,74,159,21,33,104,450,19,40,74,148,15,16,103,415,12,24,35,68,12,9,84,244,8,12,8,41,3,5,59,131,79,204,331,876,108,115,642,2362,9,42,188,647,209,122,758,1977,348,2957,1822,3005,339,307,776,9555,5308,12229,5990,7731,601,796,1962,34616,Blacktown (C)
10800,0,0,0,0,0,0,29,29,0,0,0,0,0,0,29,29,0,0,0,0,0,0,38,38,0,0,0,0,0,0,38,38,0,0,0,0,0,0,84,84,0,0,0,0,0,0,257,254,0,0,3,3,3,3,29,46,0,12,8,29,7,4,17,74,9,64,22,50,11,7,32,196,18,62,32,54,13,12,44,235,4,36,38,41,4,19,59,199,15,19,33,48,10,12,70,209,8,25,26,25,3,8,178,279,55,216,161,253,60,68,433,1239,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,6,0,0,0,8,0,3,3,10,0,3,0,9,0,0,4,14,0,0,3,5,0,0,0,9,0,0,0,4,0,0,0,7,0,0,0,3,0,0,6,9,0,3,3,32,4,3,14,61,0,0,0,22,9,3,26,59,0,15,6,76,10,3,7,117,15,88,28,154,18,4,6,323,Bland (A)
