lga_code_2016,p_sol_sp_en_t_2006_2010,p_sol_sp_en_t_2011,p_sol_sp_en_t_2012,p_sol_sp_en_t_2013,p_sol_sp_en_t_2014,p_sol_sp_en_t_2015,p_sol_sp_en_t_2016,p_sol_sp_en_t_yr_arr_ns,p_sol_sp_en_t_t,p_lanprof_en_ns_bef_2000,p_lanprof_en_ns_2000_2005,p_lanprof_en_ns_2006_2010,p_lanprof_en_ns_2011,p_lanprof_en_ns_2012,p_lanprof_en_ns_2013,p_lanprof_en_ns_2014,p_lanprof_en_ns_2015,p_lanprof_en_ns_2016,p_lanprof_en_ns_yr_arr_ns,p_lanprof_en_ns_t,p_t_b_2000,p_t_2000_2005,p_t_2006_2010,p_t_2011,p_t_2012,p_t_2013,p_t_2014,p_t_2015,p_t_2016,p_t_yr_arrival_ns,p_t_t,lga_name16
11250,71,14,28,20,15,24,4,12,315,0,0,0,0,0,0,0,0,0,17,12,492,58,120,24,38,36,16,28,11,46,863,Broken Hill (C)
13910,71,21,18,16,8,13,10,12,367,0,0,0,0,0,0,0,0,0,6,11,761,74,106,24,29,33,17,33,13,57,1152,Hilltops (A)
14000,6526,1100,1245,1219,1303,1358,847,857,34476,34,0,6,0,0,0,4,3,0,150,198,25839,8018,8554,1428,1550,1505,1586,1631,1022,1424,52553,Hornsby (A)
14100,180,36,45,24,48,43,17,144,1854,3,0,0,0,0,0,0,0,0,0,6,2376,364,345,54,68,43,74,63,33,251,3665,Hunters Hill (A)
14170,5035,935,1335,1629,1864,2121,1404,1527,37263,32,3,6,0,0,0,0,3,3,55,101,32052,6240,8058,1696,2059,2370,2515,2785,1806,2298,61872,Inner West (A)
14200,106,18,37,29,35,35,5,28,405,0,0,0,0,0,0,0,0,0,3,3,504,121,156,28,45,44,48,44,8,60,1058,Inverell (A)
14300,15,3,13,11,22,23,33,19,156,0,0,0,0,0,0,0,0,0,120,120,156,31,29,6,13,10,18,19,38,154,475,Junee (A)
14350,56,17,15,21,23,24,28,22,443,5,0,0,0,0,0,0,0,0,41,52,1516,103,105,38,28,33,38,42,36,152,2091,Kempsey (A)
14400,77,16,8,14,13,19,12,31,583,3,0,0,0,0,0,0,0,0,11,18,2070,242,264,50,54,49,42,38,21,122,2943,Kiama (A)
14500,4060,784,878,939,957,1055,624,755,25277,13,3,0,0,0,0,0,0,0,33,52,23232,6830,6633,1304,1341,1418,1336,1526,816,1264,45705,Ku-ring-gai (A)
14550,29,14,12,3,5,11,3,6,179,0,0,0,0,0,0,0,0,0,0,0,633,54,41,18,14,8,15,11,6,44,847,Kyogle (A)
14600,22,7,9,5,19,0,5,5,99,3,0,0,0,0,0,0,0,0,0,4,110,15,28,12,12,13,29,0,5,19,247,Lachlan (A)
14650,1012,188,223,224,184,196,109,211,5992,32,3,0,0,0,0,0,0,0,69,103,12862,1684,2098,411,473,353,333,307,178,770,19469,Lake Macquarie (C)
14700,1379,284,331,409,373,452,304,219,7437,3,0,0,0,0,0,0,0,0,5,7,6045,1594,2070,467,495,515,534,615,375,380,13090,Lane Cove (A)
14750,92,20,33,36,42,41,19,30,550,0,0,0,0,0,0,0,0,0,0,0,461,63,115,29,36,45,46,53,24,46,912,Leeton (A)
14850,196,57,45,58,40,57,46,42,1227,7,0,0,0,0,0,0,0,0,9,8,2757,373,395,94,67,85,58,78,54,138,4107,Lismore (C)
14870,70,16,13,8,22,20,12,22,496,5,0,0,0,0,0,0,0,0,136,138,1333,112,129,24,24,13,22,42,14,200,1920,Lithgow (C)
14900,9801,1715,1714,2360,1865,1645,1118,1676,70828,55,6,7,6,0,0,3,0,4,45,138,47592,11280,10903,1929,1942,2566,2050,1838,1201,2144,83450,Liverpool (C)
14920,11,4,7,4,0,8,3,4,65,0,0,0,0,0,0,0,0,0,0,3,241,20,22,8,13,9,0,8,3,18,350,Liverpool Plains (A)
14950,0,0,0,0,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,103,19,3,3,0,0,0,0,0,8,144,Lockhart (A)
15050,566,99,123,107,93,68,43,57,2105,7,0,0,0,0,0,0,0,0,19,33,3466,610,938,199,182,171,150,119,68,183,6086,Maitland (C)
15240,287,54,66,52,56,49,42,67,1742,27,0,0,0,0,0,0,0,0,30,62,6500,534,546,103,110,85,88,92,55,375,8483,Mid-Coast (A)
15270,80,7,32,23,6,12,3,33,480,3,0,0,0,0,0,0,0,0,4,13,1276,127,173,21,55,28,20,23,10,101,1821,Mid-Western Regional (A)
15300,80,18,20,38,28,25,3,10,359,3,0,0,0,0,0,0,0,0,3,9,385,49,130,36,37,48,33,32,11,29,788,Moree Plains (A)
15350,522,134,161,214,225,266,128,79,3331,6,0,0,0,0,0,0,0,0,0,8,4370,1151,1352,333,357,451,448,475,263,221,9420,Mosman (A)
15520,51,17,15,12,13,19,8,12,225,3,0,0,0,0,0,0,0,0,0,4,512,46,98,28,29,17,9,26,7,50,831,Murray River (A)
15560,21,0,4,6,5,18,0,3,93,0,0,0,0,0,0,0,0,0,0,0,101,31,33,7,14,11,9,20,0,15,246,Murrumbidgee (A)
15650,124,22,37,33,25,20,20,20,443,0,0,0,0,0,0,0,0,0,92,90,557,99,223,48,59,53,37,42,23,141,1291,Muswellbrook (A)
15700,39,5,16,8,14,19,4,4,294,4,0,0,0,0,0,0,0,0,7,5,1430,92,95,14,29,14,21,27,8,70,1797,Nambucca (A)
15750,59,14,5,14,6,6,9,9,210,0,0,0,0,0,0,0,0,0,3,0,349,54,94,23,11,21,10,21,9,27,616,Narrabri (A)
15800,16,0,12,8,13,6,5,14,108,0,0,0,0,0,0,0,0,0,0,0,151,27,26,6,17,19,13,15,18,24,301,Narrandera (A)
15850,9,0,5,3,3,3,0,6,49,0,0,0,0,0,0,0,0,0,0,0,168,13,11,3,6,3,5,6,0,13,235,Narromine (A)
15900,1805,427,651,674,926,984,736,476,11338,50,0,5,0,0,0,4,0,0,241,298,10185,1813,2788,675,928,897,1149,1267,901,1038,21644,Newcastle (C)
15950,2119,525,663,669,814,948,538,280,12152,9,0,5,3,0,0,0,0,0,7,26,10929,3107,3893,1053,1220,1167,1312,1533,857,604,25667,North Sydney (A)
15990,4649,860,985,1172,1445,1459,900,810,27768,53,6,10,4,0,3,3,3,0,202,278,36045,9749,10833,2222,2307,2463,2620,2462,1443,2104,72236,Northern Beaches (A)
16100,17,4,3,0,0,9,3,0,122,0,0,0,0,0,0,0,0,0,24,22,360,19,35,7,9,4,0,13,4,35,488,Oberon (A)
16150,450,115,168,106,79,73,56,58,1814,3,0,0,0,0,0,0,0,0,0,9,1883,366,639,148,222,161,110,101,76,142,3842,Orange (C)
