LGA_MAIN11,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sinhalese_BP_B_OS,Sinhalese_FO_B_OS,Sinhalese_MO_B_OS,Sinhalese_BP_B_Aus,Sinhalese_BP_NS,Sinhalese_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_Fther_only_brn_os,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_ns_Both_prnts_brn_os,Ancestry_ns_Fthr_only_brn_os,Ancestry_ns_Mthr_only_brn_os,Ancestry_ns_Bth_prnts_brn_Aus,Ancestry_ns_Country_birth_ns,Ancestry_ns_Tot_Resp,Tot_respnses_BP_B_OS,Tot_respnses_FO_B_OS,Tot_respnses_MO_B_OS,Tot_resp_BP_B_Aus,Tot_responses_Count_birth_ns,Tot_responses_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,LGA_NAME11
55250,4,30,36,392,19,481,0,0,0,123,0,123,9,0,0,5,0,14,3,0,0,0,0,3,14,3,3,4,0,24,81,24,37,193,5,340,5,0,3,0,0,8,3,0,0,0,0,3,13,3,4,20,0,40,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,18,3,5,58,4,88,4,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,18,14,4,0,0,0,18,6,0,0,4,0,10,0,0,0,0,0,0,15,5,7,35,0,62,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,9,39,3,11,18,0,71,5,0,0,81,247,333,266,78,106,946,275,1671,226,51,Meekatharra (S)
55390,0,4,3,73,0,80,0,0,0,196,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,54,0,77,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,3,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,16,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,3,3,0,9,0,0,0,4,16,20,25,17,13,372,16,443,23,7,Menzies (S)
55460,20,135,122,1181,48,1506,0,3,0,25,0,28,72,0,0,7,6,85,12,4,0,3,0,19,26,15,8,21,0,70,257,141,109,762,45,1314,15,0,0,0,0,15,0,4,0,3,0,7,11,8,4,65,0,88,0,3,0,3,0,6,0,0,0,0,0,0,11,0,0,3,0,14,30,20,10,200,4,264,46,25,8,68,4,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,10,4,4,3,0,21,19,10,11,0,0,40,13,0,0,3,0,16,0,0,0,0,0,0,65,26,15,162,5,273,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,10,0,0,0,7,0,7,0,0,0,0,0,0,7,0,0,0,0,7,8,0,0,10,3,21,79,14,5,30,3,131,10,6,3,48,153,220,727,418,299,2607,271,4322,624,256,Merredin (S)
56620,0,8,3,65,4,80,0,3,0,1155,3,1161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,20,6,0,42,0,68,3,0,3,0,0,6,0,0,0,0,0,0,3,0,0,7,0,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,25,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,6,4,4,12,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,16,0,38,0,0,3,27,50,80,70,21,19,1352,57,1519,64,17,Ngaanyatjarraku (S)
56730,67,440,358,3430,112,4407,0,0,3,53,0,56,43,0,9,4,3,59,10,3,3,9,3,28,106,29,16,45,4,200,1038,444,338,2450,113,4383,112,0,3,0,0,115,22,5,0,17,0,44,105,28,22,193,6,354,11,0,0,5,4,20,12,3,0,3,0,18,27,5,4,5,0,41,160,81,43,549,10,843,72,32,10,117,3,234,3,0,0,0,0,3,0,0,0,3,3,6,0,0,0,3,0,3,9,0,3,3,0,15,32,17,7,0,0,56,56,23,11,4,0,94,116,14,11,38,3,182,13,3,3,6,0,25,226,86,60,524,15,911,22,0,3,0,0,25,4,0,0,0,0,4,51,4,3,3,0,61,6,0,3,6,0,15,0,0,0,0,0,0,9,0,0,0,0,9,26,7,8,17,0,58,253,54,29,93,9,438,39,13,9,182,811,1054,2650,1291,959,7762,1099,13761,2204,783,Northam (S)
55530,4,15,17,215,10,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,19,14,22,131,3,189,6,0,3,0,0,9,0,0,0,0,0,0,0,4,4,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,37,0,56,3,3,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,28,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,0,6,0,0,3,8,13,24,53,48,59,437,29,626,44,31,Mingenew (S)
55810,0,14,10,263,21,308,0,0,0,7,0,7,4,0,0,0,0,4,0,0,0,3,0,3,3,4,3,0,0,10,36,11,11,118,6,182,4,0,0,0,0,4,3,0,0,0,0,3,9,3,0,15,0,27,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,3,8,43,5,72,3,0,0,3,0,6,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,5,8,18,0,44,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,8,0,8,17,3,7,4,0,31,3,0,0,14,51,68,122,47,53,496,83,801,90,29,Mount Magnet (S)
55600,10,86,80,1048,30,1254,0,0,0,9,3,12,0,0,0,0,0,0,3,0,3,8,0,14,34,8,7,28,0,77,158,72,68,643,18,959,16,0,0,0,0,16,3,0,0,3,0,6,14,3,5,42,0,64,4,0,0,0,0,4,0,0,0,0,0,0,6,0,3,4,0,13,33,8,3,140,6,190,11,3,3,40,3,60,0,0,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,0,0,4,0,3,0,7,27,0,3,7,0,37,8,3,3,0,0,14,0,3,0,0,0,3,0,0,0,0,0,0,50,15,16,132,0,213,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,0,14,34,3,3,16,0,56,11,3,3,46,110,173,440,218,200,2181,170,3209,377,148,Moora (S)
55880,3,24,12,183,7,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,3,0,6,37,31,14,163,3,248,3,0,0,0,0,3,4,0,0,3,0,7,6,0,0,13,0,19,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,45,3,48,4,3,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,10,0,0,0,0,0,0,4,3,0,4,0,11,0,0,0,0,0,0,12,5,3,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,9,15,92,66,33,472,22,685,63,37,Mount Marshall (S)
56790,15,112,84,1213,55,1479,0,0,0,35,3,38,3,0,0,3,0,6,0,0,0,3,0,3,25,8,4,4,0,41,313,118,96,796,35,1358,3,0,0,0,0,3,3,3,0,3,0,9,34,14,7,69,3,127,0,0,0,7,0,7,3,0,0,0,0,3,4,0,0,3,0,7,36,19,21,181,5,262,23,9,8,43,4,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,14,0,3,0,3,20,14,3,3,0,3,23,3,0,3,9,0,15,0,0,0,0,0,0,85,21,20,152,0,278,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,7,0,26,43,10,9,19,0,81,18,6,6,55,138,223,664,323,267,2612,249,4115,558,210,Northampton (S)
