lga_code_2016,count_home_census_nt_0_14_yr,count_hom_census_nt_15_24_yr,count_hom_census_nt_25_34_yr,count_hom_census_nt_35_44_yr,count_hom_census_nt_45_54_yr,count_hom_census_nt_55_64_yr,count_hom_census_nt_65_74_yr,count_hom_census_nt_75_84_yr,count_hom_census_nt_85ov,counted_home_census_night_tot,vis_same_sa2_0_14_yr,vis_same_sa2_15_24_yr,vis_same_sa2_25_34_yr,vis_same_sa2_35_44_yr,vis_same_sa2_45_54_yr,vis_same_sa2_55_64_yr,vis_same_sa2_65_74_yr,vis_same_sa2_75_84_yr,vis_same_sa2_85ov,vis_same_sa2_total,vis_diff_sa2_nsw_0_14_yr,vis_diff_sa2_nsw_15_24_yr,vis_diff_sa2_nsw_25_34_yr,vis_diff_sa2_nsw_35_44_yr,vis_diff_sa2_nsw_45_54_yr,vis_diff_sa2_nsw_55_64_yr,vis_diff_sa2_nsw_65_74_yr,vis_diff_sa2_nsw_75_84_yr,vis_diff_sa2_nsw_85ov,vis_diff_sa2_nsw_total,vis_diff_sa2_vic_0_14_yr,vis_diff_sa2_vic_15_24_yr,vis_diff_sa2_vic_25_34_yr,vis_diff_sa2_vic_35_44_yr,vis_diff_sa2_vic_45_54_yr,vis_diff_sa2_vic_55_64_yr,vis_diff_sa2_vic_65_74_yr,vis_diff_sa2_vic_75_84_yr,vis_diff_sa2_vic_85ov,vis_diff_sa2_vic_total,vis_diff_sa2_qld_0_14_yr,vis_diff_sa2_qld_15_24_yr,vis_diff_sa2_qld_25_34_yr,vis_diff_sa2_qld_35_44_yr,vis_diff_sa2_qld_45_54_yr,vis_diff_sa2_qld_55_64_yr,vis_diff_sa2_qld_65_74_yr,vis_diff_sa2_qld_75_84_yr,vis_diff_sa2_qld_85ov,vis_diff_sa2_qld_total,vis_diff_sa2_sa_0_14_yr,vis_diff_sa2_sa_15_24_yr,vis_diff_sa2_sa_25_34_yr,vis_diff_sa2_sa_35_44_yr,vis_diff_sa2_sa_45_54_yr,vis_diff_sa2_sa_55_64_yr,vis_diff_sa2_sa_65_74_yr,vis_diff_sa2_sa_75_84_yr,vis_diff_sa2_sa_85ov,vis_diff_sa2_sa_total,vis_diff_sa2_wa_0_14_yr,vis_diff_sa2_wa_15_24_yr,vis_diff_sa2_wa_25_34_yr,vis_diff_sa2_wa_35_44_yr,vis_diff_sa2_wa_45_54_yr,vis_diff_sa2_wa_55_64_yr,vis_diff_sa2_wa_65_74_yr,vis_diff_sa2_wa_75_84_yr,vis_diff_sa2_wa_85ov,vis_diff_sa2_wa_total,vis_diff_sa2_tas_0_14_yr,vis_diff_sa2_tas_15_24_yr,vis_diff_sa2_tas_25_34_yr,vis_diff_sa2_tas_35_44_yr,vis_diff_sa2_tas_45_54_yr,vis_diff_sa2_tas_55_64_yr,vis_diff_sa2_tas_65_74_yr,vis_diff_sa2_tas_75_84_yr,vis_diff_sa2_tas_85ov,vis_diff_sa2_tas_total,vis_diff_sa2_nt_0_14_yr,vis_diff_sa2_nt_15_24_yr,vis_diff_sa2_nt_25_34_yr,vis_diff_sa2_nt_35_44_yr,vis_diff_sa2_nt_45_54_yr,vis_diff_sa2_nt_55_64_yr,vis_diff_sa2_nt_65_74_yr,vis_diff_sa2_nt_75_84_yr,vis_diff_sa2_nt_85ov,vis_diff_sa2_nt_total,vis_diff_sa2_act_0_14_yr,vis_diff_sa2_act_15_24_yr,vis_diff_sa2_act_25_34_yr,vis_diff_sa2_act_35_44_yr,vis_diff_sa2_act_45_54_yr,vis_diff_sa2_act_55_64_yr,vis_diff_sa2_act_65_74_yr,vis_diff_sa2_act_75_84_yr,vis_diff_sa2_act_85ov,vis_diff_sa2_act_total,vis_diff_sa2_ot_0_14_yr,vis_diff_sa2_ot_15_24_yr,vis_diff_sa2_ot_25_34_yr,vis_diff_sa2_ot_35_44_yr,vis_diff_sa2_ot_45_54_yr,vis_diff_sa2_ot_55_64_yr,vis_diff_sa2_ot_65_74_yr,vis_diff_sa2_ot_75_84_yr,vis_diff_sa2_ot_85ov,vis_diff_sa2_ot_total,vis_diff_sa2_tot_0_14_yr,vis_diff_sa2_tot_15_24_yr,vis_diff_sa2_tot_25_34_yr,vis_diff_sa2_tot_35_44_yr,vis_diff_sa2_tot_45_54_yr,vis_diff_sa2_tot_55_64_yr,vis_diff_sa2_tot_65_74_yr,vis_diff_sa2_tot_75_84_yr,vis_diff_sa2_tot_85ov,vis_diff_sa2_tot_total,tot_visitrs_0_14_yr,tot_visitrs_15_24_yr,tot_visitrs_25_34_yr,tot_visitrs_35_44_yr,tot_visitrs_45_54_yr,tot_visitrs_55_64_yr,tot_visitrs_65_74_yr,tot_visitrs_75_84_yr,tot_visitrs_85ov,tot_visitrs_total,os_vis_0_14_yr,os_vis_15_24_yr,os_vis_25_34_yr,os_vis_35_44_yr,os_vis_45_54_yr,os_vis_55_64_yr,os_vis_65_74_yr,os_vis_75_84_yr,os_vis_85_yr_over,os_vis_tot,total_0_14_yr,total_15_24_yr,total_25_34_yr,total_35_44_yr,total_45_54_yr,total_55_64_yr,total_65_74_yr,total_75_84_yr,total_85ov,total_total,lga_name16
10850,1469,714,662,825,977,939,701,403,159,6852,5,3,0,0,0,0,0,0,0,14,34,30,31,20,26,23,19,5,3,186,3,0,0,0,0,3,0,0,0,9,0,0,0,5,0,4,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,29,37,24,28,35,16,5,3,214,39,32,36,24,28,35,22,6,3,227,0,4,0,0,0,0,0,0,0,9,1509,754,693,856,1008,971,722,415,160,7089,Blayney (A)
10900,13732,7943,6558,9298,10489,11081,8633,3893,1515,73142,12,17,12,7,10,12,9,8,0,82,216,370,401,261,274,353,335,136,85,2437,10,10,13,18,30,22,9,4,0,109,23,14,26,30,18,35,28,0,0,183,0,0,3,11,3,10,0,0,0,21,0,3,21,8,6,9,0,3,0,49,0,0,0,0,0,9,5,0,0,19,0,0,0,3,0,0,0,0,0,4,0,3,5,3,3,7,3,0,0,26,0,0,0,0,0,0,0,0,0,0,252,397,466,341,338,442,394,146,84,2853,260,412,479,346,349,453,402,155,86,2936,122,219,135,130,138,110,54,15,8,931,14118,8579,7176,9774,10967,11647,9084,4057,1613,77003,Blue Mountains (C)
10950,518,281,288,276,364,252,262,179,61,2467,0,3,3,0,0,3,0,0,0,7,6,25,42,21,23,29,24,4,0,179,3,0,0,0,3,0,0,3,0,15,0,5,6,0,8,5,0,3,0,18,0,0,0,0,0,0,7,0,0,7,0,0,0,4,0,4,0,0,0,8,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,29,55,35,35,36,29,6,0,239,13,32,57,35,35,37,29,6,0,254,0,0,3,0,0,0,0,0,0,3,524,314,350,305,399,293,292,185,59,2721,Bogan (A)
11100,7782,6200,8391,6921,5703,4293,3159,1998,732,45172,11,6,10,8,5,6,3,3,0,59,122,155,292,203,234,168,140,55,14,1382,6,11,46,54,68,43,14,4,0,240,0,18,38,49,41,34,18,0,0,205,0,7,5,11,27,14,4,0,0,71,0,4,16,39,35,11,3,0,0,109,4,0,3,8,13,6,7,0,0,50,0,0,6,3,5,0,3,0,0,16,0,8,5,15,10,9,3,0,0,48,0,0,0,0,0,0,0,0,0,0,137,214,412,379,430,280,181,58,18,2119,142,221,425,389,440,291,188,60,16,2176,35,260,272,232,144,188,102,27,5,1259,7960,6682,9084,7539,6290,4763,3451,2080,758,48602,Botany Bay (C)
11150,589,241,334,273,359,289,197,99,38,2413,5,3,5,4,0,3,0,0,0,24,22,38,56,39,66,81,62,7,0,386,6,0,0,3,7,31,51,13,0,113,0,0,5,3,19,15,16,0,0,53,3,0,0,9,0,11,14,3,0,31,0,0,0,3,5,8,3,0,0,20,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,36,42,61,61,102,153,149,19,3,614,42,46,70,59,102,155,146,19,3,636,0,3,0,3,3,0,0,0,0,9,624,284,402,337,463,441,345,120,34,3060,Bourke (A)
11200,365,194,218,147,238,197,101,45,21,1519,0,0,0,4,3,0,0,0,0,9,9,16,13,9,32,29,18,3,0,133,0,0,0,0,0,0,5,3,0,6,3,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,15,9,34,28,24,14,0,154,13,20,15,13,39,30,24,14,0,168,0,0,0,0,0,3,0,0,0,7,375,211,233,161,280,233,124,54,21,1692,Brewarrina (A)
11250,2816,1706,1901,1714,2170,2447,1877,1147,551,16337,11,13,8,5,4,11,4,9,0,52,79,149,140,89,139,145,132,47,16,946,4,8,20,10,33,61,80,17,3,230,3,5,13,7,14,16,10,0,0,60,3,14,23,23,38,48,55,8,4,222,3,0,0,5,3,0,30,0,0,38,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,88,178,196,138,230,285,315,69,26,1528,102,191,205,147,234,289,320,75,26,1586,0,7,3,10,12,16,18,6,0,60,2921,1900,2111,1869,2417,2753,2210,1231,580,17983,Broken Hill (C)
13910,3502,1826,1559,1904,2324,2366,2186,1200,481,17341,7,7,3,3,3,5,9,8,3,47,75,107,96,84,83,111,76,45,32,698,5,15,4,4,4,9,9,0,0,56,3,5,3,3,4,4,7,0,0,26,0,0,3,3,0,3,0,0,0,14,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,4,7,6,10,4,3,0,61,0,0,0,0,0,0,0,0,0,0,90,146,107,99,100,144,98,48,32,865,94,156,117,106,107,144,108,51,32,912,0,12,12,0,6,10,9,0,0,53,3595,1993,1687,2008,2439,2524,2302,1255,519,18308,Hilltops (A)
14000,27476,17508,14100,20079,20474,16573,11582,6714,3668,138168,8,24,8,15,7,7,9,5,8,86,280,421,432,291,265,270,267,195,191,2603,6,3,9,16,14,8,19,11,0,91,8,18,12,15,11,27,21,8,4,128,3,0,0,4,6,8,3,3,0,19,3,3,8,0,7,4,7,3,0,33,0,0,0,0,3,3,4,8,0,20,0,4,0,3,3,0,0,0,0,9,5,7,12,3,4,3,6,0,0,41,0,0,0,0,0,0,0,0,0,0,302,465,479,334,309,324,324,224,200,2955,312,487,484,345,315,333,332,228,203,3037,140,237,172,157,182,506,363,89,13,1853,27932,18228,14760,20576,20968,17410,12272,7031,3883,143062,Hornsby (A)
14100,2599,1779,1070,1636,1922,1558,1340,808,707,13426,3,3,0,0,0,0,0,4,0,14,25,55,58,28,35,37,32,26,34,332,0,0,0,0,0,0,3,0,0,4,4,3,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,29,59,58,37,38,39,39,29,34,361,27,64,58,34,41,39,41,30,34,370,22,23,18,23,18,12,7,3,0,120,2650,1867,1143,1693,1984,1610,1385,848,740,13923,Hunters Hill (A)
14170,27341,18637,35269,30488,24200,17668,11584,6488,2998,174671,6,17,19,18,16,10,10,15,6,125,343,647,977,626,513,447,350,180,130,4219,6,19,49,35,48,30,29,6,0,232,5,28,40,45,36,33,35,5,4,225,0,5,9,4,5,13,13,5,4,59,3,9,10,16,9,16,12,5,0,80,0,3,3,7,0,13,7,4,0,42,0,3,0,4,3,0,0,0,0,10,3,12,10,9,13,14,19,10,0,86,0,0,0,0,3,0,0,0,0,3,359,727,1102,746,633,567,458,222,135,4952,365,745,1125,765,655,576,469,238,143,5073,145,544,533,216,233,309,197,38,13,2236,27849,19930,36923,31473,25086,18560,12246,6766,3155,181983,Inner West (A)
14200,3175,1771,1597,1658,1949,2044,1775,1085,381,15429,11,3,6,11,3,5,5,0,3,48,84,106,97,79,82,90,79,34,14,657,0,0,8,0,0,7,4,3,0,23,11,15,21,11,13,26,20,3,3,133,0,0,0,0,0,3,4,3,0,13,0,0,0,0,0,5,3,0,0,8,0,0,0,0,0,3,3,3,0,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,104,124,124,91,96,142,122,49,16,855,115,122,129,98,104,145,125,49,13,905,11,30,4,7,0,13,8,0,0,78,3302,1926,1728,1760,2049,2202,1901,1137,398,16411,Inverell (A)
14300,1086,686,828,829,799,803,563,257,108,5961,0,3,0,0,0,3,0,4,0,11,21,24,28,10,11,13,13,7,6,139,0,0,3,6,0,7,5,0,0,19,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,25,35,11,9,30,20,7,6,172,21,26,40,14,9,32,23,13,5,187,6,3,3,0,0,0,0,0,0,16,1119,715,866,842,809,839,587,274,110,6162,Junee (A)
14350,4846,2778,2487,2766,3523,4420,3761,1906,839,27327,18,13,9,7,12,18,3,4,4,83,106,154,174,136,136,245,245,84,25,1312,10,5,11,8,17,49,85,40,5,225,9,23,17,17,30,39,25,5,0,169,0,0,0,0,0,3,14,0,0,19,0,0,3,6,0,0,0,0,0,8,3,0,0,0,0,3,10,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,7,14,0,0,33,0,0,0,0,0,0,0,0,0,0,136,183,210,166,191,343,390,131,30,1785,148,196,219,176,201,360,397,137,35,1868,12,24,40,6,15,14,14,0,0,121,5005,3001,2748,2949,3735,4788,4174,2050,878,29321,Kempsey (A)
14400,3530,2165,1703,2231,2650,3178,2571,1402,652,20083,0,0,4,0,0,8,0,5,4,20,67,113,101,64,95,136,103,47,20,739,0,0,5,8,12,10,13,9,3,59,0,3,4,0,0,11,14,3,0,35,0,0,3,0,0,3,3,0,0,9,0,0,4,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,7,0,0,3,0,0,0,0,0,0,0,0,5,3,4,4,11,4,3,0,31,0,0,0,0,0,0,0,0,0,0,71,124,116,81,111,171,140,58,23,894,71,124,119,79,112,179,140,63,22,911,10,30,27,10,10,8,6,3,0,107,3606,2320,1847,2324,2777,3369,2721,1473,677,21106,Kiama (A)
14500,23508,15375,9213,14643,17974,12970,9923,6572,3787,113971,14,3,4,3,6,7,10,6,11,63,265,399,349,212,207,269,241,235,242,2421,12,12,3,13,11,6,9,11,8,90,7,12,9,8,17,15,25,14,3,115,0,0,0,3,0,6,14,0,0,23,0,4,5,3,0,4,4,3,0,33,0,3,0,0,3,3,4,3,0,15,3,3,0,0,5,0,0,0,0,16,3,4,13,3,3,3,4,0,3,35,0,0,0,0,0,0,0,0,0,0,286,446,380,248,249,307,312,261,251,2745,300,451,387,251,254,312,317,268,265,2807,270,347,198,185,229,435,273,90,8,2033,24073,16173,9795,15083,18463,13718,10510,6929,4069,118816,Ku-ring-gai (A)
