lga_code_2016,count_home_census_nt_0_14_yr,count_hom_census_nt_15_24_yr,count_hom_census_nt_25_34_yr,count_hom_census_nt_35_44_yr,count_hom_census_nt_45_54_yr,count_hom_census_nt_55_64_yr,count_hom_census_nt_65_74_yr,count_hom_census_nt_75_84_yr,count_hom_census_nt_85ov,counted_home_census_night_tot,vis_same_sa2_0_14_yr,vis_same_sa2_15_24_yr,vis_same_sa2_25_34_yr,vis_same_sa2_35_44_yr,vis_same_sa2_45_54_yr,vis_same_sa2_55_64_yr,vis_same_sa2_65_74_yr,vis_same_sa2_75_84_yr,vis_same_sa2_85ov,vis_same_sa2_total,vis_diff_sa2_nsw_0_14_yr,vis_diff_sa2_nsw_15_24_yr,vis_diff_sa2_nsw_25_34_yr,vis_diff_sa2_nsw_35_44_yr,vis_diff_sa2_nsw_45_54_yr,vis_diff_sa2_nsw_55_64_yr,vis_diff_sa2_nsw_65_74_yr,vis_diff_sa2_nsw_75_84_yr,vis_diff_sa2_nsw_85ov,vis_diff_sa2_nsw_total,vis_diff_sa2_vic_0_14_yr,vis_diff_sa2_vic_15_24_yr,vis_diff_sa2_vic_25_34_yr,vis_diff_sa2_vic_35_44_yr,vis_diff_sa2_vic_45_54_yr,vis_diff_sa2_vic_55_64_yr,vis_diff_sa2_vic_65_74_yr,vis_diff_sa2_vic_75_84_yr,vis_diff_sa2_vic_85ov,vis_diff_sa2_vic_total,vis_diff_sa2_qld_0_14_yr,vis_diff_sa2_qld_15_24_yr,vis_diff_sa2_qld_25_34_yr,vis_diff_sa2_qld_35_44_yr,vis_diff_sa2_qld_45_54_yr,vis_diff_sa2_qld_55_64_yr,vis_diff_sa2_qld_65_74_yr,vis_diff_sa2_qld_75_84_yr,vis_diff_sa2_qld_85ov,vis_diff_sa2_qld_total,vis_diff_sa2_sa_0_14_yr,vis_diff_sa2_sa_15_24_yr,vis_diff_sa2_sa_25_34_yr,vis_diff_sa2_sa_35_44_yr,vis_diff_sa2_sa_45_54_yr,vis_diff_sa2_sa_55_64_yr,vis_diff_sa2_sa_65_74_yr,vis_diff_sa2_sa_75_84_yr,vis_diff_sa2_sa_85ov,vis_diff_sa2_sa_total,vis_diff_sa2_wa_0_14_yr,vis_diff_sa2_wa_15_24_yr,vis_diff_sa2_wa_25_34_yr,vis_diff_sa2_wa_35_44_yr,vis_diff_sa2_wa_45_54_yr,vis_diff_sa2_wa_55_64_yr,vis_diff_sa2_wa_65_74_yr,vis_diff_sa2_wa_75_84_yr,vis_diff_sa2_wa_85ov,vis_diff_sa2_wa_total,vis_diff_sa2_tas_0_14_yr,vis_diff_sa2_tas_15_24_yr,vis_diff_sa2_tas_25_34_yr,vis_diff_sa2_tas_35_44_yr,vis_diff_sa2_tas_45_54_yr,vis_diff_sa2_tas_55_64_yr,vis_diff_sa2_tas_65_74_yr,vis_diff_sa2_tas_75_84_yr,vis_diff_sa2_tas_85ov,vis_diff_sa2_tas_total,vis_diff_sa2_nt_0_14_yr,vis_diff_sa2_nt_15_24_yr,vis_diff_sa2_nt_25_34_yr,vis_diff_sa2_nt_35_44_yr,vis_diff_sa2_nt_45_54_yr,vis_diff_sa2_nt_55_64_yr,vis_diff_sa2_nt_65_74_yr,vis_diff_sa2_nt_75_84_yr,vis_diff_sa2_nt_85ov,vis_diff_sa2_nt_total,vis_diff_sa2_act_0_14_yr,vis_diff_sa2_act_15_24_yr,vis_diff_sa2_act_25_34_yr,vis_diff_sa2_act_35_44_yr,vis_diff_sa2_act_45_54_yr,vis_diff_sa2_act_55_64_yr,vis_diff_sa2_act_65_74_yr,vis_diff_sa2_act_75_84_yr,vis_diff_sa2_act_85ov,vis_diff_sa2_act_total,vis_diff_sa2_ot_0_14_yr,vis_diff_sa2_ot_15_24_yr,vis_diff_sa2_ot_25_34_yr,vis_diff_sa2_ot_35_44_yr,vis_diff_sa2_ot_45_54_yr,vis_diff_sa2_ot_55_64_yr,vis_diff_sa2_ot_65_74_yr,vis_diff_sa2_ot_75_84_yr,vis_diff_sa2_ot_85ov,vis_diff_sa2_ot_total,vis_diff_sa2_tot_0_14_yr,vis_diff_sa2_tot_15_24_yr,vis_diff_sa2_tot_25_34_yr,vis_diff_sa2_tot_35_44_yr,vis_diff_sa2_tot_45_54_yr,vis_diff_sa2_tot_55_64_yr,vis_diff_sa2_tot_65_74_yr,vis_diff_sa2_tot_75_84_yr,vis_diff_sa2_tot_85ov,vis_diff_sa2_tot_total,tot_visitrs_0_14_yr,tot_visitrs_15_24_yr,tot_visitrs_25_34_yr,tot_visitrs_35_44_yr,tot_visitrs_45_54_yr,tot_visitrs_55_64_yr,tot_visitrs_65_74_yr,tot_visitrs_75_84_yr,tot_visitrs_85ov,tot_visitrs_total,os_vis_0_14_yr,os_vis_15_24_yr,os_vis_25_34_yr,os_vis_35_44_yr,os_vis_45_54_yr,os_vis_55_64_yr,os_vis_65_74_yr,os_vis_75_84_yr,os_vis_85_yr_over,os_vis_tot,total_0_14_yr,total_15_24_yr,total_25_34_yr,total_35_44_yr,total_45_54_yr,total_55_64_yr,total_65_74_yr,total_75_84_yr,total_85ov,total_total,lga_name16
10050,9310,6263,6017,5910,6117,5941,4415,2628,1243,47832,11,7,8,11,10,6,0,16,3,76,172,309,248,172,179,184,134,87,53,1547,48,170,187,131,168,143,113,31,15,1015,0,7,16,5,19,18,17,0,0,81,0,3,5,9,17,15,0,0,0,47,4,12,21,9,9,10,15,4,0,82,4,8,0,0,4,7,7,0,0,23,0,0,0,0,0,0,0,0,0,3,3,12,9,8,10,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,235,519,491,336,402,391,276,130,70,2853,251,525,501,347,419,398,282,141,74,2930,18,42,35,30,26,53,22,6,0,232,9582,6825,6547,6282,6564,6390,4712,2769,1320,50991,Albury (C)
10130,5164,4813,3192,2931,3421,3254,2495,1441,601,27311,20,30,16,5,14,0,0,5,3,98,122,831,223,140,138,168,123,59,29,1826,4,21,14,6,12,17,21,7,0,100,12,77,37,21,26,22,35,0,0,227,7,16,11,0,3,3,11,4,0,47,0,0,0,3,3,0,5,0,0,9,0,0,0,3,3,0,7,4,0,20,0,0,0,3,3,0,0,0,0,9,0,10,4,7,0,0,3,3,0,30,0,0,0,0,0,0,0,0,0,0,141,957,288,179,185,212,201,77,30,2269,167,988,308,187,192,215,202,83,32,2374,30,94,73,43,38,23,14,0,0,326,5360,5894,3574,3166,3653,3494,2707,1526,637,30007,Armidale Regional (A)
10250,6730,3731,3328,4429,5473,6021,5110,3021,1690,39536,5,4,10,7,9,10,12,9,3,67,147,159,173,159,178,246,276,115,60,1506,7,15,21,7,11,74,91,33,5,266,18,52,51,36,53,78,66,4,3,348,4,0,3,0,0,14,24,7,0,57,0,3,3,3,0,6,12,0,0,26,0,0,3,0,3,9,24,9,0,41,0,0,0,3,0,0,4,0,0,8,0,0,3,3,0,13,5,0,0,32,0,0,0,0,0,0,0,0,0,0,176,225,249,214,250,437,486,170,67,2279,182,227,260,220,257,444,497,181,73,2345,24,47,39,16,21,21,18,6,0,190,6929,4012,3628,4667,5746,6484,5628,3209,1767,42080,Ballina (A)
10300,473,241,223,256,274,359,198,115,34,2172,3,0,0,0,0,0,0,0,0,6,4,6,18,7,11,28,26,10,0,108,6,24,19,15,27,16,15,0,0,119,3,3,10,3,11,9,0,0,0,34,0,0,10,6,0,11,7,3,0,44,0,0,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,31,57,35,52,65,46,13,0,323,16,31,57,35,52,65,46,13,3,327,4,0,3,0,9,4,0,0,0,18,494,271,285,289,335,425,243,132,34,2518,Balranald (A)
10470,7923,5686,4875,4658,4970,4638,3545,1877,851,39021,13,11,8,6,4,14,0,3,3,71,151,794,233,155,186,154,127,81,37,1919,0,9,6,5,4,15,3,3,3,48,9,15,9,7,5,16,12,0,0,68,0,0,0,3,0,0,3,0,0,10,0,0,0,3,0,3,3,0,0,10,0,0,0,0,0,5,8,0,0,15,0,3,0,0,0,0,0,0,0,10,0,15,8,3,4,4,9,0,0,43,0,0,0,0,0,0,0,0,0,0,156,834,258,182,204,203,167,86,38,2127,173,844,267,183,206,213,171,91,42,2198,14,24,17,8,16,12,12,3,0,98,8111,6559,5159,4855,5195,4859,3721,1972,896,41317,Bathurst Regional (A)
10550,5084,2680,2247,2933,4291,5564,4516,2325,946,30597,17,19,9,10,11,10,8,3,0,70,111,147,166,131,133,256,168,69,29,1204,16,16,28,53,59,135,225,180,39,752,7,0,5,10,10,12,26,0,0,79,0,0,3,3,3,3,3,0,0,22,0,4,3,0,3,3,3,0,0,21,6,0,0,5,3,4,17,4,0,37,0,0,0,0,3,3,4,0,0,11,19,10,26,17,24,53,29,23,0,204,0,0,0,0,0,0,0,0,0,0,153,186,239,216,241,475,475,277,67,2331,167,201,241,227,246,491,482,283,67,2404,16,27,12,11,20,27,7,5,3,128,5268,2913,2501,3165,4561,6079,5011,2610,1021,33132,Bega Valley (A)
10600,2146,1030,887,1248,1721,2099,1584,885,350,11951,3,0,4,0,4,0,5,5,0,27,41,55,51,36,50,92,106,46,22,496,0,8,9,0,7,18,59,24,0,116,3,9,10,11,3,27,16,9,0,83,0,0,0,0,0,3,17,3,0,21,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,46,74,68,46,61,141,205,76,26,737,48,74,72,51,64,142,206,79,26,762,3,7,3,12,3,7,5,0,0,37,2198,1110,959,1308,1793,2240,1796,964,375,12750,Bellingen (A)
10650,1410,703,695,818,883,1187,1187,652,291,7817,0,4,0,3,0,3,3,0,0,17,14,15,14,9,25,36,27,4,4,145,17,37,34,37,37,66,66,24,5,314,0,3,3,5,0,6,9,0,0,28,0,0,0,3,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,56,46,53,64,109,94,33,7,504,31,57,46,57,67,113,103,33,10,517,9,3,3,8,3,3,4,3,0,34,1455,764,750,877,947,1298,1290,685,297,8368,Berrigan (A)
10750,75489,44725,50562,50189,41061,32799,20794,9280,3398,328305,93,76,72,69,48,46,34,21,7,451,916,1073,1283,824,674,545,455,275,131,6166,11,10,37,37,72,32,18,6,0,219,17,27,49,68,42,42,34,6,0,295,9,6,14,10,17,9,7,3,0,77,7,6,22,12,10,11,10,0,0,80,0,0,4,3,5,8,8,0,0,32,0,3,0,0,0,0,3,0,0,9,3,9,18,10,7,3,3,0,0,51,0,0,0,0,3,0,0,0,0,3,962,1135,1430,967,837,637,534,291,135,6931,1056,1212,1502,1033,882,682,565,314,135,7382,215,344,371,255,461,1170,791,178,22,3790,76754,46282,52441,51474,42408,34654,22150,9772,3551,339473,Blacktown (C)
10800,1206,521,546,644,681,798,578,409,194,5576,0,3,0,3,3,4,0,0,0,15,12,42,40,37,39,46,26,24,8,273,3,0,15,0,3,7,22,5,0,57,3,3,7,7,9,11,0,0,0,49,10,3,3,3,3,3,7,3,0,31,0,0,3,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,28,48,77,48,56,75,67,29,8,438,28,51,77,50,60,77,68,32,8,454,0,3,5,4,0,0,3,0,0,11,1232,574,625,699,745,874,651,441,203,6040,Bland (A)
