LGA_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,LGA_NAME11
11600,299,588,8,34,41,169,6,33,161,646,216,882,7,22,23,63,42,131,72,216,288,1098,3,11,6,16,3,11,38,127,50,165,0,8,0,0,36,67,36,75,86,240,7,16,680,1942,Carrathool (A)
11700,192,375,8,40,15,84,7,43,96,372,126,539,3,11,4,15,26,76,33,102,159,641,3,13,5,21,3,22,55,186,66,242,3,0,9,22,37,88,49,110,115,352,13,30,479,1398,Central Darling (A)
11720,5047,10037,128,695,508,2378,271,1251,3075,12243,3982,16567,238,1000,332,1059,1204,3812,1774,5871,5756,22438,49,224,179,639,119,432,1315,3658,1662,4953,83,251,177,406,876,1878,1136,2535,2798,7488,170,345,13771,40308,Cessnock (C)
11730,6381,12593,90,527,527,2444,190,885,2396,9651,3203,13507,180,724,386,1183,885,2722,1451,4629,4654,18136,39,184,202,704,85,332,1165,3241,1491,4461,66,194,218,475,679,1404,963,2073,2454,6534,189,402,13678,37665,Clarence Valley (A)
11750,488,949,5,40,45,193,23,94,324,1294,397,1621,14,65,28,76,61,187,103,328,500,1949,0,8,9,29,6,10,88,236,103,283,0,4,14,31,58,117,72,152,175,435,18,44,1181,3377,Cobar (A)
11800,7949,15711,132,736,759,3503,212,956,3772,14834,4875,20029,282,1122,612,1947,1205,3675,2099,6744,6974,26773,42,191,283,1017,135,494,1663,4465,2123,6167,110,336,347,751,972,2019,1429,3106,3552,9273,195,399,18670,52156,Coffs Harbour (C)
11860,186,364,4,22,32,163,5,15,113,481,154,681,9,23,15,47,27,91,51,161,205,842,0,0,0,9,0,0,17,43,17,52,0,0,0,7,13,22,13,29,30,81,7,13,428,1300,Conargo (A)
12000,496,982,11,64,59,280,10,44,243,1044,323,1432,18,79,29,100,74,225,121,404,444,1836,5,16,4,24,6,29,75,216,90,285,3,10,14,30,36,73,53,113,143,398,11,24,1094,3240,Coolamon (A)
17100,2812,5737,65,365,548,2580,69,295,2170,8234,2852,11474,342,1517,598,2112,841,2757,1781,6386,4633,17860,7,41,86,293,33,134,351,899,477,1367,74,231,207,495,532,1174,813,1900,1290,3267,247,550,8982,27414,Strathfield (A)
17150,20245,40121,449,2420,2814,12809,638,2841,14944,58672,18845,76742,2192,9225,2542,8974,6129,19775,10863,37974,29708,114716,75,291,495,1683,218,745,2564,6673,3352,9392,472,1519,835,1893,3164,6812,4471,10224,7823,19616,706,1465,58482,175918,Sutherland Shire (A)
17200,20953,41109,32,173,337,1459,85,345,5204,17924,5658,19901,207,840,660,2090,1050,3229,1917,6159,7575,26060,30,128,148,493,93,323,1307,3195,1578,4139,129,382,582,1241,1503,3144,2214,4767,3792,8906,1671,3534,33991,79609,Sydney (C)
17310,6223,12273,91,490,608,2780,189,857,3298,13068,4186,17195,208,845,441,1359,1094,3346,1743,5550,5929,22745,42,185,177,636,122,412,1394,4003,1735,5236,65,206,213,459,824,1751,1102,2416,2837,7652,219,460,15208,43130,Tamworth Regional (A)
17350,717,1420,15,86,71,346,23,104,318,1316,427,1852,21,86,53,150,96,291,170,527,597,2379,4,13,16,58,4,16,105,301,129,388,5,16,20,39,72,160,97,215,226,603,16,36,1556,4438,Temora (A)
18150,871,1729,18,83,95,431,26,131,433,1767,572,2412,24,95,41,124,148,451,213,670,785,3082,6,34,21,83,29,100,228,673,284,890,13,38,20,42,123,269,156,349,440,1239,47,91,2143,6141,Wellington (A)
18200,831,1653,15,89,64,309,28,128,400,1613,507,2139,33,136,53,166,114,338,200,640,707,2779,3,11,20,84,10,41,117,309,150,445,7,14,17,39,80,175,104,228,254,673,19,38,1811,5143,Wentworth (A)
18250,6357,12620,60,310,727,3199,90,385,5560,21060,6437,24954,416,1688,997,3407,1235,3923,2648,9018,9085,33972,12,43,134,428,17,46,648,1625,811,2142,120,369,461,1073,826,1747,1407,3189,2218,5331,458,972,18118,52895,Willoughby (C)
18350,5539,10911,108,576,513,2366,144,672,2569,10348,3334,13962,228,924,382,1233,833,2602,1443,4759,4777,18721,28,112,158,534,60,200,767,2088,1013,2934,62,184,180,381,577,1219,819,1784,1832,4718,123,260,12271,34610,Wingecarribee (A)
18400,3906,7811,155,839,605,2897,278,1296,3142,12820,4180,17852,370,1566,386,1284,1311,4255,2067,7105,6247,24957,23,110,123,458,80,294,647,1826,873,2688,67,207,105,234,568,1237,740,1678,1613,4366,111,240,11877,37374,Wollondilly (A)
18450,18785,37339,389,2112,2187,10100,657,2962,11709,45895,14942,61069,1273,5292,1902,6506,4598,14695,7773,26493,22715,87562,122,556,636,2252,328,1115,3360,8962,4446,12885,380,1210,860,1920,3260,7012,4500,10142,8946,23027,814,1687,51260,149615,Wollongong (C)
18500,5649,11014,49,241,474,2111,42,164,3000,11403,3565,13919,265,1023,594,2028,653,1962,1512,5013,5077,18932,3,11,94,292,15,51,485,1144,597,1498,67,195,252,559,530,1077,849,1831,1446,3329,321,670,12493,33945,Woollahra (A)
18550,15235,30402,349,1931,1672,7800,682,3154,8427,33480,11130,46365,799,3329,1155,3875,3207,10130,5161,17334,16291,63699,124,569,615,2228,440,1582,3744,10395,4923,14774,329,1062,686,1489,2743,5832,3758,8383,8681,23157,526,1071,40733,118329,Wyong (A)
18710,1718,3357,40,227,214,986,61,278,1125,4466,1440,5957,90,349,156,495,297,920,543,1764,1983,7721,9,38,23,84,17,48,180,466,229,636,15,41,51,108,140,296,206,445,435,1081,22,49,4158,12208,Yass Valley (A)
18750,1293,2544,39,205,163,758,46,207,734,2972,982,4142,53,190,96,306,199,612,348,1108,1330,5250,15,41,35,148,18,65,290,800,358,1054,16,44,29,59,155,332,200,435,558,1489,43,87,3224,9370,Young (A)
19399,122,230,3,14,7,22,4,10,83,296,97,342,3,9,7,10,18,55,28,74,125,416,0,0,3,11,0,0,10,19,13,30,0,5,0,0,13,23,13,28,26,58,3,12,276,716,Unincorporated NSW
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20110,1614,3158,18,93,157,699,22,106,641,2576,838,3474,51,200,102,316,213,652,366,1168,1204,4642,5,10,37,118,9,34,181,470,232,632,8,25,45,85,103,214,156,324,388,956,25,53,3231,8809,Alpine (S)
20260,1385,2727,17,97,124,571,36,160,591,2376,768,3204,38,146,95,291,185,564,318,1001,1086,4205,12,35,27,111,23,72,199,542,261,760,10,31,35,79,135,276,180,386,441,1146,33,66,2945,8144,Ararat (RC)
20570,9249,18296,153,836,1027,4792,246,1123,5529,22001,6955,28752,432,1800,880,2918,1538,4778,2850,9496,9805,38248,66,287,365,1286,171,602,2013,5385,2615,7560,146,471,491,1071,1270,2703,1907,4245,4522,11805,362,748,23938,69097,Ballarat (C)
20660,11310,22499,180,1002,1431,6560,236,1083,7903,30450,9750,39095,952,4007,1484,5229,3077,9873,5513,19109,15263,58204,46,201,339,1150,134,441,1520,3939,2039,5731,257,825,676,1551,2050,4452,2983,6828,5022,12559,573,1212,32168,94474,Banyule (C)
20740,3843,7582,32,170,259,1208,75,327,1600,6338,1966,8043,116,454,190,619,478,1434,784,2507,2750,10550,6,32,92,320,40,126,505,1311,643,1789,42,124,121,251,357,740,520,1115,1163,2904,80,161,7836,21197,Bass Coast (S)
20830,4890,9680,114,656,590,2758,154,707,2560,10417,3418,14538,304,1262,397,1303,865,2711,1566,5276,4984,19814,43,187,129,446,75,255,738,1998,985,2886,73,220,182,386,518,1069,773,1675,1758,4561,145,303,11777,34358,Baw Baw (S)
20910,8591,16861,130,668,1371,6080,137,603,6844,26706,8482,34057,796,3227,1583,5567,1746,5449,4125,14243,12607,48300,23,120,215,688,35,100,929,2345,1202,3253,181,538,536,1213,1273,2690,1990,4441,3192,7694,310,650,24700,73505,Bayside (C)
21010,1806,3550,24,143,159,756,26,105,653,2613,862,3617,72,294,152,491,228,688,452,1473,1314,5090,6,23,49,169,17,74,278,774,350,1040,19,53,57,119,188,392,264,564,614,1604,36,75,3770,10319,Benalla (RC)
21110,13948,27564,201,1043,2561,11611,205,876,10567,41305,13534,54835,1464,6104,3278,11596,2941,9151,7683,26851,21217,81686,34,121,356,1156,55,181,1165,2849,1610,4307,331,1056,1021,2376,1736,3667,3088,7099,4698,11406,921,1958,40784,122614,Boroondara (C)
21180,13972,28457,451,2574,2369,11371,699,3276,10930,43003,14449,60224,1783,7839,1966,7018,5862,19442,9611,34299,24060,94523,186,935,768,2971,380,1402,3348,9518,4682,14826,527,1821,881,2143,3491,7965,4899,11929,9581,26755,1108,2491,48721,152226,Brimbank (C)
21270,833,1645,14,53,93,448,17,80,334,1447,458,2028,19,86,81,237,106,330,206,653,664,2681,3,7,15,46,3,22,70,191,91,266,7,12,18,40,59,124,84,176,175,442,20,36,1692,4804,Buloke (S)
21370,4346,8606,84,472,466,2196,144,637,2052,8359,2746,11664,168,679,315,987,634,1949,1117,3615,3863,15279,26,121,120,422,65,221,694,1892,905,2656,43,133,137,286,455,951,635,1370,1540,4026,105,223,9854,28134,Campaspe (S)
21450,6864,13690,200,1205,1030,4938,309,1413,5757,22943,7296,30499,557,2312,671,2327,1607,5200,2835,9839,10131,40338,62,289,240,861,121,441,1301,3538,1724,5129,137,434,267,603,835,1783,1239,2820,2963,7949,221,464,20179,62441,Cardinia (S)
21610,19375,39072,774,4578,4110,19677,1259,5881,19791,78252,25934,108388,2248,9720,2754,9687,6279,20537,11281,39944,37215,148332,227,1051,873,3223,473,1751,4318,12108,5891,18133,594,1899,1019,2409,3484,7713,5097,12021,10988,30154,885,1897,68463,219455,Casey (C)
21670,1578,3136,35,194,131,628,40,191,540,2144,746,3157,47,182,83,271,268,804,398,1257,1144,4414,11,39,49,180,20,78,269,737,349,1034,15,48,48,100,202,417,265,565,614,1599,48,94,3384,9243,Central Goldfields (S)
21750,2314,4570,43,237,224,1029,63,296,1167,4765,1497,6327,110,443,183,605,356,1083,649,2131,2146,8458,9,43,58,204,38,139,327,892,432,1278,21,71,74,159,264,554,359,784,791,2062,78,162,5329,15252,Colac-Otway (S)
21830,1875,3699,38,214,283,1313,36,154,995,4179,1352,5860,70,279,145,462,281,875,496,1616,1848,7476,9,38,46,164,19,67,239,676,313,945,22,73,64,138,191,391,277,602,590,1547,46,93,4359,12815,Corangamite (S)
21890,12615,25219,168,939,1218,5646,241,1115,8736,33032,10363,40732,732,3146,1097,3892,2950,9630,4779,16668,15142,57400,52,260,305,1033,121,430,1769,4540,2247,6263,204,649,562,1267,2519,5542,3285,7458,5532,13721,1014,2154,34303,98494,Darebin (C)
22110,5925,11603,70,399,448,2045,137,620,2125,8431,2780,11495,169,679,309,948,684,2071,1162,3698,3942,15193,20,75,119,427,58,222,814,2237,1011,2961,46,147,194,392,467,984,707,1523,1718,4484,104,213,11689,31493,East Gippsland (S)
22170,11712,23364,269,1474,1349,6146,498,2258,7794,30273,9910,40151,864,3593,1170,3951,2874,9187,4908,16731,14818,56882,102,450,486,1677,268,933,2731,7228,3587,10288,289,914,725,1616,2367,5063,3381,7593,6968,17881,533,1111,34031,99238,Frankston (C)
22250,1373,2711,28,156,138,675,35,150,531,2193,732,3174,44,196,81,247,167,523,292,966,1024,4140,0,21,32,110,15,51,150,402,197,584,8,25,36,68,115,238,159,331,356,915,30,54,2783,7820,Gannawarra (S)
22490,1985,3914,51,304,305,1427,96,451,1414,5729,1866,7911,131,533,212,715,449,1393,792,2641,2658,10552,5,36,46,166,21,69,228,625,300,896,8,29,63,126,163,346,234,501,534,1397,38,76,5215,15939,Golden Plains (S)
22620,10440,20627,198,1123,1187,5566,310,1407,5976,23642,7671,31738,520,2153,1005,3277,1728,5330,3253,10760,10924,42498,57,248,352,1243,173,614,2203,5894,2785,7999,145,459,522,1143,1422,2997,2089,4599,4874,12598,407,853,26645,76576,Greater Bendigo (C)
22670,11048,22594,283,1638,1717,8389,460,2196,8412,32951,10872,45174,1014,4477,1450,5123,3548,11715,6012,21315,16884,66489,117,571,471,1796,249,931,2277,6385,3114,9683,313,1053,669,1608,2718,6101,3700,8762,6814,18445,895,1987,35641,109515,Greater Dandenong (C)
22750,22142,43837,395,2183,2341,10830,557,2524,12628,49449,15921,64986,1262,5190,2135,7217,4386,13723,7783,26130,23704,91116,134,614,752,2612,348,1227,3815,10226,5049,14679,440,1371,1061,2359,3214,6794,4715,10524,9764,25203,813,1681,56423,161837,Greater Geelong (C)
22830,5989,11891,131,780,811,3952,214,999,3661,14806,4817,20537,319,1325,540,1731,1137,3555,1996,6611,6813,27148,41,218,228,817,106,380,1285,3647,1660,5062,89,277,235,520,723,1546,1047,2343,2707,7405,189,387,15698,46831,Greater Shepparton (C)
22910,1809,3545,23,152,139,635,36,179,743,2918,941,3884,64,266,126,388,244,756,434,1410,1375,5294,10,40,48,144,13,51,293,759,364,994,11,45,73,152,195,397,279,594,643,1588,43,93,3870,10520,Hepburn (S)
22980,737,1456,10,59,79,366,15,62,311,1242,415,1729,25,92,54,175,92,271,171,538,586,2267,0,9,16,42,3,13,89,266,108,330,3,18,16,29,76,156,95,203,203,533,30,65,1556,4321,Hindmarsh (S)
23110,7903,15781,146,846,899,4192,214,948,5699,21711,6958,27697,654,2776,883,3094,1893,6139,3430,12009,10388,39706,34,152,249,871,103,355,1202,3095,1588,4473,172,554,413,955,1551,3401,2136,4910,3724,9383,471,1022,22486,65892,Hobsons Bay (C)
23190,2258,4471,35,192,253,1151,55,251,1175,4671,1518,6265,92,370,159,498,304,940,555,1808,2073,8073,8,45,64,202,39,138,378,1020,489,1405,11,37,70,148,231,491,312,676,801,2081,67,135,5199,14760,Horsham (RC)
23270,11616,23394,664,3873,2772,13494,935,4479,11633,46802,16004,68648,1649,7276,1728,6168,4666,15698,8043,29142,24047,97790,148,731,638,2429,367,1343,2862,8175,4015,12678,433,1427,711,1708,2869,6585,4013,9720,8028,22398,682,1491,44373,145073,Hume (C)
23350,1847,3614,31,174,221,1012,42,183,908,3624,1202,4993,70,274,184,605,279,848,533,1727,1735,6720,10,54,43,143,6,31,247,644,306,872,26,78,63,131,141,292,230,501,536,1373,33,65,4151,11772,Indigo (S)
23430,13739,27454,230,1256,1712,7694,356,1577,9800,37486,12098,48013,1110,4633,1726,6053,3544,11401,6380,22087,18478,70100,48,209,390,1285,128,451,1719,4349,2285,6294,330,1022,781,1757,2366,5156,3477,7935,5762,14229,674,1427,38653,113210,Kingston (C)
23670,13454,26935,332,1830,2246,10284,503,2252,9944,38612,13025,52978,1646,7000,2192,7779,4586,14844,8424,29623,21449,82601,83,354,462,1601,185,673,2015,5266,2745,7894,416,1307,680,1563,2399,5242,3495,8112,6240,16006,566,1193,41709,126735,Knox (C)
23810,7663,15105,143,769,817,3810,238,1083,4017,15717,5215,21379,410,1666,644,2116,1430,4391,2484,8173,7699,29552,62,264,269,961,141,518,1728,4758,2200,6501,104,313,337,732,1029,2148,1470,3193,3670,9694,261,545,19293,54896,Latrobe (C)
23940,1031,2034,13,64,92,433,15,60,364,1525,484,2082,18,76,73,215,126,386,217,677,701,2759,3,14,18,55,7,26,107,302,135,397,0,3,25,51,82,167,107,221,242,618,27,54,2001,5465,Loddon (S)
24130,4356,8610,113,620,631,2903,119,540,3014,12050,3877,16113,305,1278,546,1853,946,2933,1797,6064,5674,22177,22,82,142,498,43,138,537,1473,744,2191,86,269,159,357,412,882,657,1508,1401,3699,83,171,11514,34657,Macedon Ranges (S)
24210,11257,22498,212,1134,1703,7675,249,1098,7036,27255,9200,37162,1248,5273,2023,7193,3851,12348,7122,24814,16322,61976,39,165,298,1017,73,268,942,2397,1352,3847,251,818,525,1229,1706,3713,2482,5760,3834,9607,475,1014,31888,95095,Manningham (C)
24250,1019,2001,17,83,69,302,7,45,421,1696,514,2126,26,118,61,194,118,357,205,669,719,2795,4,8,28,97,4,14,120,294,156,413,13,35,26,51,76,155,115,241,271,654,24,44,2033,5494,Mansfield (S)
24330,6537,13125,78,465,612,2837,123,552,4725,17562,5538,21416,327,1445,509,1809,1155,3767,1991,7021,7529,28437,31,173,186,697,77,295,1059,2802,1353,3967,138,466,388,907,1103,2441,1629,3814,2982,7781,571,1229,17619,50572,Maribyrnong (C)
24410,9799,19468,218,1224,1342,6235,240,1062,7029,27280,8829,35801,882,3761,1198,4205,2491,7982,4571,15948,13400,51749,61,293,307,1040,127,433,1585,4103,2080,5869,246,775,599,1374,1743,3724,2588,5873,4668,11742,432,906,28299,83865,Maroondah (C)
24600,10385,20380,28,161,265,1224,23,112,2673,9391,2989,10888,99,403,475,1528,519,1565,1093,3496,4082,14384,16,63,118,392,33,103,605,1539,772,2097,69,224,468,1006,610,1278,1147,2508,1919,4605,1860,3968,18246,43337,Melbourne (C)
24650,8201,16462,290,1641,1476,6980,507,2317,9307,36518,11580,47456,780,3346,985,3464,2568,8443,4333,15253,15913,62709,95,441,413,1559,229,838,2205,6127,2942,8965,229,744,365,831,1382,3128,1976,4703,4918,13668,383,808,29415,93647,Melton (S)
24780,5393,10646,119,649,675,3174,184,848,2912,11681,3890,16352,219,895,431,1387,896,2780,1546,5062,5436,21414,34,128,187,685,133,474,1148,3255,1502,4542,87,275,237,515,623,1317,947,2107,2449,6649,166,350,13444,39059,Mildura (RC)
24850,3257,6449,92,497,450,2177,158,705,2321,9237,3021,12616,227,964,320,1060,752,2401,1299,4425,4320,17041,33,130,132,471,74,247,645,1782,884,2630,56,180,151,321,446,946,653,1447,1537,4077,89,193,9203,27760,Mitchell (S)
24900,3537,7011,74,401,347,1684,88,401,1543,6331,2052,8817,136,550,209,671,494,1491,839,2712,2891,11529,18,85,74,266,40,137,481,1357,613,1845,24,101,89,176,311,621,424,898,1037,2743,91,180,7556,21463,Moira (S)
24970,16320,32810,219,1218,2273,10080,312,1356,10641,40435,13445,53089,1356,5676,2681,9393,4472,14276,8509,29345,21954,82434,50,231,402,1383,115,390,1617,4137,2184,6141,354,1137,936,2198,2585,5578,3875,8913,6059,15054,1096,2356,45429,132654,Monash (C)
25060,10174,20234,158,853,1291,5883,170,768,6806,26400,8425,33904,810,3457,1363,4899,2714,8778,4887,17134,13312,51038,24,116,271,915,92,299,1255,3298,1642,4628,221,715,510,1151,1808,3912,2539,5778,4181,10406,733,1549,28400,83227,Moonee Valley (C)
