LGA_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,LGA_NAME11
25150,2846,5650,76,425,404,1877,132,630,1847,7417,2459,10349,200,836,307,1043,691,2160,1198,4039,3657,14388,15,83,87,296,34,117,486,1336,622,1832,44,137,137,307,395,832,576,1276,1198,3108,83,172,7784,23318,Moorabool (S)
25250,14153,28266,248,1461,1321,6211,305,1468,9252,35316,11126,44456,820,3577,1183,4147,3017,9962,5020,17686,16146,62142,52,280,309,1121,142,511,1614,4191,2117,6103,220,728,599,1345,2681,5835,3500,7908,5617,14011,1077,2270,36993,106689,Moreland (C)
25340,16726,33096,273,1426,1522,6935,473,2115,8672,34277,10940,44753,871,3559,1369,4640,2887,9002,5127,17201,16067,61954,84,348,462,1524,229,817,2434,6409,3209,9098,250,783,604,1320,1985,4185,2839,6288,6048,15386,361,741,39202,111177,Mornington Peninsula (S)
25430,2111,4156,34,177,196,892,46,194,871,3447,1147,4710,92,381,159,488,312,949,563,1818,1710,6528,4,22,57,200,29,80,332,821,422,1123,24,72,85,170,255,525,364,767,786,1890,56,118,4663,12692,Mount Alexander (S)
25490,1827,3590,35,184,260,1221,49,211,1045,4327,1389,5943,86,363,163,515,304,929,553,1807,1942,7750,7,21,37,137,16,55,221,605,281,818,19,56,54,118,185,382,258,556,539,1374,51,113,4359,12827,Moyne (S)
25620,1709,3351,18,98,144,651,41,190,758,2958,961,3897,69,256,100,312,269,810,438,1378,1399,5275,3,11,46,144,18,63,171,444,238,662,17,46,35,76,132,288,184,410,422,1072,29,60,3559,9758,Murrindindi (S)
25710,4836,9573,180,984,1159,5232,189,883,4378,17529,5906,24628,876,3706,1042,3694,1997,6462,3915,13862,9821,38490,31,129,165,534,53,189,608,1546,857,2398,141,444,265,627,678,1463,1084,2534,1941,4932,130,270,16728,53265,Nillumbik (S)
25810,1524,2994,24,130,143,661,29,152,630,2484,826,3427,49,188,90,282,204,625,343,1095,1169,4522,5,27,37,140,16,49,203,534,261,750,8,14,40,78,156,330,204,422,465,1172,45,96,3203,8784,Northern Grampians (S)
25900,11714,22893,36,235,376,1701,44,161,4385,15738,4841,17835,175,704,541,1807,764,2314,1480,4825,6321,22660,9,34,119,381,37,123,945,2178,1110,2716,72,218,404,860,899,1838,1375,2916,2485,5632,705,1460,21225,52645,Port Phillip (C)
25990,867,1718,14,89,80,361,25,111,329,1345,448,1906,21,96,58,173,131,389,210,658,658,2564,3,18,17,49,8,27,96,266,124,360,5,11,25,58,91,179,121,248,245,608,16,37,1786,4927,Pyrenees (S)
26080,432,845,0,9,33,144,9,30,135,530,177,713,13,49,36,106,38,124,87,279,264,992,0,0,3,13,0,0,32,89,35,102,4,11,11,25,30,59,45,95,80,197,7,13,783,2047,Queenscliffe (B)
26170,3583,7079,58,330,314,1446,82,359,1586,6438,2040,8573,133,527,236,750,482,1473,851,2750,2891,11323,18,88,75,274,33,116,436,1175,562,1653,30,81,90,185,287,591,407,857,969,2510,50,108,7493,21020,South Gippsland (S)
26260,2002,3952,55,276,207,966,48,226,955,3866,1265,5334,74,276,153,476,273,830,500,1582,1765,6916,4,19,49,184,16,51,223,579,292,833,13,42,52,110,191,385,256,537,548,1370,45,87,4360,12325,Southern Grampians (S)
26350,10352,20313,63,329,814,3635,68,280,4861,18503,5806,22747,528,2114,1128,3900,1230,3733,2886,9747,8692,32494,13,58,140,457,28,81,669,1659,850,2255,117,354,463,1030,980,2076,1560,3460,2410,5715,774,1604,22228,60126,Stonnington (C)
26430,1359,2670,17,89,77,366,22,90,439,1781,555,2326,33,126,92,276,182,567,307,969,862,3295,0,8,20,69,4,18,154,423,178,518,16,45,35,63,135,280,186,388,364,906,23,40,2608,6911,Strathbogie (S)
26490,2741,5353,42,222,341,1556,61,271,1970,7779,2414,9828,150,581,293,965,438,1315,881,2861,3295,12689,6,26,59,203,17,48,338,905,420,1182,40,117,115,239,247,516,402,872,822,2054,44,91,6902,20187,Surf Coast (S)
26610,2238,4445,57,324,267,1249,68,335,1195,4849,1587,6757,77,314,146,445,371,1157,594,1916,2181,8673,7,38,74,286,41,152,377,1071,499,1547,21,60,51,108,204,419,276,587,775,2134,91,206,5285,15458,Swan Hill (RC)
26670,840,1651,9,39,98,446,16,75,326,1316,449,1876,21,83,57,186,91,268,169,537,618,2413,5,12,12,42,5,19,71,188,93,261,6,10,27,62,52,99,85,171,178,432,14,32,1650,4528,Towong (S)
26700,3132,6199,56,303,339,1576,71,326,1551,6281,2017,8486,142,579,291,918,506,1520,939,3017,2956,11503,12,49,99,362,45,138,459,1246,615,1795,32,97,108,223,386,817,526,1137,1141,2932,95,191,7324,20825,Wangaratta (RC)
26730,3219,6358,70,413,381,1766,90,407,1865,7527,2406,10113,178,737,277,906,563,1764,1018,3407,3424,13520,18,76,116,416,47,161,631,1695,812,2348,60,181,162,343,413,863,635,1387,1447,3735,134,272,8224,23885,Warrnambool (C)
26810,4880,9546,91,494,536,2465,137,598,2295,9138,3059,12695,202,806,383,1208,708,2127,1293,4141,4352,16836,21,90,153,531,70,246,725,2022,969,2889,53,158,147,319,482,990,682,1467,1651,4356,106,214,10989,30952,Wellington (S)
26890,583,1148,10,44,70,283,7,31,259,1034,346,1392,25,79,34,96,54,170,113,345,459,1737,4,7,9,36,3,5,50,148,66,196,0,0,12,25,39,77,51,102,117,298,14,35,1173,3218,West Wimmera (S)
26980,14258,28453,175,963,1925,8660,252,1131,10406,40123,12758,50877,1090,4573,2112,7439,3406,10758,6608,22770,19366,73647,39,172,354,1202,97,324,1515,3867,2005,5565,302,939,929,2150,2412,5162,3643,8251,5648,13816,855,1838,40127,117754,Whitehorse (C)
27070,12837,25885,397,2306,2220,10338,639,2940,11367,44533,14623,60117,1391,5934,1547,5533,5126,17022,8064,28489,22687,88606,99,452,509,1832,257,923,2378,6607,3243,9814,349,1168,611,1430,2650,6043,3610,8641,6853,18455,659,1440,43036,134386,Whittlesea (C)
27170,3491,6865,53,280,428,1967,94,422,2362,9334,2937,12003,188,758,311,1007,580,1781,1079,3546,4016,15549,20,92,146,505,70,261,920,2466,1156,3324,55,163,184,393,416,862,655,1418,1811,4742,121,244,9439,27400,Wodonga (RC)
27260,13133,26464,402,2301,2105,9937,585,2707,13798,53331,16890,68276,1136,4868,1579,5526,3275,10695,5990,21089,22880,89365,124,567,555,2080,287,1073,3098,8540,4064,12260,315,1004,664,1529,1988,4451,2967,6984,7031,19244,655,1412,43699,136485,Wyndham (C)
27350,8375,16444,24,140,343,1519,54,238,3436,12525,3857,14422,174,718,528,1742,768,2411,1470,4871,5327,19293,16,64,162,573,39,145,913,2349,1130,3131,102,313,390,870,882,1876,1374,3059,2504,6190,644,1345,16850,43272,Yarra (C)
27450,13957,27704,403,2199,1945,8996,557,2537,9595,38018,12500,51750,1359,5732,1594,5438,4018,12911,6971,24081,19471,75831,90,411,475,1596,183,616,2272,5996,3020,8619,340,1077,662,1461,2100,4486,3102,7024,6122,15643,437,909,39987,120087,Yarra Ranges (S)
27630,936,1850,9,44,102,474,21,95,349,1450,481,2063,27,100,69,212,105,328,201,640,682,2703,3,9,21,66,8,47,90,262,122,384,0,4,19,40,87,175,106,219,228,603,22,43,1868,5199,Yarriambiack (S)
29399,40,75,0,0,0,4,0,0,13,45,13,49,0,3,0,0,3,10,3,13,16,62,0,0,0,0,0,0,5,14,5,14,0,0,3,0,0,7,3,7,8,21,0,0,64,158,Unincorporated Vic
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30250,44,113,0,0,5,37,24,159,83,387,112,583,3,3,0,0,14,69,17,72,129,655,4,38,0,8,13,96,62,187,79,329,0,7,3,6,28,71,31,84,110,413,3,9,286,1190,Aurukun (S)
30300,465,906,6,35,51,209,22,92,356,1456,435,1792,10,36,24,65,68,205,102,306,537,2098,0,0,8,27,10,31,98,311,116,369,3,13,3,3,44,93,50,109,166,478,15,33,1183,3515,Balonne (S)
30370,1614,3162,31,175,150,662,61,271,1160,4683,1402,5791,49,184,77,213,234,722,360,1119,1762,6910,6,17,22,95,19,68,221,603,268,783,5,23,25,44,145,290,175,357,443,1140,39,88,3858,11300,Banana (S)
22310,12194,24321,191,1078,1590,7313,192,820,9436,36374,11409,45585,925,3839,1815,6349,2450,7769,5190,17957,16599,63542,21,94,281,924,67,215,1297,3175,1666,4408,204,623,713,1621,1660,3487,2577,5731,4243,10139,758,1595,33794,99597,Glen Eira (C)
22410,2327,4567,37,192,244,1087,53,239,1111,4405,1445,5923,73,280,212,667,351,1073,636,2020,2081,7943,10,25,72,271,28,96,372,982,482,1374,23,70,107,219,212,436,342,725,824,2099,49,109,5281,14718,Glenelg (S)
30410,359,699,5,28,38,147,8,35,238,909,289,1119,7,30,22,58,58,168,87,256,376,1375,0,0,6,13,4,19,50,128,60,160,0,0,8,18,34,65,42,83,102,243,3,11,840,2328,Barcaldine (R)
30450,49,90,0,0,3,11,0,0,21,79,24,90,0,0,0,6,4,13,4,19,28,109,0,0,0,0,0,3,9,12,9,15,0,0,3,0,0,7,3,7,12,22,0,0,89,221,Barcoo (S)
30760,281,542,0,7,22,85,8,33,155,582,185,707,0,6,19,39,40,128,59,173,244,880,0,0,3,10,3,16,35,84,41,110,0,0,7,15,17,40,24,55,65,165,0,6,590,1593,Blackall Tambo (R)
33620,6037,11839,89,525,463,2204,185,826,2585,10440,3322,13995,142,572,291,885,751,2276,1184,3733,4506,17728,23,112,181,648,104,380,1020,2850,1328,3990,50,169,152,322,523,1079,725,1570,2053,5560,150,301,12746,35428,Gympie (R)
33800,1526,3009,18,100,144,651,53,237,665,2634,880,3622,67,268,98,287,239,720,404,1275,1284,4897,4,13,34,104,12,57,134,380,184,554,3,12,41,88,146,312,190,412,374,966,37,80,3221,8952,Hinchinbrook (S)
33830,28,75,3,6,0,12,17,97,70,329,90,444,3,5,0,0,10,47,13,52,103,496,4,14,0,9,5,19,38,111,47,153,0,3,0,0,21,69,21,72,68,225,24,56,223,852,Hope Vale (S)
33960,14497,28872,424,2527,1892,9063,839,4055,11589,46014,14744,61659,870,3693,1283,4288,3280,10379,5433,18360,20177,80019,153,773,620,2340,410,1549,4395,12491,5578,17153,239,774,583,1277,2395,5215,3217,7266,8795,24419,708,1498,44177,134808,Ipswich (C)
33980,1844,3595,52,259,232,1044,91,435,2068,8298,2443,10036,78,318,92,267,320,963,490,1548,2933,11584,10,33,24,90,22,73,206,548,262,744,15,41,26,54,139,291,180,386,442,1130,39,78,5258,16387,Isaac (R)
34420,47,113,0,7,7,33,18,105,61,268,86,413,0,0,4,11,10,38,14,49,100,462,0,3,3,7,13,55,54,169,70,234,0,0,4,4,18,53,22,57,92,291,13,46,252,912,Kowanyama (S)
34570,26,50,0,0,0,14,9,50,22,104,31,168,0,0,0,0,0,9,0,9,31,177,0,0,0,3,7,49,17,56,24,108,0,0,4,5,6,28,10,33,34,141,12,33,103,401,Lockhart River (S)
34580,3931,7799,99,554,408,1981,207,985,2046,8399,2760,11919,142,577,225,717,643,1999,1010,3293,3770,15212,20,102,109,400,87,323,719,2058,935,2883,33,107,88,193,415,885,536,1185,1471,4068,111,237,9283,27316,Lockyer Valley (R)
34590,24408,48948,847,5009,3181,15526,1680,8051,18811,75330,24519,103916,1695,7181,2263,7548,6505,20729,10463,35458,34982,139374,244,1188,999,3706,754,2816,6732,18908,8729,26618,486,1595,1032,2305,4327,9425,5845,13325,14574,39943,1153,2446,75117,230711,Logan (C)
34710,429,810,9,51,32,138,12,76,316,1266,369,1531,8,31,20,40,53,162,81,233,450,1764,0,3,4,23,11,33,89,266,104,325,4,14,11,18,40,81,55,113,159,438,18,40,1056,3052,Longreach (R)
34770,11783,22699,259,1401,1208,5462,675,3060,8036,31104,10178,41027,542,2152,746,2293,2520,7680,3808,12125,13986,53152,49,217,228,849,213,771,1872,5106,2362,6943,107,330,237,488,1284,2742,1628,3560,3990,10503,410,846,30169,87200,Mackay (R)
34800,81,152,3,3,3,12,0,0,56,224,62,239,0,0,0,3,23,57,23,60,85,299,0,0,3,5,0,0,9,29,12,34,0,0,0,0,10,19,10,19,22,53,5,8,193,512,McKinlay (S)
31900,2061,4064,42,224,202,914,66,314,1083,4359,1393,5811,77,302,103,308,409,1268,589,1878,1982,7689,7,28,35,137,30,111,318,924,390,1200,8,33,39,77,221,468,268,578,658,1778,53,109,4754,13640,Burdekin (S)
37300,296,568,3,20,27,151,14,72,294,1152,338,1395,8,27,19,66,43,130,70,223,408,1618,3,0,6,21,5,13,43,117,57,151,0,12,6,10,24,49,30,71,87,222,9,15,800,2423,Weipa (T)
31950,36,68,0,3,6,14,3,7,18,76,27,100,0,0,0,0,6,17,6,17,33,117,0,0,0,3,0,0,3,24,3,27,0,0,0,0,6,6,6,6,9,33,3,4,81,222,Burke (S)
32070,15592,30317,287,1653,1511,6930,580,2709,10091,38755,12469,50047,521,2099,1134,3525,2210,6746,3865,12370,16334,62417,102,475,575,2068,342,1258,4039,11065,5058,14866,185,580,601,1260,1852,3931,2638,5771,7696,20637,614,1307,40236,114678,Cairns (R)
32250,202,413,3,4,4,18,12,74,116,481,135,577,4,9,4,8,17,51,25,68,160,645,3,5,3,6,10,42,36,105,52,158,0,0,4,0,12,35,16,35,68,193,8,26,438,1277,Carpentaria (S)
32260,3329,6548,70,403,250,1151,138,633,1556,6228,2014,8415,97,395,183,549,551,1707,831,2651,2845,11066,20,103,72,244,59,224,582,1645,733,2216,22,66,73,152,334,717,429,935,1162,3151,112,235,7448,21000,Cassowary Coast (R)
32270,2565,5003,74,387,322,1479,157,730,2406,9572,2959,12168,112,430,148,446,466,1429,726,2305,3685,14473,3,21,44,163,20,76,335,932,402,1192,20,57,44,93,173,358,237,508,639,1700,73,160,6962,21336,Central Highlands (R)
32310,1280,2491,12,66,133,622,49,215,746,3021,940,3924,45,161,65,188,210,635,320,984,1260,4908,8,38,33,106,24,93,255,719,320,956,10,24,32,74,149,319,191,417,511,1373,35,76,3086,8848,Charters Towers (R)
36250,14876,29568,315,1707,1806,8176,629,2834,9214,36262,11964,48979,1063,4423,1560,5234,3460,10903,6083,20560,18047,69539,82,385,422,1492,244,877,2376,6380,3124,9134,261,836,543,1217,1849,3990,2653,6043,5777,15177,425,879,39125,115163,Redland (C)
31750,36,67,0,0,0,7,6,12,28,113,34,132,0,0,3,0,4,14,7,14,41,146,0,0,0,0,0,0,3,13,3,13,0,0,0,0,3,3,3,3,6,16,3,4,86,233,Bulloo (S)
31820,11706,23018,190,1078,948,4471,377,1767,4818,19060,6333,26376,289,1170,593,1836,1638,5042,2520,8048,8853,34424,60,287,282,1023,206,750,2010,5691,2558,7751,115,346,324,700,1221,2604,1660,3650,4218,11401,276,574,25053,69417,Bundaberg (R)
36300,94,188,0,0,10,27,3,10,58,248,71,285,3,5,4,5,13,46,20,56,91,341,0,0,0,0,0,0,17,35,17,35,0,0,0,0,9,27,9,27,26,62,4,7,215,598,Richmond (S)
35670,25,51,8,43,7,68,5,30,51,232,71,373,0,5,3,10,9,35,12,50,83,423,3,19,3,17,3,32,38,103,47,171,5,13,0,5,23,63,28,81,75,252,13,29,196,755,Napranum (S)
37310,3380,6644,66,372,363,1701,148,675,2163,8824,2740,11572,86,339,155,443,498,1486,739,2268,3479,13840,6,45,60,222,60,239,541,1555,667,2061,15,43,75,151,292,607,382,801,1049,2862,101,215,8009,23561,Western Downs (R)
37340,3582,6957,42,219,213,937,126,532,1874,7219,2255,8907,77,301,139,422,521,1565,737,2288,2992,11195,14,77,65,239,53,179,554,1446,686,1941,21,56,57,125,295,616,373,797,1059,2738,87,180,7720,21070,Whitsunday (R)
52520,147,288,10,52,11,50,6,32,95,359,122,493,3,18,5,10,32,97,40,125,162,618,0,0,0,5,0,0,15,37,15,42,0,0,0,0,9,19,9,19,24,61,0,5,333,972,Dalwallinu (S)
52590,441,858,3,20,21,68,12,55,203,785,239,928,6,15,12,28,37,97,55,140,294,1068,0,3,6,19,0,9,49,129,55,160,0,0,0,4,23,43,23,47,78,207,11,15,824,2148,Dandaragan (S)
52660,1383,2696,24,142,150,677,72,314,948,3693,1194,4826,56,228,85,265,257,777,398,1270,1592,6096,6,23,30,87,23,84,231,620,290,814,15,41,35,71,104,225,154,337,444,1151,27,63,3446,10006,Dardanup (S)
52730,726,1410,13,42,42,196,15,65,310,1193,380,1496,12,34,26,81,68,197,106,312,486,1808,3,14,20,55,7,25,119,302,149,396,4,9,19,38,43,89,66,136,215,532,10,22,1437,3772,Denmark (S)
30900,38,82,0,0,7,22,8,41,22,113,37,176,3,7,3,3,5,10,11,20,48,196,0,0,0,0,4,13,4,20,8,33,0,0,0,0,6,10,6,10,14,43,5,9,105,330,Boulia (S)
31000,102307,203084,1643,9236,11454,52974,2407,10921,68229,263353,83733,336484,6078,25440,11478,39469,18047,56814,35603,121723,119336,458207,404,1898,2590,9004,1166,4110,14693,38134,18853,53146,1710,5493,4726,10771,13762,29618,20198,45882,39051,99028,7174,15077,267868,775396,Brisbane (C)
35760,1385,2727,14,81,92,394,28,150,616,2426,750,3051,18,72,53,151,158,473,229,696,979,3747,4,18,28,98,24,82,163,473,219,671,4,20,25,42,108,223,137,285,356,956,44,85,2764,7515,North Burnett (R)
35780,83,178,10,91,17,113,27,160,158,723,212,1087,0,4,6,13,23,76,29,93,241,1180,3,12,9,43,15,89,86,288,113,432,4,19,0,0,36,83,40,102,153,534,14,38,491,1930,Northern Peninsula Area (R)
32330,42,105,5,41,0,4,18,104,71,382,94,531,3,13,0,0,6,23,9,36,103,567,0,3,3,9,12,67,65,229,80,308,0,0,4,7,20,54,24,61,104,369,13,30,262,1071,Cherbourg (S)
32450,249,485,4,20,27,131,17,94,178,726,226,971,6,24,7,17,36,109,49,150,275,1121,0,0,5,17,15,64,47,136,67,217,3,10,0,3,28,64,31,77,98,294,16,26,638,1926,Cloncurry (S)
32500,396,765,6,27,19,72,19,98,206,833,250,1030,5,13,8,26,32,96,45,135,295,1165,3,3,6,21,8,38,92,271,109,333,0,6,3,7,37,79,40,92,149,425,19,34,859,2389,Cook (S)
32600,29,53,0,0,0,8,4,4,25,102,29,114,0,0,3,5,0,3,3,8,32,122,0,0,0,0,4,15,6,13,10,28,0,0,0,0,4,10,4,10,14,38,3,0,78,213,Croydon (S)
36360,11449,22221,249,1376,1128,5209,553,2499,6619,25924,8549,35008,447,1777,722,2263,2115,6421,3284,10461,11833,45469,52,253,304,1128,213,797,2343,6469,2912,8647,145,452,298,628,1492,3184,1935,4264,4847,12911,408,858,28537,81459,Rockhampton (R)
36510,4551,9006,77,469,471,2186,175,768,2240,9051,2963,12474,167,685,264,866,755,2320,1186,3871,4149,16345,15,68,119,425,61,202,662,1827,857,2522,39,123,116,242,431,918,586,1283,1443,3805,107,216,10250,29372,Scenic Rim (R)
36580,2652,5247,46,244,249,1163,102,478,1313,5209,1710,7094,94,375,145,470,458,1408,697,2253,2407,9347,10,46,76,291,39,158,454,1280,579,1775,18,49,54,120,254,519,326,688,905,2463,72,148,6036,17205,Somerset (R)
36630,3973,7821,51,277,300,1417,153,697,1810,7489,2314,9880,82,332,183,568,503,1533,768,2433,3082,12313,18,74,98,391,59,223,673,1944,848,2632,34,105,91,198,362,743,487,1046,1335,3678,123,251,8513,24063,South Burnett (R)
36660,4236,8369,73,417,378,1789,163,759,1977,7972,2591,10937,110,435,229,709,580,1781,919,2925,3510,13862,27,123,95,351,70,258,677,1911,869,2643,19,53,97,218,422,899,538,1170,1407,3813,116,255,9269,26299,Southern Downs (R)
36710,38814,76231,513,2786,3371,15125,1086,4763,18995,73685,23965,96359,1367,5378,2608,8271,5234,15886,9209,29535,33174,125894,145,624,1023,3491,524,1767,6074,15891,7766,21773,409,1246,1371,2938,3822,7982,5602,12166,13368,33939,947,1949,86303,238013,Sunshine Coast (R)
36810,5370,10469,83,453,430,2007,188,903,2413,9715,3114,13078,142,554,280,836,681,2074,1103,3464,4217,16542,24,125,125,443,104,399,948,2737,1201,3704,37,116,143,299,564,1176,744,1591,1945,5295,156,330,11688,32636,Tablelands (R)
37570,14,24,0,0,0,0,5,26,22,81,27,107,0,0,0,0,5,29,5,29,32,136,0,3,0,3,4,6,4,12,8,24,0,0,0,0,12,46,12,46,20,70,4,9,70,239,Wujal Wujal (S)
51960,313,618,10,64,32,147,32,146,295,1165,369,1522,5,15,18,46,46,147,69,208,438,1730,3,18,8,28,13,42,74,212,98,300,3,18,9,12,37,78,49,108,147,408,5,15,903,2771,Coolgardie (S)
52030,160,315,0,0,6,24,6,9,56,242,68,275,4,10,6,9,20,66,30,85,98,360,0,0,3,6,3,12,17,46,23,64,0,0,0,0,3,7,3,7,26,71,3,5,287,751,Coorow (S)
32750,26,45,0,0,0,0,0,0,18,70,18,70,0,0,0,3,8,14,8,17,26,87,0,0,0,3,3,0,0,4,3,7,0,0,0,0,0,3,0,3,3,10,3,3,58,145,Diamantina (S)
36910,16468,32366,348,1986,1759,8273,573,2629,9595,38555,12275,51443,634,2550,1209,3824,2575,7879,4418,14253,16693,65696,106,503,465,1668,263,947,2982,8249,3816,11367,171,535,477,1036,1745,3713,2393,5284,6209,16651,591,1222,39961,115935,Toowoomba (R)
36950,164,313,18,129,31,161,25,140,204,826,278,1256,6,32,7,21,43,137,56,190,334,1446,10,50,8,51,16,62,86,253,120,416,3,8,6,13,32,76,41,97,161,513,14,35,673,2307,Torres (S)
36960,116,255,9,70,13,98,72,410,302,1349,396,1927,0,6,4,11,47,163,51,180,447,2107,0,8,5,31,45,185,201,617,251,841,4,8,8,14,48,128,60,150,311,991,35,80,909,3433,Torres Strait Island (R)
37010,17128,33190,329,1801,1951,9018,704,3182,11563,44374,14547,58375,780,3136,1514,4897,2885,8860,5179,16893,19726,75268,114,558,563,2036,380,1385,3617,9849,4674,13828,239,735,706,1555,2028,4315,2973,6605,7647,20433,818,1729,45319,130620,Townsville (C)
32770,40,89,4,20,4,20,27,161,103,508,138,709,0,0,0,0,13,62,13,62,151,771,0,0,3,19,8,25,48,166,59,210,0,0,0,0,4,19,4,19,63,229,13,29,267,1118,Doomadgee (S)
33100,108,206,0,0,0,4,3,14,71,253,74,271,0,6,0,3,19,46,19,55,93,326,0,0,0,0,0,3,7,22,7,25,0,0,0,0,5,12,5,12,12,37,4,6,217,575,Etheridge (S)
33200,231,457,6,18,16,66,0,16,123,470,145,570,0,11,8,18,26,71,34,100,179,670,0,3,8,22,0,0,26,65,34,90,0,0,6,18,9,14,15,32,49,122,5,13,464,1262,Flinders (S)
33220,12991,25608,160,897,926,4346,385,1709,4977,19710,6448,26662,299,1178,611,1918,1594,4814,2504,7910,8952,34572,60,288,345,1256,240,844,2316,6460,2961,8848,113,340,357,759,1224,2572,1694,3671,4655,12519,269,552,26867,73251,Fraser Coast (R)
33360,5826,11463,121,672,596,2700,345,1540,4368,17224,5430,22136,258,1022,370,1125,1221,3800,1849,5947,7279,28083,28,125,137,491,86,305,929,2517,1180,3438,41,119,132,282,588,1257,761,1658,1941,5096,173,352,15219,44994,Gladstone (R)
33430,53294,105649,807,4411,5082,23156,1701,7520,30923,118591,38513,153678,2237,9189,4440,14626,9062,28349,15739,52164,54252,205842,246,1107,1553,5381,797,2724,9463,24558,12059,33770,812,2542,2320,5139,7233,15297,10365,22978,22424,56748,2089,4307,132059,372546,Gold Coast (C)
33610,1150,2274,19,107,97,406,46,188,796,3244,958,3945,30,103,53,135,141,441,224,679,1182,4624,3,11,30,93,13,54,185,523,231,681,7,18,19,40,92,193,118,251,349,932,38,82,2719,7912,Goondiwindi (R)
34830,18,39,0,10,3,0,0,7,13,71,16,88,0,0,0,0,4,13,4,13,20,101,0,0,0,0,5,32,9,13,14,45,0,0,0,3,7,19,7,22,21,67,6,12,65,219,Mapoon (S)
34860,1396,2700,31,160,128,572,61,280,945,3703,1165,4715,34,124,54,149,220,645,308,918,1473,5633,4,20,23,68,14,48,187,508,228,644,10,29,31,62,133,266,174,357,402,1001,30,64,3301,9398,Maranoa (R)
35010,39189,77911,931,5189,4708,21854,1656,7577,26203,103687,33498,138307,2239,9211,3273,10952,8122,25675,13634,45838,47132,184145,239,1104,1226,4397,794,2755,8119,22319,10378,30575,574,1812,1408,3117,5014,10742,6996,15671,17374,46246,1268,2628,104963,310930,Moreton Bay (R)
35250,59,135,0,6,7,38,19,120,74,352,100,516,0,0,0,0,6,26,6,26,106,542,0,0,3,5,15,85,48,178,66,268,0,0,0,0,13,40,13,40,79,308,7,22,251,1007,Mornington (S)
35300,1674,3309,34,184,195,865,125,620,1428,5633,1782,7302,66,266,82,261,286,929,434,1456,2216,8758,16,74,44,157,44,205,409,1201,513,1637,13,42,35,73,186,421,234,536,747,2173,84,186,4721,14426,Mount Isa (C)
35600,486,932,6,26,50,208,25,111,317,1258,398,1603,14,56,25,69,76,224,115,349,513,1952,3,14,10,35,8,35,72,206,93,290,3,13,12,25,49,101,64,139,157,429,12,25,1168,3338,Murweh (S)
35790,52,135,11,62,4,46,31,269,116,591,162,968,0,12,0,0,28,92,28,104,190,1072,8,36,6,21,27,187,81,276,122,520,4,9,5,12,48,171,57,192,179,712,22,74,443,1993,Palm Island (S)
35800,195,385,3,14,12,36,9,34,107,438,131,522,3,6,0,10,35,99,38,115,169,637,0,0,0,8,4,32,48,142,52,182,3,7,0,5,25,50,28,62,80,244,6,19,450,1285,Paroo (S)
36070,46,113,0,0,4,24,8,53,42,171,54,248,0,0,0,0,6,27,6,27,60,275,0,0,3,3,4,19,24,76,31,98,0,0,0,0,16,39,16,39,47,137,17,41,170,566,Pormpuraaw (S)
36150,106,198,0,0,6,22,4,14,71,272,81,308,4,4,4,12,15,38,23,54,104,362,0,0,3,4,0,0,24,67,27,71,0,0,3,3,15,36,18,39,45,110,0,3,255,673,Quilpie (S)
