lga_name_2016,lga_code_2016,p_eductrain_gd_gc,p_eductrain_bd,p_eductrain_add_d,p_eductrain_cert,p_eductrain_id_ns,p_eductrain_tot,p_healthcaresoca_pd,p_healthcaresoca_gd_gc,p_healthcaresoca_bd,p_healthcaresoca_add_d,p_healthcaresoca_cert,p_healthcaresoca_id_ns,p_healthcaresoca_tot,p_artrecserv_pd,p_artrecserv_gd_gc,p_artrecserv_bd,p_artrecserv_add_d,p_artrecserv_cert,p_artrecserv_id_ns,p_artrecserv_tot,p_othserv_pd,p_othserv_gd_gc,p_othserv_bd,p_othserv_add_d,p_othserv_cert,p_othserv_id_ns,p_othserv_tot,p_id_ns_pd,p_id_ns_gd_gc,p_id_ns_bd,p_id_ns_add_d,p_id_ns_cert,p_id_ns_id_ns,p_id_ns_tot,p_tot_pd,p_tot_gd_gc,p_tot_bd,p_tot_add_d,p_tot_cert,p_tot_id_ns,p_tot_tot
Albury (C),10050,231,860,257,279,32,1922,243,180,1056,560,834,92,2969,6,9,30,22,59,4,130,18,9,55,99,496,26,699,15,10,69,50,255,79,479,850,649,3751,2501,6947,582,15285
Armidale Regional (A),10130,186,736,219,241,42,2113,147,87,452,277,374,50,1392,3,3,22,11,28,3,67,14,6,47,22,197,11,299,8,3,36,27,83,30,192,1205,399,2257,1147,2931,358,8299
Ballina (A),10250,182,834,236,235,30,1766,239,144,865,460,712,108,2528,6,4,39,28,58,4,144,6,7,60,78,325,11,495,15,11,67,62,171,53,377,791,513,3305,1990,4932,538,12065
Balranald (A),10300,8,26,8,6,0,56,8,0,19,15,24,5,71,0,0,0,0,4,0,4,0,0,0,0,9,0,20,0,0,0,3,8,7,22,17,8,73,66,225,45,440
Bathurst Regional (A),10470,172,842,238,302,37,1880,166,119,654,401,598,62,2000,10,7,28,31,56,11,143,12,4,47,57,376,17,511,8,11,45,47,200,58,368,703,488,2989,1847,5664,526,12216
Bega Valley (A),10550,127,355,122,133,17,851,124,89,505,338,495,58,1613,11,10,39,21,61,4,140,11,7,24,30,272,12,348,4,3,23,34,137,50,255,389,349,1791,1302,4194,472,8492
Bellingen (A),10600,53,222,83,60,8,496,54,31,245,155,210,25,720,0,3,21,5,21,3,55,9,5,9,8,100,3,133,0,3,17,11,51,22,109,193,142,900,570,1392,170,3367
Berrigan (A),10650,30,108,21,45,8,214,16,8,82,74,134,24,331,0,0,0,6,13,4,19,0,0,5,10,82,5,111,0,0,4,6,39,9,62,40,54,361,304,1030,154,1954
Blacktown (C),10750,517,3371,945,1119,202,7966,1643,481,6160,2921,3694,587,15488,61,16,239,190,355,58,922,187,58,678,603,2303,145,3978,370,54,1092,743,1707,794,4759,11493,2427,31589,17258,31531,4729,99021
Bland (A),10800,17,92,22,25,5,165,4,4,35,33,68,7,149,0,0,0,0,3,0,4,0,0,6,4,62,0,80,0,0,4,3,25,15,45,29,30,270,179,801,125,1442
Blayney (A),10850,20,99,31,36,7,222,23,16,106,60,111,11,328,0,0,8,0,9,0,13,0,0,6,21,65,3,97,3,0,11,12,30,20,70,87,65,431,304,1056,105,2047
Blue Mountains (C),10900,510,2066,557,473,75,4881,602,324,1620,889,937,133,4501,74,40,160,113,188,15,586,60,14,150,134,575,29,957,77,14,178,126,307,95,796,3077,1406,7815,4726,8758,860,26646
Bogan (A),10950,5,42,9,13,0,73,0,5,18,18,32,5,76,0,0,0,0,0,0,3,0,0,4,3,17,3,28,0,0,3,0,15,3,22,16,16,132,91,325,46,626
Botany Bay (C),11100,86,571,153,140,34,1351,287,94,774,337,338,79,1906,25,3,96,55,81,11,263,43,3,136,105,330,28,643,80,7,211,89,187,94,669,2309,440,5700,2692,4063,674,15876
Bourke (A),11150,0,51,13,31,11,116,3,3,28,21,29,9,95,0,0,3,3,0,0,7,0,0,3,0,19,0,20,0,0,0,3,12,0,18,28,6,149,121,246,41,586
Brewarrina (A),11200,3,36,6,13,4,61,0,0,15,15,13,5,54,0,0,0,0,0,0,4,0,0,0,0,7,0,13,0,0,0,0,0,6,8,7,3,75,49,121,29,284
Broken Hill (C),11250,40,221,66,106,10,491,71,61,261,201,355,40,995,0,0,4,5,25,0,38,0,3,7,18,159,7,193,3,6,6,11,59,25,106,162,151,718,594,2268,239,4133
Hilltops (A),13910,40,238,68,85,16,482,31,16,173,154,271,28,675,0,0,7,3,26,3,44,0,0,17,27,166,3,211,3,0,14,21,86,33,155,132,106,899,704,2365,305,4505
Hornsby (A),14000,610,2860,705,551,123,6591,1361,445,3444,1333,1198,262,8053,86,18,260,129,133,25,643,174,48,462,272,849,49,1852,301,61,689,299,430,202,1986,9893,2516,21505,8189,10459,1737,54298
Hunters Hill (A),14100,35,224,36,27,4,470,213,38,348,87,49,32,767,8,3,31,22,13,3,82,16,6,47,29,53,6,153,27,6,74,30,38,15,187,936,239,2169,676,674,169,4856
Inner West (A),14170,852,3798,692,471,132,9517,2206,577,4406,1208,968,261,9628,374,108,1055,325,291,49,2203,269,94,760,369,832,62,2387,349,70,1083,402,478,342,2726,15241,4091,34707,10632,11456,2162,78282
Inverell (A),14200,43,242,60,87,18,478,23,23,158,135,297,33,669,0,0,0,0,12,3,20,0,0,14,11,153,4,186,3,3,12,10,59,47,127,79,102,718,567,2084,296,3843
Junee (A),14300,15,54,21,35,7,145,10,7,47,55,79,7,198,0,0,0,0,8,0,6,0,0,3,5,51,0,61,0,0,6,4,20,10,32,40,32,274,207,770,105,1422
Kempsey (A),14350,62,296,118,174,29,737,56,35,318,240,537,45,1229,3,0,9,10,33,0,52,0,0,13,22,188,14,240,3,3,15,18,124,54,222,161,148,1005,883,3398,373,5965
Kiama (A),14400,148,523,136,127,17,1129,163,80,441,229,247,45,1205,4,3,29,33,38,3,109,7,6,28,33,145,7,232,7,5,46,23,99,19,200,577,355,1995,1251,2607,228,7009
Ku-ring-gai (A),14500,391,1966,424,209,90,4473,1539,337,3135,718,406,198,6330,90,24,252,75,73,25,550,196,35,404,170,336,40,1182,387,41,768,212,219,139,1765,10337,2074,20758,5222,4265,1334,43989
Kyogle (A),14550,35,87,43,64,8,253,17,14,108,78,128,20,379,0,0,4,3,7,4,19,0,0,3,9,59,3,78,0,0,9,12,33,15,75,66,74,380,322,956,126,1915
Lachlan (A),14600,26,100,27,30,3,193,5,3,47,42,79,8,189,0,0,0,0,3,0,7,0,0,0,3,44,4,54,0,0,9,12,23,13,56,31,47,270,205,666,121,1336
Lake Macquarie (C),14650,506,3028,906,1057,131,6621,904,514,3812,2314,3615,408,11559,17,8,126,104,263,23,551,76,32,234,333,1998,65,2731,68,19,240,232,970,267,1794,3378,1759,13510,9685,26708,2134,57170
Lane Cove (A),14700,143,599,130,73,20,1461,504,140,1099,239,164,53,2199,37,17,104,38,40,5,235,70,13,125,66,138,8,426,113,12,263,68,72,50,583,3567,759,7508,1903,1723,409,15866
