lga_name_2016,lga_code_2016,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Albury (C),10050,23,17,35,408,413,820,4,0,3,437,427,864,114,137,250,1981,1877,3862,22,25,40,2109,2043,4150,91,65,159,1489,1562,3056,14,21,34,1593,1652,3242,6,3,8,76,80,155,0,0,0,76,85,164,0,8,9,58,111,173,0,0,0,60,120,179,5,5,9,194,133,328,0,0,0,206,134,334,7,8,16,189,317,507,0,0,0,192,330,522,0,0,0,0,0,0,0,0,0,0,0,0,18,22,43,521,641,1160,0,0,3,541,667,1209,5,5,10,221,515,735,0,0,3,225,524,750,4,6,16,100,189,291,0,0,0,106,197,307,0,0,0,50,74,122,0,0,0,50,75,127,6,7,13,169,346,518,0,0,0,181,348,526,0,0,0,0,3,3,0,0,0,0,3,3,19,19,41,551,1119,1665,4,0,6,572,1143,1712,4,14,24,127,205,325,3,0,0,133,223,357,29,29,65,381,493,870,1490,1476
Armidale Regional (A),10130,40,42,83,218,185,403,0,3,3,263,223,493,177,165,343,981,1002,1985,14,15,31,1175,1181,2353,105,114,216,968,970,1943,11,0,11,1088,1082,2175,4,0,11,46,37,79,0,0,0,47,38,91,6,9,17,28,39,64,0,0,0,34,42,80,6,6,21,70,55,129,0,0,0,82,61,144,11,9,22,90,134,222,0,0,0,105,140,245,0,0,0,4,0,7,0,0,0,4,0,7,36,30,65,241,259,499,0,0,3,275,290,563,27,47,78,748,963,1711,0,3,3,776,1014,1790,5,9,15,298,350,652,0,3,5,309,361,670,3,0,6,76,105,183,0,0,0,80,103,185,3,5,9,151,301,454,0,0,0,158,310,464,0,0,0,9,6,19,0,0,0,8,6,17,39,64,107,1289,1729,3016,8,5,11,1336,1795,3134,5,6,13,46,62,105,0,0,0,50,67,121,49,58,104,226,261,483,902,950
Ballina (A),10250,21,20,41,317,328,644,5,0,6,349,346,697,106,104,212,1560,1331,2892,20,22,34,1685,1452,3138,75,75,149,1256,1258,2509,10,21,29,1337,1348,2688,0,4,7,40,43,79,0,0,0,43,45,88,4,5,14,27,72,100,0,0,0,26,80,112,7,3,9,110,71,174,3,0,3,113,73,187,9,20,27,112,233,350,0,0,0,120,252,374,0,0,0,10,3,13,0,0,0,10,4,13,17,41,53,293,417,712,3,3,3,309,459,772,3,4,9,95,161,256,0,0,0,105,169,266,3,4,12,70,138,201,0,3,3,76,141,213,0,0,0,34,39,71,0,0,0,34,44,74,3,11,17,136,284,421,0,0,3,141,296,433,0,0,0,3,3,5,0,0,0,3,3,5,14,19,33,335,626,961,0,4,6,348,651,1004,8,8,11,58,116,171,0,0,0,61,119,186,35,36,65,424,537,960,1125,1168
Balranald (A),10300,3,0,3,20,17,32,0,0,0,23,18,37,24,21,44,85,85,169,4,0,4,108,107,221,10,9,24,61,49,110,0,0,0,73,62,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5,0,0,0,0,9,7,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,18,0,0,0,8,14,18,0,0,0,0,4,6,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,3,3,3,3,9,0,0,0,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,12,21,0,0,0,10,18,27,0,0,0,5,5,9,0,0,0,5,5,9,3,0,10,32,25,63,107,97
Bathurst Regional (A),10470,38,33,74,354,332,690,3,0,4,402,368,771,174,196,372,1705,1560,3261,22,19,46,1896,1776,3676,126,89,214,1384,1301,2684,14,12,27,1519,1406,2924,3,9,14,38,64,107,0,0,0,44,76,116,0,10,10,32,68,94,0,0,0,33,76,106,3,8,15,142,92,238,5,3,9,151,110,255,10,23,32,133,239,365,0,4,7,144,268,409,0,0,0,3,9,8,0,0,0,4,9,12,19,50,74,344,472,819,8,9,16,375,525,905,11,21,36,434,653,1087,0,0,3,441,679,1127,9,10,19,115,118,238,0,3,3,125,131,253,0,4,3,62,88,146,0,3,3,63,94,151,11,22,30,176,331,511,0,0,0,189,349,538,0,0,0,0,0,4,0,0,0,0,0,4,26,54,82,787,1193,1985,3,6,11,820,1254,2070,7,5,11,68,127,195,3,0,5,75,132,211,212,42,258,1012,362,1367,1178,1249
Bega Valley (A),10550,21,14,31,232,210,446,0,3,3,249,227,481,90,93,183,1126,1025,2155,28,17,48,1245,1141,2385,61,57,119,849,884,1732,21,17,32,932,959,1888,0,4,3,19,32,46,0,0,0,21,32,52,0,6,6,12,20,27,0,0,0,12,24,35,0,10,8,92,52,146,5,0,6,103,66,163,3,6,12,61,134,198,0,0,0,67,141,210,0,0,0,0,5,4,0,0,0,0,5,4,9,21,28,185,248,429,9,0,12,201,267,467,4,0,6,36,66,93,0,0,0,36,61,103,0,3,3,17,66,90,0,0,0,21,75,90,0,0,0,11,26,32,0,0,0,11,25,33,0,4,4,66,175,241,0,0,0,66,184,249,0,0,0,0,0,0,0,0,0,0,0,0,5,7,14,126,332,457,0,3,3,128,345,476,0,4,8,40,80,119,0,0,0,42,85,129,26,39,64,388,450,842,1031,1042
Bellingen (A),10600,13,10,17,97,98,197,3,3,4,111,110,226,26,35,66,455,453,911,15,15,26,497,505,1002,24,30,50,375,381,756,11,8,21,408,416,827,3,3,5,10,14,24,0,0,0,12,16,31,0,0,4,5,26,33,0,0,0,6,29,37,0,0,0,32,10,44,0,0,0,32,10,44,0,3,9,33,65,96,0,0,0,33,73,106,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16,86,114,195,0,0,4,90,125,218,0,0,3,15,33,48,0,0,3,20,36,57,0,3,3,19,35,56,0,3,3,21,40,57,0,0,0,7,11,22,0,0,0,7,11,22,0,0,0,29,106,130,0,3,3,30,107,136,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,71,187,258,4,7,11,80,197,275,0,0,0,12,39,50,0,0,0,12,40,55,10,7,19,129,170,294,345,358
Berrigan (A),10650,0,6,8,66,68,138,0,3,6,75,80,153,17,22,34,290,284,578,8,3,8,313,310,619,6,12,20,199,208,403,4,0,4,210,221,427,0,0,0,3,3,10,0,0,0,3,4,5,0,0,0,0,7,6,0,3,3,0,7,14,0,0,0,18,11,36,0,0,0,18,11,36,4,0,0,24,33,60,0,0,0,32,32,64,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,52,57,112,0,3,3,50,63,113,0,0,3,10,21,31,0,0,0,10,20,34,0,0,0,9,7,14,0,0,0,9,7,14,0,0,0,3,3,11,0,0,0,3,3,11,0,0,0,6,44,54,0,0,0,6,47,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,74,99,0,3,3,25,80,108,0,0,0,11,15,28,0,0,0,11,16,28,5,3,9,104,119,230,337,348
Blacktown (C),10750,171,152,323,3161,2879,6039,20,20,36,3350,3047,6398,787,719,1511,16247,15134,31385,126,127,254,17163,15987,33145,519,520,1041,11763,11408,23174,107,92,195,12390,12022,24414,25,29,49,625,586,1215,5,0,6,654,619,1276,11,31,40,482,858,1344,0,4,9,494,898,1388,53,38,90,953,510,1468,6,10,18,1012,563,1578,35,44,79,867,1552,2421,4,0,3,899,1601,2504,3,0,3,35,46,81,0,3,5,36,43,87,114,151,262,2969,3561,6527,23,16,40,3101,3729,6826,22,57,82,3998,4394,8385,19,19,31,4036,4461,8502,5,28,35,1190,1467,2655,4,4,7,1204,1498,2704,12,14,25,629,710,1337,8,4,13,649,728,1379,14,31,41,1179,1659,2840,3,6,10,1201,1698,2894,0,0,0,47,46,87,3,0,3,44,46,94,63,124,186,7043,8274,15312,34,33,66,7136,8433,15566,25,43,68,1243,1750,3000,7,17,26,1282,1808,3090,427,231,657,3911,3309,7217,6289,6395
Bland (A),10800,3,7,7,48,44,94,0,0,0,52,49,102,30,36,64,249,255,503,0,4,5,277,293,573,9,19,23,154,158,311,0,0,3,168,174,346,0,0,0,7,8,11,0,0,0,7,8,11,0,0,0,3,8,4,0,0,0,3,6,11,0,0,3,17,17,27,0,0,0,16,19,34,0,0,0,13,22,33,0,0,0,13,22,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,30,50,83,0,0,0,35,53,86,0,0,4,10,17,24,0,0,0,6,13,28,0,0,0,0,6,6,0,0,0,0,6,6,0,0,0,3,3,6,0,0,0,3,3,6,0,0,3,10,18,26,0,0,0,11,19,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,22,49,68,0,0,0,24,50,71,0,0,0,5,16,22,0,0,0,4,16,19,4,4,8,84,88,167,275,282
Blayney (A),10850,13,7,12,72,61,133,0,0,0,78,70,146,29,19,44,317,307,626,5,8,16,349,335,683,20,22,36,227,251,477,12,8,22,251,283,537,0,0,0,4,8,6,0,0,0,4,8,6,0,0,3,0,8,6,0,0,0,3,8,13,0,0,0,23,20,46,0,0,0,26,19,51,0,3,6,21,45,64,0,4,3,23,47,75,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,48,78,124,3,4,4,58,88,141,0,3,0,15,36,56,0,0,0,20,38,60,0,0,0,5,6,15,0,0,0,5,11,14,0,0,0,0,14,13,0,0,0,0,13,12,0,0,0,22,46,69,0,0,0,22,46,70,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,47,108,149,0,0,0,46,107,153,0,0,0,3,19,21,0,0,0,3,22,20,7,4,13,69,84,153,218,197
Blue Mountains (C),10900,24,48,73,703,658,1363,5,6,10,732,711,1447,136,141,275,3186,3031,6215,32,30,61,3345,3198,6547,120,102,227,2544,2409,4958,23,13,34,2689,2528,5220,5,12,19,93,100,201,0,0,0,101,114,219,0,7,7,77,114,188,0,0,0,77,118,192,15,10,20,289,143,435,3,0,6,301,160,462,10,24,41,250,399,654,0,3,7,267,433,698,0,0,0,4,4,14,0,0,0,4,4,14,29,57,84,719,766,1489,4,8,14,753,833,1590,14,13,29,632,741,1371,3,3,9,653,754,1407,5,10,14,183,280,471,0,0,0,193,290,483,0,7,10,84,133,216,0,0,0,88,137,223,4,30,34,431,840,1275,0,5,7,440,875,1316,0,0,0,4,3,13,0,0,0,4,3,13,29,53,81,1342,1996,3341,6,9,18,1375,2062,3438,11,7,16,158,328,487,0,3,3,172,335,507,26,27,49,419,493,911,1401,1449
Bogan (A),10950,12,15,23,6,22,32,0,0,0,17,36,54,35,39,67,87,70,152,0,4,3,122,109,226,20,29,49,45,45,92,3,0,3,66,75,145,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,6,5,7,4,5,16,0,0,0,11,14,24,0,8,6,3,9,9,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,6,15,15,12,18,31,0,0,0,20,35,50,0,0,0,4,10,9,0,0,0,4,10,9,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,3,3,5,0,0,0,3,3,5,0,0,0,3,13,15,0,0,0,3,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,38,0,0,0,8,31,44,0,0,0,0,0,4,0,0,0,0,4,4,11,14,26,28,40,67,125,110
Botany Bay (C),11100,8,7,10,378,344,721,0,0,4,380,353,736,55,51,102,1686,1547,3232,15,9,17,1753,1599,3356,35,39,74,1217,1141,2355,6,10,12,1251,1192,2446,0,3,3,100,105,211,0,0,0,102,108,216,0,0,4,109,159,268,0,0,0,107,161,268,4,3,4,125,66,190,0,0,0,123,68,192,3,9,11,123,203,323,0,0,0,124,210,338,0,0,0,0,9,12,0,0,0,0,9,12,5,16,25,456,546,999,0,0,0,462,560,1018,11,15,23,962,996,1962,0,5,5,976,1016,1993,4,0,4,430,335,763,0,0,0,432,340,768,0,3,3,81,94,178,0,0,0,78,100,181,0,3,5,243,280,526,0,0,0,243,286,537,0,0,0,3,16,21,0,0,0,3,16,21,11,26,37,1718,1729,3444,5,4,14,1738,1758,3496,0,0,3,251,380,630,0,0,0,252,379,637,9,19,26,433,485,921,1260,1215
Bourke (A),11150,11,6,24,18,20,33,0,0,0,30,33,55,73,64,137,56,44,104,0,0,0,129,106,241,18,35,56,23,26,47,0,0,3,37,60,104,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,3,3,9,0,0,0,3,3,6,0,0,0,3,7,7,4,4,5,0,5,9,0,0,0,3,13,18,0,0,0,0,0,0,0,0,0,0,0,0,7,9,15,6,14,16,0,0,0,12,22,33,0,0,0,0,5,5,0,0,0,0,5,5,0,3,4,0,0,0,0,0,0,0,7,4,0,0,0,0,3,3,0,0,0,0,0,7,0,0,3,6,7,20,0,0,0,8,8,20,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,13,21,35,0,0,0,13,26,37,0,0,0,0,3,4,0,0,0,0,3,6,30,41,71,16,15,31,219,213
Brewarrina (A),11200,17,12,28,6,0,7,0,0,0,20,10,34,65,70,139,24,13,40,0,0,0,85,89,172,27,44,67,4,7,16,0,0,0,32,56,82,0,3,5,0,0,0,0,0,0,0,3,5,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,5,0,0,0,5,9,7,0,0,0,0,0,0,0,0,0,0,0,0,3,5,16,3,4,10,0,0,0,10,14,19,0,3,3,0,3,4,0,0,0,0,3,6,0,5,4,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,10,0,0,0,4,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,11,15,0,0,0,4,16,23,0,0,3,0,0,0,0,0,0,0,3,6,65,26,93,13,8,19,44,41
Junee (A),14300,6,3,7,40,50,94,0,3,3,46,54,103,27,30,58,223,204,426,0,7,5,252,242,491,16,11,28,136,139,272,0,0,4,152,146,301,0,0,0,3,8,17,0,0,0,3,8,17,0,0,0,3,4,11,0,0,0,3,3,8,3,0,3,17,13,29,0,0,0,20,13,36,0,4,4,15,26,45,0,0,0,15,35,49,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,39,59,96,0,0,0,40,63,107,0,0,0,10,14,29,0,0,0,10,14,29,0,0,0,5,12,18,0,0,0,5,12,18,0,0,0,0,6,11,0,0,0,3,11,14,0,0,0,13,31,43,0,0,0,13,30,39,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,30,62,97,0,0,0,30,67,95,0,0,0,3,13,19,0,0,0,3,16,21,233,10,248,688,78,769,229,194
Kempsey (A),14350,72,65,141,194,157,347,8,0,5,268,224,495,245,262,505,823,795,1619,21,27,48,1086,1088,2172,160,145,307,669,626,1292,20,18,35,852,791,1641,3,4,8,22,22,44,0,0,0,26,31,58,7,12,23,18,35,49,0,0,0,19,47,71,3,12,13,60,48,116,0,0,0,65,64,129,10,23,34,45,118,164,0,0,0,54,144,191,0,0,0,3,0,0,0,0,0,3,3,3,25,58,79,150,222,370,0,3,3,170,284,458,3,11,9,35,51,85,0,3,6,38,60,102,0,8,8,13,41,58,0,0,3,15,55,69,0,3,3,3,11,19,0,0,0,4,16,24,0,9,10,40,101,145,0,0,0,39,114,158,0,0,0,0,0,0,0,0,0,0,0,0,4,25,34,91,213,307,0,9,6,99,247,346,4,14,16,28,60,92,0,0,0,35,77,108,284,134,418,672,461,1135,969,1003
Broken Hill (C),11250,34,22,56,129,121,245,0,3,3,161,148,308,109,116,226,497,486,983,15,16,23,621,616,1230,65,79,142,417,408,821,4,6,11,485,485,975,3,6,12,22,20,38,0,0,0,26,25,55,4,9,16,6,33,41,0,0,0,15,46,59,10,0,7,58,42,98,3,0,3,72,38,109,7,8,14,59,119,176,0,0,0,64,128,192,0,3,3,0,0,0,0,0,0,0,3,3,25,29,55,148,216,367,0,0,5,174,248,418,0,3,3,6,36,39,0,0,0,6,38,39,0,4,11,4,19,26,0,0,0,5,29,34,0,3,3,5,8,16,0,0,0,7,13,22,0,8,8,44,98,139,0,0,0,48,106,156,0,0,0,0,4,4,0,0,0,0,4,4,3,19,25,68,166,233,0,0,0,71,187,254,3,3,11,26,54,82,0,0,0,37,61,92,89,44,128,267,272,533,472,493
Hilltops (A),13910,26,7,36,150,153,308,0,4,4,179,163,343,70,78,150,754,718,1473,15,14,29,833,811,1651,55,41,94,527,540,1074,15,8,20,596,591,1189,5,0,5,13,15,25,0,0,0,14,15,27,0,6,6,5,18,21,0,0,0,5,17,21,3,0,4,62,50,113,0,0,0,67,53,119,0,3,7,34,116,147,0,0,0,35,122,153,0,0,3,0,3,4,0,0,3,4,7,6,11,7,13,114,201,313,4,0,3,125,211,338,3,0,8,34,66,102,0,0,0,40,66,108,0,0,0,8,27,34,0,0,0,8,27,34,0,0,0,4,15,23,0,0,0,4,15,23,0,3,3,17,87,100,0,0,0,17,88,102,0,0,0,3,3,3,0,0,0,3,3,3,3,3,11,65,202,264,0,0,0,72,201,271,3,8,10,20,36,52,0,0,0,19,42,63,29,12,37,219,273,493,479,495
Hornsby (A),14000,9,10,22,1432,1313,2742,0,8,7,1447,1325,2772,48,53,104,6750,6414,13161,33,28,57,6831,6495,13329,36,56,95,5536,5473,11007,31,40,68,5600,5565,11165,0,3,3,171,153,325,3,0,3,181,153,335,0,3,3,128,255,383,0,3,3,128,253,383,3,0,3,494,172,666,0,0,0,500,175,673,6,3,8,396,713,1106,0,0,0,397,719,1114,0,0,0,3,13,14,0,0,0,3,13,14,8,7,15,1193,1297,2497,9,3,9,1206,1313,2519,10,12,22,2336,2615,4956,8,11,17,2355,2645,4999,0,0,5,551,621,1173,0,0,0,556,627,1176,3,0,4,339,307,652,0,0,0,342,313,653,3,3,6,708,1033,1735,3,4,6,715,1037,1751,0,0,0,15,17,29,0,0,0,15,16,31,12,22,36,3958,4590,8550,14,14,27,3982,4633,8614,0,7,10,338,558,901,3,3,9,343,570,912,7,7,19,824,1134,1952,1820,1841
Hunters Hill (A),14100,0,0,0,138,122,262,3,0,3,144,122,262,5,0,10,618,596,1214,3,3,4,632,603,1235,28,3,37,943,451,1395,4,0,4,978,454,1435,0,0,0,4,10,20,0,0,0,4,16,19,0,0,0,5,17,23,0,0,0,5,17,23,0,0,0,24,9,33,0,0,0,26,9,34,0,0,5,18,32,50,0,0,0,23,34,54,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,58,65,125,3,0,0,60,68,131,0,0,0,246,229,472,0,0,0,246,229,472,0,0,0,39,51,93,0,0,0,39,51,93,0,0,0,30,34,63,0,0,0,30,31,66,0,0,3,63,106,168,0,0,0,69,110,172,0,0,0,0,3,3,0,0,0,0,6,6,0,0,5,378,415,799,0,3,3,382,420,800,0,0,0,25,51,79,0,0,0,28,51,85,0,0,3,81,80,161,307,300
Inner West (A),14170,19,24,38,1374,1305,2676,13,14,21,1406,1332,2737,98,100,196,5920,5610,11532,50,31,79,6066,5737,11804,68,72,145,3838,3601,7436,38,33,69,3944,3703,7650,15,3,16,239,245,480,0,0,0,247,252,498,5,14,18,313,421,735,0,0,3,320,432,754,12,13,16,293,166,456,0,0,0,301,173,478,10,12,21,605,814,1420,3,3,8,616,829,1443,0,0,0,11,16,27,0,0,0,13,15,30,34,37,69,1460,1659,3117,4,9,15,1494,1704,3204,27,20,51,2665,3027,5690,5,11,18,2703,3058,5755,12,23,35,1468,1795,3268,3,9,10,1484,1828,3313,0,5,8,336,453,786,0,0,0,343,458,799,18,26,48,1535,2373,3909,4,4,14,1558,2409,3966,0,0,0,18,19,43,0,3,4,23,24,43,63,79,144,6023,7668,13693,13,29,43,6105,7775,13879,7,9,15,824,1144,1969,0,3,6,837,1149,1985,24,38,58,1072,1110,2187,5876,5678
Inverell (A),14200,26,20,48,147,110,258,3,4,7,177,134,313,128,103,226,586,568,1157,3,13,20,721,682,1403,78,65,144,437,437,877,11,20,28,529,523,1052,3,4,3,11,13,22,0,0,0,15,11,25,0,9,5,13,22,33,0,0,0,15,33,47,7,6,8,39,46,87,3,0,0,40,58,95,8,8,14,36,79,115,0,0,0,38,83,125,0,0,0,0,0,0,0,0,0,0,3,3,16,23,34,96,167,256,3,0,0,109,188,297,0,0,0,33,35,68,0,0,0,33,36,66,3,3,7,4,22,23,0,0,0,5,27,32,3,0,4,14,33,41,0,0,0,16,29,44,0,0,0,29,63,88,0,0,0,30,59,86,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,73,152,219,0,0,3,74,160,234,3,4,3,46,64,115,0,0,0,51,70,118,38,33,72,170,193,362,534,560
