lga_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,lga_name16
10050,28134.0,43.0,1512916776.0,44586.0,53775.0,4.41,1.76,0.4,0.17,0.44799999999999995,8.3,20.4,30.8,25.2,27.5,27.4,19.9,Albury (C)
10130,15124.0,45.0,742729287.0,39635.0,49109.0,5.46,1.89,0.35,0.13,0.485,7.6,20.5,31.8,30.4,27.9,23.4,18.3,Armidale Regional (A)
10250,23555.0,49.0,1159458563.0,38458.0,49223.0,5.54,1.94,0.35,0.13,0.488,8.0,21.6,32.9,30.9,29.4,21.6,18.1,Ballina (A)
10300,1147.0,46.0,54157835.0,41600.0,47217.0,4.37,1.67,0.38,0.13,0.45899999999999996,6.3,19.1,29.9,27.9,29.7,27.4,14.9,Balranald (A)
10470,21192.0,44.0,1176803783.0,46456.0,55531.0,4.52,1.82,0.4,0.17,0.433,6.2,17.8,28.5,24.1,26.3,25.6,24.0,Bathurst Regional (A)
10550,18445.0,51.0,821335478.0,36357.0,44529.0,5.39,1.86,0.35,0.13,0.475,7.3,20.1,31.3,33.0,29.5,22.9,14.6,Bega Valley (A)
10600,6637.0,51.0,282064024.0,34251.0,42499.0,6.35,1.96,0.31,0.1,0.49700000000000005,6.7,19.8,31.6,35.8,28.4,21.1,14.7,Bellingen (A)
10650,4590.0,49.0,214503319.0,38633.0,46733.0,5.48,1.86,0.34,0.12,0.486,7.0,20.3,31.5,31.6,28.0,23.6,16.9,Berrigan (A)
10750,170908.0,39.0,9284747312.0,49080.0,54326.0,3.86,1.65,0.43,0.21,0.389,4.6,15.3,25.5,21.6,25.8,30.9,21.7,Blacktown (C)
10800,3132.0,48.0,161811630.0,39540.0,51664.0,5.39,2.01,0.37,0.13,0.503,7.9,21.6,33.4,28.6,28.9,22.4,20.1,Bland (A)
10850,3796.0,46.0,207148447.0,44143.0,54570.0,4.97,1.91,0.38,0.16,0.469,7.5,19.6,30.6,25.8,27.3,23.5,23.4,Blayney (A)
10900,44293.0,47.0,2557616604.0,46565.0,57743.0,5.49,1.95,0.36,0.15,0.45799999999999996,6.4,18.7,29.8,26.5,23.8,23.0,26.7,Blue Mountains (C)
10950,1598.0,45.0,98966025.0,49652.0,61931.0,5.19,1.88,0.36,0.17,0.46799999999999997,6.2,19.8,31.2,24.6,22.9,24.0,28.6,Bogan (A)
11100,25511.0,39.0,1493234006.0,49766.0,58533.0,4.21,1.74,0.41,0.21,0.42,5.7,17.6,28.3,22.2,24.8,28.0,25.0,Botany Bay (C)
11150,1298.0,44.0,68603400.0,47815.0,52853.0,4.02,1.67,0.42,0.15,0.433,5.9,16.6,27.3,22.9,26.1,30.1,20.9,Bourke (A)
11200,555.0,46.0,23948321.0,41177.0,43150.0,5.1,1.73,0.34,0.09,0.516,4.5,16.7,28.5,28.3,29.0,27.0,15.8,Brewarrina (A)
11250,8548.0,45.0,473775080.0,46595.0,55425.0,4.69,1.88,0.4,0.18,0.426,5.1,16.2,27.1,24.2,26.1,24.6,25.1,Broken Hill (C)
