lga_code16,ie_agff_omoe_nil_em,ie_agff_omoe_1_19_em,ie_agff_omoe_20more_em,ie_agff_omoe_ne_ns,ie_agff_tot,ie_min_omoe_nil_em,ie_min_omoe_1_19_em,ie_min_omoe_20more_em,ie_min_omoe_ne_ns,ie_min_tot,ie_mnf_omoe_nil_em,ie_mnf_omoe_1_19_em,ie_mnf_omoe_20more_em,ie_mnf_omoe_ne_ns,ie_mnf_tot,ie_egwws_omoe_nil_em,ie_egwws_omoe_1_19_em,ie_egwws_omoe_20more_em,ie_egwws_omoe_ne_ns,ie_egwws_tot,ie_const_omoe_nil_em,ie_const_omoe_1_19_em,ie_const_omoe_20more_em,ie_const_omoe_ne_ns,ie_const_tot,ie_wst_omoe_nil_em,ie_wst_omoe_1_19_em,ie_wst_omoe_20more_em,ie_wst_omoe_ne_ns,ie_wst_tot,ie_rett_omoe_nil_em,ie_rett_omoe_1_19_em,ie_rett_omoe_20more_em,ie_rett_omoe_ne_ns,ie_rett_tot,ie_acfd_omoe_nil_em,ie_acfd_omoe_1_19_em,ie_acfd_omoe_20more_em,ie_acfd_omoe_ne_ns,ie_acfd_tot,ie_tpw_omoe_nil_em,ie_tpw_omoe_1_19_em,ie_tpw_omoe_20more_em,ie_tpw_omoe_ne_ns,ie_tpw_tot,ie_imt_omoe_nil_em,ie_imt_omoe_1_19_em,ie_imt_omoe_20more_em,ie_imt_omoe_ne_ns,ie_imt_tot,ie_finins_omoe_nil_em,ie_finins_omoe_1_19_em,ie_finins_omoe_20more_em,ie_finins_omoe_ne_ns,ie_finins_tot,ie_rhre_omoe_nil_em,ie_rhre_omoe_1_19_em,ie_rhre_omoe_20more_em,ie_rhre_omoe_ne_ns,ie_rhre_tot,ie_prosts_omoe_nil_em,ie_prosts_omoe_1_19_em,ie_prosts_omoe_20more_em,ie_prosts_omoe_ne_ns,ie_prosts_tot,ie_adsup_omoe_nil_em,ie_adsup_omoe_1_19_em,ie_adsup_omoe_20more_em,ie_adsup_omoe_ne_ns,ie_adsup_tot,ie_pubas_omoe_nil_em,ie_pubas_omoe_1_19_em,ie_pubas_omoe_20more_em,ie_pubas_omoe_ne_ns,ie_pubas_tot,ie_edtrn_omoe_nil_em,ie_edtrn_omoe_1_19_em,ie_edtrn_omoe_20more_em,ie_edtrn_omoe_ne_ns,ie_edtrn_tot,ie_hc_sa_omoe_nil_em,ie_hc_sa_omoe_1_19_em,ie_hc_sa_omoe_20more_em,ie_hc_sa_omoe_ne_ns,ie_hc_sa_tot,ie_artsr_omoe_nil_em,ie_artsr_omoe_1_19_em,ie_artsr_omoe_20more_em,ie_artsr_omoe_ne_ns,ie_artsr_tot,ie_othsvs_omoe_nil_em,ie_othsvs_omoe_1_19_em,ie_othsvs_omoe_20more_em,ie_othsvs_omoe_ne_ns,ie_othsvs_tot,ie_idns_omoe_nil_em,ie_idns_omoe_1_19_em,ie_idns_omoe_20more_em,ie_idns_omoe_ne_ns,ie_idns_tot,ie_tot_omoe_nil_em,ie_tot_omoe_1_19_em,ie_tot_omoe_20more_em,ie_tot_omoe_ne_ns,ie_tot_tot,uie_agff_omoe_nil_em,uie_agff_omoe_1_19_em,uie_agff_omoe_20more_em,uie_agff_omoe_ne_ns,uie_agff_tot,uie_min_omoe_nil_em,uie_min_omoe_1_19_em,uie_min_omoe_20more_em,uie_min_omoe_ne_ns,uie_min_tot,uie_mnf_omoe_nil_em,uie_mnf_omoe_1_19_em,uie_mnf_omoe_20more_em,uie_mnf_omoe_ne_ns,uie_mnf_tot,uie_egwws_omoe_nil_em,uie_egwws_omoe_1_19_em,uie_egwws_omoe_20more_em,uie_egwws_omoe_ne_ns,uie_egwws_tot,uie_const_omoe_nil_em,uie_const_omoe_1_19_em,uie_const_omoe_20more_em,uie_const_omoe_ne_ns,uie_const_tot,uie_wst_omoe_nil_em,uie_wst_omoe_1_19_em,uie_wst_omoe_20more_em,uie_wst_omoe_ne_ns,uie_wst_tot,uie_rett_omoe_nil_em,uie_rett_omoe_1_19_em,uie_rett_omoe_20more_em,uie_rett_omoe_ne_ns,uie_rett_tot,uie_acfd_omoe_nil_em,uie_acfd_omoe_1_19_em,uie_acfd_omoe_20more_em,uie_acfd_omoe_ne_ns,uie_acfd_tot,uie_tpw_omoe_nil_em,uie_tpw_omoe_1_19_em,uie_tpw_omoe_20more_em,uie_tpw_omoe_ne_ns,uie_tpw_tot,uie_imt_omoe_nil_em,uie_imt_omoe_1_19_em,uie_imt_omoe_20more_em,uie_imt_omoe_ne_ns,uie_imt_tot,uie_finins_omoe_nil_em,uie_finins_omoe_1_19_em,uie_finins_omoe_20more_em,uie_finins_omoe_ne_ns,uie_finins_tot,uie_rhre_omoe_nil_em,uie_rhre_omoe_1_19_em,uie_rhre_omoe_20more_em,uie_rhre_omoe_ne_ns,uie_rhre_tot,uie_prosts_omoe_nil_em,uie_prosts_omoe_1_19_em,uie_prosts_omoe_20more_em,uie_prosts_omoe_ne_ns,uie_prosts_tot,uie_adsup_omoe_nil_em,uie_adsup_omoe_1_19_em,uie_adsup_omoe_20more_em,uie_adsup_omoe_ne_ns,uie_adsup_tot,uie_pubas_omoe_nil_em,uie_pubas_omoe_1_19_em,uie_pubas_omoe_20more_em,uie_pubas_omoe_ne_ns,uie_pubas_tot,uie_edtrn_omoe_nil_em,uie_edtrn_omoe_1_19_em,uie_edtrn_omoe_20more_em,uie_edtrn_omoe_ne_ns,uie_edtrn_tot,uie_hc_sa_omoe_nil_em,uie_hc_sa_omoe_1_19_em,uie_hc_sa_omoe_20more_em,uie_hc_sa_omoe_ne_ns,uie_hc_sa_tot,uie_artsr_omoe_nil_em,uie_artsr_omoe_1_19_em,uie_artsr_omoe_20more_em,uie_artsr_omoe_ne_ns,uie_artsr_tot,uie_othsvs_omoe_nil_em,uie_othsvs_omoe_1_19_em,uie_othsvs_omoe_20more_em,uie_othsvs_omoe_ne_ns,uie_othsvs_tot,lga_name16
10050,14,10,0,0,23,0,0,0,0,0,20,69,21,0,108,3,0,0,0,5,41,165,12,3,221,10,45,8,0,65,11,112,22,0,144,7,62,18,3,94,21,35,13,3,68,6,11,3,0,20,18,35,0,0,49,20,34,3,0,55,42,96,5,0,144,20,27,6,0,49,3,7,3,0,13,7,8,5,0,22,37,86,7,0,140,7,14,0,0,20,24,74,3,0,105,17,50,3,0,74,328,934,137,14,1419,23,13,0,0,35,0,0,0,0,0,34,38,0,0,73,0,0,0,0,0,205,70,3,3,283,15,16,0,0,33,64,61,4,0,126,22,62,0,0,90,46,16,0,0,60,15,0,0,0,15,9,3,0,0,17,11,3,0,0,12,125,47,4,3,180,67,21,0,3,88,3,0,3,0,9,55,8,0,0,65,163,46,6,3,217,19,8,0,0,21,137,80,0,0,219,Albury (C)
10130,47,56,4,3,115,0,0,0,0,0,5,3,3,0,14,0,3,0,0,3,7,67,3,7,87,3,25,3,0,27,6,55,8,0,73,11,40,6,0,55,7,20,5,0,30,4,3,0,0,6,6,14,0,0,21,6,16,0,0,28,26,39,10,0,67,5,17,0,0,25,0,3,0,0,3,9,3,0,0,11,22,34,0,0,61,3,3,0,0,6,4,30,0,0,34,11,18,0,0,24,187,449,47,13,696,209,120,0,8,333,0,0,0,0,0,27,18,0,3,50,0,0,0,0,0,97,39,0,4,140,7,3,0,0,14,27,39,3,0,75,21,39,3,0,64,23,6,0,0,35,7,3,0,0,6,3,0,0,0,5,3,5,0,0,6,60,30,15,0,106,27,9,0,0,41,10,3,0,0,10,55,3,3,0,62,62,19,0,0,80,7,3,0,0,13,38,38,0,0,81,Armidale Regional (A)
10250,24,34,4,0,64,0,0,0,0,0,12,37,7,0,55,3,3,0,0,7,48,87,6,3,146,5,29,3,0,41,17,67,13,0,93,10,72,7,0,86,17,29,0,0,44,11,3,0,0,13,23,27,0,0,42,18,33,11,0,59,65,98,3,3,170,14,31,0,0,44,0,3,0,0,8,12,6,0,0,19,30,55,7,0,91,11,11,0,0,23,12,30,0,0,45,26,24,3,0,64,347,686,70,7,1109,170,55,0,4,228,4,0,0,0,4,54,19,0,0,78,4,0,0,0,10,216,83,0,3,301,10,7,0,0,17,71,76,3,0,146,34,63,3,3,97,27,21,3,0,50,13,3,0,0,15,15,5,0,0,21,10,3,0,0,17,156,44,6,0,214,79,11,0,3,95,6,0,0,0,8,67,10,0,3,75,163,33,0,3,201,47,9,0,0,48,112,45,0,0,160,Ballina (A)
10300,7,28,6,0,45,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,10,0,0,8,0,0,0,0,4,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,19,57,6,0,80,10,24,0,0,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,3,0,0,11,0,0,0,0,0,5,3,0,0,13,5,5,0,0,13,8,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,14,Balranald (A)
10470,21,41,3,0,57,0,0,0,0,0,13,45,7,3,64,0,7,0,0,10,58,132,13,3,206,3,26,6,3,34,9,71,14,0,88,0,52,14,0,68,26,23,7,0,64,3,5,0,0,4,9,15,0,0,28,9,14,5,0,25,31,71,11,0,115,18,32,3,0,50,0,9,0,0,9,3,3,0,0,5,15,28,0,0,50,0,0,3,0,3,8,36,3,0,44,11,17,0,3,39,235,631,91,17,976,124,83,0,3,210,0,0,0,0,0,30,15,0,0,49,9,0,0,0,9,160,68,0,3,229,5,4,0,0,11,40,32,0,0,82,29,45,0,0,70,24,15,0,0,47,5,0,0,0,5,0,5,0,0,8,22,4,0,0,21,100,23,6,0,126,51,12,0,0,64,0,0,0,0,3,42,5,0,0,45,79,20,0,0,104,25,4,0,4,33,93,53,0,4,153,Bathurst Regional (A)
10550,26,45,0,0,66,0,0,0,0,0,11,28,4,0,44,0,0,0,0,4,53,81,0,3,139,3,14,0,3,20,13,78,8,0,107,22,82,3,0,113,9,43,3,0,51,6,7,0,0,14,3,6,0,0,10,13,30,0,0,51,37,54,9,0,96,14,21,0,0,33,0,3,3,0,6,7,12,0,0,18,15,34,5,0,49,5,16,3,0,20,7,30,0,0,42,12,12,0,0,27,257,594,35,7,900,183,98,0,10,288,0,0,0,0,0,37,19,4,3,63,0,0,0,0,0,172,59,0,7,235,7,4,0,0,19,61,57,3,7,124,56,78,0,0,138,14,17,0,0,29,9,0,0,0,9,5,0,0,0,7,3,3,0,0,6,85,22,3,0,113,58,17,0,0,80,3,3,0,0,4,43,3,0,6,48,88,25,3,3,114,29,3,0,0,37,82,39,0,3,122,Bega Valley (A)
10600,5,8,0,3,20,0,0,0,0,0,4,7,0,0,8,0,0,0,0,0,9,14,3,0,26,0,5,0,0,9,0,16,0,0,22,6,17,3,0,21,4,5,0,0,8,3,0,0,0,5,0,0,0,0,0,3,5,0,0,7,16,10,0,0,28,0,8,0,0,4,0,0,0,0,0,3,3,0,0,11,0,8,0,0,8,0,0,0,0,0,0,13,0,0,18,5,7,0,0,14,70,145,8,4,222,93,32,0,4,128,0,0,0,0,0,34,10,0,0,42,3,0,0,0,3,65,17,0,0,85,3,0,0,0,5,37,17,0,0,65,25,19,0,0,42,9,9,0,0,17,3,0,0,0,3,12,0,0,0,12,10,4,0,0,12,51,8,0,0,52,30,6,0,0,36,3,0,0,0,3,21,3,0,0,21,45,11,0,3,56,15,0,0,0,20,39,8,0,0,48,Bellingen (A)
10650,33,48,0,0,84,0,0,0,0,0,4,7,0,0,16,3,0,0,0,3,10,21,0,0,30,3,7,0,0,16,0,24,4,3,29,4,16,0,0,21,11,16,4,0,24,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,6,9,0,0,14,4,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,10,7,0,0,15,3,3,0,0,8,91,173,12,6,279,87,50,0,3,135,0,0,0,0,0,6,4,0,0,10,0,0,0,0,0,34,10,0,3,41,3,0,0,0,3,10,10,0,0,26,17,14,0,0,36,8,3,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,3,0,0,8,9,3,0,0,9,4,0,0,0,3,9,0,0,0,9,11,9,0,0,14,0,0,0,0,0,16,8,0,0,31,Berrigan (A)
10750,12,8,0,0,17,0,0,0,0,0,131,371,82,0,584,16,18,7,0,46,430,756,108,19,1311,79,202,51,0,339,142,371,32,0,546,36,162,37,7,238,371,287,48,5,710,49,40,3,0,94,63,45,0,0,105,54,121,9,0,178,259,261,12,0,539,115,164,19,4,298,11,40,14,0,69,40,51,11,0,96,137,312,19,5,474,15,25,0,0,43,129,288,23,3,438,144,253,18,9,423,2230,3786,495,56,6561,58,5,0,0,69,0,0,0,0,0,168,77,3,7,251,20,7,3,0,29,668,180,0,16,866,65,26,0,0,97,270,133,15,0,414,98,103,6,0,206,706,72,5,4,785,47,3,0,0,49,47,3,0,0,49,35,12,0,0,47,478,76,0,3,555,343,48,3,3,399,19,5,3,0,27,248,37,0,3,293,525,80,3,0,617,67,11,0,0,81,452,129,3,4,596,Blacktown (C)
10800,26,20,3,3,50,7,4,0,0,10,0,3,0,0,4,0,0,0,0,0,7,3,0,0,15,0,3,3,0,5,0,10,0,4,16,0,14,0,0,14,3,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,13,0,0,15,0,3,3,0,7,46,95,6,11,157,172,122,0,8,299,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,23,5,0,3,26,4,0,0,0,3,6,11,0,0,17,6,7,0,0,12,10,16,0,0,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,0,7,7,3,0,0,5,0,0,0,0,0,4,0,0,0,7,17,3,0,0,14,3,0,0,0,3,12,5,0,0,22,Bland (A)
