lga_code16,sg_400_499_mng,sg_400_499_pro,sg_400_499_tectw,sg_400_499_copsw,sg_400_499_claw,sg_400_499_swks,sg_400_499_maopdv,sg_400_499_lab,sg_400_499_idns,sg_400_499_tot,sg_500_649_mng,sg_500_649_pro,sg_500_649_tectw,sg_500_649_copsw,sg_500_649_claw,sg_500_649_swks,sg_500_649_maopdv,sg_500_649_lab,sg_500_649_idns,sg_500_649_tot,sg_650_799_mng,sg_650_799_pro,sg_650_799_tectw,sg_650_799_copsw,sg_650_799_claw,sg_650_799_swks,sg_650_799_maopdv,sg_650_799_lab,sg_650_799_idns,sg_650_799_tot,sg_800_999_mng,sg_800_999_pro,sg_800_999_tectw,sg_800_999_copsw,sg_800_999_claw,sg_800_999_swks,sg_800_999_maopdv,sg_800_999_lab,sg_800_999_idns,sg_800_999_tot,sg_1000_1249_mng,sg_1000_1249_pro,sg_1000_1249_tectw,sg_1000_1249_copsw,sg_1000_1249_claw,sg_1000_1249_swks,sg_1000_1249_maopdv,sg_1000_1249_lab,sg_1000_1249_idns,sg_1000_1249_tot,sg_1250_1499_mng,sg_1250_1499_pro,sg_1250_1499_tectw,sg_1250_1499_copsw,sg_1250_1499_claw,sg_1250_1499_swks,sg_1250_1499_maopdv,sg_1250_1499_lab,sg_1250_1499_idns,sg_1250_1499_tot,sg_1500_1749_mng,sg_1500_1749_pro,sg_1500_1749_tectw,sg_1500_1749_copsw,sg_1500_1749_claw,sg_1500_1749_swks,sg_1500_1749_maopdv,sg_1500_1749_lab,sg_1500_1749_idns,sg_1500_1749_tot,sg_1750_1999_mng,sg_1750_1999_pro,sg_1750_1999_tectw,sg_1750_1999_copsw,sg_1750_1999_claw,sg_1750_1999_swks,sg_1750_1999_maopdv,sg_1750_1999_lab,sg_1750_1999_idns,sg_1750_1999_tot,sg_2000_2999_mng,sg_2000_2999_pro,sg_2000_2999_tectw,sg_2000_2999_copsw,sg_2000_2999_claw,sg_2000_2999_swks,sg_2000_2999_maopdv,sg_2000_2999_lab,sg_2000_2999_idns,sg_2000_2999_tot,sg_3000mo_mng,sg_3000mo_pro,sg_3000mo_tectw,sg_3000mo_copsw,sg_3000mo_claw,sg_3000mo_swks,sg_3000mo_maopdv,sg_3000mo_lab,sg_3000mo_idns,sg_3000mo_tot,sg_pins_mng,sg_pins_pro,sg_pins_tectw,sg_pins_copsw,sg_pins_claw,sg_pins_swks,sg_pins_maopdv,sg_pins_lab,sg_pins_idns,sg_pins_tot,sg_tot_mng,sg_tot_pro,sg_tot_tectw,sg_tot_copsw,sg_tot_claw,sg_tot_swks,sg_tot_maopdv,sg_tot_lab,sg_tot_idns,sg_tot_tot,lg_nni_mng,lg_nni_pro,lg_nni_tectw,lg_nni_copsw,lg_nni_claw,lg_nni_swks,lg_nni_maopdv,lg_nni_lab,lg_nni_idns,lg_nni_tot,lg_1_149_mng,lg_1_149_pro,lg_1_149_tectw,lg_1_149_copsw,lg_1_149_claw,lg_1_149_swks,lg_1_149_maopdv,lg_1_149_lab,lg_1_149_idns,lg_1_149_tot,lg_150_299_mng,lg_150_299_pro,lg_150_299_tectw,lg_150_299_copsw,lg_150_299_claw,lg_150_299_swks,lg_150_299_maopdv,lg_150_299_lab,lg_150_299_idns,lg_150_299_tot,lg_300_399_mng,lg_300_399_pro,lg_300_399_tectw,lg_300_399_copsw,lg_300_399_claw,lg_300_399_swks,lg_300_399_maopdv,lg_300_399_lab,lg_300_399_idns,lg_300_399_tot,lg_400_499_mng,lg_400_499_pro,lg_400_499_tectw,lg_400_499_copsw,lg_400_499_claw,lg_400_499_swks,lg_400_499_maopdv,lg_400_499_lab,lg_400_499_idns,lg_400_499_tot,lg_500_649_mng,lg_500_649_pro,lg_500_649_tectw,lg_500_649_copsw,lg_500_649_claw,lg_500_649_swks,lg_500_649_maopdv,lg_500_649_lab,lg_500_649_idns,lg_500_649_tot,lg_650_799_mng,lg_650_799_pro,lg_650_799_tectw,lg_650_799_copsw,lg_650_799_claw,lg_650_799_swks,lg_650_799_maopdv,lg_650_799_lab,lg_650_799_idns,lg_650_799_tot,lg_800_999_mng,lg_800_999_pro,lg_800_999_tectw,lg_800_999_copsw,lg_800_999_claw,lg_800_999_swks,lg_800_999_maopdv,lg_800_999_lab,lg_800_999_idns,lg_800_999_tot,lga_name16
10050,0,17,3,19,6,0,3,11,0,58,3,36,7,32,25,0,0,10,0,126,3,60,18,43,41,4,3,10,0,177,3,101,8,56,54,0,7,12,3,247,7,181,11,53,71,3,4,11,0,339,9,211,11,32,40,4,4,4,0,313,18,232,3,41,26,0,0,3,3,331,20,192,4,57,11,3,0,0,4,298,80,136,0,77,11,0,4,0,0,312,15,33,0,4,0,0,0,0,0,49,0,12,0,3,3,0,0,0,0,22,161,1237,76,436,305,15,26,76,16,2344,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,8,0,0,0,0,3,0,0,3,0,11,0,3,3,10,10,0,0,0,0,21,0,6,10,0,7,0,4,3,0,41,3,5,34,5,15,0,15,8,4,92,Albury (C)
10130,0,15,0,11,10,0,0,11,0,47,0,16,4,21,11,0,0,9,0,60,0,30,3,21,24,0,0,8,0,90,0,59,9,27,20,0,7,13,0,141,3,93,7,40,39,0,6,6,3,187,4,99,3,30,26,0,0,7,3,166,13,120,8,32,12,0,0,0,3,181,14,127,5,23,3,0,0,0,0,174,44,103,0,37,4,0,0,0,0,197,7,19,0,0,0,0,0,0,0,27,0,6,0,5,3,0,0,0,0,10,87,703,44,259,157,4,14,64,7,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,3,0,0,0,0,0,7,0,0,0,3,3,0,3,0,0,13,0,0,0,4,9,0,8,5,0,28,3,4,3,3,8,0,17,9,3,45,Armidale Regional (A)
10250,0,15,0,9,4,0,0,8,0,43,0,26,4,25,11,0,0,8,0,74,3,56,0,40,27,0,0,12,0,133,0,82,9,34,28,0,0,14,0,170,4,87,6,28,28,0,3,3,0,165,3,81,6,11,20,0,3,3,0,134,9,111,4,27,10,0,0,0,0,154,7,138,7,22,11,0,0,0,0,184,53,80,4,30,10,0,0,4,3,182,6,11,0,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,5,93,709,48,240,154,7,8,57,7,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,3,0,9,0,3,4,0,12,0,0,3,0,25,4,0,4,0,8,0,8,11,0,35,0,4,11,0,12,0,19,16,0,58,Ballina (A)
10300,0,0,0,0,4,0,0,0,0,4,0,0,0,4,3,0,0,0,0,4,0,3,0,3,3,0,0,0,0,9,0,4,0,0,3,0,0,0,0,8,0,3,0,3,0,0,0,3,0,13,0,15,0,4,0,0,0,0,0,13,0,4,0,6,0,0,0,0,0,6,0,4,0,3,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,19,11,0,0,7,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,4,0,11,Balranald (A)
10470,0,13,0,24,6,0,0,3,0,42,0,24,3,28,11,0,3,8,0,76,0,44,3,47,17,0,5,9,0,127,0,62,6,70,38,0,0,12,3,197,4,111,5,58,69,0,3,13,0,270,3,134,12,66,55,3,0,3,3,289,12,149,14,120,30,4,0,0,3,331,24,176,11,97,14,0,0,0,0,324,76,125,6,83,17,3,0,0,0,310,21,23,0,3,3,0,0,0,0,52,0,3,0,5,5,0,0,0,0,11,141,871,64,608,284,12,13,69,17,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,6,0,3,0,3,4,0,0,3,0,17,4,5,4,3,5,0,5,8,0,30,3,15,12,4,15,0,27,10,0,90,Bathurst Regional (A)
10550,0,5,0,8,5,0,0,0,0,20,0,29,0,17,10,0,3,7,0,70,3,38,3,28,11,0,0,6,3,93,0,52,4,28,29,0,3,12,0,130,3,74,0,22,26,0,3,8,4,146,3,78,3,11,11,0,5,0,0,114,0,79,8,6,4,0,3,5,0,108,6,92,5,27,0,0,0,0,0,136,30,49,8,31,0,0,0,0,0,119,3,12,0,3,0,0,0,0,0,16,0,9,0,3,0,0,0,0,0,7,57,517,34,202,116,5,24,40,9,992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,0,8,4,0,0,3,0,21,0,5,3,3,6,0,3,3,0,26,0,5,6,4,20,0,13,3,0,56,Bega Valley (A)
10600,0,12,0,6,7,0,0,0,0,23,0,5,0,6,5,0,0,3,0,19,0,10,0,9,9,0,0,10,0,31,0,18,0,10,9,0,0,4,0,51,0,29,0,11,6,0,0,0,0,47,3,39,0,0,4,0,0,0,0,52,0,33,0,0,0,0,0,0,0,41,0,38,0,7,0,0,0,0,0,46,12,18,0,7,0,0,0,0,0,38,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,19,214,3,73,34,0,0,22,3,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,3,0,3,3,0,0,0,9,7,0,33,Bellingen (A)
10650,0,0,0,3,0,0,0,0,0,9,0,3,0,10,0,0,0,0,0,14,0,11,0,8,0,0,0,0,0,22,0,6,0,10,7,0,0,4,0,23,0,15,0,6,3,0,0,0,0,29,0,19,0,0,0,0,0,0,0,23,0,19,0,3,0,0,0,0,0,21,0,19,0,7,0,0,0,0,0,26,8,11,0,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,10,109,0,63,15,0,3,10,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,3,0,3,0,3,5,0,22,Berrigan (A)
10750,0,37,7,57,30,0,4,13,0,152,0,111,10,110,63,3,3,26,0,328,0,209,15,177,135,0,14,46,4,596,17,367,29,228,236,7,27,73,7,985,26,731,32,289,259,17,21,50,10,1431,39,872,34,218,137,17,24,30,10,1385,39,886,36,223,74,7,12,26,9,1313,87,1007,41,200,58,0,23,23,4,1445,317,631,61,207,72,7,19,14,9,1331,95,125,9,20,3,0,0,0,0,251,11,41,3,13,8,0,0,3,8,82,628,5088,286,1864,1119,57,148,322,69,9583,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,9,3,0,0,0,0,22,0,3,0,13,9,3,0,0,0,31,0,3,3,29,9,0,0,3,0,48,6,7,22,41,24,0,0,3,0,108,0,8,27,33,21,0,7,14,0,122,0,28,34,36,54,0,37,39,3,232,Blacktown (C)
10800,0,3,0,3,0,0,0,0,0,7,0,9,0,4,3,0,0,3,0,23,0,5,0,3,4,0,0,5,0,19,0,11,0,5,3,0,0,0,0,24,0,13,0,0,3,0,0,0,0,20,0,13,0,3,0,0,3,0,0,20,0,12,0,4,0,0,0,0,0,17,3,14,0,0,0,0,0,0,0,15,8,10,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,93,0,33,17,0,3,12,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,0,0,0,0,9,0,0,0,0,0,0,0,4,0,3,0,0,3,0,5,0,9,5,0,21,Bland (A)
