lga_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,lga_name16
63610,19770.0,45.0,980378223.0,41877.0,49589.0,4.75,1.78,0.38,0.17,0.442,6.5,18.7,29.3,25.2,26.2,27.0,21.6,Kingborough (M)
56730,5334.0,45.0,280737232.0,43722.0,52632.0,5.12,1.91,0.37,0.16,0.446,5.2,17.0,28.4,24.6,24.7,24.0,26.7,Northam (S)
56790,1782.0,48.0,82955260.0,36071.0,46552.0,7.34,2.15,0.29,0.1,0.546,6.6,21.3,34.3,30.6,28.3,19.4,21.6,Northampton (S)
63810,5337.0,46.0,239656103.0,38876.0,44905.0,5.21,1.77,0.34,0.14,0.445,5.9,17.7,28.6,28.3,26.7,26.7,18.3,Latrobe (M) (Tas.)
64010,33619.0,42.0,1564834542.0,38927.0,46546.0,4.57,1.75,0.38,0.17,0.44799999999999995,7.8,20.2,30.6,26.3,29.3,26.7,17.6,Launceston (C)
57630,43.0,51.0,2092958.0,48348.0,48673.0,,,,,,,,,23.9,19.6,32.6,23.9,Sandstone (S)
57700,10927.0,41.0,688551042.0,51985.0,63014.0,4.7,1.83,0.39,0.19,0.451,6.7,18.9,30.0,20.3,21.9,24.4,33.4,Serpentine-Jarrahdale (S)
57770,422.0,43.0,21113371.0,37455.0,50032.0,5.09,2.1,0.41,0.19,0.46399999999999997,,18.7,30.4,27.6,28.1,20.0,24.3,Shark Bay (S)
57840,26617.0,41.0,2062279142.0,53325.0,77480.0,6.04,2.06,0.34,0.15,0.53,10.9,26.1,38.1,22.1,20.0,20.5,37.4,South Perth (C)
57910,124526.0,39.0,8112244289.0,49267.0,65145.0,5.04,1.89,0.38,0.18,0.483,8.7,22.6,34.1,21.9,22.1,24.3,31.7,Stirling (C)
57980,11160.0,41.0,1019042526.0,57215.0,91312.0,7.56,2.24,0.3,0.13,0.5660000000000001,11.1,28.4,41.3,23.2,17.1,18.1,41.6,Subiaco (C)
58050,64350.0,40.0,3680644220.0,48065.0,57197.0,4.29,1.75,0.41,0.2,0.42700000000000005,6.1,17.9,28.8,20.8,23.7,27.4,28.1,Swan (C)
58190,222.0,45.0,9742160.0,36598.0,43884.0,7.72,1.99,0.26,0.07,0.49700000000000005,,17.5,29.8,29.5,26.3,23.7,20.5,Tammin (S)
58260,324.0,44.0,15445492.0,38970.0,47671.0,7.3,2.18,0.3,0.08,0.557,,17.8,30.4,28.5,24.5,20.9,26.1,Three Springs (S)
64210,10115.0,45.0,439845951.0,38105.0,43485.0,4.73,1.74,0.37,0.15,0.44,5.8,17.4,28.1,27.8,28.5,27.0,16.7,Meander Valley (M)
64610,6590.0,45.0,299004225.0,38293.0,45372.0,4.43,1.74,0.39,0.17,0.451,7.5,20.1,30.6,26.4,30.5,26.7,16.4,Northern Midlands (M)
64810,7015.0,44.0,298028112.0,39110.0,42484.0,3.89,1.64,0.42,0.2,0.39399999999999996,4.7,15.0,25.2,24.8,31.2,29.4,14.7,Sorell (M)
57000,283.0,46.0,14330620.0,40877.0,50638.0,10.12,2.11,0.21,0.0,0.626,,24.8,36.9,31.4,22.1,20.0,26.4,Perenjori (S)
57080,14756.0,32.0,1162187998.0,51268.0,78760.0,7.42,2.21,0.3,0.15,0.5529999999999999,11.9,27.2,39.4,25.5,18.3,18.5,37.6,Perth (C)
57140,614.0,48.0,26510678.0,32056.0,43177.0,8.13,2.21,0.27,0.1,0.539,6.5,20.0,33.4,35.0,25.2,20.3,19.6,Pingelly (S)
57210,2728.0,48.0,113632008.0,34162.0,41654.0,5.87,1.92,0.33,0.12,0.507,6.4,19.9,32.0,32.1,28.3,23.3,16.3,Plantagenet (S)
57280,8099.0,34.0,684282925.0,73645.0,84490.0,4.68,1.81,0.39,0.19,0.408,4.7,15.1,25.5,15.0,15.3,18.6,51.0,Port Hedland (T)
57350,566.0,51.0,29662503.0,40487.0,52407.0,5.79,2.08,0.36,0.14,0.518,5.9,20.1,32.8,28.2,24.0,23.3,24.5,Quairading (S)
57420,1144.0,44.0,60860585.0,44473.0,53200.0,8.65,2.12,0.25,0.07,0.54,5.5,18.2,30.2,29.0,19.7,19.6,31.7,Ravensthorpe (S)
57490,60343.0,40.0,3713713120.0,50071.0,61543.0,4.99,1.93,0.39,0.19,0.439,5.0,17.0,28.4,21.1,22.4,23.3,33.2,Rockingham (C)
65010,3010.0,45.0,123431280.0,36910.0,41007.0,4.44,1.68,0.38,0.15,0.449,6.9,18.4,28.9,28.1,31.3,26.9,13.7,Southern Midlands (M)
58330,2310.0,49.0,126892005.0,42488.0,54932.0,6.8,2.16,0.32,0.11,0.493,5.1,17.4,29.8,28.1,22.1,19.5,30.2,Toodyay (S)
58400,178.0,50.0,6463633.0,34663.0,36313.0,,,,,0.743,,17.7,33.4,36.2,20.3,21.5,22.0,Trayning (S)
58470,36.0,52.0,2160533.0,56311.0,60015.0,,,,,,,,,22.2,19.4,16.7,41.7,Upper Gascoyne (S)
58510,20867.0,35.0,1304561293.0,48883.0,62518.0,5.06,1.9,0.37,0.18,0.465,7.6,20.4,31.8,22.2,22.2,23.9,31.7,Victoria Park (T)
70200,16759.0,39.0,917918048.0,48686.0,54772.0,3.96,1.68,0.43,0.21,0.39899999999999997,5.2,16.2,26.3,19.9,23.4,29.9,26.7,Alice Springs (T)
58540,568.0,46.0,24872628.0,34166.0,43790.0,6.92,2.06,0.3,0.06,0.5660000000000001,5.9,21.5,34.8,33.7,25.1,21.1,20.0,Victoria Plains (S)
58570,21494.0,35.0,1519055322.0,51681.0,70673.0,5.74,2.03,0.35,0.18,0.49700000000000005,8.7,22.5,34.4,22.1,20.9,21.2,35.8,Vincent (C)
58610,1225.0,48.0,54537402.0,38829.0,44520.0,5.44,1.82,0.34,0.13,0.461,4.7,16.5,27.9,28.2,27.0,25.4,19.4,Wagin (S)
58680,217.0,45.0,13435469.0,52427.0,61915.0,4.44,2.0,0.45,0.11,0.428,,14.2,26.1,19.0,21.8,25.5,33.8,Wandering (S)
58760,89250.0,39.0,5092201452.0,47277.0,57055.0,4.47,1.8,0.4,0.21,0.43200000000000005,5.8,17.8,29.0,21.4,24.1,26.2,28.2,Wanneroo (C)
58820,2028.0,45.0,120475059.0,45018.0,59406.0,6.86,2.33,0.34,0.15,0.46399999999999997,4.6,15.9,27.4,25.4,22.9,16.9,34.7,Waroona (S)
58890,505.0,49.0,26072467.0,37921.0,51629.0,10.93,2.39,0.22,0.06,0.607,6.8,21.3,35.0,32.6,22.7,15.9,28.8,West Arthur (S)
59030,132.0,44.0,6003681.0,42454.0,45482.0,,,,,0.7979999999999999,,21.2,38.5,36.6,13.7,23.7,26.0,Westonia (S)
72800,17665.0,35.0,1080654390.0,56774.0,61175.0,2.95,1.51,0.51,0.28,0.35100000000000003,5.0,14.8,24.3,13.7,19.8,35.1,31.5,Palmerston (C)
73600,670.0,40.0,28516296.0,33941.0,42562.0,6.1,2.04,0.33,0.19,0.47100000000000003,6.6,19.3,30.7,32.5,30.5,19.2,17.8,Roper Gulf (R)
74050,292.0,39.0,10391406.0,28133.0,35587.0,4.09,1.8,0.44,0.23,0.446,,19.8,31.9,33.2,40.8,15.1,11.0,Tiwi Islands (R)
74550,554.0,40.0,22736628.0,32751.0,41041.0,6.25,2.0,0.32,0.17,0.485,5.1,18.2,30.8,34.7,27.8,20.9,16.6,Victoria Daly (R)
59100,493.0,47.0,22357431.0,36973.0,45350.0,6.27,1.87,0.3,0.1,0.491,,19.0,31.4,31.0,26.0,24.1,18.9,Wickepin (S)
74560,208.0,50.0,12514079.0,55207.0,60164.0,3.42,1.59,0.47,0.19,0.376,,14.2,24.3,16.0,21.4,29.6,33.0,Wagait (S)
74660,732.0,38.0,47506710.0,57958.0,64900.0,4.74,1.74,0.37,0.17,0.40299999999999997,4.1,14.1,24.7,19.5,18.9,21.5,40.1,West Arnhem (R)
74680,295.0,39.0,9132713.0,26527.0,30958.0,7.04,1.9,0.27,0.13,0.461,,16.1,28.8,39.4,37.4,13.1,10.1,West Daly (R)
59170,645.0,46.0,29996045.0,37254.0,46505.0,5.8,2.0,0.35,0.13,0.509,8.0,20.4,31.8,27.1,29.5,22.5,20.9,Williams (S)
59250,131.0,38.0,6138694.0,39322.0,46860.0,,,,,0.42700000000000005,,16.2,28.5,23.5,32.6,25.0,18.9,Wiluna (S)
89399,229245.0,41.0,15027025375.0,57090.0,65550.0,4.03,1.67,0.41,0.2,0.41600000000000004,6.3,18.0,28.3,17.6,19.6,26.6,36.1,Unincorporated ACT
99399,969.0,46.0,64985822.0,63643.0,67065.0,3.93,1.55,0.39,0.16,0.385,4.8,15.4,24.7,17.2,14.7,25.5,42.7,Unincorp. Other Territories
59310,953.0,45.0,49606482.0,43840.0,52053.0,6.86,1.91,0.28,0.06,0.6,7.4,22.9,35.7,28.1,20.9,23.6,27.4,Wongan-Ballidu (S)
59320,208.0,46.0,9680098.0,36481.0,46539.0,7.44,2.32,0.31,0.05,0.524,,18.7,31.5,29.6,29.6,17.0,23.8,Woodanilling (S)
59330,260.0,48.0,12615367.0,39843.0,48521.0,6.55,1.98,0.3,0.08,0.517,,19.2,31.2,30.7,22.6,22.6,24.1,Wyalkatchem (S)
59340,4023.0,38.0,245660532.0,52600.0,61064.0,4.61,1.75,0.38,0.2,0.429,5.6,17.3,27.8,20.4,21.3,24.2,34.1,Wyndham-East Kimberley (S)
59350,75.0,44.0,3604598.0,42081.0,48061.0,,,,,,,,,24.0,29.3,20.0,26.7,Yalgoo (S)
59360,685.0,46.0,36774103.0,42053.0,53685.0,9.1,2.41,0.27,0.03,0.598,4.9,18.3,31.1,28.6,22.3,15.0,34.1,Yilgarn (S)
59370,1986.0,49.0,94053555.0,37103.0,47358.0,8.26,2.13,0.26,0.06,0.5429999999999999,6.4,20.2,32.8,33.0,22.3,21.2,23.5,York (S)
60210,2721.0,50.0,103566500.0,28976.0,38062.0,6.2,2.01,0.32,0.1,0.508,7.9,21.5,33.7,37.4,29.9,18.8,13.9,Break O'Day (M)
60410,6985.0,40.0,299185311.0,39996.0,42833.0,3.53,1.59,0.45,0.22,0.376,4.2,14.3,24.4,22.7,32.4,30.9,14.0,Brighton (M)
60610,9664.0,43.0,447939670.0,39580.0,46351.0,4.76,1.78,0.37,0.16,0.43700000000000006,6.9,18.3,28.7,26.6,27.8,26.6,19.0,Burnie (C)
60810,11236.0,46.0,496399004.0,37374.0,44179.0,4.96,1.84,0.37,0.15,0.442,5.8,17.6,28.3,28.3,28.4,25.2,18.2,Central Coast (M) (Tas.)
61010,1081.0,45.0,40651998.0,32577.0,37606.0,6.39,1.79,0.28,0.09,0.541,7.4,22.0,33.6,34.8,30.2,22.8,12.2,Central Highlands (M) (Tas.)
61210,4400.0,44.0,187048649.0,38431.0,42511.0,4.36,1.66,0.38,0.17,0.415,5.0,16.2,26.7,25.7,31.0,28.4,14.9,Circular Head (M)
61410,29109.0,45.0,1437295427.0,42139.0,49376.0,4.4,1.77,0.4,0.18,0.426,6.1,17.7,28.2,23.7,27.4,27.2,21.7,Clarence (C)
61510,4632.0,44.0,193341640.0,37671.0,41740.0,4.25,1.71,0.4,0.18,0.41100000000000003,4.5,15.3,25.9,26.4,31.3,27.5,14.8,Derwent Valley (M)
61610,12477.0,43.0,535155082.0,37137.0,42891.0,4.9,1.77,0.36,0.15,0.436,5.7,17.5,28.2,28.3,29.9,25.5,16.3,Devonport (C)
61810,3466.0,46.0,136457451.0,33580.0,39370.0,5.36,1.82,0.34,0.13,0.45799999999999996,6.3,18.8,29.7,32.3,31.6,22.9,13.2,Dorset (M)
62010,461.0,52.0,18875660.0,34287.0,40945.0,5.24,1.87,0.36,0.11,0.489,,18.5,30.4,31.5,28.7,23.9,15.9,Flinders (M) (Tas.)
62210,2876.0,46.0,128863834.0,37902.0,44807.0,5.01,1.91,0.38,0.14,0.44,5.4,16.7,27.5,28.0,28.5,23.5,20.0,George Town (M)
62410,2211.0,51.0,82637588.0,29761.0,37376.0,5.67,1.86,0.33,0.14,0.486,7.1,21.1,32.7,36.6,32.0,19.2,12.2,Glamorgan/Spring Bay (M)
62610,22115.0,42.0,947864561.0,39746.0,42861.0,3.85,1.6,0.42,0.19,0.38799999999999996,5.1,15.2,25.2,24.6,30.6,31.0,13.9,Glenorchy (C)
62810,30389.0,44.0,1776262626.0,43679.0,58451.0,5.51,1.91,0.35,0.15,0.498,9.7,24.1,35.2,25.5,23.8,23.1,27.6,Hobart (C)
63010,7867.0,45.0,309943283.0,34174.0,39398.0,5.33,1.76,0.33,0.13,0.46299999999999997,6.5,19.0,29.9,31.8,30.5,25.0,12.7,Huon Valley (M)
63210,3147.0,46.0,122971121.0,33991.0,39076.0,5.85,1.83,0.31,0.1,0.46799999999999997,5.2,17.6,29.0,32.4,30.4,23.0,14.2,Kentish (M)
70420,1703.0,41.0,82424769.0,44781.0,48400.0,4.43,1.74,0.39,0.19,0.436,4.4,15.0,25.5,23.2,24.7,27.2,24.9,Barkly (R)
70540,,,,,,,,,,,,,,,,,,Belyuen (S)
70620,152.0,39.0,5059909.0,24604.0,33289.0,,,,,0.446,,16.1,28.4,42.3,29.5,18.8,9.4,Central Desert (R)
70700,540.0,47.0,26634691.0,42614.0,49324.0,4.89,1.84,0.38,0.18,0.46799999999999997,6.0,17.9,28.9,25.5,24.7,26.2,23.6,Coomalie (S)
71000,49821.0,38.0,3073104127.0,52774.0,61683.0,3.79,1.66,0.44,0.23,0.414,7.2,18.7,28.8,17.8,21.3,29.5,31.4,Darwin (C)
71300,408.0,38.0,14639052.0,26905.0,35880.0,6.46,2.19,0.34,0.19,0.46399999999999997,,16.0,28.6,39.6,30.0,15.0,15.5,East Arnhem (R)
72200,4797.0,39.0,267152613.0,52290.0,55692.0,3.25,1.57,0.48,0.24,0.384,4.5,14.9,24.7,16.7,22.9,31.4,29.0,Katherine (T)
72300,9815.0,43.0,608780757.0,54213.0,62026.0,3.79,1.68,0.44,0.23,0.40299999999999997,5.4,16.7,27.0,17.0,21.1,28.5,33.4,Litchfield (M)
72330,354.0,39.0,13745825.0,29533.0,38830.0,7.02,2.16,0.31,0.16,0.46799999999999997,,16.5,29.0,38.0,26.1,19.5,16.4,MacDonnell (R)
