lga_code,lga_name,period,number_new_houses,number_new_other_residential_building,number_total_dwellings,value_new_houses_aud000,value_new_other_residential_building_aud000,value_alterations_additions_aud000,value_total_residential_building_aud000,value_non_residential_building_aud000,value_total_building_aud000,id
44830,Mount Remarkable (DC),2014-2015,7,0,7,1247.6,0.0,820.6,2068.2,547.2,2615.4,1038
44830,Mount Remarkable (DC),2013-2014,18,0,18,3138.0,0.0,265.3,3403.4,407.7,3811.1,1039
44830,Mount Remarkable (DC),2013-2013,8,0,8,1369.0,0.0,687.3,2056.3,237.0,2293.3,1040
45040,Murray Bridge (RC),2014-2015,158,0,158,29375.9,0.0,2871.2,32247.0,27828.4,60075.5,1041
45040,Murray Bridge (RC),2013-2014,218,3,221,39962.7,450.0,3439.0,43851.8,33244.1,77095.8,1042
45040,Murray Bridge (RC),2013-2013,185,5,190,34023.6,800.0,1481.5,36305.0,5178.0,41483.0,1043
50250,Ashburton (S),2013-2014,25,103,128,10331.5,31362.4,945.7,42639.6,285240.4,327880.0,1153
50250,Ashburton (S),2012-2013,51,19,70,21220.2,8843.9,7204.1,37268.2,,,1154
50280,Augusta-Margaret River (S),2014-2015,256,0,256,77149.7,0.0,2260.1,79409.8,9554.0,88963.8,1155
50280,Augusta-Margaret River (S),2013-2014,248,0,249,68218.3,0.0,2358.4,70576.8,13226.2,83803.0,1156
50280,Augusta-Margaret River (S),2012-2013,188,0,188,52073.2,0.0,1608.3,53681.4,,,1157
50350,Bassendean (T),2014-2015,71,69,141,22239.0,18045.6,3314.7,43599.3,9030.2,52629.6,1158
34830,Mapoon (S),2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,829
50350,Bassendean (T),2013-2014,69,6,75,17922.9,1052.5,3481.9,22457.3,13720.3,36177.7,1159
50350,Bassendean (T),2012-2013,90,71,161,24044.1,14547.6,3333.6,41925.3,,,1160
50420,Bayswater (C),2014-2015,334,460,795,98030.7,108196.7,14374.3,220601.8,17991.4,238593.2,1161
50420,Bayswater (C),2013-2014,355,278,635,103613.4,63222.2,19182.9,186018.5,12920.5,198938.9,1162
50420,Bayswater (C),2012-2013,301,235,539,83065.4,43811.7,18398.3,145275.3,,,1163
50490,Belmont (C),2014-2015,245,1184,1430,64970.1,276412.7,4440.2,345823.0,121133.9,466956.9,1164
50490,Belmont (C),2013-2014,223,783,1007,57350.8,172517.6,5011.1,234879.5,206759.4,441638.9,1165
50490,Belmont (C),2012-2013,188,340,528,49295.0,78335.0,2916.8,130546.8,,,1166
50560,Beverley (S),2014-2015,10,0,10,1774.5,0.0,308.8,2083.2,708.3,2791.6,1167
50560,Beverley (S),2013-2014,5,0,5,811.2,0.0,134.0,945.2,268.1,1213.4,1168
50560,Beverley (S),2012-2013,6,0,6,1177.1,0.0,327.0,1504.1,,,1169
50630,Boddington (S),2014-2015,5,0,5,853.8,0.0,493.6,1347.4,1163.8,2511.2,1170
34830,Mapoon (S),2012-2013,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,830
34860,Maranoa (R),2014-2015,44,12,56,13454.5,3064.2,2153.0,18671.7,11000.3,29672.0,831
34860,Maranoa (R),2013-2014,75,10,86,21302.0,2115.0,3862.5,27279.6,21738.3,49017.9,832
34860,Maranoa (R),2012-2013,85,8,94,25072.8,1909.0,4233.7,31215.4,50224.9,81440.3,833
35010,Moreton Bay (R),2014-2015,3009,1459,4483,694240.7,244306.6,77920.7,1016468.0,408195.1,1424663.1,834
35010,Moreton Bay (R),2013-2014,2449,1121,3580,556588.8,193852.6,58961.2,809402.6,406886.3,1216288.9,835
35010,Moreton Bay (R),2012-2013,1752,1220,2980,402904.0,203398.1,56382.5,662684.6,200067.1,862751.6,836
35250,Mornington (S),2014-2015,11,4,15,4302.2,2193.3,0.0,6495.5,2582.5,9078.0,837
35250,Mornington (S),2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,838
35250,Mornington (S),2012-2013,0,0,0,0.0,0.0,0.0,0.0,1603.8,1603.8,839
35300,Mount Isa (C),2014-2015,0,11,11,0.0,2238.3,1095.9,3334.2,11724.6,15058.8,840
35300,Mount Isa (C),2013-2014,14,41,55,3523.6,7757.7,1845.8,13127.1,22030.4,35157.5,841
35300,Mount Isa (C),2012-2013,16,19,35,5329.8,4396.2,2104.7,11830.7,21802.8,33633.5,842
35790,Palm Island (S),2014-2015,0,0,0,0.0,0.0,0.0,0.0,531.0,531.0,855
50630,Boddington (S),2013-2014,11,0,11,2346.2,0.0,345.2,2691.4,3016.0,5707.4,1171
50630,Boddington (S),2012-2013,16,10,26,3643.9,2400.0,301.9,6345.8,,,1172
50770,Boyup Brook (S),2014-2015,9,0,9,2853.0,0.0,437.8,3290.9,418.7,3709.6,1173
50770,Boyup Brook (S),2013-2014,13,0,13,3621.2,0.0,180.5,3801.7,1181.7,4983.3,1174
50770,Boyup Brook (S),2012-2013,3,0,3,894.2,0.0,680.8,1575.0,,,1175
50840,Bridgetown-Greenbushes (S),2014-2015,45,0,46,13723.6,0.0,1894.8,15618.4,529.3,16147.7,1176
50840,Bridgetown-Greenbushes (S),2013-2014,57,0,58,14474.5,0.0,2245.8,16720.3,934.0,17654.3,1177
35790,Palm Island (S),2013-2014,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,856
50840,Bridgetown-Greenbushes (S),2012-2013,31,0,31,8272.2,0.0,964.0,9236.1,,,1178
50910,Brookton (S),2014-2015,3,0,3,556.3,0.0,196.8,753.1,1297.7,2050.8,1179
50910,Brookton (S),2013-2014,3,0,3,715.6,0.0,305.6,1021.2,530.2,1551.4,1180
50910,Brookton (S),2012-2013,4,0,4,1007.4,0.0,44.8,1052.2,,,1181
50980,Broome (S),2014-2015,130,0,130,49547.3,0.0,3606.6,53153.9,19253.6,72407.6,1182
50980,Broome (S),2013-2014,125,46,172,48354.2,9871.0,6945.8,65171.1,58972.7,124143.8,1183
50980,Broome (S),2012-2013,284,80,364,115161.6,21543.1,2624.4,139329.1,,,1184
35790,Palm Island (S),2012-2013,45,0,45,9191.8,0.0,0.0,9191.8,0.0,9191.8,857
51080,Broomehill-Tambellup (S),2014-2015,3,0,3,1208.8,0.0,90.0,1298.8,1254.8,2553.6,1185
51080,Broomehill-Tambellup (S),2013-2014,2,6,8,253.4,1737.3,88.2,2079.0,124.3,2203.2,1186
51080,Broomehill-Tambellup (S),2012-2013,3,0,3,633.0,0.0,82.5,715.5,,,1187
51120,Bruce Rock (S),2014-2015,1,0,1,300.0,0.0,113.5,413.5,579.6,993.1,1188
51120,Bruce Rock (S),2013-2014,2,0,2,606.8,0.0,39.0,645.8,0.0,645.8,1189
