gcc_code16,tot_mng,tot_pro,tot_tech_trds_wks,tot_com_persl_svce_wks,tot_cler_admin_wks,tot_sales_wks,tot_mach_ops_dvrs,tot_labourers,tot_idns,tot_tot,gcc_name16
9OTER,469,393,435,410,291,134,165,319,76,2692,Other Territories
8ACTE,36204,67768,18788,23029,39535,14959,4730,10054,5577,220648,Australian Capital Territory
7RNTE,3974,7422,4586,5377,3809,1827,2230,3535,1092,33860,Rest of NT
7GDAR,8887,14170,12881,8762,10465,5200,4113,6198,1447,72120,Greater Darwin
6RTAS,14349,17123,14632,12686,12590,11068,8054,14509,1814,106812,Rest of Tas.
6GHOB,11198,22732,12406,12902,15242,9933,4552,8669,1714,99359,Greater Hobart
5RWAU,35425,36219,52466,22905,25627,17712,33319,31816,4628,260110,Rest of WA
5GPER,101440,196907,117361,95355,122850,82462,49257,70952,13568,850156,Greater Perth
4RSAU,25947,19467,19739,16421,15237,13557,12171,23227,2372,148135,Rest of SA
4GADE,65560,127823,67496,69061,82840,56532,30573,51970,8460,560314,Greater Adelaide
3RQLD,123531,169190,145977,119190,128268,103913,75491,112717,15647,993929,Rest of Qld
3GBRI,127449,244906,122606,114864,159172,99241,62035,90915,16720,1037906,Greater Brisbane
2RVIC,84419,101273,75869,68231,65060,57511,34661,68914,9043,564981,Rest of Vic.
2GMEL,277160,521915,235149,209956,293397,202783,114969,155687,35158,2046169,Greater Melbourne
1RNSW,132882,183276,139146,122830,126761,101526,70469,112346,16195,1005433,Rest of NSW
1GSYD,310321,595723,236757,213041,330792,202837,121740,155481,42593,2209294,Greater Sydney
