gccsa_code16,gccsa_name16,num_multiple_job_holder_000_males,num_multiple_job_holder_000_females,num_multiple_job_holder_000_persons,median_income_multiple_job_holder_aud_males,median_income_multiple_job_holder_aud_females,median_income_multiple_job_holder_aud_persons
1GSYD,Greater Sydney,182.946,234.80700000000002,417.75199999999995,46564,40092,42747
1RNSW,Rest of NSW,101.57700000000001,137.81,239.386,44809,35350,38823
2GMEL,Greater Melbourne,165.703,202.25099999999998,367.952,44420,33958,38036
2RVIC,Rest of Vic.,50.83,67.889,118.725,41269,29859,33944
3GBRI,Greater Brisbane,90.63,97.68799999999999,188.315,46827,34546,39940
3RQLD,Rest of Qld,100.758,107.859,208.618,47192,31724,37809
4GADE,Greater Adelaide,48.806000000000004,57.13399999999999,105.946,47632,35537,40723
4RSAU,Rest of SA,14.818,15.600999999999999,30.418000000000003,42387,29925,35278
5GPER,Greater Perth,93.244,96.109,189.356,54046,33961,41899
5RWAU,Rest of WA,23.006999999999998,25.32,48.324,53148,31067,38515
6GHOB,Greater Hobart,8.351,10.63,18.980999999999998,43384,35459,38752
6RTAS,Rest of Tas.,10.767000000000001,12.338,23.104,41519,29780,34717
7GDAR,Greater Darwin,8.97,9.437000000000001,18.406,53148,40717,46324
7RNTE,Rest of NT,3.877,4.2589999999999995,8.132,42682,37046,39351
8ACTE,Australian Capital Territory,22.576,23.73,46.306000000000004,64125,48318,55940
