gccsa_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,gcc_name16
1GSYD,2606163,41,172926801782,48381,66353,4.75,1.88,0.39,0.19,0.499,12.1,25.8,36.7,23.5,24.0,25.0,27.5,Greater Sydney
1RNSW,1344589,45,69427670096,41241,51635,5.24,1.91,0.36,0.14,0.478,7.8,20.5,31.7,28.1,27.1,23.8,21.0,Rest of NSW
2GMEL,2395900,41,144873818735,46363,60467,4.61,1.83,0.4,0.19,0.478,10.3,23.5,34.3,24.4,25.1,26.0,24.6,Greater Melbourne
2RVIC,752560,45,36701703312,40209,48769,5.01,1.83,0.37,0.15,0.46399999999999997,7.2,19.8,30.8,28.8,27.8,25.1,18.3,Rest of Vic.
3GBRI,1224934,41,74215136853,47690,60587,4.54,1.81,0.4,0.19,0.465,8.9,22.0,32.9,23.4,24.6,26.5,25.5,Greater Brisbane
3RQLD,1289751,43,70371040998,43014,54562,4.92,1.91,0.39,0.16,0.47700000000000004,7.5,20.5,32.1,26.3,26.9,24.1,22.8,Rest of Qld
4GADE,700364,43,39296393081,45778,56109,4.27,1.76,0.41,0.19,0.44799999999999995,8.3,20.8,31.3,23.7,26.4,27.6,22.3,Greater Adelaide
4RSAU,195253,46,9563001852,40373,48977,4.96,1.85,0.37,0.14,0.465,6.7,19.3,30.5,28.1,28.3,24.7,18.9,Rest of SA
5GPER,1142533,41,80777010693,53001,70700,4.95,1.92,0.39,0.19,0.48200000000000004,9.3,22.7,34.1,21.6,22.0,24.0,32.4,Greater Perth
5RWAU,286323,43,18448690462,49297,64433,5.54,2.06,0.37,0.17,0.475,6.7,19.3,31.0,23.9,23.1,21.5,31.5,Rest of WA
6GHOB,117648,44,6251288106,44265,53136,4.28,1.75,0.41,0.18,0.439,7.7,19.8,30.1,24.4,27.5,27.6,20.5,Greater Hobart
6RTAS,145013,45,6894929281,39971,47547,4.79,1.8,0.38,0.15,0.452,7.1,19.2,30.0,28.3,29.1,25.4,17.2,Rest of Tas.
7GDAR,85095,38,5848235151,59187,68726,3.55,1.65,0.46,0.25,0.402,6.5,17.9,28.1,16.1,20.4,29.9,33.6,Greater Darwin
7RNTE,31722,40,1863623067,50717,58749,4.19,1.74,0.41,0.21,0.41600000000000004,6.0,17.1,27.5,21.1,23.8,27.9,27.2,Rest of NT
8ACTE,237079,41,16592116858,60524,69986,3.95,1.67,0.42,0.21,0.415,6.7,18.2,28.4,17.5,19.8,26.6,36.0,Australian Capital Territory
9OTER,1071,46,77072659,69733,71963,4.71,1.57,0.33,0.14,0.396,5.3,15.1,24.8,19.4,15.5,21.6,43.5,Other Territories
