gcc_code16,m_15_19_mgrs,m_15_19_profnls,m_15_19_techs_trades_workers,m_15_19_comm_psnl_serv_wrkrs,m_15_19_cler_admin_wrkrs,m_15_19_sales_wrkrs,m_15_19_mach_oper_dvrs,m_15_19_labrs,m_15_19_inad_desc_ns,m_15_19_tot,m_20_24_mgrs,m_20_24_profnls,m_20_24_techs_trades_wrkrs,m_20_24_comm_psnl_serv_wrkrs,m_20_24_cler_admin_wrkrs,m_20_24_sales_wrkrs,m_20_24_mach_oper_dvrs,m_20_24_labrs,m_20_24_inad_desc_ns,m_20_24_tot,m_25_34_mgrs,m_25_34_profnls,m_25_34_techs_trades_wrkrs,m_25_34_comm_psnl_serv_wrkrs,m_25_34_cler_admin_wrkrs,m_25_34_sales_wrkrs,m_25_34_mach_oper_dvrs,m_25_34_labrs,m_25_34_inad_desc_ns,m_25_34_tot,m_35_44_mgrs,m_35_44_profnls,m_35_44_techs_trades_wrkrs,m_35_44_comm_psnl_serv_wrkrs,m_35_44_cler_admin_wrkrs,m_35_44_sales_wrkrs,m_35_44_mach_oper_dvrs,m_35_44_labrs,m_35_44_inad_desc_ns,m_35_44_tot,m_45_54_mgrs,m_45_54_profnls,m_45_54_techs_trades_wrkrs,m_45_54_comm_psnl_serv_wrkrs,m_45_54_cler_admin_wrkrs,m_45_54_sales_wrkrs,m_45_54_mach_oper_dvrs,m_45_54_labrs,m_45_54_inad_desc_ns,m_45_54_tot,m_55_64_mgrs,m_55_64_profnls,m_55_64_techs_trades_wrkrs,m_55_64_comm_psnl_serv_wrkrs,m_55_64_cler_admin_wrkrs,m_55_64_sales_wrkrs,m_55_64_mach_oper_dvrs,m_55_64_labrs,m_55_64_inad_desc_ns,m_55_64_tot,m_65_74_mgrs,m_65_74_profnls,m_65_74_techs_trades_wrkrs,m_65_74_comm_psnl_serv_wrkrs,m_65_74_cler_admin_wrkrs,m_65_74_sales_wrkrs,m_65_74_mach_oper_dvrs,m_65_74_labrs,m_65_74_inad_desc_ns,m_65_74_tot,m_75_84_mgrs,m_75_84_profnls,m_75_84_techs_trades_wrkrs,m_75_84_comm_psnl_serv_wrkrs,m_75_84_cler_admin_wrkrs,m_75_84_sales_wrkrs,m_75_84_mach_oper_dvrs,m_75_84_labrs,m_75_84_inad_desc_ns,m_75_84_tot,m_85_over_mgrs,m_85_over_profnls,m_85_over_techs_trades_wrkrs,m_85_over_com_psnl_serv_wrkrs,m_85_over_cler_admin_wrkrs,m_85_over_sales_wrkrs,m_85_over_mach_oper_dvrs,m_85_over_labrs,m_85_over_inad_desc_ns,m_85_over_tot,m_tot_mgrs,m_tot_profnls,m_tot_techs_trades_wrkrs,m_tot_comm_psnl_serv_wrkrs,m_tot_cler_admin_wrkrs,m_tot_sales_wrkrs,m_tot_mach_oper_dvrs,m_tot_labrs,m_tot_inad_desc_ns,m_tot_tot,f_15_19_mgrs,f_15_19_profnls,f_15_19_techs_trades_workers,f_15_19_comm_psnl_serv_wrkrs,f_15_19_cler_admin_wrkrs,f_15_19_sales_wrkrs,f_15_19_mach_oper_dvrs,f_15_19_labrs,f_15_19_inad_desc_ns,f_15_19_tot,f_20_24_mgrs,f_20_24_profnls,f_20_24_techs_trades_wrkrs,f_20_24_comm_psnl_serv_wrkrs,f_20_24_cler_admin_wrkrs,f_20_24_sales_wrkrs,f_20_24_mach_oper_dvrs,f_20_24_labrs,f_20_24_inad_desc_ns,f_20_24_tot,f_25_34_mgrs,f_25_34_profnls,f_25_34_techs_trades_wrkrs,f_25_34_comm_psnl_serv_wrkrs,f_25_34_cler_admin_wrkrs,f_25_34_sales_wrkrs,f_25_34_mach_oper_dvrs,f_25_34_labrs,f_25_34_inad_desc_ns,f_25_34_tot,f_35_44_mgrs,f_35_44_profnls,f_35_44_techs_trades_wrkrs,f_35_44_comm_psnl_serv_wrkrs,f_35_44_cler_admin_wrkrs,f_35_44_sales_wrkrs,f_35_44_mach_oper_dvrs,f_35_44_labrs,f_35_44_inad_desc_ns,f_35_44_tot,f_45_54_mgrs,f_45_54_profnls,f_45_54_techs_trades_wrkrs,f_45_54_comm_psnl_serv_wrkrs,f_45_54_cler_admin_wrkrs,f_45_54_sales_wrkrs,f_45_54_mach_oper_dvrs,f_45_54_labrs,f_45_54_inad_desc_ns,f_45_54_tot,f_55_64_mgrs,f_55_64_profnls,f_55_64_techs_trades_wrkrs,f_55_64_comm_psnl_serv_wrkrs,f_55_64_cler_admin_wrkrs,f_55_64_sales_wrkrs,f_55_64_mach_oper_dvrs,f_55_64_labrs,f_55_64_inad_desc_ns,f_55_64_tot,f_65_74_mgrs,f_65_74_profnls,f_65_74_techs_trades_wrkrs,f_65_74_comm_psnl_serv_wrkrs,f_65_74_cler_admin_wrkrs,f_65_74_sales_wrkrs,f_65_74_mach_oper_dvrs,f_65_74_labrs,f_65_74_inad_desc_ns,f_65_74_tot,f_75_84_mgrs,f_75_84_profnls,f_75_84_techs_trades_wrkrs,f_75_84_comm_psnl_serv_wrkrs,f_75_84_cler_admin_wrkrs,f_75_84_sales_wrkrs,f_75_84_mach_oper_dvrs,f_75_84_labrs,f_75_84_inad_desc_ns,f_75_84_tot,f_85_over_mgrs,f_85_over_profnls,f_85_over_techs_trades_wrkrs,f_85_over_com_psnl_serv_wrkrs,f_85_over_cler_admin_wrkrs,f_85_over_sales_wrkrs,f_85_over_mach_oper_dvrs,f_85_over_labrs,f_85_over_inad_desc_ns,f_85_over_tot,f_tot_mgrs,f_tot_profnls,f_tot_techs_trades_wrkrs,f_tot_comm_psnl_serv_wrkrs,f_tot_cler_admin_wrkrs,f_tot_sales_wrkrs,f_tot_mach_oper_dvrs,f_tot_labrs,f_tot_inad_desc_ns,f_tot_tot,gcc_name16
1RNSW,685,478,8180,2824,494,7303,1410,10290,582,32236,2515,3243,17816,5128,1634,5263,3959,10419,880,50848,12076,16449,33585,7804,4316,6416,12401,15709,1868,110626,20100,18803,28028,7371,5175,5620,15145,13546,2057,115847,24007,18201,26961,7768,6570,6008,19083,15292,2407,126295,20748,15898,19722,5469,5606,5333,16060,13065,1879,103783,8888,4933,3736,1119,1498,1797,3948,3154,786,29863,2550,700,376,94,215,219,347,467,367,5331,430,63,55,13,14,43,33,64,124,830,92000,78765,138454,37588,25519,38004,72386,82003,10950,575663,455,768,1349,8319,2108,16010,275,4302,498,34081,2087,6316,3227,13638,7070,9609,511,3621,557,46632,7955,29158,5797,18094,18915,10378,1114,6262,1194,98865,11721,30813,5489,17490,24815,9994,1212,7465,1475,110483,14087,28796,5539,20659,31038,12078,1639,11325,1437,126598,10685,23167,3511,14652,22248,8720,1189,9218,1152,94535,4146,3840,610,2154,4798,1702,259,1880,550,19929,930,272,70,120,401,139,30,228,324,2515,141,49,11,28,53,26,8,17,107,438,52203,123178,25603,95155,111440,68656,6237,44325,7296,534081,Rest of NSW
1GSYD,817,1816,10439,5553,1709,10243,2212,12163,982,45940,5456,15332,25816,12685,8676,14274,8029,15942,2693,108904,37687,83462,59529,19446,23440,21110,23126,25945,6987,300737,57612,77138,49478,13526,21152,15161,24885,19547,5759,284270,52712,54302,43218,11008,17558,12561,27909,20127,4951,244347,30494,36849,28258,7115,13009,8823,21785,16150,3187,165663,8073,12492,6229,1947,3592,3084,5139,4208,1017,45784,1123,1869,545,192,435,428,332,464,301,5690,161,234,62,16,54,52,26,38,95,747,194139,283493,223575,71488,89631,85725,113445,114589,25978,1202063,703,2315,1682,12804,4640,22579,388,4129,821,50057,5388,20987,4747,24645,19823,21949,1141,4910,1883,105473,29738,99824,11153,34960,51992,23823,2612,9968,4901,268970,35440,81107,8934,26882,55365,17693,2966,9804,4068,242264,28344,60313,8461,27024,57870,18087,4074,14327,3515,222017,14313,37952,4894,16635,40138,11765,2922,11343,1985,141950,2829,8488,953,3086,10238,2717,389,2020,706,31428,284,731,88,190,829,220,27,180,255,2810,46,72,16,26,86,34,4,17,98,399,117088,311784,40920,146260,240983,118870,14528,56703,18230,1065360,Greater Sydney
2RVIC,528,205,4193,1438,323,4091,555,6010,354,17704,1950,1712,9944,2442,835,2903,2094,5948,518,28349,7683,8720,18481,3565,2281,3403,5801,9093,982,60008,12504,9946,14839,3553,2730,3180,7071,7793,1184,62795,14994,9159,14809,4293,3288,3355,9911,8945,1296,70053,13284,8513,11119,3218,3217,2993,8795,7877,1084,60099,5913,2584,2167,734,905,1053,2087,2027,455,17934,1718,327,208,59,107,132,159,328,194,3240,294,40,51,13,8,22,35,53,76,590,58870,41216,75820,19315,13701,21136,36512,48064,6145,320772,236,267,698,4086,938,9493,119,2550,309,18694,1105,3446,1879,7210,3396,5657,275,2535,315,25818,4338,16575,3512,9553,9212,5446,437,3881,631,53589,6611,16581,3214,9481,12309,5442,583,4538,761,59527,8172,15666,3312,12165,15836,6787,934,7064,852,70790,6697,12267,2156,9067,11532,4915,797,6099,680,54213,2745,2034,396,1487,2375,886,119,1274,291,11612,619,127,28,92,198,54,8,159,149,1431,75,35,19,29,52,16,3,33,55,319,30606,67002,15217,53167,55840,38693,3282,28141,4043,295989,Rest of Vic.
2GMEL,659,1093,7543,5551,1302,10858,1526,12340,775,41651,4473,11676,25478,12300,7301,15184,7516,16652,2136,102708,33178,72078,63905,17977,22253,19527,23042,25641,5448,283059,50933,66988,48768,11824,18859,13929,22846,19553,4805,258505,49251,47048,43396,10492,15876,12041,25593,19401,4253,227341,28979,32587,27575,6675,11301,8111,19307,14627,2677,151846,7500,11001,5630,1614,3084,2838,4211,4160,944,40985,1090,1406,512,148,335,336,276,592,295,4989,176,169,86,19,50,46,39,65,114,760,176238,244038,222895,66605,80363,82876,104352,113036,21449,1111848,560,1279,1212,10680,2927,24839,260,4231,687,46673,4781,15980,4875,24061,16546,25193,1083,5365,1515,99393,25259,92341,12788,35932,47421,23312,2431,10151,3969,253603,30201,74305,9638,27979,47616,16625,2954,9831,3270,222419,25950,55392,8584,29218,53744,18114,4332,13985,2969,212280,12924,33793,4707,17984,35158,11304,2890,11002,1652,131403,2610,6816,887,3359,7876,2454,364,2265,624,27258,276,506,76,191,560,196,18,247,226,2288,45,95,19,31,72,30,7,22,105,423,102613,280512,42788,149433,211904,122058,14329,57103,15007,995745,Greater Melbourne
3GBRI,439,761,5215,3137,1076,6721,1619,8332,501,27805,2456,6239,14317,6260,3693,6809,5124,10190,1048,56136,13619,28412,31885,8722,9185,8058,12976,15462,2567,130892,21694,30004,25568,6538,9095,6272,12811,11178,2381,125538,22116,23540,21872,5782,8519,5584,13875,10430,2018,113732,13182,14862,14021,3587,5873,4181,10474,7746,1140,75078,3400,4276,2603,768,1373,1424,2516,1921,410,18692,485,531,208,63,129,184,137,213,157,2100,52,54,25,12,20,20,7,19,46,254,77450,108680,115711,34858,38960,39252,59547,65487,10271,550212,491,873,1131,7977,2977,14543,302,3389,430,32105,2867,9078,2944,12991,10575,11097,678,3452,686,54357,11388,38910,5740,17494,25699,10330,1272,6457,1699,118987,13484,36684,4643,15566,26892,8012,1400,6313,1637,114637,12307,28808,4040,15656,29126,8813,1805,8263,1343,110151,6128,16369,2269,9798,18921,5841,1165,6191,778,67458,1263,2946,431,1562,3883,1335,203,1251,271,13140,136,184,35,64,248,97,7,112,124,1007,7,27,4,6,12,10,0,5,53,131,48061,133875,21233,81114,118336,60083,6832,35427,7018,511976,Greater Brisbane
3RQLD,537,450,7067,2982,657,7657,1455,9855,556,31214,2279,3362,16217,5079,1699,5086,4265,10379,881,49257,11988,15550,36167,8042,4249,6260,13553,16056,1950,113812,19091,17993,31853,7023,5112,5995,15749,13208,2291,118315,22414,17362,28190,7079,6070,6245,18934,13818,2317,122432,17756,13218,19368,4499,4835,5246,15380,11234,1654,93203,7185,4270,3666,983,1429,2156,3636,2988,747,27061,1816,495,297,106,189,267,258,391,279,4109,249,43,37,6,15,24,23,41,65,507,83318,72742,142871,35806,24264,38933,73249,77969,10750,559913,476,697,1555,8283,2725,15938,285,3997,478,34433,2481,6870,2999,11738,7924,9418,655,3931,507,46534,9519,27773,6037,17964,20535,10464,1519,7249,1185,102258,12049,28348,5514,18038,25355,10348,1594,8265,1394,110908,13460,25869,5123,19507,29242,12447,2083,11403,1388,120528,9201,17185,2908,12915,20573,9033,1233,9434,967,83446,3227,3186,589,2012,4398,2167,261,2038,473,18357,646,236,49,107,341,159,30,202,243,2011,65,28,9,14,48,23,7,14,74,278,51129,110200,24773,90579,111150,69991,7669,46528,6723,518745,Rest of Qld
4RSAU,134,51,976,207,66,783,209,1683,68,4175,433,325,2301,329,113,548,682,1925,103,6765,2159,1488,4396,700,369,755,2199,3060,234,15357,3528,1614,3679,779,479,665,2481,2685,282,16196,4761,1715,3977,920,700,880,3352,3061,380,19743,4410,1692,3184,805,750,824,2755,2589,315,17329,2055,550,581,171,201,240,659,664,127,5246,502,56,70,19,23,32,79,103,79,963,82,6,21,5,3,6,11,23,18,172,18067,7492,19193,3930,2708,4725,12426,15795,1620,85948,45,57,161,962,245,1960,26,785,71,4312,239,748,427,1392,736,1170,76,826,54,5670,1072,3147,765,2291,2250,1408,147,1333,154,12572,1716,3001,810,2558,3073,1520,196,1461,151,14474,2366,2950,902,3479,3845,1929,274,2383,209,18329,2135,2710,560,2627,2890,1330,204,1966,165,14590,925,475,99,388,666,230,54,445,103,3369,207,33,14,14,69,21,8,52,55,467,19,12,3,10,15,6,0,7,18,85,8726,13133,3745,13718,13784,9560,989,9252,971,73866,Rest of SA
4GADE,172,235,2008,1393,316,3207,570,4697,204,12805,1124,2573,7295,3497,1477,3850,1980,5556,451,27810,6797,13697,16687,5389,4401,4564,6139,8183,1128,66982,10688,14746,13309,4269,4611,3624,6297,6588,1168,65306,12144,12257,13286,3938,4804,3507,7462,6425,1140,64962,8091,9783,8984,2845,3988,2657,5640,4496,743,47209,2267,3192,1830,525,942,832,1163,1094,283,12128,366,382,182,41,90,135,66,112,93,1464,54,40,7,8,16,8,13,12,30,185,41698,56909,63587,21892,20637,22384,29330,37156,5249,298855,190,296,447,3654,869,7956,82,1948,160,15614,1268,3734,1534,7548,4098,6637,156,2060,290,27331,5183,19917,3391,10944,11851,5663,348,3258,814,61362,6434,18646,2757,9196,13363,4447,420,3459,788,59511,6803,15962,2724,10126,16710,5639,726,4888,754,64342,4006,11818,1672,6861,12320,3627,543,3745,486,45089,852,2174,328,1165,2553,751,101,811,176,8909,90,156,23,71,164,65,6,57,90,733,16,26,0,13,20,7,0,7,38,119,24846,72739,12872,49584,61939,34798,2382,20223,3611,283002,Greater Adelaide
5GPER,279,440,4404,2464,515,5654,1087,6525,367,21729,1722,4027,13271,4728,2168,5860,3763,7946,816,44310,11276,24102,33267,7564,6835,6103,11764,12038,2067,115011,17577,24267,25923,5375,6362,4487,10912,8279,2064,105250,19270,19399,22172,4593,6255,4186,12038,7830,1969,97726,12313,13418,13849,3075,5045,3287,8933,5981,1120,67027,3285,4323,2954,789,1391,1314,2116,1912,442,18520,451,555,213,93,151,193,140,294,114,2197,61,38,21,5,18,15,12,25,33,232,66246,90564,116080,28686,28739,31101,50773,50820,8988,472000,310,594,986,5788,1631,11898,174,2777,286,24441,2084,6431,2665,10995,7488,9788,449,2608,512,43019,9005,32848,6150,15894,20718,8883,1246,5446,1374,101562,9798,28656,4508,13161,20355,6918,1214,5778,1240,91631,9662,23867,4271,13681,24067,8280,1553,6547,1220,93149,5422,14829,2552,9170,16895,5622,1097,4973,717,61276,1056,2946,521,1604,3837,1270,181,1071,243,12739,123,193,42,82,288,102,15,105,92,1043,7,30,4,13,24,5,0,12,31,121,37457,110393,21701,70391,95298,52769,5929,29316,5713,428978,Greater Perth
5RWAU,118,77,1701,329,90,1304,244,1918,125,5904,476,580,4143,451,186,652,1167,2229,190,10082,2980,3677,12167,1199,747,876,5279,4990,535,32453,4943,3811,10593,1239,949,828,6322,3805,663,33148,6083,3729,9304,1335,1133,899,7318,3704,722,34214,5358,2847,5648,1003,1021,828,5493,2917,516,25628,2394,807,949,256,303,354,1157,837,221,7272,612,107,83,23,46,33,76,147,61,1192,84,14,17,3,3,0,7,20,12,154,23049,15643,44590,5838,4480,5782,27065,20571,3034,150048,85,90,317,1276,518,2758,42,798,80,5967,405,1064,677,1759,1492,1319,213,1021,99,8049,1962,5294,1493,3419,4352,1954,886,2257,261,21871,2776,5271,1364,3820,4886,1984,700,2344,277,23436,3354,4817,1362,4121,5629,2473,944,2958,328,25990,2767,3660,845,3066,4138,1737,511,2207,250,19179,1101,658,160,473,870,328,102,509,100,4298,218,50,14,29,78,28,5,57,54,532,22,6,4,3,11,4,4,10,10,72,12689,20905,6241,17965,21978,12586,3416,12158,1464,109394,Rest of WA
