gcc_name16,gcc_code16,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,tot_m,tot_f,tot_p
Rest of NSW,1RNSW,25156,22923,48072,77719,73320,151038,22552,22140,44692,10130,9617,19754,110402,105074,215480,52581,50971,103552,18455,19154,37608,10748,11011,21759,81782,81133,162910,2922,3744,6667,1972,4250,6223,9493,6286,15776,7621,14268,21889,285,264,546,22294,28815,51103,15063,20086,35156,6442,8855,15301,2399,3878,6273,8153,16449,24596,129,191,319,32186,49458,81648,1615,1975,3592,2910,6484,9394,123,181,302,4653,8638,13288,110131,107746,217879,386603,403780,790381
Greater Sydney,1GSYD,43884,40028,83920,137581,128643,266229,38891,38495,77387,24640,23184,47825,201113,190322,391438,83705,81891,165595,40860,39206,80064,29663,28469,58135,154225,149568,303797,7692,7951,15647,7430,12325,19752,14393,6895,21280,13558,21650,35209,447,445,890,43517,49260,92782,76334,86117,162452,27129,29391,56520,9110,10021,19137,22261,32361,54625,582,712,1288,135421,158598,294017,9086,11436,20525,10576,18488,29066,265,389,654,19930,30316,50247,157533,156445,313981,755631,774542,1530174
Rest of Vic.,2RVIC,11419,10462,21876,39750,36856,76606,14140,13845,27983,5114,5051,10164,59001,55748,114744,26187,24964,51157,12202,12747,24948,6923,6922,13850,45316,44639,89950,2143,2424,4571,944,2061,3000,4008,2447,6456,3146,5283,8428,113,116,229,10354,12335,22689,6990,10431,17422,2462,4197,6661,920,1655,2580,3255,7471,10732,52,114,170,13687,23873,37562,1446,1601,3051,2052,4174,6224,93,113,207,3596,5887,9480,61594,60402,121993,204962,213341,418305
Greater Melbourne,2GMEL,37935,35103,73041,123038,114095,237135,37714,37067,74785,20573,21290,41862,181321,172450,353773,77296,72617,149913,31436,32611,64045,29568,30532,60099,138297,135754,274054,10860,9966,20829,7299,10437,17733,10745,4960,15706,11247,14652,25907,384,310,688,40541,40320,80857,78260,89365,167629,26767,30168,56938,6369,8024,14394,18237,28814,47051,477,634,1113,130120,157003,287125,8575,10279,18855,10571,19784,30361,277,403,684,19427,30467,49898,142567,146595,289156,690207,717698,1407910
Greater Brisbane,3GBRI,14976,13780,28756,69851,65541,135392,18308,17893,36200,11593,11626,23219,99757,95060,194812,41979,39769,81747,16738,15765,32502,15458,15367,30827,74177,70902,145082,3972,4539,8511,3160,5954,9116,4060,3360,7412,5416,9605,15017,135,165,298,16734,23614,40356,32110,39253,71361,11894,14256,26150,3328,4565,7895,10671,16710,27384,164,234,400,58163,75026,133192,3344,4332,7680,4214,8053,12270,118,141,260,7678,12528,20209,75585,73312,148893,347073,364219,711298
Rest of Qld,3RQLD,14430,13416,27845,73078,67812,140890,18689,18935,37626,13603,13315,26915,105374,100053,205429,48361,45930,94292,15575,14989,30563,14098,13980,28080,78036,74901,152933,2352,2936,5288,1996,4413,6407,4364,4061,8422,5171,10858,16028,170,180,353,14057,22446,36500,13841,20084,33921,6186,10030,16218,2235,3985,6222,7397,15656,23050,128,196,328,29781,49946,79730,2235,2975,5214,3737,7958,11693,141,155,295,6112,11087,17196,108367,100956,209324,356154,372812,728963
Rest of SA,4RSAU,2266,2064,4333,12614,11558,24172,2214,2059,4276,2269,2218,4489,17098,15832,32931,7781,7527,15309,1159,1175,2330,1332,1473,2802,10273,10173,20446,296,394,687,218,610,826,792,718,1511,861,1686,2543,33,32,62,2191,3437,5624,528,1119,1647,272,672,943,108,234,337,533,1411,1942,6,25,32,1445,3460,4908,224,269,495,354,846,1201,13,13,25,587,1130,1717,16924,14980,31905,50780,51088,101862
Greater Adelaide,4GADE,8147,7807,15950,36381,33913,70299,11052,10862,21917,9056,9029,18091,56491,53811,110303,19275,18067,37340,8442,8705,17154,9240,9000,18238,36954,35773,72730,2356,2363,4714,2206,3558,5765,2570,1992,4560,4015,6475,10493,94,98,197,11235,14488,25721,18292,21820,40112,7323,8463,15785,1785,2239,4024,5173,8424,13604,99,170,269,32673,41118,73792,1564,1963,3526,2195,3867,6065,69,89,157,3828,5918,9752,36621,37288,73906,185956,196189,382147
Greater Perth,5GPER,12205,11574,23779,57961,53607,111571,14684,14481,29164,11725,11689,23411,84374,79777,164145,34324,32324,66647,14189,14269,28459,15156,15211,30367,63669,61803,125478,4782,4214,8996,3460,5134,8597,4724,2700,7420,4959,7852,12806,179,144,319,18096,20045,38142,24179,27701,51880,9073,10979,20054,2928,3855,6785,7897,12554,20458,165,255,419,44241,55346,99590,2641,3014,5649,3517,6622,10137,104,116,221,6261,9745,16011,71713,66209,137920,300562,304500,605065
Rest of WA,5RWAU,3427,3024,6451,17077,16241,33319,3833,3849,7678,2305,2297,4602,23212,22392,45601,11126,10354,21475,2725,2875,5600,2194,2208,4397,16047,15431,31475,622,670,1295,284,662,951,1250,984,2234,1300,2742,4045,48,56,99,3507,5113,8618,546,1012,1555,432,972,1399,150,383,532,1077,2487,3567,12,20,31,2212,4875,7087,358,402,762,526,1153,1675,31,25,51,908,1583,2492,32399,25654,58057,81707,78068,159783
