gccsa_code,gccsa_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
1GSYD,Greater Sydney,10025,19199,29890,3015846.8,4928855.0,1328870.5,9273573.0,6296695.0,15570268.0
1RNSW,Rest of NSW,8466,1949,10540,2297436.8,359170.1,498701.6,3155308.5,1926065.8,5081374.0
2GMEL,Greater Melbourne,18212,19268,38605,5170755.5,4813247.5,1779670.2,11763674.0,6368993.5,18132666.0
2RVIC,Rest of Vic.,8941,980,10030,2275578.0,165741.3,445845.1,2887164.5,2410196.2,5297360.5
3GBRI,Greater Brisbane,6866,6881,13816,1818997.9,1344790.0,625981.4,3789769.2,4018240.0,7808009.5
3RQLD,Rest of Qld,11138,4697,15896,3055041.8,1075472.2,513857.0,4644371.0,4319715.0,8964086.0
4GADE,Greater Adelaide,4696,1647,6589,1033569.7,346994.7,338813.4,1719377.8,1442030.5,3161408.2
4RSAU,Rest of SA,2141,54,2210,444888.3,8842.1,77229.1,530959.5,381081.1,912040.6
5GPER,Greater Perth,14807,4689,19562,3731807.5,1045865.3,432951.1,5210624.0,3509839.0,8720463.0
5RWAU,Rest of WA,4330,986,5324,1344956.8,367115.7,138930.0,1851002.4,1580878.9,3431881.2
6GHOB,Greater Hobart,527,185,721,123091.3,32013.9,59718.6,214823.8,194538.4,409362.2
6RTAS,Rest of Tas.,891,171,1074,207319.3,28470.9,59770.9,295561.0,254479.6,550040.6
7GDAR,Greater Darwin,695,1250,1967,237999.7,512989.0,53822.4,804811.1,,
7RNTE,Rest of NT,99,106,215,28893.7,36451.5,11751.9,77097.1,,
8ACTE,Australian Capital Territory,1712,2086,3802,584656.5,497540.3,115866.3,1198063.1,682867.4,1880930.5
