gcc_code16,o_or_ds_sep_house,o_or_ds_semid_ro_or_tce_h_th,o_or_ds_flat_apart,o_or_ds_oth_dwell,o_or_ds_not_stated,o_or_total,o_mtg_ds_sep_house,o_mtg_ds_semid_ro_or_tce_h_th,o_mtg_ds_flat_apart,o_mtg_ds_oth_dwell,o_mtg_ds_not_stated,o_mtg_total,r_re_agt_ds_sep_house,r_re_ag_ds_semd_ro_or_tc_h_th,r_re_agt_ds_flat_apart,r_re_agt_ds_oth_dwell,r_re_agt_ds_not_stated,r_re_agt_total,r_st_h_auth_ds_sep_house,r_st_h_au_ds_sd_ro_or_tc_h_th,r_st_h_auth_ds_flat_apart,r_st_h_auth_ds_oth_dwell,r_st_h_auth_ds_not_stated,r_st_h_auth_total,r_psn_not_in_s_hh_ds_sep_hous,r_p_not_in_s_h_ds_sd_ro_t_h_t,r_p_not_in_s_hh_ds_flat_apart,r_psn_not_in_s_hh_ds_oth_dwel,r_psn_not_in_s_hh_ds_ns,r_psn_not_in_s_hh_total,r_hs_cop_cty_ch_gp_ds_sp_ho,r_hs_c_ct_ch_g_ds_sd_ro_t_h_t,r_hse_cp_cty_ch_g_ds_flt_apt,r_hs_cop_cty_ch_gp_ds_ot_dwel,r_hse_coop_cty_ch_gp_ds_ns,r_hse_coop_cty_ch_gp_total,r_ot_landld_typ_ds_sep_house,r_o_lld_typ_ds_sd_ro_tc_h_th,r_ot_lld_typ_ds_flat_apart,r_ot_landld_typ_ds_oth_dwell,r_ot_landld_typ_ds_not_stated,r_ot_landld_typ_total,r_landld_typ_ns_ds_sep_house,r_ld_typ_ns_ds_sd_ro_tce_h_th,r_lld_typ_ns_ds_flat_apart,r_landld_typ_ns_ds_oth_dwell,r_landld_typ_ns_ds_not_stated,r_landld_typ_ns_total,r_tot_ds_sep_house,r_tot_ds_semid_ro_or_tce_h_th,r_tot_ds_flat_apart,r_tot_ds_oth_dwell,r_tot_ds_not_stated,r_tot_total,oth_ten_type_ds_sep_house,oth_ten_ty_ds_sd_ro_tce_h_th,oth_ten_type_ds_flat_apart,oth_ten_type_ds_oth_dwell,oth_ten_type_ds_not_stated,oth_ten_type_total,ten_type_ns_ds_sep_house,ten_ty_ns_ds_sd_ro_tce_h_t,ten_ty_ns_ds_flat_apart,ten_type_ns_ds_oth_dwell,ten_type_ns_ds_not_stated,ten_type_ns_total,total_ds_sep_house,total_ds_semid_ro_or_tce_h_th,total_ds_flat_apart,total_ds_oth_dwell,total_ds_not_stated,total_total,gcc_name16
1GSYD,349304,56622,67167,1958,940,475996,377955,71180,90796,1214,1127,542273,106939,51877,211152,3475,1906,375355,20894,20183,27001,52,133,68273,36442,12219,35449,1218,883,86210,2027,2924,5343,45,131,10473,5432,2160,3826,792,312,12528,3533,1059,2417,116,107,7235,175273,90420,285189,5700,3475,560063,4794,3874,5622,85,190,14560,50154,18478,53017,3147,1979,126775,957477,240580,501793,12103,7721,1719678,Greater Sydney
1RNSW,327338,23569,10348,11196,2417,374868,280942,12337,6008,1505,1301,302103,90499,29846,27950,1081,860,150224,20702,8932,7358,166,126,37283,47984,6711,5703,1007,721,62127,3270,2221,1539,39,177,7240,9838,1064,1130,2774,565,15381,5640,637,568,224,140,7210,177937,49405,44249,5283,2585,279461,5834,2581,1250,380,386,10427,61184,9308,9658,6352,1823,88325,853234,97211,71509,24714,8510,1055183,Rest of NSW
2GMEL,385749,64950,29731,1678,856,482954,451880,76837,39609,860,1064,570250,136556,81008,117871,1570,1239,338241,11642,9877,14375,97,99,36088,44316,17374,18322,691,533,81232,1832,1825,3086,26,60,6824,5017,1519,2104,1232,154,10028,3920,1367,1296,86,75,6747,203291,112972,157053,3702,2149,479163,6117,4242,2680,80,122,13239,64529,21005,30147,2291,961,118934,1111561,280003,259221,8610,5153,1664540,Greater Melbourne
2RVIC,191994,7995,2626,2603,991,206215,173362,4228,1109,691,744,180135,54531,13656,6167,312,339,74998,10050,4197,1858,9,37,16152,27610,2775,1291,382,305,32363,1599,993,549,13,33,3185,4913,502,394,1148,224,7173,3247,346,203,85,69,3948,101955,22466,10462,1942,998,137824,3477,750,304,133,102,4773,38496,4543,2869,2215,663,48794,509283,39986,17372,7586,3506,577735,Rest of Vic.
3GBRI,183296,11670,12915,2389,439,210706,253732,13777,14546,416,493,282966,100728,33205,46992,273,796,181992,12619,5662,7605,51,50,25976,32362,7082,10913,206,331,50897,1036,1361,1611,17,60,4081,4801,1478,1234,1431,130,9076,2239,477,613,42,37,3406,153786,49266,68962,2024,1402,275441,2671,2207,1845,75,70,6876,34607,8254,11656,1847,1048,57410,628096,85182,109915,6751,3455,833399,Greater Brisbane
3RQLD,223642,19499,15641,18836,2059,279683,249728,15717,10778,1543,1055,278820,99726,34672,38620,479,829,174316,14824,6623,5604,59,126,27239,44910,9715,10321,829,617,66396,1870,1487,1324,29,41,4746,13433,2218,2264,3477,549,21947,4739,730,814,330,120,6735,179500,55442,58949,5202,2287,301382,4939,2968,1179,586,177,9854,51975,10805,14664,8302,2862,88612,709788,104436,101206,34472,8435,958343,Rest of Qld
4GADE,129482,16602,5201,781,333,152393,155912,18569,5306,200,480,180466,35901,18040,13985,119,212,68262,9956,12302,3972,20,54,26297,23483,8021,5811,153,190,37655,1823,2501,1186,9,19,5529,2648,788,697,281,49,4457,1287,514,270,17,18,2106,75092,42171,25914,596,540,144309,2770,3838,1297,25,80,8003,18026,6941,3902,453,239,29565,381275,88129,41623,2052,1667,514742,Greater Adelaide
4RSAU,51967,1753,403,1823,409,56366,44210,1618,176,335,241,46573,11645,2417,1374,61,70,15563,3657,3178,802,3,19,7653,9629,807,361,180,119,11095,699,449,189,7,3,1342,2886,336,152,549,127,4056,1221,161,61,46,29,1518,29736,7345,2933,844,368,41230,1484,498,108,137,34,2261,9030,1334,540,1263,212,12384,136425,12547,4161,4407,1265,158804,Rest of SA
5GPER,163988,23792,6088,1385,273,195521,250662,30705,8490,304,484,290648,56762,26135,18402,114,297,101707,7564,9135,3123,13,30,19864,35692,11913,5583,132,174,53497,802,1323,752,13,16,2906,3702,1181,664,347,77,5976,1890,679,266,29,21,2883,106413,50367,28787,643,623,186840,2907,3056,1536,39,39,7584,31862,10553,7681,1241,416,51758,555837,118472,52589,3612,1837,732349,Greater Perth
5RWAU,49813,1804,325,8027,588,60560,53128,1288,199,679,279,55573,16165,3275,1283,92,63,20883,8189,2609,610,48,74,11532,12916,1106,306,350,115,14798,944,477,259,43,14,1738,9807,1220,597,1497,268,13392,1867,174,81,139,51,2318,49896,8855,3136,2176,589,64653,1382,356,190,371,62,2360,15473,2049,886,3507,681,22599,169694,14351,4737,14761,2200,205742,Rest of WA
6GHOB,26567,833,964,132,43,28534,28601,735,813,72,55,30285,6732,1333,2554,45,34,10700,2771,789,947,0,3,4509,5326,775,1373,68,50,7595,341,226,242,0,0,811,465,97,142,43,13,757,326,47,58,6,0,447,15962,3275,5317,168,100,24820,484,135,161,3,3,785,4234,535,834,142,42,5786,75850,5507,8089,517,242,90210,Greater Hobart
6RTAS,40614,1131,542,432,161,42877,35198,552,293,148,142,36334,8893,1507,1335,65,46,11847,2985,1266,611,3,8,4866,7959,803,628,101,63,9554,495,373,206,4,7,1079,1425,198,138,146,28,1943,776,88,58,24,6,953,22536,4234,2987,343,157,30250,774,161,49,16,11,1012,7271,759,558,267,78,8938,106388,6828,4423,1206,556,119401,Rest of Tas.
7GDAR,5618,469,744,1198,50,8078,12133,1033,1903,145,42,15257,3831,1499,4605,51,29,10011,1204,623,700,12,9,2551,2190,652,1284,60,41,4232,114,51,39,0,3,205,1349,147,642,221,47,2400,175,39,81,14,8,313,8865,3005,7349,352,135,19719,141,44,47,48,9,290,3118,647,1664,896,105,6424,29873,5201,11715,2638,341,49770,Greater Darwin
7RNTE,2088,156,35,2399,136,4808,3410,527,49,295,50,4325,1036,807,290,80,18,2231,4314,688,248,55,27,5334,767,242,89,164,39,1295,1006,99,43,21,23,1191,2255,544,543,516,71,3928,478,91,33,62,19,672,9847,2469,1243,901,191,14658,283,30,17,223,20,575,2645,642,433,1278,111,5103,18277,3828,1780,5088,505,29476,Rest of NT
8ACTE,31915,4968,1945,77,53,38957,42810,7736,4487,26,33,55100,7891,6097,9671,7,62,23727,4500,2491,1644,3,17,8660,5009,2471,2789,8,52,10334,228,228,181,3,17,662,1480,385,402,51,16,2330,304,124,74,0,3,508,19416,11799,14768,75,171,46219,373,400,244,0,4,1021,4607,2012,2626,120,42,9408,99109,26915,24069,300,302,150693,Australian Capital Territory
9OTER,367,15,23,3,3,418,286,11,11,0,3,302,83,3,10,3,3,99,57,26,32,0,0,116,138,15,18,3,0,179,25,0,0,0,0,31,95,17,34,3,0,145,32,0,3,0,0,40,439,68,91,11,7,611,49,3,3,5,0,55,104,10,32,13,3,163,1241,102,159,29,20,1556,Other Territories
