gcc_code16,m_15_19_prov_unpaid_assist,m_15_19_no_unpaid_assist_prov,m_15_19_yr_unpaid_assist_ns,m_15_19_overseas_visitors,m_15_19_years_total,m_20_24_prov_unpaid_assist,m_20_24_no_unpaid_assist_prov,m_20_24_yr_unpaid_assist_ns,m_20_24_overseas_visitors,m_20_24_years_total,m_25_34_prov_unpaid_assist,m_25_34_no_unpaid_assist_prov,m_25_34_yr_unpaid_assist_ns,m_25_34_overseas_visitors,m_25_34_years_total,m_35_44_prov_unpaid_assist,m_35_44_no_unpaid_assist_prov,m_35_44_yr_unpaid_assist_ns,m_35_44_overseas_visitors,m_35_44_years_total,m_45_54_prov_unpaid_assist,m_45_54_no_unpaid_assist_prov,m_45_54_unpaid_assist_ns,m_45_54_overseas_visitors,m_45_54_years_total,m_55_64_prov_unpaid_assist,m_55_64_no_unpaid_assist_prov,m_55_64_yr_unpaid_assist_ns,m_55_64_overseas_visitors,m_55_64_years_total,m_65_74_prov_unpaid_assist,m_65_74_no_unpaid_assist_prov,m_65_74_yr_unpaid_assist_ns,m_65_74_overseas_visitors,m_65_74_years_total,m_75_84_prov_unpaid_assist,m_75_84_no_unpaid_assist_prov,m_75_84_yr_unpaid_assist_ns,m_75_84_overseas_visitors,m_75_84_years_total,m_85_over_prov_unpaid_assist,m_85ovr_no_unpaid_assist_prov,m_85ovr_over_unpaid_assist_ns,m_85over_overseas_visitors,m_85_yr_and_over_total,m_tot_prov_unpaid_assist,m_tot_no_unpaid_assist_prov,m_tot_unpaid_assist_ns,m_total_overseas_visitors,m_total_total,f_15_19_prov_unpaid_assist,f_15_19_no_unpaid_assist_prov,f_15_19_yr_unpaid_assist_ns,f_15_19_overseas_visitors,f_15_19_years_total,f_20_24_prov_unpaid_assist,f_20_24_no_unpaid_assist_prov,f_20_24_yr_unpaid_assist_ns,f_20_24_overseas_visitors,f_20_24_years_total,f_25_34_prov_unpaid_assist,f_25_34_no_unpaid_assist_prov,f_25_34_yr_unpaid_assist_ns,f_25_34_overseas_visitors,f_25_34_years_total,f_35_44_prov_unpaid_assist,f_35_44_no_unpaid_assist_prov,f_35_44_yr_unpaid_assist_ns,f_35_44_overseas_visitors,f_35_44_years_total,f_45_54_prov_unpaid_assist,f_45_54_no_unpaid_assist_prov,f_45_54_unpaid_assist_ns,f_45_54_overseas_visitors,f_45_54_years_total,f_55_64_prov_unpaid_assist,f_55_64_no_unpaid_assist_prov,f_55_64_yr_unpaid_assist_ns,f_55_64_overseas_visitors,f_55_64_years_total,f_65_74_prov_unpaid_assist,f_65_74_no_unpaid_assist_prov,f_65_74_yr_unpaid_assist_ns,f_65_74_overseas_visitors,f_65_74_years_total,f_75_84_prov_unpaid_assist,f_75_84_no_unpaid_assist_prov,f_75_84_yr_unpaid_assist_ns,f_75_84_overseas_visitors,f_75_84_years_total,f_85_over_prov_unpaid_assist,f_85ovr_no_unpaid_assist_prov,f_85ovr_over_unpaid_assist_ns,f_85over_overseas_visitors,f_85_yr_and_over_total,f_tot_prov_unpaid_assist,f_tot_no_unpaid_assist_prov,f_tot_unpaid_assist_ns,f_total_overseas_visitors,f_total_total,p_15_19_prov_unpaid_assist,p_15_19_no_unpaid_assist_prov,p_15_19_yr_unpaid_assist_ns,p_15_19_overseas_visitors,p_15_19_years_total,p_20_24_prov_unpaid_assist,p_20_24_no_unpaid_assist_prov,p_20_24_yr_unpaid_assist_ns,p_20_24_overseas_visitors,p_20_24_years_total,p_25_34_prov_unpaid_assist,p_25_34_no_unpaid_assist_prov,p_25_34_yr_unpaid_assist_ns,p_25_34_overseas_visitors,p_25_34_years_total,p_35_44_prov_unpaid_assist,p_35_44_no_unpaid_assist_prov,p_35_44_yr_unpaid_assist_ns,p_35_44_overseas_visitors,p_35_44_years_total,p_45_54_prov_unpaid_assist,p_45_54_no_unpaid_assist_prov,p_45_54_unpaid_assist_ns,p_45_54_overseas_visitors,p_45_54_years_total,p_55_64_prov_unpaid_assist,p_55_64_no_unpaid_assist_prov,p_55_64_yr_unpaid_assist_ns,p_55_64_overseas_visitors,p_55_64_years_total,p_65_74_prov_unpaid_assist,p_65_74_no_unpaid_assist_prov,p_65_74_yr_unpaid_assist_ns,p_65_74_overseas_visitors,p_65_74_years_total,p_75_84_prov_unpaid_assist,p_75_84_no_unpaid_assist_prov,p_75_84_yr_unpaid_assist_ns,p_75_84_overseas_visitors,p_75_84_years_total,p_85_over_prov_unpaid_assist,p_85ovr_no_unpaid_assist_prov,p_85ovr_over_unpaid_assist_ns,p_85over_overseas_visitors,p_85_yr_and_over_total,p_tot_prov_unpaid_assist,p_tot_no_unpaid_assist_prov,p_tot_unpaid_assist_ns,p_total_overseas_visitors,p_total_total,gcc_name16
1RNSW,3714,68681,9651,567,82609,4025,64964,7622,1172,77786,10139,120149,14671,1415,146374,15021,120556,14075,550,150202,22120,132466,15657,557,170805,25973,135975,16459,648,179050,17334,115660,16949,493,150430,7973,57677,12800,187,78640,2229,18410,5843,45,26522,108532,834542,113720,5636,1062424,4249,64905,8473,802,78428,5393,61657,5919,1498,74471,16909,120453,11210,1549,150124,25202,120670,11218,588,157675,36207,128987,13494,706,179393,42135,127553,15021,950,185665,23589,111649,16944,555,152741,9051,64751,16193,230,90218,1680,32526,10553,55,44809,164411,833154,109030,6944,1113535,7966,133582,18125,1375,161044,9421,126625,13541,2672,152254,27047,240605,25882,2964,296497,40221,241230,25294,1137,307875,58329,261453,29147,1270,350199,68106,263530,31480,1598,364722,40927,227309,33890,1050,303178,17019,122429,28999,411,168858,3906,50937,16393,104,71337,272943,1667698,222748,12580,2175967,Rest of NSW
1GSYD,6578,129616,12045,2725,150974,8482,149469,14389,4640,176984,21913,325468,34103,7081,388562,30462,287327,26819,4353,348956,37371,247610,23323,4329,312628,35123,199134,18571,5490,258326,21112,141310,14865,3670,180955,9785,71206,10444,983,92410,3027,26494,5500,134,35162,173851,1577629,160072,33395,1944948,7217,122761,10772,3619,144363,10363,145392,12775,6503,175037,33538,328293,30450,7704,399979,48330,279724,23190,4445,355694,59802,240014,20247,6052,326114,57091,194342,17698,8773,277904,30787,144056,16274,4242,195363,11693,85502,13941,1105,112245,2438,47536,10747,207,60934,261265,1587615,156102,42654,2047632,13794,252379,22824,6345,295334,18850,294860,27168,11144,352022,55450,653757,64548,14777,788541,78795,567047,50011,8798,704650,97172,487623,43571,10382,638741,92217,393482,36268,14260,536230,51901,285362,31138,7914,376314,21478,156709,24386,2083,204653,5468,74035,16248,345,96096,435119,3165248,316169,76047,3992576,Greater Sydney
2RVIC,1858,37652,5416,341,45261,2127,35253,3956,614,41956,5357,64301,7736,864,78258,8039,64574,7547,410,80572,11543,72064,8588,323,92518,13794,72476,8560,309,95136,8749,58580,8884,251,76465,4038,28295,6701,56,39095,1118,9850,3092,24,14079,56632,443050,60469,3191,563337,2196,34842,4863,454,42350,2839,33045,3276,706,39871,9247,65224,6128,940,81534,13875,65253,6289,414,85830,19979,71018,7426,473,98896,22689,68240,8214,498,99635,12288,56758,8998,262,78305,4590,32502,8600,101,45788,904,17935,5341,49,24233,88610,444817,59139,3886,596451,4056,72499,10281,790,87618,4971,68297,7232,1325,81825,14604,129520,13864,1802,159791,21917,129831,13835,821,166408,31524,143089,16008,793,191410,36483,140715,16774,802,194776,21036,115342,17883,515,154769,8630,60796,15304,154,84886,2024,27783,8430,71,38312,145237,887864,119608,7076,1159788,Rest of Vic.
2GMEL,5464,120341,11243,2129,139175,7841,147710,12848,3941,172344,20402,308993,28704,5080,363178,27960,263272,22247,2976,316463,35524,229507,19679,3148,287862,32868,178749,16044,4490,232149,19655,125047,13671,3007,161381,9889,64661,10646,681,85880,2932,24392,5335,93,32748,162537,1462677,140416,25548,1791183,6276,116111,10462,2816,135663,9970,143207,11612,5340,170138,31210,311928,27054,6194,376383,45088,257983,20383,3383,326838,58729,223895,18993,5019,306638,54885,173906,16601,7912,253307,29397,131193,15700,3555,179845,11687,79624,14327,779,106415,2261,43327,9917,144,55653,249499,1481169,145050,35152,1910874,11735,236453,21706,4949,274842,17813,290919,24463,9281,342479,51613,620921,55754,11278,739566,73051,521253,42633,6362,643295,94257,453401,38674,8168,594494,87752,352664,32647,12404,485456,49052,256238,29376,6563,341225,21577,144289,24973,1460,192296,5191,67720,15248,241,88400,412037,2943853,285468,60700,3702060,Greater Melbourne
3GBRI,3195,65448,5849,1283,75771,3678,74489,6686,2046,86897,9317,143491,13477,2567,168849,13260,128893,10913,1204,154267,16050,117152,9657,1339,144205,15916,92723,8004,1654,118302,10162,67839,7428,1224,86661,4374,30372,5165,344,40256,1191,9781,2778,62,13814,77150,730186,69960,11727,889020,3548,63136,5179,1729,73590,4806,73945,5868,3013,87636,14890,145895,12017,3121,175922,21829,129572,9479,1421,162302,26923,116027,8949,1842,153740,26277,90465,8040,2801,127582,14843,69205,7862,1486,93399,4865,36168,6921,446,48398,837,18334,5608,84,24866,118815,742753,69919,15944,947429,6741,128583,11029,3007,149362,8484,148436,12556,5056,174533,24206,289379,25498,5684,344772,35089,258461,20394,2620,316565,42979,233182,18608,3182,297945,42190,183188,16046,4459,245886,25007,137044,15289,2711,180052,9235,66538,12088,789,88655,2030,28115,8378,143,38678,195959,1472941,139876,27672,1836450,Greater Brisbane
3RQLD,3087,64648,8789,1986,78512,3366,62425,8315,3295,77401,8746,124623,17766,4295,155430,12828,124213,16500,2179,155719,16770,130517,17344,2734,167356,18483,122576,16437,2593,160095,13035,106575,16155,2711,138476,6146,48934,10533,1189,66806,1567,13379,4250,215,19410,84029,797896,116090,21190,1019207,3611,61689,7821,2888,76012,4339,61591,7010,4584,77524,14568,128150,14349,5311,162376,22022,125896,13322,2883,164125,28794,129080,14658,3449,175984,31549,118054,15068,3331,168005,18831,100708,15972,2920,138427,6671,50036,12221,1163,70090,1194,21956,6911,208,30269,131574,797168,107329,26742,1062808,6700,126331,16612,4874,154521,7703,124025,15320,7875,154924,23312,252775,32110,9605,317812,34852,250115,29817,5056,319843,45560,259595,32005,6187,343343,50032,240635,31509,5925,328096,31869,207283,32130,5628,276904,12817,98970,22756,2354,136893,2761,35334,11155,424,49677,215602,1595067,223412,47934,2082014,Rest of Qld
4RSAU,487,8931,1399,105,10916,518,8233,1014,220,9985,1403,16768,2406,420,20993,2066,17052,2391,130,21635,3120,21208,2602,118,27047,3728,22189,2623,98,28642,2633,18479,2551,72,23730,1177,8702,1758,20,11658,289,2833,780,3,3909,15424,124390,17522,1175,158516,595,8320,1148,158,10211,671,7384,720,199,8968,2248,15839,1469,349,19899,3260,16121,1459,92,20935,4911,18969,1916,115,25904,5873,19215,2158,112,27355,3423,17080,2438,61,22995,1210,9225,2083,28,12545,236,4792,1293,3,6320,22417,116942,14668,1111,155140,1078,17245,2543,254,21128,1191,15614,1736,417,18957,3649,32604,3872,768,40894,5333,33178,3844,223,42576,8031,40176,4518,231,52950,9602,41408,4780,211,55999,6058,35557,4987,128,46731,2383,17924,3839,48,24199,525,7621,2075,6,10225,37842,241330,32192,2289,313653,Rest of SA
4GADE,1753,35854,2903,602,41106,2270,40241,2684,652,45845,5552,75809,5505,842,87710,7907,69085,4867,494,82351,10956,68267,4932,484,84639,11671,58209,4248,826,74957,7175,43978,4015,518,55686,3324,23105,3353,118,29900,1176,9322,1819,20,12333,51772,423858,34330,4553,514518,1938,34468,2589,801,39787,2895,38463,2342,924,44617,8903,75899,4971,1001,90779,12570,67278,4197,520,84562,17326,66508,4396,779,89013,19191,57190,4424,1349,82155,10467,46843,4684,703,62690,3807,28873,4781,155,37616,786,17571,3344,45,21746,77879,433090,35729,6276,552976,3686,70314,5488,1397,80893,5166,78701,5024,1577,90463,14453,151710,10482,1842,178486,20474,136363,9058,1016,166916,28284,134775,9334,1266,173659,30862,115402,8676,2177,157113,17637,90816,8704,1214,118372,7128,51976,8135,272,67513,1965,26895,5166,60,34082,129655,856949,70059,10830,1067496,Greater Adelaide
5GPER,2291,54436,4811,731,62264,2822,58938,5490,1408,68654,7299,126481,13013,2006,148806,9700,110131,10141,1022,130989,12517,101685,8835,996,124041,12673,80054,7094,1581,101406,7898,57872,6238,1131,73137,3807,27832,4905,297,36836,1131,8885,2622,45,12692,60151,626311,63149,9221,758831,2696,51732,4347,1065,59841,3598,56235,4617,2024,66480,11779,128831,11142,2412,154158,16177,111504,8575,1130,137386,21172,100447,7829,1568,131021,22045,79231,6904,2917,111101,11992,58011,6809,1415,78227,4470,33315,6761,381,44932,832,16082,4992,73,21983,94772,635395,61984,12987,805134,4992,106167,9159,1796,122110,6424,115167,10112,3434,135140,19076,255310,24158,4418,302962,25879,221626,18712,2158,268374,33695,202141,16663,2562,255058,34722,159294,13999,4501,212510,19890,115882,13046,2543,151364,8277,61148,11666,682,81769,1964,24968,7615,123,34670,154922,1261710,125131,22208,1563967,Greater Perth
5RWAU,632,12579,2319,170,15697,706,12177,2280,467,15632,2140,34234,8257,1044,45672,2894,34070,7446,385,44786,3609,35418,7160,469,46658,3771,31363,5664,417,41214,2354,22524,3861,238,28983,949,8597,2034,62,11648,250,2262,707,10,3221,17306,193228,39716,3261,253513,740,11258,1998,236,14233,856,10649,1574,544,13630,3077,28797,4339,1000,37215,3943,27534,3621,327,35425,5424,28017,4017,409,37863,6011,26144,3924,418,36502,3147,19276,3427,238,26090,1096,8503,2291,71,11958,185,3450,1033,8,4675,24484,163630,26227,3251,217588,1377,23839,4312,406,29929,1560,22829,3852,1013,29256,5211,63035,12594,2040,82883,6831,61602,11065,715,80211,9035,63433,11176,878,84519,9787,57506,9589,839,77719,5506,41805,7291,475,55073,2053,17099,4325,128,23603,432,5712,1741,16,7901,41790,356855,65940,6515,471102,Rest of WA
