gccsa_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,gcc_name16
1GSYD,60984,60308,61009,61484,61297,59,59,59,59,59,1371582415,1463005360,1490301542,1587913517,1673821924,14000,15616,14814,15732,17052,22491,24259,24428,25826,27307,1.1,1.1,1.0,1.0,1.0,Greater Sydney
1RNSW,48043,48281,48619,49532,51397,58,59,58,58,58,1130834860,1195680922,1243572872,1323757896,1455468456,17159,18159,18192,18860,19574,23538,24765,25578,26725,28318,1.9,1.9,1.9,2.0,2.0,Rest of NSW
2GMEL,62407,63158,64486,64739,66132,59,59,59,59,59,1323510611,1434675634,1467963437,1530785384,1673903117,13934,15317,14191,14733,15836,21208,22716,22764,23645,25312,1.2,1.2,1.2,1.2,1.2,Greater Melbourne
2RVIC,24646,25137,25167,25587,26195,58,58,58,58,58,473519771,524040872,515799381,547531717,609989891,12366,13372,12469,13209,14053,19213,20847,20495,21399,23287,1.5,1.5,1.5,1.5,1.6,Rest of Vic.
3GBRI,36398,36817,37636,38147,39764,58,58,58,58,58,803401469,870304493,921728655,972688458,1072811363,16570,17496,17365,18134,19151,22073,23639,24491,25498,26979,1.5,1.5,1.5,1.5,1.6,Greater Brisbane
3RQLD,38890,39755,40030,40499,43019,58,58,58,58,58,814727505,912803539,950053139,991678325,1133039134,14791,16115,16025,16978,17702,20950,22961,23734,24486,26338,1.5,1.6,1.6,1.6,1.7,Rest of Qld
4GADE,32717,33508,33979,34419,35598,64,64,64,64,64,872724573,926621440,952077841,1012505252,1092238311,22775,23225,23428,24305,24892,26675,27654,28020,29417,30683,2.9,3.0,3.0,3.0,3.1,Greater Adelaide
4RSAU,7471,7740,7870,7878,8247,60,60,60,60,60,169061773,183872584,193556710,202363946,223133573,18828,19177,19285,20293,20268,22629,23756,24594,25687,27056,2.3,2.3,2.3,2.4,2.5,Rest of SA
5GPER,29086,28939,28481,28353,29862,60,60,60,60,60,690729299,726902963,727087887,764412543,841865965,18460,19260,19302,20262,20415,23748,25118,25529,26961,28192,1.4,1.3,1.3,1.3,1.3,Greater Perth
5RWAU,6130,6098,5730,5874,6364,59,59,59,58,58,125488672,130929363,134327320,150766167,168774722,12412,13837,15006,16046,16109,20471,21471,23443,25667,26520,1.1,1.0,0.9,1.0,1.1,Rest of WA
6GHOB,7276,7579,7623,7802,8151,62,62,62,62,62,171744541,188443256,191883403,205448588,228254732,19576,20497,20375,21364,22503,23604,24864,25172,26333,28003,3.8,4.1,4.1,4.1,4.2,Greater Hobart
6RTAS,6266,6488,6491,6535,6932,59,59,59,59,59,131669656,137940116,144324056,152352254,171798527,14978,15797,15835,16654,17180,21013,21261,22234,23313,24783,2.4,2.6,2.6,2.6,2.7,Rest of Tas.
7GDAR,2650,2756,2728,2753,2833,60,60,60,61,61,80421437,87921566,86286486,88361569,101925084,24309,24809,24953,26041,27082,30348,31902,31630,32096,35978,1.8,1.9,1.7,1.7,1.7,Greater Darwin
7RNTE,716,715,739,759,814,59,59,59,59,59,17422939,19459983,20512407,21948624,23723397,19618,20369,20709,21633,21140,24334,27217,27757,28918,29144,1.1,1.1,1.1,1.1,1.3,Rest of NT
8ACTE,25733,26673,27504,28619,30354,64,64,65,65,65,892357034,937517554,1004709138,1080439031,1193584937,30839,31132,32227,33405,34846,34678,35149,36530,37753,39322,7.3,7.3,7.6,7.9,8.3,Australian Capital Territory
9OTER,30,28,28,22,26,60,61,59,62,62,697667,868321,790664,830187,965446,23883,20604,23774,24685,23475,23256,31011,28238,37736,37133,2.2,1.7,1.6,1.3,1.8,Other Territories
