gcc_code16,ewft_16_techfei_ft,ewft_16_techfei_pt,ewft_16_techfei_ns,ewft_16_techfei_tot,ewft_16_uniotis_ft,ewft_16_uniotis_pt,ewft_16_uniotis_ns,ewft_16_uniotis_tot,ewft_16_other,ewft_16_ns,ewft_16_tot,ewft_17_techfei_ft,ewft_17_techfei_pt,ewft_17_techfei_ns,ewft_17_techfei_tot,ewft_17_uniotis_ft,ewft_17_uniotis_pt,ewft_17_uniotis_ns,ewft_17_uniotis_tot,ewft_17_other,ewft_17_ns,ewft_17_tot,ewft_18_techfei_ft,ewft_18_techfei_pt,ewft_18_techfei_ns,ewft_18_techfei_tot,ewft_18_uniotis_ft,ewft_18_uniotis_pt,ewft_18_uniotis_ns,ewft_18_uniotis_tot,ewft_18_other,ewft_18_ns,ewft_18_tot,ewft_19_techfei_ft,ewft_19_techfei_pt,ewft_19_techfei_ns,ewft_19_techfei_tot,ewft_19_uniotis_ft,ewft_19_uniotis_pt,ewft_19_uniotis_ns,ewft_19_uniotis_tot,ewft_19_other,ewft_19_ns,ewft_19_tot,ewft_20_24_techfei_ft,ewft_20_24_techfei_pt,ewft_20_24_techfei_ns,ewft_20_24_techfei_tot,ewft_20_24_uniotis_ft,ewft_20_24_uniotis_pt,ewft_20_24_uniotis_ns,ewft_20_24_uniotis_tot,ewft_20_24_other,ewft_20_24_ns,ewft_20_24_tot,ewft_25_29_techfei_ft,ewft_25_29_techfei_pt,ewft_25_29_techfei_ns,ewft_25_29_techfei_tot,ewft_25_29_uniotis_ft,ewft_25_29_uniotis_pt,ewft_25_29_uniotis_ns,ewft_25_29_uniotis_tot,ewft_25_29_other,ewft_25_29_ns,ewft_25_29_tot,ewft_30over_techfei_ft,ewft_30over_techfei_pt,ewft_30over_techfei_ns,ewft_30over_techfei_tot,ewft_30over_uniotis_ft,ewft_30over_uniotis_pt,ewft_30over_uniotis_ns,ewft_30over_uniotis_tot,ewft_30over_other,ewft_30over_ns,ewft_30over_tot,ewft_tot_techfei_ft,ewft_tot_techfei_pt,ewft_tot_techfei_ns,ewft_tot_techfei_tot,ewft_tot_uniotis_ft,ewft_tot_uniotis_pt,ewft_tot_uniotis_ns,ewft_tot_uniotis_tot,ewft_tot_other,ewft_tot_ns,ewft_tot_tot,ewpt_16_techfei_ft,ewpt_16_techfei_pt,ewpt_16_techfei_ns,ewpt_16_techfei_tot,ewpt_16_uniotis_ft,ewpt_16_uniotis_pt,ewpt_16_uniotis_ns,ewpt_16_uniotis_tot,ewpt_16_other,ewpt_16_ns,ewpt_16_tot,ewpt_17_techfei_ft,ewpt_17_techfei_pt,ewpt_17_techfei_ns,ewpt_17_techfei_tot,ewpt_17_uniotis_ft,ewpt_17_uniotis_pt,ewpt_17_uniotis_ns,ewpt_17_uniotis_tot,ewpt_17_other,ewpt_17_ns,ewpt_17_tot,ewpt_18_techfei_ft,ewpt_18_techfei_pt,ewpt_18_techfei_ns,ewpt_18_techfei_tot,ewpt_18_uniotis_ft,ewpt_18_uniotis_pt,ewpt_18_uniotis_ns,ewpt_18_uniotis_tot,ewpt_18_other,ewpt_18_ns,ewpt_18_tot,ewpt_19_techfei_ft,ewpt_19_techfei_pt,ewpt_19_techfei_ns,ewpt_19_techfei_tot,ewpt_19_uniotis_ft,ewpt_19_uniotis_pt,ewpt_19_uniotis_ns,ewpt_19_uniotis_tot,ewpt_19_other,ewpt_19_ns,ewpt_19_tot,ewpt_20_24_techfei_ft,ewpt_20_24_techfei_pt,ewpt_20_24_techfei_ns,ewpt_20_24_techfei_tot,ewpt_20_24_uniotis_ft,ewpt_20_24_uniotis_pt,ewpt_20_24_uniotis_ns,ewpt_20_24_uniotis_tot,ewpt_20_24_other,ewpt_20_24_ns,ewpt_20_24_tot,ewpt_25_29_techfei_ft,ewpt_25_29_techfei_pt,ewpt_25_29_techfei_ns,ewpt_25_29_techfei_tot,ewpt_25_29_uniotis_ft,ewpt_25_29_uniotis_pt,ewpt_25_29_uniotis_ns,ewpt_25_29_uniotis_tot,ewpt_25_29_other,ewpt_25_29_ns,ewpt_25_29_tot,ewpt_30over_techfei_ft,ewpt_30over_techfei_pt,ewpt_30over_techfei_ns,ewpt_30over_techfei_tot,ewpt_30over_uniotis_ft,ewpt_30over_uniotis_pt,ewpt_30over_uniotis_ns,ewpt_30over_uniotis_tot,ewpt_30over_other,ewpt_30over_ns,ewpt_30over_tot,ewpt_tot_techfei_ft,ewpt_tot_techfei_pt,ewpt_tot_techfei_ns,ewpt_tot_techfei_tot,ewpt_tot_uniotis_ft,ewpt_tot_uniotis_pt,ewpt_tot_uniotis_ns,ewpt_tot_uniotis_tot,ewpt_tot_other,ewpt_tot_ns,ewpt_tot_tot,eafw_16_techfei_ft,eafw_16_techfei_pt,eafw_16_techfei_ns,eafw_16_techfei_tot,eafw_16_uniotis_ft,eafw_16_uniotis_pt,eafw_16_uniotis_ns,eafw_16_uniotis_tot,eafw_16_other,eafw_16_ns,eafw_16_tot,eafw_17_techfei_ft,eafw_17_techfei_pt,eafw_17_techfei_ns,eafw_17_techfei_tot,eafw_17_uniotis_ft,eafw_17_uniotis_pt,eafw_17_uniotis_ns,eafw_17_uniotis_tot,eafw_17_other,eafw_17_ns,eafw_17_tot,eafw_18_techfei_ft,eafw_18_techfei_pt,gcc_name16
1RNSW,18,192,4,217,0,0,0,0,32,13,268,41,601,7,650,0,0,0,0,50,31,733,113,1256,22,1389,24,42,0,70,100,75,1629,171,1559,17,1743,125,121,0,242,124,70,2182,657,4110,42,4810,923,1832,9,2764,533,390,8501,325,2054,14,2387,608,2824,6,3439,526,378,6726,412,5491,47,5955,944,8621,56,9621,2230,4442,22256,1735,15259,150,17150,2614,13457,79,16151,3591,5401,42290,129,106,0,237,9,3,0,6,8084,210,8540,212,221,4,432,41,4,0,42,8336,239,9054,259,461,0,718,1537,181,0,1718,3450,133,6021,276,490,0,766,2940,337,8,3284,197,85,4331,703,1544,11,2258,10801,2130,24,12950,493,291,15995,397,1124,4,1521,2417,1346,11,3776,403,214,5920,828,4520,37,5388,2367,4933,41,7338,1956,2938,17618,2801,8463,63,11329,20108,8924,84,29117,22923,4103,67470,15,14,0,26,0,0,0,0,665,30,723,20,28,0,47,6,0,0,6,826,32,911,23,64,Rest of NSW
1GSYD,28,320,0,347,0,0,0,0,29,8,391,49,771,3,827,3,5,0,12,58,25,919,138,1487,14,1641,157,82,0,243,128,48,2060,236,1907,23,2164,392,240,0,639,158,78,3040,938,6167,51,7157,3728,5594,40,9367,1395,549,18467,638,3805,29,4473,2608,9196,49,11854,1874,786,18989,1744,9177,150,11074,4836,23150,216,28199,7236,5784,52291,3777,23638,273,27685,11728,38270,308,50306,10880,7283,96152,142,143,0,284,33,3,0,36,10387,178,10880,207,217,3,428,136,19,0,155,9677,194,10454,675,626,7,1316,8147,512,11,8673,3311,152,13444,822,746,5,1575,13562,1033,38,14634,618,157,16992,3079,2598,19,5694,47970,7012,122,55103,3385,714,64894,2445,2331,15,4793,12000,3543,45,15593,3990,513,24892,3249,6438,79,9762,7870,8870,104,16836,7445,3139,37190,10625,13106,125,23853,89714,20993,324,111026,38811,5055,178745,17,13,0,31,3,0,0,3,757,26,821,29,41,0,68,20,0,0,16,1210,38,1331,54,91,Greater Sydney
2RVIC,5,47,3,56,0,0,0,0,31,5,89,28,216,0,242,3,5,0,11,39,16,302,70,487,7,559,18,12,0,33,82,33,708,97,648,12,759,50,36,4,87,88,45,972,406,1846,14,2268,424,676,8,1108,348,268,3988,141,830,5,982,279,1077,3,1361,306,226,2870,197,2023,24,2238,459,3610,28,4095,1238,2773,10344,934,6092,69,7098,1238,5415,36,6688,2125,3365,19279,44,26,0,71,11,0,0,12,5060,159,5298,143,53,4,203,19,0,0,21,5524,148,5887,198,166,0,367,740,68,3,814,2814,110,4106,267,237,3,504,1695,154,10,1857,170,54,2592,647,754,7,1411,6401,933,20,7351,336,201,9293,231,458,10,693,1135,622,5,1764,235,137,2823,467,1917,15,2398,1240,2517,17,3765,1397,1900,9469,1999,3608,40,5647,11233,4298,47,15581,15531,2715,39471,6,5,0,16,0,0,0,0,449,24,488,16,13,0,21,4,0,0,4,441,29,497,17,16,Rest of Vic.
2GMEL,13,69,0,85,0,6,0,6,30,9,121,25,275,3,300,4,8,0,9,62,17,391,76,777,6,865,78,26,0,103,107,28,1098,132,1261,14,1405,236,113,0,353,142,70,1961,862,5085,46,5993,2701,3303,31,6036,1228,497,13742,608,3141,22,3768,2148,6895,40,9089,1881,707,15443,1266,6865,125,8255,3461,17934,150,21542,7087,5619,42497,2971,17467,221,20661,8628,28284,220,37134,10530,6940,75261,148,39,4,191,33,3,0,32,11202,186,11607,274,119,0,402,159,13,0,175,11891,216,12676,859,336,3,1197,6470,346,10,6825,5664,181,13866,1277,543,4,1831,12763,767,41,13571,587,172,16161,4329,2097,28,6452,50339,5898,142,56375,2404,817,66048,2586,1818,11,4424,12821,3624,32,16477,2213,466,23581,2963,5048,53,8066,7474,9013,91,16575,6320,3237,34205,12442,10008,109,22564,90044,19668,315,110032,40279,5273,178148,8,5,0,19,0,0,0,0,691,28,738,27,18,0,45,4,0,0,6,848,31,935,66,49,Greater Melbourne
3GBRI,5,31,0,40,0,0,0,0,23,0,63,16,135,0,159,12,11,0,27,42,13,237,80,394,7,480,104,47,0,150,54,22,697,116,527,11,655,194,118,0,316,65,32,1070,508,2321,17,2838,1646,2322,7,3976,589,270,7676,324,1784,12,2119,1192,3874,17,5073,735,264,8194,622,4413,43,5082,1775,11835,66,13675,3126,2505,24382,1671,9608,89,11371,4928,18203,91,23221,4642,3102,42329,97,35,0,130,20,0,0,20,6983,94,7222,217,127,0,343,1507,85,4,1592,5967,97,7995,487,291,3,779,5636,360,14,6022,578,75,7454,425,293,3,714,6701,471,23,7191,218,70,8199,1438,1077,8,2515,20936,2697,38,23673,1050,260,27504,1104,911,13,2024,5048,1532,11,6588,1218,200,10023,1414,2933,16,4367,3654,4764,36,8462,2743,1345,16916,5171,5657,40,10868,43510,9909,133,53546,18757,2144,85325,9,6,0,14,0,0,0,0,448,9,472,21,3,0,23,75,0,0,79,419,9,534,28,25,Greater Brisbane
3RQLD,8,47,3,60,0,0,0,0,56,7,122,36,226,3,264,3,26,0,27,85,23,399,118,582,12,701,75,82,0,155,74,44,977,127,654,6,788,123,144,3,270,75,55,1192,585,2363,19,2963,980,1900,8,2890,547,357,6760,290,1606,10,1905,652,2646,7,3305,563,346,6125,559,4429,58,5048,1127,8728,53,9902,2646,3673,21266,1722,9908,103,11729,2966,13521,69,16559,4053,4496,36836,80,60,0,140,12,4,0,15,9141,181,9480,173,139,0,315,694,91,3,786,7430,206,8736,241,346,0,592,2784,339,3,3129,731,83,4533,212,331,0,542,3142,390,16,3543,168,50,4308,727,1106,16,1845,9124,1803,22,10957,659,249,13708,560,972,7,1538,2528,1282,21,3829,730,176,6270,1148,3632,47,4828,2810,4507,34,7356,2589,2203,16973,3149,6581,79,9807,21090,8420,98,29615,21444,3138,64006,8,7,0,16,3,0,0,3,624,35,677,14,18,0,35,48,3,0,47,529,32,644,17,44,Rest of Qld
4RSAU,0,8,0,8,0,0,0,0,8,0,22,4,28,0,34,0,0,0,0,14,4,56,10,117,0,129,3,3,0,8,17,7,155,14,137,7,153,14,3,0,17,17,9,196,87,386,4,473,61,132,0,191,62,63,788,43,251,4,299,50,177,0,236,39,74,648,83,678,11,773,102,765,9,871,263,828,2737,243,1607,26,1871,231,1077,8,1321,422,982,4600,4,3,0,12,3,0,0,3,1150,43,1204,13,16,0,35,3,0,0,3,1344,49,1432,28,58,0,88,124,8,0,131,415,30,664,25,60,0,86,184,23,0,207,31,6,334,119,218,0,331,568,106,0,676,56,51,1115,55,152,3,205,138,92,0,231,39,41,516,148,627,3,778,228,465,0,692,309,590,2359,394,1130,14,1532,1243,699,3,1945,3346,803,7623,0,0,0,0,0,0,0,0,100,3,104,0,3,0,3,0,0,0,0,98,4,110,4,6,Rest of SA
4GADE,3,13,0,14,0,3,0,3,7,0,23,5,45,0,52,0,0,0,3,34,7,91,26,190,0,217,16,15,0,28,23,16,283,34,302,0,339,38,29,0,69,45,15,477,207,1313,6,1520,577,813,10,1394,332,129,3381,132,1020,10,1164,517,1461,11,1985,374,144,3661,303,2915,21,3239,894,5143,26,6064,1464,1585,12353,715,5799,43,6552,2039,7463,44,9548,2270,1890,20259,28,6,0,39,8,3,0,10,3550,75,3678,66,50,0,115,63,12,0,77,4172,82,4448,179,167,0,350,2122,158,9,2281,1321,46,4005,219,172,0,393,3293,268,19,3575,168,61,4191,867,729,5,1600,11876,1570,30,13476,421,184,15678,523,521,0,1041,2702,914,6,3625,358,90,5125,835,2146,19,2993,2300,2783,26,5113,1310,1057,10478,2714,3786,24,6530,22366,5705,92,28159,11305,1605,47604,7,0,0,9,0,0,0,0,219,10,237,6,6,0,11,6,0,0,6,267,11,293,9,17,Greater Adelaide
5GPER,6,71,0,74,0,0,0,0,12,3,94,20,180,0,206,0,0,0,0,26,5,244,67,478,6,553,37,23,0,59,31,22,668,88,652,11,751,95,83,0,178,39,33,998,384,1838,20,2231,878,1281,13,2174,429,188,5020,212,1267,5,1488,769,2521,16,3304,634,246,5667,462,3148,42,3647,1323,7652,65,9037,2380,2038,17091,1241,7632,79,8950,3101,11558,87,14743,3552,2541,29785,136,55,0,185,16,0,0,16,5163,80,5443,240,96,0,336,99,11,0,106,5769,85,6296,527,303,6,841,3887,364,11,4261,984,62,6147,524,301,0,830,5411,517,15,5942,185,64,7012,1729,984,7,2724,16860,2736,46,19642,801,239,23401,1234,785,9,2027,4155,1276,22,5458,836,163,8488,1647,2384,28,4054,3052,3761,40,6848,2283,1359,14548,6036,4909,47,10990,33476,8658,126,42265,16023,2065,71342,3,8,0,15,0,0,0,0,294,17,322,15,15,0,31,14,0,0,10,331,12,391,41,30,Greater Perth
5RWAU,10,42,0,47,0,0,0,0,12,3,67,14,119,0,139,0,0,0,0,15,7,157,37,222,4,262,9,5,0,12,10,20,306,35,247,3,285,18,16,0,35,17,18,354,125,575,7,708,106,187,0,291,107,76,1185,58,512,3,583,88,464,3,554,140,106,1373,152,1468,17,1642,264,1907,13,2181,607,1303,5727,436,3184,46,3659,475,2583,18,3077,906,1531,9174,58,23,0,77,0,0,0,0,1437,32,1546,68,43,0,117,0,3,0,4,1433,44,1602,74,85,0,160,89,32,0,120,195,23,492,54,65,0,123,115,27,0,148,18,11,295,104,204,0,316,408,133,0,543,65,33,948,81,186,0,271,153,136,0,283,51,32,643,186,998,14,1198,309,750,3,1062,401,625,3290,628,1610,20,2256,1076,1076,8,2161,3607,799,8820,8,7,0,7,0,0,0,0,118,6,135,5,11,0,19,0,0,0,0,125,5,149,3,7,Rest of WA
