gcc_name16,gcc_code16,m_15_19_yrs_care_own_child_only,m_15_19_yrs_care_oth_child_only,m_15_19_yrs_care_own_and_oth_child,m_15_19_yrs_tot_care,m_15_19_yrs_no_care_prov,m_15_19_yrs_unpaid_care_notstated,m_15_19_total,m_20_24_yrs_care_own_child_only,m_20_24_yrs_care_oth_child_only,m_20_24_yrs_care_own_and_oth_child,m_20_24_yrs_tot_care,m_20_24_yrs_no_care_prov,m_20_24_yrs_unpaid_care_notstated,m_20_24_total,m_25_34_yrs_care_own_child_only,m_25_34_yrs_care_oth_child_only,m_25_34_yrs_care_own_and_oth_child,m_25_34_yrs_tot_care,m_25_34_yrs_no_care_prov,m_25_34_yrs_unpaid_care_notstated,m_25_34_total,m_35_44_yrs_care_own_child_only,m_35_44_yrs_care_oth_child_only,m_35_44_yrs_care_own_and_oth_child,m_35_44_yrs_tot_care,m_35_44_yrs_no_care_prov,m_35_44_yrs_unpaid_care_notstated,m_35_44_total,m_45_54_yrs_care_own_child_only,m_45_54_yrs_care_oth_child_only,m_45_54_yrs_care_own_and_oth_child,m_45_54_yrs_tot_care,m_45_54_yrs_no_care_prov,m_45_54_yrs_unpaid_care_notstated,m_45_54_total,m_55_64_yrs_care_own_child_only,m_55_64_yrs_care_oth_child_only,m_55_64_yrs_care_own_and_oth_child,m_55_64_yrs_tot_care,m_55_64_yrs_no_care_prov,m_55_64_yrs_unpaid_care_notstated,m_55_64_total,m_65_74_yrs_care_own_child_only,m_65_74_yrs_care_oth_child_only,m_65_74_yrs_care_own_and_oth_child,m_65_74_yrs_tot_care,m_65_74_yrs_no_care_prov,m_65_74_yrs_unpaid_care_notstated,m_65_74_total,m_75_84_yrs_care_own_child_only,m_75_84_yrs_care_oth_child_only,m_75_84_yrs_care_own_and_oth_child,m_75_84_yrs_tot_care,m_75_84_yrs_no_care_prov,m_75_84_yrs_unpaid_care_notstated,m_75_84_total,m_85ov_yrs_care_own_child_only,m_85ov_yrs_care_oth_child_only,m_85ov_yrs_care_own_and_oth_child,m_85ov_yrs_tot_care,m_85ov_yrs_no_care_prov,m_85ov_yrs_unpaid_care_notstated,m_85ov_total,m_tot_yrs_care_own_child_only,m_tot_yrs_care_oth_child_only,m_tot_yrs_care_own_and_oth_child,m_tot_yrs_tot_care,m_tot_yrs_no_care_prov,m_tot_yrs_unpaid_care_notstated,m_tot_total,f_15_19_yrs_care_own_child_only,f_15_19_yrs_care_oth_child_only,f_15_19_yrs_care_own_and_oth_child,f_15_19_yrs_tot_care,f_15_19_yrs_no_care_prov,f_15_19_yrs_unpaid_care_notstated,f_15_19_total,f_20_24_yrs_care_own_child_only,f_20_24_yrs_care_oth_child_only,f_20_24_yrs_care_own_and_oth_child,f_20_24_yrs_tot_care,f_20_24_yrs_no_care_prov,f_20_24_yrs_unpaid_care_notstated,f_20_24_total,f_25_34_yrs_care_own_child_only,f_25_34_yrs_care_oth_child_only,f_25_34_yrs_care_own_and_oth_child,f_25_34_yrs_tot_care,f_25_34_yrs_no_care_prov,f_25_34_yrs_unpaid_care_notstated,f_25_34_total,f_35_44_yrs_care_own_child_only,f_35_44_yrs_care_oth_child_only,f_35_44_yrs_care_own_and_oth_child,f_35_44_yrs_tot_care,f_35_44_yrs_no_care_prov,f_35_44_yrs_unpaid_care_notstated,f_35_44_total,f_45_54_yrs_care_own_child_only,f_45_54_yrs_care_oth_child_only,f_45_54_yrs_care_own_and_oth_child,f_45_54_yrs_tot_care,f_45_54_yrs_no_care_prov,f_45_54_yrs_unpaid_care_notstated,f_45_54_total,f_55_64_yrs_care_own_child_only,f_55_64_yrs_care_oth_child_only,f_55_64_yrs_care_own_and_oth_child,f_55_64_yrs_tot_care,f_55_64_yrs_no_care_prov,f_55_64_yrs_unpaid_care_notstated,f_55_64_total,f_65_74_yrs_care_own_child_only,f_65_74_yrs_care_oth_child_only,f_65_74_yrs_care_own_and_oth_child,f_65_74_yrs_tot_care,f_65_74_yrs_no_care_prov,f_65_74_yrs_unpaid_care_notstated,f_65_74_total,f_75_84_yrs_care_own_child_only,f_75_84_yrs_care_oth_child_only,f_75_84_yrs_care_own_and_oth_child,f_75_84_yrs_tot_care,f_75_84_yrs_no_care_prov,f_75_84_yrs_unpaid_care_notstated,f_75_84_total,f_85ov_yrs_care_own_child_only,f_85ov_yrs_care_oth_child_only,f_85ov_yrs_care_own_and_oth_child,f_85ov_yrs_tot_care,f_85ov_yrs_no_care_prov,f_85ov_yrs_unpaid_care_notstated,f_85ov_total,f_tot_yrs_care_own_child_only,f_tot_yrs_care_oth_child_only,f_tot_yrs_care_own_and_oth_child,f_tot_yrs_tot_care,f_tot_yrs_no_care_prov,f_tot_yrs_unpaid_care_notstated,f_tot_total,p_15_19_yrs_care_own_child_only,p_15_19_yrs_care_oth_child_only,p_15_19_yrs_care_own_and_oth_child,p_15_19_yrs_tot_care,p_15_19_yrs_no_care_prov,p_15_19_yrs_unpaid_care_notstated,p_15_19_total,p_20_24_yrs_care_own_child_only,p_20_24_yrs_care_oth_child_only,p_20_24_yrs_care_own_and_oth_child,p_20_24_yrs_tot_care,p_20_24_yrs_no_care_prov,p_20_24_yrs_unpaid_care_notstated,p_20_24_total,p_25_34_yrs_care_own_child_only,p_25_34_yrs_care_oth_child_only,p_25_34_yrs_care_own_and_oth_child,p_25_34_yrs_tot_care,p_25_34_yrs_no_care_prov,p_25_34_yrs_unpaid_care_notstated,p_25_34_total,p_35_44_yrs_care_own_child_only,p_35_44_yrs_care_oth_child_only,p_35_44_yrs_care_own_and_oth_child,p_35_44_yrs_tot_care,p_35_44_yrs_no_care_prov,p_35_44_yrs_unpaid_care_notstated,p_35_44_total,p_45_54_yrs_care_own_child_only,p_45_54_yrs_care_oth_child_only,p_45_54_yrs_care_own_and_oth_child,p_45_54_yrs_tot_care,p_45_54_yrs_no_care_prov,p_45_54_yrs_unpaid_care_notstated,p_45_54_total,p_55_64_yrs_care_own_child_only,p_55_64_yrs_care_oth_child_only,p_55_64_yrs_care_own_and_oth_child,p_55_64_yrs_tot_care,p_55_64_yrs_no_care_prov,p_55_64_yrs_unpaid_care_notstated,p_55_64_total,p_65_74_yrs_care_own_child_only,p_65_74_yrs_care_oth_child_only,p_65_74_yrs_care_own_and_oth_child,p_65_74_yrs_tot_care,p_65_74_yrs_no_care_prov,p_65_74_yrs_unpaid_care_notstated,p_65_74_total,p_75_84_yrs_care_own_child_only,p_75_84_yrs_care_oth_child_only,p_75_84_yrs_care_own_and_oth_child,p_75_84_yrs_tot_care,p_75_84_yrs_no_care_prov,p_75_84_yrs_unpaid_care_notstated,p_75_84_total,p_85yrs_ov_care_own_child_only,p_85_yrs_ov_care_oth_child_only,p_85yrs_ov_care_own_and_oth_child,p_85_yrs_ov_tot_care
Rest of NSW,1RNSW,511,3665,44,4224,68375,9242,81832,4067,2899,116,7090,61379,6987,75449,43983,4552,1230,49768,79757,13704,143234,76017,3538,2376,81937,53618,12965,148516,44131,6819,1239,52181,102977,14733,169896,8425,17349,300,26075,136755,15596,178427,1403,16618,80,18097,116485,15699,150284,281,3291,32,3597,63269,11555,78420,108,204,5,316,20951,5295,26562,178925,58932,5424,243282,703565,105781,1052624,1202,6676,93,7970,61674,8052,77694,9333,5440,447,15224,51482,5403,72109,66774,7709,4038,78518,58389,10241,147152,93018,6028,5275,104320,41862,10219,156403,41307,17472,2003,60779,105157,12725,178659,3710,39278,349,43335,127916,14283,185530,972,25383,128,26480,110900,15559,152945,290,3983,25,4301,71305,14713,90318,137,351,10,493,34563,9772,44829,216737,112327,12367,341427,663253,100970,1105649,1713,10347,135,12196,130045,17286,159525,13402,8339,570,22309,112856,12394,147560,110762,12259,5268,128284,138149,23947,290388,169035,9564,7652,186256,95477,23186,304924,85435,24291,3237,112967,208130,27460,348557,12133,56629,649,69416,264667,29874,363959,2371,42001,206,44584,227388,31266,303231,570,7274,50,7892,134581,26263,168736,243,552,15,812
Greater Sydney,1GSYD,588,5517,99,6204,130532,11249,147983,3209,4533,137,7877,150988,13418,172289,70657,8006,1143,79804,269767,32135,381705,163264,5399,2969,171631,148111,24719,344463,97045,6422,1814,105285,181168,20939,307388,18818,18956,463,38242,198252,17122,253616,3444,27869,234,31542,133657,14217,179414,632,7585,50,8270,74344,9700,92308,127,515,9,654,29433,5063,35147,357785,84803,6915,449505,1316257,148557,1914314,999,9122,117,10241,120235,9913,140387,8738,8814,375,17921,138615,11916,168451,120653,14255,3756,138664,225513,28520,392700,202057,10130,7656,219837,110703,21031,351579,94301,17760,3440,115505,186074,18615,320191,10023,51072,826,61921,191879,16591,270395,2638,46219,370,49231,128704,15135,193069,677,8689,89,9448,89535,12757,111741,184,617,4,806,50151,9914,60875,440271,166683,16627,623576,1241404,144399,2009383,1583,14637,214,16438,250767,21161,288362,11950,13348,511,25807,289603,25332,340737,191310,22260,4897,218464,495275,60661,774405,365322,15527,10624,391470,258813,45754,696037,191342,24183,5253,220787,367242,39551,627580,28844,70035,1285,100170,390130,33713,524011,6085,74091,603,80773,262360,29352,372488,1310,16269,138,17718,163884,22452,204051,308,1140,14,1455
Rest of Vic.,2RVIC,245,1865,20,2130,37547,5245,44925,2042,1546,75,3661,33663,3593,40923,23449,2538,642,26629,42881,7308,76820,42303,1798,1308,45408,27666,7099,80170,25308,3374,706,29383,55333,8243,92963,4377,9206,147,13733,75170,8597,97495,802,8993,43,9839,62489,9108,81432,172,1741,11,1926,32880,6475,41289,94,113,3,211,11278,2868,14351,98788,31186,2949,132927,378915,58536,570369,510,3328,38,3875,33511,4654,42043,4359,3062,224,7648,27986,2972,38606,34881,4611,2169,41658,32782,5730,80178,50726,3364,3173,57266,22361,5742,85363,23581,8986,1135,33703,58317,7142,99158,2236,21841,185,24263,69802,8171,102238,598,14383,85,15063,59250,9085,83397,170,2268,17,2455,36946,8146,47547,147,193,13,346,19144,4949,24446,117207,62029,7042,186278,360096,56603,602974,760,5193,55,6006,71060,9901,86967,6404,4611,300,11318,61649,6568,79529,58328,7146,2815,68294,75669,13038,157001,93023,5166,4482,102669,50026,12839,165539,48888,12356,1843,63082,113648,15384,192122,6616,31048,329,37995,144966,16766,199728,1393,23371,131,24899,121741,18194,164829,343,4011,25,4382,69826,14625,88833,235,308,14,564
Greater Melbourne,2GMEL,564,4918,78,5561,120664,10516,136742,2850,4452,129,7421,148968,11965,168363,68154,7922,978,77053,254814,27419,359284,154805,5238,3047,163094,130831,21071,314991,92452,5978,1819,100249,167074,18452,285775,16102,17353,453,33907,180284,15406,229601,2516,26448,197,29160,120565,13393,163110,539,7169,44,7754,70160,10178,88091,150,437,3,586,27746,4868,33202,338134,79915,6740,424786,1221107,133277,1779168,820,8000,97,8911,113676,9681,132275,7419,8536,368,16322,137798,10879,165007,111304,14968,3720,129989,215665,25406,371061,186219,10355,8350,204926,100580,18588,324092,89729,16370,3554,109653,174561,17324,301538,8448,48047,686,57180,174574,15545,247299,2246,44889,332,47461,118641,15064,181172,668,8253,74,8995,85669,13300,107963,205,545,11,767,46054,9130,55950,407055,159961,17199,584214,1167216,134916,1886350,1381,12913,176,14478,234341,20199,269015,10268,12979,497,23745,286766,22851,333367,179458,22888,4704,207041,470479,52821,730345,341023,15601,11399,368018,231405,39658,639084,182184,22351,5375,209906,341631,35774,587317,24545,65399,1142,91088,354859,30952,476902,4757,71336,521,76616,239208,28456,344283,1212,15421,113,16750,155822,23476,196050,358,981,13,1354
Greater Brisbane,3GBRI,360,3598,51,4000,64917,5607,74523,3345,2825,124,6287,72659,6589,85533,41471,4603,1123,47188,108053,13818,169060,77488,3389,2139,83014,61692,11154,155864,43305,4832,1158,49299,86422,10270,145989,6964,11019,199,18181,92220,8335,118736,1189,12203,84,13474,65591,7075,86138,172,2469,13,2654,32473,4726,39855,37,138,3,174,10997,2499,13676,174320,45072,4890,224276,595022,70082,889380,815,5964,89,6869,60188,5000,72056,7362,5396,461,13225,66269,5715,85209,62871,7924,3183,73982,88486,11707,174171,93396,5835,4870,104099,48938,9039,162065,40517,12178,1899,54593,89674,8805,153071,3216,26336,300,29853,88333,7868,126053,763,19370,123,20264,64444,7360,92065,182,2986,19,3187,38170,6287,47651,56,192,3,250,19195,5226,24673,209181,86192,10940,306316,563698,67002,937019,1178,9561,132,10871,125099,10609,146581,10706,8225,585,19515,138928,12300,170741,104335,12526,4306,121167,196541,25520,343233,170879,9230,7007,187112,110628,20193,317932,83818,17013,3057,103886,176090,19080,299059,10177,37353,498,48032,180554,16204,244790,1957,31571,207,33737,130034,14434,178208,350,5456,30,5844,70646,11011,87505,94,327,4,426
Rest of Qld,3RQLD,472,3524,49,4046,64131,8283,76455,4133,2670,142,6947,58604,7633,73189,42953,4491,1242,48683,83005,15813,147501,73281,3650,2129,79061,56570,14676,150306,42049,5785,1183,49023,96988,15553,161566,7344,12038,231,19609,116524,14255,150381,1341,10579,82,11998,96488,12830,121315,233,2080,12,2326,48141,8152,58621,69,107,0,180,14294,3603,18069,171881,44927,5065,221868,634745,100799,957411,1110,6229,98,7446,58044,7337,72830,9301,4887,473,14662,50761,6371,71787,66061,7192,3664,76918,64111,12632,153661,91217,5823,4946,101984,44673,11726,158382,39442,14445,1877,55758,100531,13104,169397,3125,28398,312,31840,110769,12699,155306,726,17152,107,17984,90815,12321,121125,209,2594,22,2827,50608,9865,63300,84,204,6,289,22591,6177,29061,211271,86923,11515,309704,592917,92232,994854,1589,9752,147,11489,122174,15621,149284,13434,7562,615,21610,109363,14002,144979,109012,11683,4901,125594,147118,28445,301158,164499,9474,7076,181045,101240,26406,308690,81493,20235,3063,104786,197523,28656,330959,10464,40435,546,51445,227294,26952,305688,2066,27729,186,29990,187305,25152,242444,441,4672,37,5150,98754,18018,121922,149,312,6,463
Rest of SA,4RSAU,79,513,4,603,9013,1320,10933,654,410,27,1092,7542,924,9562,6580,656,180,7417,10328,2113,19858,10391,598,386,11371,7463,2092,20921,6052,1160,187,7404,16636,2356,26390,1085,2629,38,3749,22131,2372,28251,211,2310,16,2536,19204,2398,24131,34,395,0,432,9885,1629,11942,34,22,3,60,3175,715,3954,25123,8685,841,34656,105376,15919,155949,148,1031,13,1193,7901,1106,10195,1387,772,77,2234,5738,656,8629,9514,1002,646,11160,6917,1317,19391,12242,897,751,13891,5645,1330,20866,5128,2813,285,8229,15931,1784,25939,447,5715,46,6218,19210,2114,27537,136,3278,16,3427,17945,2254,23633,35,451,4,496,10360,1900,12753,32,41,6,79,5071,1185,6336,29071,16005,1853,46929,94707,13648,155286,222,1546,21,1796,16918,2419,21132,2036,1178,112,3325,13280,1584,18193,16092,1656,826,18577,17246,3433,39251,22630,1495,1137,25260,13101,3420,41789,11185,3975,471,15635,32566,4141,52332,1535,8347,88,9966,41337,4489,55791,350,5593,28,5964,37151,4651,47762,75,845,4,926,20251,3526,24701,74,63,7,139
Greater Adelaide,4GADE,186,1679,13,1880,35863,2742,40489,1268,1439,60,2774,40128,2592,45495,20737,2527,522,23787,58799,5480,88071,41937,1760,1146,44845,33253,4885,82983,24704,2578,618,27905,52464,5068,85442,4225,7174,104,11498,59662,4510,75675,685,9800,51,10538,42464,4014,57017,139,2181,15,2332,24927,3191,30457,46,127,4,174,10539,1657,12371,93928,29265,2536,125731,358111,34152,517997,371,2973,38,3381,33058,2446,38894,2977,2761,146,5888,35882,2265,44039,32918,4355,1583,38856,46625,4757,90237,49862,2944,2668,55475,24863,3935,84275,22730,6636,997,30365,54012,4264,88637,2013,17999,196,20204,57435,4412,82047,521,15352,77,15949,43261,4587,63808,151,2481,16,2649,31065,4330,38044,61,170,5,232,18515,3044,21797,111608,55671,5726,173003,344714,34049,551769,553,4654,54,5260,68923,5190,79385,4249,4205,208,8665,76010,4866,89535,53656,6879,2103,62643,105426,10238,178301,91805,4705,3813,100323,58113,8818,167253,47438,9216,1617,58268,106479,9334,174077,6240,25169,298,31706,117100,8918,157723,1206,25154,124,26488,85723,8608,120817,284,4662,32,4981,55999,7520,68502,104,297,10,413
Greater Perth,5GPER,271,2791,29,3091,53742,4558,61400,2142,2181,82,4399,58391,5558,68351,34107,3868,709,38684,100172,14345,153198,66010,2514,1485,70012,54301,11164,135474,37802,3675,814,42293,75986,9785,128061,6189,8735,168,15093,80370,7673,103140,1022,10579,60,11665,56074,6250,73986,169,2351,13,2531,29946,4626,37102,39,129,3,167,10095,2412,12680,147758,36823,3359,187937,519087,66363,773386,538,4620,49,5212,49407,4112,58729,5255,4236,240,9732,50812,4537,65083,54600,6691,2626,63918,78486,11082,153484,80562,4675,4269,89499,39481,8144,137133,35746,9722,1527,46993,75934,7706,130632,2918,23596,271,26780,76032,7008,109824,691,17525,129,18347,53455,6580,78385,182,2913,15,3107,35470,6322,44899,48,162,7,214,17072,4694,21972,180539,74126,9136,263808,476153,60182,800146,812,7416,81,8305,103151,8669,120129,7396,6416,326,14131,109199,10100,133434,88708,10557,3337,102605,178656,25423,306680,146568,7189,5754,159515,93786,19312,272610,73551,13398,2342,89286,151920,17484,258693,9107,32333,440,41876,156406,14685,212965,1715,28105,189,30006,109529,12835,152368,350,5263,28,5638,65422,10944,82007,83,285,6,380
Rest of WA,5RWAU,114,867,14,988,12391,2244,15633,946,606,38,1584,10514,1839,13936,10190,1109,319,11614,19526,5722,36864,16849,936,565,18348,13794,5178,37316,9121,1369,265,10762,23590,4982,39332,1520,2545,51,4115,26982,4138,35231,221,1913,14,2146,19344,2893,24386,48,305,0,356,8630,1709,10696,30,25,3,52,2476,630,3157,39033,9669,1262,49972,137257,29333,216557,253,1424,28,1707,10496,1885,14085,2043,1030,148,3229,7889,1329,12444,15040,1668,1082,17782,12830,3577,34190,18954,1454,1268,21681,9277,3122,34084,7477,3371,366,11219,21211,3442,35869,614,6041,63,6716,22918,3185,32821,155,2984,16,3155,16525,2588,22272,51,470,7,535,8790,1976,11297,22,32,0,52,3586,954,4595,44614,18476,2986,66081,113518,22057,201648,371,2288,41,2698,22885,4126,29712,2991,1633,185,4810,18405,3166,26382,25230,2772,1398,29399,32359,9292,71057,35805,2393,1833,40029,23067,8301,71401,16601,4743,636,21982,44799,8423,75202,2134,8588,111,10833,49898,7318,68053,370,4900,35,5306,35865,5486,46655,103,776,7,886,17417,3688,21993,50,53,3,101
