gcc_name16,gcc_code16,f_vietnam_0_4_yrs,f_vietnam_5_14_yrs,f_vietnam_15_24_yrs,f_vietnam_25_44_yrs,f_vietnam_45_54_yrs,f_vietnam_55_64_yrs,f_vietnam_65_74_yrs,f_vietnam_75_84_yrs,f_vietnam_85_yrs_ov,f_vietnam_tot,f_wales_0_4_yrs,f_wales_5_14_yrs,f_wales_15_24_yrs,f_wales_25_44_yrs,f_wales_45_54_yrs,f_wales_55_64_yrs,f_wales_65_74_yrs,f_wales_75_84_yrs,f_wales_85_yrs_ov,f_wales_tot,f_zimbabwe_0_4_yrs,f_zimbabwe_5_14_yrs,f_zimbabwe_15_24_yrs,f_zimbabwe_25_44_yrs,f_zimbabwe_45_54_yrs,f_zimbabwe_55_64_yrs,f_zimbabwe_65_74_yrs,f_zimbabwe_75_84_yrs,f_zimbabwe_85_yrs_ov,f_zimbabwe_tot,f_elsewhere_0_4_yrs,f_elsewhere_5_14_yrs,f_elsewhere_15_24_yrs,f_elsewhere_25_44_yrs,f_elsewhere_45_54_yrs,f_elsewhere_55_64_yrs,f_elsewhere_65_74_yrs,f_elsewhere_75_84_yrs,f_elsewhere_85_yrs_ov,f_elsewhere_tot,f_cob_ns_0_4_yrs,f_cob_ns_5_14_yrs,f_cob_ns_15_24_yrs,f_cob_ns_25_44_yrs,f_cob_ns_45_54_yrs,f_cob_ns_55_64_yrs,f_cob_ns_65_74_yrs,f_cob_ns_75_84_yrs,f_cob_ns_85_yrs_ov,f_cob_ns_tot,f_tot_0_4_yrs,f_tot_5_14_yrs,f_tot_15_24_yrs,f_tot_25_44_yrs,f_tot_45_54_yrs,f_tot_55_64_yrs,f_tot_65_74_yrs,f_tot_75_84_yrs,f_tot_85_yrs_ov,f_tot_tot,p_afghanistan_0_4_yrs,p_afghanistan_5_14_yrs,p_afghanistan_15_24_yrs,p_afghanistan_25_44_yrs,p_afghanistan_45_54_yrs,p_afghanistan_55_64_yrs,p_afghanistan_65_74_yrs,p_afghanistan_75_84_yrs,p_afghanistan_85_yrs_ov,p_afghanistan_tot,p_australia_0_4_yrs,p_australia_5_14_yrs,p_australia_15_24_yrs,p_australia_25_44_yrs,p_australia_45_54_yrs,p_australia_55_64_yrs,p_australia_65_74_yrs,p_australia_75_84_yrs,p_australia_85_yrs_ov,p_australia_tot,p_bangladesh_0_4_yrs,p_bangladesh_5_14_yrs,p_bangladesh_15_24_yrs,p_bangladesh_25_44_yrs,p_bangladesh_45_54_yrs,p_bangladesh_55_64_yrs,p_bangladesh_65_74_yrs,p_bangladesh_75_84_yrs,p_bangladesh_85_yrs_ov,p_bangladesh_tot,p_bosnia_herzegov_0_4_yrs,p_bosnia_herzegov_5_14_yrs,p_bosnia_herzegov_15_24_yrs,p_bosnia_herzegov_25_44_yrs,p_bosnia_herzegov_45_54_yrs,p_bosnia_herzegov_55_64_yrs,p_bosnia_herzegov_65_74_yrs,p_bosnia_herzegov_75_84_yrs,p_bosnia_herzegov_85_yrs_ov,p_bosnia_herzegov_tot,p_cambodia_0_4_yrs,p_cambodia_5_14_yrs,p_cambodia_15_24_yrs,p_cambodia_25_44_yrs,p_cambodia_45_54_yrs,p_cambodia_55_64_yrs,p_cambodia_65_74_yrs,p_cambodia_75_84_yrs,p_cambodia_85_yrs_ov,p_cambodia_tot,p_canada_0_4_yrs,p_canada_5_14_yrs,p_canada_15_24_yrs,p_canada_25_44_yrs,p_canada_45_54_yrs,p_canada_55_64_yrs,p_canada_65_74_yrs,p_canada_75_84_yrs,p_canada_85_yrs_ov,p_canada_tot,p_chile_0_4_yrs,p_chile_5_14_yrs,p_chile_15_24_yrs,p_chile_25_44_yrs,p_chile_45_54_yrs,p_chile_55_64_yrs,p_chile_65_74_yrs,p_chile_75_84_yrs,p_chile_85_yrs_ov,p_chile_tot,p_china_0_4_yrs,p_china_5_14_yrs,p_china_15_24_yrs,p_china_25_44_yrs,p_china_45_54_yrs,p_china_55_64_yrs,p_china_65_74_yrs,p_china_75_84_yrs,p_china_85_yrs_ov,p_china_tot,p_croatia_0_4_yrs,p_croatia_5_14_yrs,p_croatia_15_24_yrs,p_croatia_25_44_yrs,p_croatia_45_54_yrs,p_croatia_55_64_yrs,p_croatia_65_74_yrs,p_croatia_75_84_yrs,p_croatia_85_yrs_ov,p_croatia_tot,p_egypt_0_4_yrs,p_egypt_5_14_yrs,p_egypt_15_24_yrs,p_egypt_25_44_yrs,p_egypt_45_54_yrs,p_egypt_55_64_yrs,p_egypt_65_74_yrs,p_egypt_75_84_yrs,p_egypt_85_yrs_ov,p_egypt_tot,p_england_0_4_yrs,p_england_5_14_yrs,p_england_15_24_yrs,p_england_25_44_yrs,p_england_45_54_yrs,p_england_55_64_yrs,p_england_65_74_yrs,p_england_75_84_yrs,p_england_85_yrs_ov,p_england_tot,p_fiji_0_4_yrs,p_fiji_5_14_yrs,p_fiji_15_24_yrs,p_fiji_25_44_yrs,p_fiji_45_54_yrs,p_fiji_55_64_yrs,p_fiji_65_74_yrs,p_fiji_75_84_yrs,p_fiji_85_yrs_ov,p_fiji_tot,p_france_0_4_yrs,p_france_5_14_yrs,p_france_15_24_yrs,p_france_25_44_yrs,p_france_45_54_yrs,p_france_55_64_yrs,p_france_65_74_yrs,p_france_75_84_yrs,p_france_85_yrs_ov,p_france_tot,p_germany_0_4_yrs,p_germany_5_14_yrs,p_germany_15_24_yrs,p_germany_25_44_yrs,p_germany_45_54_yrs,p_germany_55_64_yrs,p_germany_65_74_yrs,p_germany_75_84_yrs,p_germany_85_yrs_ov,p_germany_tot
Rest of NSW,1RNSW,20,72,220,793,233,205,65,25,11,1632,3,29,42,152,271,245,309,183,79,1312,0,53,149,345,153,152,68,20,0,946,216,847,1063,4455,2404,2384,2331,1494,758,15953,4153,8815,9581,21885,14414,15861,14501,10107,5832,105149,74976,161194,149802,303555,178659,185530,152945,90318,44829,1341813,36,83,184,337,85,26,17,5,0,771,143782,300310,269283,480627,274086,282726,219464,118964,50530,2139772,36,87,85,841,85,46,16,3,0,1201,0,3,29,186,150,163,122,111,19,787,4,26,33,190,54,40,27,9,3,391,49,220,256,1300,683,594,395,126,47,3671,5,18,34,342,361,254,357,122,25,1520,73,296,2333,4040,1197,818,485,226,106,9578,0,6,33,198,386,457,630,674,121,2505,26,93,41,310,119,190,318,111,52,1262,263,1952,1982,8091,12834,14892,19016,11277,4131,74424,15,96,166,848,467,411,225,92,33,2349,17,78,117,510,317,288,282,124,52,1790,23,102,215,1003,1020,1841,4149,1804,803,10958
Greater Sydney,1GSYD,173,685,3464,17006,9614,8549,3131,1478,662,44765,11,45,73,644,395,303,324,181,94,2072,8,121,344,1020,460,259,103,37,12,2357,1017,4206,7878,38959,16539,13601,11046,6344,3212,102793,7579,12605,16998,47357,18817,16768,13623,9486,6568,149791,151145,286700,308837,744274,320191,270395,193069,111741,60875,2447221,71,414,2433,6042,1553,1087,471,141,45,12250,278535,493942,424910,695813,302752,245898,170576,90661,49068,2752169,310,1046,2423,14999,2513,1355,280,47,11,22993,7,35,294,2149,1345,1275,642,472,81,6298,41,172,720,4305,2703,2315,1159,434,186,12037,127,502,894,4425,1692,1097,565,197,76,9586,32,140,322,3423,2406,2015,2269,731,163,11510,1545,5397,39915,87374,34951,28936,14151,8972,3435,224685,11,46,249,1629,2069,2611,3134,2765,605,13120,173,841,761,4273,2466,3528,3489,2043,868,18442,1301,7790,7671,40167,30009,23941,23086,12393,5261,151614,60,622,1977,12451,6841,5563,2687,1078,231,31510,89,481,950,5149,1280,711,604,272,152,9683,83,423,997,4549,2503,1956,4668,2170,1145,18500
Rest of Vic.,2RVIC,4,31,74,436,139,100,24,11,3,819,0,12,12,58,99,98,138,60,30,516,0,18,26,128,69,36,26,9,3,332,71,418,555,2011,988,1018,1039,771,400,7274,2381,4789,5517,12676,8669,9355,8401,5639,3198,60611,40662,86052,80651,165542,99158,102238,83397,47547,24446,729694,13,185,503,759,256,92,29,3,0,1852,77546,159658,144879,259310,153209,155697,117967,61424,27344,1157016,7,56,22,244,60,20,6,3,0,416,0,0,33,141,120,134,78,81,10,588,6,28,40,142,48,42,14,3,0,325,32,103,84,507,265,225,134,48,22,1423,0,0,6,77,52,54,55,21,3,265,46,246,1031,1942,585,366,201,77,18,4519,0,3,23,158,340,425,632,567,122,2285,3,64,35,155,46,94,133,52,14,591,120,994,961,4029,6125,8062,9943,5598,2038,37880,5,40,72,295,131,110,41,25,3,730,5,31,76,234,118,99,101,56,20,746,8,60,112,493,449,899,2449,1092,501,6066
Greater Melbourne,2GMEL,192,754,4153,17668,9084,7589,2675,1241,532,43889,5,51,82,403,326,319,258,178,89,1710,5,107,298,1076,293,216,81,26,8,2104,994,4364,8227,32155,13173,10597,8500,5746,2894,86655,7253,11694,16143,43544,18324,16205,13626,9615,6161,142559,139793,259469,297277,695154,301538,247299,181172,107963,55950,2285616,140,1105,3992,7885,1850,821,337,94,31,16261,256825,435952,402435,718665,333204,252873,160911,80990,42223,2684080,107,457,801,4846,719,349,99,12,6,7402,6,44,484,2843,1704,1499,745,492,79,7897,60,283,1243,5287,2726,2120,1017,366,139,13259,154,498,729,3591,1229,777,353,123,75,7519,42,103,182,2340,1530,1248,1250,359,81,7137,1259,5883,39561,62987,19757,14690,6485,3937,1442,155998,12,39,202,1563,2229,2790,3171,2666,531,13193,114,883,674,2497,1543,2411,2509,1448,611,12683,1030,6412,6894,28930,25599,23017,22743,13124,5553,133300,24,279,740,4213,2155,1518,751,332,83,10089,62,321,636,2898,928,559,583,271,124,6377,89,364,1008,3659,2324,2212,5899,3185,1471,20211
Greater Brisbane,3GBRI,42,277,700,3872,1862,1538,597,271,106,9269,11,72,96,320,251,211,231,97,59,1355,3,74,281,920,514,347,120,37,15,2305,418,2372,4327,14494,5520,3955,2615,1381,602,35688,3676,6434,8620,20208,9027,7896,6350,4419,3564,70195,72050,144286,157266,336237,153071,126053,92065,47651,24673,1153351,10,189,759,1416,278,133,63,20,5,2875,134302,245398,228039,402974,184667,155239,111420,53285,23488,1538813,51,193,216,1122,187,108,24,6,0,1899,0,13,153,849,502,426,191,103,19,2251,8,54,106,555,366,283,105,57,27,1564,102,340,534,2203,865,634,321,116,55,5164,10,47,88,579,299,217,167,55,18,1481,333,1268,9294,15885,3932,2801,1522,823,314,36175,0,10,57,340,386,380,366,338,66,1939,29,196,127,321,125,152,210,93,39,1293,571,5131,6147,17181,19336,15094,15283,8378,2967,90086,37,288,744,3830,1909,1548,744,317,60,9470,33,173,313,1276,529,306,280,130,54,3089,32,181,493,1951,1363,1198,2537,984,400,9149
Rest of Qld,3RQLD,17,114,172,866,215,142,63,11,4,1595,3,63,78,299,250,227,230,139,47,1341,10,101,277,732,454,332,140,53,13,2107,244,1136,1918,7376,3221,2771,2217,1246,598,20718,4524,9067,10810,24730,13933,13200,11137,6741,3873,98018,72221,155225,144621,312046,169397,155306,121125,63300,29061,1222294,3,56,131,234,48,24,4,0,0,501,135292,275712,234448,432649,229709,216247,162712,79742,31059,1797567,15,81,74,534,121,31,4,0,0,865,0,6,42,311,222,175,112,64,3,940,12,44,36,200,98,52,16,3,0,462,103,331,477,2228,854,771,557,201,69,5582,6,25,37,292,148,80,101,33,4,736,125,524,2047,4702,1678,921,498,235,94,10831,0,11,32,154,239,314,377,412,75,1613,26,94,44,219,114,176,257,147,69,1148,398,4020,5059,14179,17449,15704,19099,10413,3536,89863,20,176,303,1103,641,484,252,123,26,3126,19,88,285,917,423,347,377,165,48,2671,28,162,495,1733,1476,1671,3095,1908,575,11148
Rest of SA,4RSAU,3,12,13,115,32,4,12,0,0,197,0,6,3,18,32,59,52,32,10,215,0,14,25,59,21,32,3,4,0,155,20,95,73,326,179,202,206,174,68,1344,541,1165,1210,2916,2120,2322,2080,1240,828,14431,10211,22211,18828,40253,25939,27537,23633,12753,6336,187706,0,12,83,235,95,30,3,0,0,466,19495,41957,35030,67104,41384,42798,34524,16904,7215,306411,0,25,3,85,7,0,0,0,0,121,0,0,0,9,12,8,6,7,0,50,4,3,7,29,14,0,3,0,0,63,3,10,18,90,42,45,45,9,8,266,0,0,0,8,13,8,5,3,0,36,4,43,79,360,112,47,16,3,3,666,0,0,0,10,32,54,110,107,24,328,0,0,0,21,3,7,12,12,0,47,17,231,251,997,3032,4076,4345,2709,794,16458,0,9,11,56,30,21,5,3,0,143,0,3,13,46,39,28,48,19,8,205,3,8,23,119,167,326,682,347,181,1853
Greater Adelaide,4GADE,28,191,666,2988,1586,1376,474,230,82,7637,3,48,74,179,226,240,196,163,79,1211,7,49,90,242,123,72,22,13,0,615,267,1386,2264,6638,2543,1914,1698,1324,878,18923,1568,2777,3705,8760,4706,4733,4207,3110,2047,35623,36906,73146,82930,174511,88637,82047,63808,38044,21797,661823,49,502,1746,2520,646,274,89,13,4,5847,69697,125857,126919,228325,114312,99715,68869,32721,17828,884250,63,265,129,1191,127,50,16,3,0,1848,0,6,111,678,409,414,170,113,20,1920,23,93,199,1197,657,543,285,104,34,3128,45,125,157,753,339,303,146,45,29,1948,7,23,32,254,125,123,98,41,9,710,224,928,6960,10899,2094,1523,817,356,130,23919,3,7,55,393,368,492,534,537,147,2533,33,161,83,389,107,179,253,144,68,1410,263,2873,3809,9567,17490,17308,14940,10233,4311,80795,5,35,82,414,204,164,98,37,3,1051,12,60,96,347,250,163,126,78,27,1150,16,99,214,816,835,1175,2855,1316,912,8242
Greater Perth,5GPER,53,219,808,3652,1553,1300,479,233,79,8374,7,136,182,650,595,435,386,221,97,2713,21,264,704,2010,935,663,250,71,18,4933,413,2382,4039,14929,4890,3595,2320,1240,647,34443,3220,5412,7040,18776,7818,7086,5837,4412,3058,62660,61672,118507,123812,290619,130632,109824,78385,44899,21972,980326,32,234,1245,2419,504,237,82,29,7,4784,113116,186994,167154,292514,124934,106511,70329,35934,15809,1113290,51,219,188,1503,213,124,56,12,4,2375,0,13,172,1012,541,520,214,88,26,2591,23,36,83,501,215,182,64,21,15,1146,75,379,444,1854,784,626,294,121,47,4621,5,61,86,540,296,273,167,59,11,1504,284,1370,4749,12275,3582,2068,907,452,225,25911,3,26,101,745,572,893,941,791,232,4300,33,303,116,551,211,277,335,170,78,2071,916,8888,11663,35209,37096,28303,25208,14578,5108,166965,3,49,69,407,203,156,69,26,6,995,37,173,262,1650,475,240,203,106,31,3183,28,208,484,2204,1328,1038,2210,805,374,8675
Rest of WA,5RWAU,8,20,35,189,47,39,11,3,0,351,5,7,13,69,80,74,66,26,15,359,3,77,103,367,158,137,51,10,4,913,30,163,156,1078,531,452,299,154,78,2944,1306,2606,2347,6890,3731,3417,2443,1439,661,24838,16823,34759,26527,68275,35869,32821,22272,11297,4595,253230,0,20,82,172,43,10,3,0,0,331,31327,60509,44826,96689,49160,45539,29467,13562,4782,375860,4,26,12,130,30,11,0,0,0,207,0,3,4,32,9,12,7,5,3,84,0,8,10,55,22,20,0,0,0,107,5,42,51,338,148,122,52,17,11,790,0,0,3,51,21,20,5,3,0,107,15,45,205,566,191,71,14,13,5,1122,0,0,7,30,29,70,61,48,7,247,3,6,0,68,3,18,26,9,0,138,68,732,809,4418,5842,5530,5575,2897,906,26788,0,30,20,156,53,42,21,9,0,333,6,19,70,298,72,65,56,18,5,603,5,34,99,525,300,296,714,188,73,2224
