gcc_code16,m_0_299_ds_ds_sept_house,m_0_299_ds_ds_sd_row_tce_hs_t,m_0_299_ds_ds_flat_apart,m_0_299_ds_ds_other_dwg,m_0_299_ds_ns,m_0_299_tot,m_300_449_ds_separate_hse,m_300_449_ds_sd_row_tc_hse_th,m_300_449_ds_flat_apart,m_300_449_ds_other_dwg,m_300_449_ds_ns,m_300_449_tot,m_450_599_ds_separate_hse,m_450_599_ds_sd_row_tce_hs_th,m_450_599_ds_flat_apart,m_450_599_ds_other_dwg,m_450_599_ds_ns,m_450_599_tot,m_600_799_ds_separate_hse,m_600_799_ds_sd_row_tc_hs_th,m_600_799_ds_flat_apart,m_600_799_ds_other_dwg,m_600_799_ds_ns,m_600_799_tot,m_800_999_ds_separate_hse,m_800_999_ds_sd_row_tc_hs_th,m_800_999_ds_flat_apart,m_800_999_ds_other_dwg,m_800_999_ds_ns,m_800_999_tot,m_1000_1399_ds_separate_hse,m_1000_1399_ds_sd_rw_tc_h_th,m_1000_1399_ds_flat_apart,m_1000_1399_ds_other_dwg,m_1000_1399_ds_ns,m_1000_1399_tot,m_1400_1799_ds_separate_hse,m_1400_1799_ds_sd_rw_tc_h_th,m_1400_1799_ds_flat_apart,m_1400_1799_ds_other_dwg,m_1400_1799_ds_ns,m_1400_1799_tot,m_1800_2399_ds_separate_hse,m_1800_2399_ds_sd_rw_tc_h_th,m_1800_2399_ds_flat_apart,m_1800_2399_ds_other_dwg,m_1800_2399_ds_ns,m_1800_2399_tot,m_2400_2999_ds_separate_hse,m_2400_2999_ds_sd_rw_tc_h_th,m_2400_2999_ds_flat_apart,m_2400_2999_ds_other_dwg,m_2400_2999_ds_ns,m_2400_2999_tot,m_3000_3999_ds_separate_hse,m_3000_3999_ds_sd_rw_tc_h_th,m_3000_3999_ds_flt_apart,m_3000_3999_ds_other_dwg,m_3000_3999_ds_ns,m_3000_3999_tot,m_4000_over_ds_separate_hse,m_4000_ov_ds_sd_rw_tce_hs_th,m_4000_over_ds_flat_apart,m_4000_over_ds_other_dwg,m_4000_ds_over_ns,m_4000_over_tot,mort_rpmnt_ns_ds_separat_hs,mrt_rpmt_ns_ds_sd_rw_tc_hs_th,mrt_rpmt_ns_ds_flat_apart,mort_rpmnt_ns_ds_other_dwg,mort_rpmnt_ns_ds_ns,mort_rpmnt_ns_total,tot_ds_separate_hse,tot_ds_sd_row_tce_hse_thse,tot_ds_flat_apartment,tot_ds_other_dwg,tot_ds_ns,tot_tot,gcc_name16
1RNSW,14405,736,343,127,105,15711,7627,431,216,59,35,8369,6871,355,165,66,44,7494,13244,651,372,127,72,14467,18589,886,490,126,98,20185,48469,2413,1319,264,208,52672,50767,2560,1135,225,176,54865,56911,2252,967,208,231,60566,24047,805,339,76,94,25361,17766,511,264,81,61,18676,9550,276,174,61,91,10152,12699,462,228,88,89,13567,280942,12337,6008,1505,1301,302103,Rest of NSW
1GSYD,19240,3467,4748,78,78,27612,5880,1024,1210,25,14,8147,5036,890,1117,21,15,7080,7996,1433,1975,30,19,11456,11372,2064,3011,57,32,16540,34617,6321,9813,115,93,50962,42528,8128,12821,153,109,63743,75943,13836,20907,234,215,111140,48837,9090,12490,139,141,70690,56541,11109,12113,152,181,80092,52030,10968,7648,134,194,70975,17920,2850,2950,70,61,23843,377955,71180,90796,1214,1127,542273,Greater Sydney
2RVIC,9351,248,86,47,64,9798,6182,172,50,38,30,6477,5739,175,66,34,24,6035,11472,340,116,61,42,12031,15599,473,163,65,61,16370,38853,1137,274,127,127,40521,32815,721,145,69,117,33862,26539,474,88,107,112,27317,8626,142,27,29,42,8864,6076,104,29,27,42,6280,3659,66,16,35,34,3809,8441,179,49,51,52,8780,173362,4228,1109,691,744,180135,Rest of Vic.
2GMEL,23799,4099,2064,65,66,30094,9297,1466,620,21,14,11422,8181,1265,620,16,14,10104,13585,2106,1075,20,17,16803,19390,3109,1594,33,39,24168,60338,10172,5821,126,125,76581,75365,12737,7273,138,156,95669,102698,16062,9467,187,231,128650,46164,8234,4291,86,125,58905,40547,8185,3379,64,113,52291,30680,6430,2132,50,104,39393,21830,2959,1276,43,55,26174,451880,76837,39609,860,1064,570250,Greater Melbourne
3GBRI,11634,586,673,19,27,12939,4805,308,233,10,9,5364,4164,288,240,18,3,4711,7385,531,428,19,10,8380,10169,743,657,24,21,11608,31814,2577,2185,47,69,36687,42679,3255,3045,73,84,49137,61757,3093,3600,76,107,68622,30929,991,1401,35,58,33407,24113,662,1008,31,48,25868,14112,333,649,24,39,15155,10180,407,430,33,31,11081,253732,13777,14546,416,493,282966,Greater Brisbane
3RQLD,12082,817,625,146,76,13749,5797,467,278,79,31,6652,5092,406,247,53,28,5829,9759,745,564,134,63,11262,13720,1106,812,130,59,15829,38691,3495,2213,258,154,44805,44571,3703,2165,199,155,50800,56607,2745,1909,185,183,61625,25666,796,631,88,87,27266,17453,524,527,79,68,18652,9120,284,354,63,77,9908,11171,622,444,130,69,12439,249728,15717,10778,1543,1055,278820,Rest of Qld
4RSAU,2948,113,12,36,27,3136,2182,131,14,15,7,2355,2049,128,17,16,10,2218,3933,275,29,31,27,4303,5018,273,31,27,22,5378,10495,393,35,59,44,11025,7433,121,11,34,32,7634,5079,76,8,38,30,5234,1493,10,3,16,9,1534,1067,20,0,22,3,1114,643,11,0,25,6,681,1862,60,10,16,7,1960,44210,1618,176,335,241,46573,Rest of SA
4GADE,7945,1021,252,16,27,9259,4600,550,178,8,12,5348,4084,528,165,6,5,4793,7512,1009,323,7,7,8866,9884,1320,506,16,19,11740,28290,3577,1528,41,83,33522,30848,3598,1126,35,95,35698,31037,3636,657,20,112,35463,11968,1306,199,19,45,13531,9007,939,134,11,35,10124,5476,575,102,15,25,6184,5254,525,144,6,20,5944,155912,18569,5306,200,480,180466,Greater Adelaide
5GPER,11455,1449,374,16,21,13310,4292,581,137,9,8,5029,3856,462,119,4,10,4443,6748,869,261,16,8,7900,8771,1151,335,13,14,10279,26334,3728,1271,37,45,31413,34553,5435,1675,48,62,41777,61986,7852,1998,64,105,72005,36220,3599,892,26,74,40816,28461,2867,700,33,68,32126,18593,1733,475,31,52,20883,9399,981,252,8,23,10665,250662,30705,8490,304,484,290648,Greater Perth
5RWAU,2900,66,9,63,32,3072,1478,35,6,37,13,1563,1295,42,3,32,10,1383,2376,56,12,50,9,2498,3012,97,12,47,18,3186,8154,286,28,97,35,8597,8848,249,35,76,35,9251,11485,219,40,90,40,11870,5071,88,18,46,23,5244,4007,69,14,52,32,4168,2113,42,13,39,20,2227,2385,52,11,53,17,2510,53128,1288,199,679,279,55573,Rest of WA
