gcc_code16,f_tot_lf_15_19_yr,f_tot_lf_20_24_yr,f_tot_lf_25_34_yr,f_tot_lf_35_44_yr,f_tot_lf_45_54_yr,f_tot_lf_55_64_yr,f_tot_lf_65_74_yr,f_tot_lf_75_84_yr,f_tot_lf_85,f_tot_lf_tot,f_n_the_lf_15_19,f_n_the_lf_20_24,f_n_the_lf_25_34,f_n_the_lf_35_44,f_n_the_lf_45_54,f_n_the_lf_55_64,f_n_the_lf_65_74,f_n_the_lf_75_84,f_n_the_lf_85,f_n_the_lf_tot,f_lf_st_ns_15_19,f_lf_st_ns_20_24,f_lf_st_ns_25_34,f_lf_st_ns_35_44,f_lf_st_ns_45_54,f_lf_st_ns_55_64,f_lf_st_ns_65_74,f_lf_st_ns_75_84,f_lf_st_ns_85,f_lf_st_ns_total,f_tot_15_19_yr,f_tot_20_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_emp_wrk_ft_15_19,p_emp_wrk_ft_20_24,p_emp_wrk_ft_25_34,p_emp_wrk_ft_35_44,p_emp_wrk_ft_45_54,p_emp_wrk_ft_55_64,p_emp_wrk_ft_65_74,p_emp_wrk_ft_75_84,p_emp_wrk_ft_85,p_emp_wrk_ft_tot,p_emp_wrk_pt_15_19,p_emp_wrk_pt_20_24,p_emp_wrk_pt_25_34,p_emp_wrk_pt_35_44,p_emp_wrk_pt_45_54,p_emp_wrk_pt_55_64,p_emp_wrk_pt_65_74,p_emp_wrk_pt_75_84,p_emp_wrk_pt_85,p_emp_wrk_pt_tot,p_emp_a_f_wrk_15_19,p_emp_a_f_wrk_20_24,p_emp_a_f_wrk_25_34,p_emp_a_f_wrk_35_44,p_emp_a_f_wrk_45_54,p_emp_a_f_wrk_55_64,p_emp_a_f_wrk_65_74,p_emp_a_f_wrk_75_84,p_emp_a_f_wrk_85,p_emp_a_f_wrk_tot,p_hr_wrk_ns_15_19,p_hr_wrk_ns_20_24,p_hr_wrk_ns_25_34,p_hr_wrk_ns_35_44,p_hr_wrk_ns_45_54,p_hr_wrk_ns_55_64,p_hr_wrk_ns_65_74,p_hr_wrk_ns_75_84,p_hr_wrk_ns_85,p_hr_wrk_ns_tot,p_tot_emp_15_19,p_tot_emp_20_24,p_tot_emp_25_34,p_tot_emp_35_44,p_tot_emp_45_54,p_tot_emp_55_64,p_tot_emp_65_74,p_tot_emp_75_84,p_tot_emp_85_over,p_tot_emp_tot,p_ue_lk_fr_ft_wrk_15_19,p_ue_lk_fr_ft_wrk_20_24,p_ue_lk_fr_ft_wrk_25_34,p_ue_lk_fr_ft_wrk_35_44,p_ue_lk_fr_ft_wrk_45_54,p_ue_lk_fr_ft_wrk_55_64,p_ue_lk_fr_ft_wrk_65_74,p_ue_lk_fr_ft_wrk_75_84,p_ue_lk_for_ft_wrk_85,p_ue_looking_for_ft_wk_tot,p_ue_lk_for_pt_wk_15_19,p_ue_lk_for_pt_wk_20_24,p_ue_lk_for_pt_wk_25_34,p_ue_lk_for_pt_wk_35_44,p_ue_lk_for_pt_wk_45_54,p_ue_lk_for_pt_wk_55_64,p_ue_lk_for_pt_wk_65_74,p_ue_lk_for_pt_wk_75_84,p_ue_looking_for_pt_wk_85,p_ue_lk_for_pt_wrk_tot,p_tot_unemp_15_19,p_tot_unemp_20_24,p_tot_unemp_25_34,p_tot_unemp_35_44,p_tot_unemp_45_54,p_tot_unemp_55_64,p_tot_unemp_65_74,p_tot_unemp_75_84,p_tot_unemp_85,p_tot_unemp_total,p_tot_lf_15_19_yr,p_tot_lf_20_24_yr,p_tot_lf_25_34_yr,p_tot_lf_35_44_yr,p_tot_lf_45_54_yr,p_tot_lf_55_64_yr,p_tot_lf_65_74_yr,p_tot_lf_75_84_yr,p_tot_lf_85,p_tot_lf_tot,p_n_the_lf_15_19,p_n_the_lf_20_24,p_n_the_lf_25_34,p_n_the_lf_35_44,p_n_the_lf_45_54,p_n_the_lf_55_64,p_n_the_lf_65_74,p_n_the_lf_75_84,p_n_the_lf_85,p_n_the_lf_tot,p_lf_st_ns_15_19,p_lf_st_ns_20_24,p_lf_st_ns_25_34,p_lf_st_ns_35_44,p_lf_st_ns_45_54,p_lf_st_ns_55_64,p_lf_st_ns_65_74,p_lf_st_ns_75_84,p_lf_st_ns_85,p_lf_st_ns_total,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,gcc_name16
1RNSW,40722,51980,105546,116720,132532,98742,20276,2560,461,569532,32636,16239,33696,31293,35327,74117,120262,77390,36485,457450,4270,4754,9334,9074,10826,11855,11646,10046,7806,79617,77623,72973,148580,157085,178684,184714,152187,89995,44759,1106598,16202,53844,136008,144772,165900,115431,20723,2837,447,656171,45311,37739,59460,70751,75663,70814,25049,3857,506,389151,2669,3245,10116,7007,7283,8921,2578,412,87,42318,2134,2652,3902,3797,4046,3154,1439,739,233,22094,66317,97480,209489,226332,252893,198314,49792,7854,1263,1109740,5479,7940,9483,8217,8594,6499,364,65,26,46659,8748,4964,4978,4313,4055,4406,815,93,23,32387,14225,12903,14454,12528,12646,10904,1177,157,50,79044,80539,110388,223946,238864,265544,209217,50967,8002,1318,1188786,70217,29161,50161,48855,60733,129266,227616,142419,58207,816639,8906,10035,19426,19025,22654,24636,23542,18019,11709,157963,159672,149585,293536,306744,348931,363118,302124,168447,71233,2163387,Rest of NSW
1GSYD,60793,116668,285136,255479,233500,149174,32083,2907,441,1136178,73811,41590,81454,76908,70362,105997,147387,98914,52105,748521,6143,10276,25693,18854,16204,13969,11652,9315,8184,120279,140747,168532,392281,351248,320061,269130,191122,111139,60728,2004978,19280,106324,409913,373577,332010,199526,34180,2268,329,1477411,70210,96751,128163,130043,117650,94281,38552,5400,586,681632,3731,5180,19513,14022,8817,8922,2982,398,67,63620,2777,6110,12110,8886,7886,4881,1502,434,163,44759,95995,214376,569704,526528,466364,307612,77211,8497,1140,2267423,5035,11546,20666,15311,14306,9712,777,94,34,77477,17069,13970,12088,9344,7929,7039,1460,186,35,69119,22106,25517,32752,24656,22234,16752,2235,277,63,146597,118103,239888,602453,551188,488597,324369,79449,8767,1204,2414023,157858,79880,118603,104820,105285,169091,266512,177464,82440,1261949,13029,21109,52704,39849,34484,28511,22443,16335,12106,240560,288992,340875,773757,695852,628363,521967,368405,202566,95750,3916531,Greater Sydney
2RVIC,21867,28486,56831,62651,73816,56478,11796,1462,339,313733,17620,7977,18655,17664,18583,36175,60239,39215,20216,236347,2412,2697,5113,5103,6028,6485,6003,5012,3634,42487,41900,39160,80601,85418,98422,99141,78040,45694,24186,592560,7664,29693,73735,75500,89385,64367,11905,1666,339,354261,26063,21085,32039,40542,44719,42655,15152,2347,384,224990,1405,1855,5698,4207,4469,5326,1630,253,58,24909,1260,1527,2115,2078,2264,1964,848,400,133,12597,36402,54166,113590,122330,140838,114312,29544,4672,908,616759,2249,4060,4822,3993,4323,3476,163,28,22,23139,4427,2370,2386,2250,2056,2212,421,38,10,16177,6676,6428,7211,6249,6376,5690,587,74,30,39314,43073,60593,120802,128573,147214,120008,30123,4740,939,656071,38832,14308,26788,26760,31063,61032,112129,71074,31785,413763,4921,5602,10404,10251,12343,12930,12006,8909,5519,82879,86826,80503,157989,165583,190619,193967,154255,84723,38240,1152716,Rest of Vic.
2GMEL,59269,112921,270798,235833,223177,137666,27856,2373,453,1070348,67628,42557,76625,70870,63034,94612,137645,94332,47974,695272,5955,9318,22762,16748,15403,13116,10785,8931,7080,110103,132846,164798,370188,323449,301613,245390,176285,105634,55507,1875718,12302,89747,376591,326587,300252,175624,28191,1921,379,1311600,70662,101888,130127,132635,123068,94404,35850,4554,549,693743,2878,5077,19144,13881,9143,8881,2761,330,77,62175,2487,5395,10790,7814,7154,4336,1442,477,180,40080,88329,202107,536656,480921,439625,283251,68240,7277,1190,2107592,4493,12664,22603,15901,14260,9160,682,62,21,79847,20916,16950,12367,9159,7362,5870,1331,150,26,74127,25406,29618,34975,25054,21628,15030,2012,212,49,153977,113734,231727,571630,505974,461250,298276,70249,7496,1235,2261569,144156,82432,110912,96597,94156,148985,243968,167652,76317,1165182,12007,19044,45738,34368,30915,25797,20441,15691,10606,214607,269894,333199,728285,636933,586324,473058,334663,190838,88162,3641361,Greater Melbourne
3GBRI,40302,61339,127831,121568,115945,70850,13440,1038,143,552463,28421,18412,34868,31550,28707,47522,72874,42469,20180,324998,3141,4871,10106,7762,7245,6406,5598,4441,4455,54021,71861,84621,172802,160882,151899,124779,91911,47954,24777,931482,11243,56788,172501,166170,158549,91959,14043,874,105,672219,45360,48394,62802,63482,56828,43340,15726,1878,160,337970,1813,2873,10174,6914,5406,5366,1454,132,29,34149,1497,2444,4402,3604,3106,1871,615,226,86,17853,59913,110491,249880,240169,223884,142533,31836,3102,378,1062191,5266,8941,11990,8777,8268,5549,379,51,19,49229,12206,6835,6108,4456,3349,2848,688,57,7,36544,17468,15777,18097,13232,11611,8394,1062,103,23,85777,77380,126271,267975,253405,235496,150927,32894,3211,407,1147967,62544,33411,51169,44806,44537,77837,133501,76890,31726,556428,6428,9793,19936,15732,14730,12667,10945,7760,6393,104383,146356,169471,339090,313941,294761,241424,177343,87860,38530,1808778,Greater Brisbane
3RQLD,41715,52096,110174,118427,127784,88475,18797,2056,287,559812,26713,14791,34386,31506,32372,63493,104667,58945,24592,391460,4687,6052,12509,11312,12377,12706,12044,7925,5182,84794,73117,72939,157061,161242,172535,164676,135510,68926,30065,1036068,15227,55826,144005,150521,163334,106982,19769,2214,267,658149,46470,34850,57710,67075,67737,57590,21411,2946,308,356095,2139,2850,10228,7561,7980,9174,2963,431,75,43412,1817,2267,4125,4071,3910,2894,1265,525,137,21007,65654,95795,216067,229222,242955,176647,45420,6116,790,1078655,6240,8903,11494,9935,10814,8402,560,73,15,56430,9729,4486,5334,4771,4079,4156,954,112,12,33646,15966,13386,16834,14707,14892,12559,1514,190,35,90075,81619,109180,232897,243929,257847,189207,46928,6309,822,1168733,58305,25137,47956,45880,52351,106460,199911,113223,40328,689546,9722,12728,27351,24967,26960,26504,24434,15014,8113,175800,149641,147047,308203,314785,337159,322176,271279,134542,49252,2034085,Rest of Qld
4RSAU,5027,6314,13430,15364,19196,15194,3420,479,87,78515,4501,1875,4934,4335,5053,10316,17921,10902,5341,65180,532,588,1185,1145,1541,1732,1597,1132,882,10330,10061,8772,19549,20845,25788,27244,22939,12512,6317,154024,1993,7275,17735,18987,24159,18380,3631,492,101,92750,5917,4335,8222,10075,12020,11437,4239,714,99,57046,299,526,1431,1128,1285,1615,500,87,19,6897,276,302,542,487,611,485,249,140,43,3127,8482,12437,27924,30673,38070,31920,8620,1432,258,159815,703,1194,1493,1285,1476,1152,42,12,3,7360,894,431,595,559,595,631,112,18,4,3840,1595,1625,2095,1842,2069,1783,156,27,9,11203,10077,14059,30018,32516,40138,33701,8774,1458,270,171017,9656,3251,7405,7140,9117,18318,34490,20534,8605,118505,1134,1233,2701,2692,3469,3764,3337,2155,1350,21844,20872,18541,40123,42349,52718,55785,46601,24147,10223,311367,Rest of SA
4GADE,19772,30969,65956,63352,67625,46987,9042,754,132,304595,17812,10881,19812,17391,17182,30482,49851,33942,19315,216664,1409,1849,4012,3296,3428,3340,3095,2762,2262,25444,38987,43695,89777,84039,88236,80808,61989,37465,21702,546699,3843,24163,82891,79472,85100,55622,8230,556,89,339966,22959,28153,37312,39669,39199,32166,11415,1379,147,212397,985,1674,5985,4017,3430,3466,999,120,19,20699,639,1143,2151,1659,1572,1041,402,144,56,8804,28422,55137,128337,124817,129296,92303,21037,2195,308,581856,2064,4669,7108,5496,5076,3337,172,26,10,27962,6634,4117,3349,2631,2215,1835,314,48,4,21160,8698,8788,10464,8128,7294,5171,489,74,18,49117,37117,63927,138801,132953,136592,97472,21525,2271,326,630975,39587,21157,29754,26044,28650,50861,89858,60242,30266,376408,2793,3807,8090,6903,7146,6604,5779,4730,3426,49283,79495,88887,176641,165901,172390,154937,117159,67242,34020,1056669,Greater Adelaide
5GPER,30819,48254,109872,98977,99064,64579,13065,1084,133,465848,25451,12401,32409,30234,24056,37945,58867,39017,17829,278225,2506,3797,9460,7043,6336,5666,4875,4448,3942,48075,58780,64454,151750,136255,129457,108183,76808,44555,21906,792146,8193,42820,148283,130043,129097,78105,12372,731,114,549760,35450,39947,55281,57541,53832,43404,16804,2182,185,304635,1442,2526,9150,6346,5321,5178,1553,168,20,31704,1080,2036,3857,2946,2627,1610,521,158,40,14877,46173,87329,216570,196879,190871,128297,31261,3241,354,900974,3694,6978,11751,9566,9379,6281,490,47,9,48190,9850,5628,5806,4784,3388,2796,780,85,10,33126,13545,12600,17562,14347,12768,9075,1266,130,19,81318,59717,99927,234129,211230,203640,137373,32529,3371,370,982293,55344,24062,45131,40475,35634,59294,106878,69959,28371,465153,5257,7712,19283,14515,13220,11340,9415,7759,5806,94313,120321,131706,298548,266219,252494,208010,148824,81092,34546,1541754,Greater Perth
5RWAU,6903,8853,23373,24879,27285,20094,4376,541,72,116369,5959,2886,9008,7129,6715,12614,18844,9849,3841,76827,1135,1346,3836,3093,3454,3377,2640,1500,759,21142,13996,13080,36212,35095,37455,36083,25854,11890,4666,214336,3803,12318,38599,38153,41153,27425,5111,590,79,167241,7293,4554,11494,14656,14611,13078,5118,852,106,71755,395,766,3276,2817,3332,3508,1013,145,13,15266,381,496,952,959,1114,792,321,129,27,5174,11874,18133,54319,56586,60203,44805,11571,1720,230,259437,1055,1578,2344,2170,2254,1644,123,10,0,11187,1115,536,981,910,727,845,191,18,0,5324,2169,2110,3326,3080,2983,2486,316,30,3,16511,14040,20246,57651,59671,63188,47294,11888,1744,234,275951,13048,4916,12421,10439,10789,21223,37077,18860,6419,135188,2436,3078,10772,9393,9667,8369,5624,2865,1240,53450,29525,28243,80844,79496,83645,76879,54594,23475,7884,464586,Rest of WA
