gccsa_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,gcc_name16
1GSYD,2457303,2495945,2541152,2606163,2712735,40,41,41,41,41,145411045394,153520278521,162824242126,172926801782,183938528088,43210,45267,47149,48381,49571,59175,61508,64075,66353,67806,Greater Sydney
1RNSW,1310695,1324764,1327632,1344589,1376020,45,45,45,45,45,60074017699,63995638210,66616998489,69427670096,72836696235,36984,38824,40288,41241,42445,45834,48307,50177,51635,52933,Rest of NSW
2GMEL,2244406,2291260,2332057,2395900,2487136,40,41,41,41,41,122811440989,130470993784,137182819159,144873818735,153666988752,42124,43954,45455,46363,47515,54719,56943,58825,60467,61785,Greater Melbourne
2RVIC,731742,740120,741737,752560,770163,44,45,45,45,45,32078487733,33830607659,34754693884,36701703312,38597339577,36339,37977,38850,40209,41382,43839,45710,46856,48769,50116,Rest of Vic.
3GBRI,1166181,1188611,1203042,1224934,1268080,40,40,41,41,41,61516358316,67267005033,71049970214,74215136853,78085350376,42332,44887,46652,47690,48625,52750,56593,59059,60587,61578,Greater Brisbane
3RQLD,1230242,1258246,1273744,1289751,1323421,42,42,43,43,43,57583584464,63914148083,68220492385,70371040998,73357205528,37690,40403,42260,43014,43689,46807,50796,53559,54562,55430,Rest of Qld
4GADE,681965,686607,689843,700364,714796,42,43,43,43,43,33955989863,35865118120,37544500946,39296393081,40763358478,40899,42836,44541,45778,46581,49791,52235,54425,56109,57028,Greater Adelaide
4RSAU,192953,194165,193783,195253,197973,45,46,46,46,46,8503609865,8900894213,9002136586,9563001852,9975886922,36507,38272,38844,40373,41378,44071,45842,46455,48977,50390,Rest of SA
5GPER,1022426,1073287,1115973,1142533,1177074,40,40,41,41,41,61239336327,69511510017,77281561327,80777010693,84127561198,45410,48913,52055,53001,53640,59896,64765,69250,70700,71472,Greater Perth
5RWAU,267867,275248,282230,286323,291237,42,42,43,43,43,14332877399,15968316164,17541104366,18448690462,19148373887,41751,45065,47929,49297,50264,53507,58014,62152,64433,65748,Rest of WA
6GHOB,117056,116938,116024,117648,120927,43,44,44,44,44,5607014092,5805599916,5992008823,6251288106,6598857542,39971,41456,42844,44265,45427,47900,49647,51645,53136,54569,Greater Hobart
6RTAS,147788,146719,144324,145013,147752,44,45,45,45,46,6264148863,6500536526,6635064114,6894929281,7242130076,36297,37574,38744,39971,41208,42386,44306,45973,47547,49015,Rest of Tas.
7GDAR,73804,77385,81179,85095,88062,38,38,38,38,38,4211436988,4768141314,5317203919,5848235151,6268652458,50436,53961,56766,59187,60572,57062,61616,65500,68726,71185,Greater Darwin
7RNTE,30697,31131,31418,31722,32157,39,39,39,40,39,1591861175,1703067359,1796887512,1863623067,1904723178,45732,47897,49727,50717,51797,51857,54706,57193,58749,59232,Rest of NT
8ACTE,222823,229162,233510,237079,244662,40,41,41,41,41,14027709927,15021190097,15950413768,16592116858,17323010166,54513,57090,59484,60524,61482,62954,65548,68307,69986,70804,Australian Capital Territory
9OTER,929,969,1020,1071,1045,46,46,45,46,47,56964133,64985822,73478349,77072659,72426066,60222,63643,68095,69733,69841,61318,67065,72038,71963,69307,Other Territories
