gcc_code16,ns_egwws_2016,ns_egwws_ns,ns_egwws_tot,ns_const_bf_91,ns_const_91_95,ns_const_96_00,ns_const_01_05,ns_const_06_10,ns_const_11_15,ns_const_2016,ns_const_ns,ns_const_tot,ns_wst_bf_91,ns_wst_91_95,ns_wst_96_00,ns_wst_01_05,ns_wst_06_10,ns_wst_11_15,ns_wst_2016,ns_wst_ns,ns_wst_tot,ns_rett_bf_91,ns_rett_91_95,ns_rett_96_00,ns_rett_01_05,ns_rett_06_10,ns_rett_11_15,ns_rett_2016,ns_rett_ns,ns_rett_tot,ns_acfd_bf_91,ns_acfd_91_95,ns_acfd_96_00,ns_acfd_01_05,ns_acfd_06_10,ns_acfd_11_15,ns_acfd_2016,ns_acfd_ns,ns_acfd_tot,ns_tpw_bf_91,ns_tpw_91_95,ns_tpw_96_00,ns_tpw_01_05,ns_tpw_06_10,ns_tpw_11_15,ns_tpw_2016,ns_tpw_ns,ns_tpw_tot,ns_imt_bf_91,ns_imt_91_95,ns_imt_96_00,ns_imt_01_05,ns_imt_06_10,ns_imt_11_15,ns_imt_2016,ns_imt_ns,ns_imt_tot,ns_finins_bf_91,ns_finins_91_95,ns_finins_96_00,ns_finins_01_05,ns_finins_06_10,ns_finins_11_15,ns_finins_2016,ns_finins_ns,ns_finins_tot,ns_rhre_bf_91,ns_rhre_91_95,ns_rhre_96_00,ns_rhre_01_05,ns_rhre_06_10,ns_rhre_11_15,ns_rhre_2016,ns_rhre_ns,ns_rhre_tot,ns_prosts_bf_91,ns_prosts_91_95,ns_prosts_96_00,ns_prosts_01_05,ns_prosts_06_10,ns_prosts_11_15,ns_prosts_2016,ns_prosts_ns,ns_prosts_tot,ns_adsup_bf_91,ns_adsup_91_95,ns_adsup_96_00,ns_adsup_01_05,ns_adsup_06_10,ns_adsup_11_15,ns_adsup_2016,ns_adsup_ns,ns_adsup_tot,ns_pubas_bf_91,ns_pubas_91_95,ns_pubas_96_00,ns_pubas_01_05,ns_pubas_06_10,ns_pubas_11_15,ns_pubas_2016,ns_pubas_ns,ns_pubas_tot,ns_edtrn_bf_91,ns_edtrn_91_95,ns_edtrn_96_00,ns_edtrn_01_05,ns_edtrn_06_10,ns_edtrn_11_15,ns_edtrn_2016,ns_edtrn_ns,ns_edtrn_tot,ns_hc_sa_bf_91,ns_hc_sa_91_95,ns_hc_sa_96_00,ns_hc_sa_01_05,ns_hc_sa_06_10,ns_hc_sa_11_15,ns_hc_sa_2016,ns_hc_sa_ns,ns_hc_sa_tot,ns_artsr_bf_91,ns_artsr_91_95,ns_artsr_96_00,ns_artsr_01_05,ns_artsr_06_10,ns_artsr_11_15,ns_artsr_2016,ns_artsr_ns,ns_artsr_tot,ns_othsvs_bf_91,ns_othsvs_91_95,ns_othsvs_96_00,ns_othsvs_01_05,ns_othsvs_06_10,ns_othsvs_11_15,ns_othsvs_2016,ns_othsvs_ns,ns_othsvs_tot,ns_idns_bf_91,ns_idns_91_95,ns_idns_96_00,ns_idns_01_05,ns_idns_06_10,ns_idns_11_15,ns_idns_2016,ns_idns_ns,ns_idns_tot,ns_tot_bf_91,ns_tot_91_95,ns_tot_96_00,ns_tot_01_05,ns_tot_06_10,ns_tot_11_15,ns_tot_2016,ns_tot_ns,ns_tot_tot,tot_agff_bf_91,tot_agff_91_95,tot_agff_96_00,tot_agff_01_05,tot_agff_06_10,tot_agff_11_15,tot_agff_2016,tot_agff_ns,tot_agff_tot,tot_min_bf_91,tot_min_91_95,tot_min_96_00,tot_min_01_05,tot_min_06_10,tot_min_11_15,tot_min_2016,tot_min_ns,tot_min_tot,tot_mnf_bf_91,tot_mnf_91_95,tot_mnf_96_00,tot_mnf_01_05,tot_mnf_06_10,tot_mnf_11_15,tot_mnf_2016,tot_mnf_ns,tot_mnf_tot,tot_egwws_bf_91,tot_egwws_91_95,tot_egwws_96_00,tot_egwws_01_05,tot_egwws_06_10,tot_egwws_11_15,tot_egwws_2016,tot_egwws_ns,tot_egwws_tot,tot_const_bf_91,tot_const_91_95,tot_const_96_00,tot_const_01_05,tot_const_06_10,tot_const_11_15,tot_const_2016,tot_const_ns,gcc_name16
1RNSW,0,0,3,12,0,3,3,0,4,0,3,25,0,0,0,0,0,3,0,0,9,16,0,8,3,3,8,0,0,37,17,0,10,11,9,15,0,4,69,5,0,0,3,0,0,0,3,15,0,0,0,0,0,4,0,0,3,3,0,0,4,0,0,0,0,7,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,9,8,0,4,0,3,0,0,7,26,6,0,3,0,0,0,0,0,16,5,0,0,4,0,3,0,3,26,24,9,5,15,32,11,0,8,102,3,0,0,0,4,0,0,0,11,4,5,0,0,3,3,0,0,16,14,0,9,3,4,4,0,27,69,151,27,42,55,96,77,3,75,521,2337,217,334,373,735,1239,213,343,5790,865,124,141,211,352,200,3,46,1944,3506,480,631,816,1462,2093,195,364,9541,491,48,96,122,162,75,3,24,1014,3247,382,550,524,802,762,49,228,Rest of NSW
1GSYD,0,3,20,63,20,45,39,38,48,3,11,265,41,8,12,22,20,26,3,4,130,98,23,39,44,81,54,8,14,363,58,22,29,36,69,101,16,33,358,72,29,38,25,41,30,0,12,245,17,6,10,17,14,5,0,3,75,73,25,23,37,41,13,0,8,218,9,3,4,12,8,13,0,3,48,80,26,35,27,46,44,6,8,274,48,18,24,17,15,29,0,12,165,49,24,15,23,14,9,0,9,146,54,18,24,24,25,27,3,4,182,164,53,82,80,99,78,0,29,592,4,7,3,6,7,3,0,0,38,37,16,14,11,19,20,0,10,131,118,30,46,50,81,81,9,67,487,1107,354,493,507,672,642,56,231,4059,1414,350,341,292,503,472,36,95,3503,492,121,169,225,258,230,15,28,1550,24225,6716,6981,7002,9523,8476,710,1104,64737,2186,549,673,819,853,670,66,83,5892,17793,4429,6292,5861,8542,9735,805,1227,Greater Sydney
2RVIC,0,0,3,3,0,3,0,3,0,0,0,6,0,0,0,0,3,3,0,0,8,6,0,3,7,8,3,0,3,34,6,0,0,4,5,5,0,3,22,3,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,4,0,5,0,0,0,17,7,0,0,0,0,0,0,0,9,7,0,0,0,3,0,0,0,10,17,0,3,10,15,5,0,3,55,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,3,17,15,0,3,3,3,10,0,15,50,96,4,21,24,69,52,11,39,316,1784,171,370,468,924,1187,150,275,5330,143,12,31,20,47,33,0,16,287,2267,258,455,565,1162,1265,158,253,6378,391,29,52,85,156,100,0,24,840,1267,122,211,215,361,282,11,88,Rest of Vic.
2GMEL,0,0,29,52,19,14,19,37,36,0,3,180,30,12,8,11,27,18,0,5,107,79,18,24,22,58,39,3,17,254,47,13,19,29,92,70,13,17,300,49,20,19,26,54,32,3,11,219,14,4,9,0,12,13,0,0,42,26,6,13,22,27,18,0,7,122,9,4,3,5,6,4,0,0,37,48,14,15,36,27,40,3,3,188,22,12,7,10,32,28,3,15,135,36,8,11,13,18,9,0,4,98,46,15,13,20,29,21,0,9,161,119,43,43,74,117,65,0,19,474,5,0,0,4,8,5,0,0,28,25,11,10,11,24,16,8,9,106,89,30,32,35,75,86,7,68,415,806,274,259,386,698,564,51,204,3239,1332,265,335,408,813,895,68,110,4229,481,92,119,157,208,172,12,22,1267,26864,6561,5918,7563,13185,10427,703,1211,72424,2123,480,658,1080,1708,1172,77,104,7399,12722,2316,3182,3803,6735,6173,336,713,Greater Melbourne
3GBRI,0,0,9,14,3,3,11,10,4,0,6,59,9,3,3,6,12,0,0,0,36,19,3,10,12,13,23,0,7,77,4,6,4,7,21,20,5,5,71,20,4,8,3,20,12,0,10,78,0,0,0,3,0,3,0,0,8,5,6,3,6,3,0,0,0,22,3,0,3,3,0,6,0,0,14,8,3,3,3,13,12,0,0,47,7,0,3,5,11,9,0,6,43,11,0,5,8,4,4,0,3,39,18,9,3,8,10,14,0,3,57,31,17,22,24,46,31,0,6,176,0,0,0,0,0,0,0,5,13,6,0,3,3,15,3,0,5,33,21,10,3,13,31,28,3,23,131,210,74,98,130,243,212,13,87,1066,691,170,189,228,402,694,283,246,2912,828,197,307,504,871,721,32,46,3500,7660,1797,2534,3161,5698,3911,301,527,25595,1018,204,343,520,706,346,9,41,3188,6331,1271,2003,2351,3669,2707,162,415,Greater Brisbane
3RQLD,0,0,0,7,3,7,6,3,4,0,0,32,0,0,0,0,8,0,0,0,13,5,6,3,3,0,11,0,3,37,19,3,3,15,27,22,0,7,90,3,3,6,0,4,3,0,0,18,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,6,0,3,0,0,13,10,0,4,4,3,0,0,0,17,5,6,0,3,7,11,0,4,40,9,3,0,5,0,3,0,0,15,10,3,4,0,5,6,0,0,32,27,10,7,6,28,26,0,7,107,0,0,0,0,3,0,0,0,10,6,0,0,3,6,3,0,0,23,17,5,6,3,17,18,3,23,89,149,39,56,54,134,148,11,67,656,2017,246,350,467,1038,2144,590,726,7580,1746,301,451,560,1220,737,9,114,5137,3786,653,1131,1517,2932,2382,124,302,12827,596,82,141,210,335,149,7,28,1544,4848,777,1322,1577,2395,1709,105,319,Rest of Qld
4RSAU,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,8,3,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,6,19,0,7,3,24,23,0,5,83,782,76,89,124,320,539,109,111,2151,286,24,47,67,143,85,6,12,668,843,64,108,165,403,589,46,109,2333,79,3,3,8,18,6,0,0,119,404,31,43,48,98,66,0,32,Rest of SA
4GADE,0,0,3,12,0,0,0,3,3,0,0,27,3,0,0,0,0,6,0,0,14,16,3,3,0,8,10,0,0,36,9,5,3,4,10,11,3,6,43,6,0,3,0,4,0,0,3,21,0,0,0,0,0,3,0,0,7,0,4,0,0,0,0,0,0,5,4,0,0,0,0,0,0,3,6,10,0,0,0,10,8,0,0,26,10,3,3,0,12,7,0,0,34,4,0,3,0,3,0,0,0,12,9,0,3,0,8,3,0,0,24,30,9,5,11,38,12,0,5,122,0,0,0,0,0,0,0,0,3,9,0,0,7,0,3,0,4,23,14,3,0,4,11,11,3,19,65,152,28,32,50,136,88,13,45,548,918,171,131,146,391,435,34,82,2304,261,37,64,91,162,115,3,5,745,5659,865,786,1155,2609,1941,124,266,13398,715,80,128,213,380,227,11,25,1791,3397,432,503,694,1379,970,34,156,Greater Adelaide
5GPER,0,0,7,20,0,3,12,19,23,0,5,81,3,0,0,0,0,12,0,4,20,21,6,7,9,24,19,0,7,93,14,6,6,8,36,41,3,15,136,9,4,9,7,12,11,0,3,62,3,0,0,0,0,3,0,0,6,3,0,3,3,3,6,0,0,17,0,0,0,0,0,3,0,0,7,9,0,5,13,7,14,0,0,50,13,4,8,7,18,25,0,0,62,16,3,3,11,11,11,3,0,50,19,4,11,10,18,12,3,3,75,36,14,13,22,66,38,3,11,215,3,0,0,3,0,0,0,0,14,13,0,3,4,13,9,0,0,46,23,15,7,7,23,22,0,19,123,229,66,87,126,287,284,17,84,1170,861,153,132,201,427,505,111,101,2491,3154,758,1005,1480,2856,1953,67,131,11412,7275,1469,1594,2289,5647,4796,179,379,23632,1308,241,313,547,1118,723,34,60,4343,8175,1532,2119,2827,6331,6436,204,505,Greater Perth
5RWAU,0,0,7,3,0,0,4,8,6,0,0,26,0,0,0,0,3,3,0,0,3,3,0,0,0,5,0,0,0,14,3,0,3,3,7,9,3,8,28,3,0,0,0,3,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,3,3,3,0,0,13,3,3,0,0,3,0,0,0,12,0,0,0,0,3,3,0,0,8,8,3,0,4,16,10,0,3,48,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,4,7,0,0,0,3,12,3,13,37,57,11,10,30,78,62,11,32,286,1360,141,190,226,430,767,183,255,3547,3897,763,1092,1443,3312,2046,40,265,12860,1014,139,212,316,838,929,86,129,3662,296,38,40,86,208,142,3,20,839,1993,309,465,681,1486,1195,14,133,Rest of WA
