gcc_code16,p_othsvs_h_0,p_othsvs_h_1_15,p_othsvs_h_16_24,p_othsvs_h_25_34,p_othsvs_h_35_39,p_othsvs_h_40,p_othsvs_h_41_48,p_othsvs_h_49_more,p_othsvs_h_ns,p_othsvs_h_tot,p_idns_h_0,p_idns_h_1_15,p_idns_h_16_24,p_idns_h_25_34,p_idns_h_35_39,p_idns_h_40,p_idns_h_41_48,p_idns_h_49_more,p_idns_h_ns,p_idns_h_tot,p_tot_h_0,p_tot_h_1_15,p_tot_h_16_24,p_tot_h_25_34,p_tot_h_35_39,p_tot_h_40,p_tot_h_41_48,p_tot_h_49_more,p_tot_h_ns,p_tot_h_tot,gcc_name16
9OTER,5,5,11,10,11,11,4,8,3,64,12,16,8,12,24,20,4,20,37,143,168,227,177,244,591,410,319,476,75,2692,Other Territories
8ACTE,159,811,632,720,1394,1105,684,935,73,6508,184,572,373,381,863,959,368,615,1335,5660,9400,20817,17216,21210,51430,44853,23317,29131,3274,220648,Australian Capital Territory
7RNTE,57,181,154,176,458,348,117,237,68,1803,80,84,58,84,217,197,82,217,558,1584,1624,2092,1896,2756,7321,6158,3104,7840,1066,33860,Rest of NT
7GDAR,59,172,160,217,518,514,259,417,38,2352,129,202,133,184,483,522,207,692,675,3230,3120,4532,4397,5589,15030,13257,7309,17315,1567,72120,Greater Darwin
6RTAS,116,580,441,477,821,688,346,472,46,3983,201,476,271,346,575,532,225,376,868,3865,4661,14312,12074,14180,19825,15988,9346,14412,2013,106812,Rest of Tas.
6GHOB,106,519,426,514,810,644,338,418,39,3818,133,330,238,287,456,416,141,274,652,2918,4036,12833,10990,13420,21499,15748,8575,10797,1459,99359,Greater Hobart
5RWAU,329,1043,776,889,1349,1559,905,1971,139,8959,619,1045,606,716,1018,1411,666,2500,2184,10768,14558,24578,19742,23985,31821,33909,25634,80488,5392,260110,Rest of WA
5GPER,887,4638,3587,3902,6982,6557,3222,4500,325,34600,1221,4199,3040,2907,6333,7754,2884,5058,6192,39585,28950,106321,89921,93327,161127,162834,80183,113933,13567,850156,Greater Perth
4RSAU,163,765,462,638,983,946,513,767,56,5283,244,558,329,390,633,623,270,574,1181,4805,6372,18744,15222,19158,24285,21421,13529,26510,2889,148135,Rest of SA
4GADE,596,2871,2292,2815,5126,3745,2178,2565,212,22402,592,2011,1337,1659,3301,2558,1070,1784,3657,17961,19955,70962,58272,73823,124338,87703,52080,64808,8370,560314,Greater Adelaide
3RQLD,990,5151,3801,4842,7708,6970,3807,6188,447,39904,1449,4217,2933,3692,6100,6386,2596,6001,8489,41868,34323,112218,93482,126686,183316,154965,92147,177902,18887,993929,Rest of Qld
3GBRI,954,4618,3900,4643,8382,7151,3942,5279,394,39269,1162,3920,3145,3483,7790,7919,2772,5598,7963,43743,33245,110101,98511,117930,215168,193971,99981,151886,17105,1037906,Greater Brisbane
2RVIC,622,2929,2045,2412,4073,3888,1846,2746,259,20822,1021,2409,1627,1756,3088,3322,1220,2522,5045,22016,23975,76639,62259,71728,95934,92074,49555,81275,11544,564981,Rest of Vic.
2GMEL,1705,9304,7939,8068,15527,13841,6818,9262,829,73291,2640,9534,7980,7663,17992,18549,6151,10566,19024,100092,61696,235746,211657,219347,399039,414394,192240,273794,38241,2046169,Greater Melbourne
1RNSW,1050,5021,3990,4280,8024,7493,3928,6119,438,40340,1498,4036,2818,3115,5627,5773,2214,4238,8778,38091,37214,125022,108538,126216,188464,163788,86924,149363,19900,1005433,Rest of NSW
1GSYD,1712,9170,8377,7919,15534,15709,7620,10931,965,77930,2687,9821,9635,7983,18973,21850,6843,12362,21893,112047,63108,218788,227092,209086,434710,478061,206972,328605,42877,2209294,Greater Sydney
