gcc_code16,age_0_m,age_0_f,age_0_p,age_1_m,age_1_f,age_1_p,age_2_m,age_2_f,age_2_p,age_3_m,age_3_f,age_3_p,age_4_m,age_4_f,age_4_p,age_0_4_m,age_0_4_f,age_0_4_p,age_5_m,age_5_f,age_5_p,age_6_m,age_6_f,age_6_p,age_7_m,age_7_f,age_7_p,age_8_m,age_8_f,age_8_p,age_9_m,age_9_f,age_9_p,age_5_9_m,age_5_9_f,age_5_9_p,age_10_m,age_10_f,age_10_p,age_11_m,age_11_f,age_11_p,age_12_m,age_12_f,age_12_p,age_13_m,age_13_f,age_13_p,age_14_m,age_14_f,age_14_p,age_10_14_m,age_10_14_f,age_10_14_p,age_15_m,age_15_f,age_15_p,age_16_m,age_16_f,age_16_p,age_17_m,age_17_f,age_17_p,age_18_m,age_18_f,age_18_p,age_19_m,age_19_f,age_19_p,age_15_19_m,age_15_19_f,age_15_19_p,age_20_m,age_20_f,age_20_p,age_21_m,age_21_f,age_21_p,age_22_m,age_22_f,age_22_p,age_23_m,age_23_f,age_23_p,age_24_m,age_24_f,age_24_p,age_20_24_m,age_20_24_f,age_20_24_p,age_25_m,age_25_f,age_25_p,age_26_m,age_26_f,age_26_p,age_27_m,age_27_f,age_27_p,age_28_m,age_28_f,age_28_p,age_29_m,age_29_f,age_29_p,age_25_29_m,age_25_29_f,age_25_29_p,age_30_m,age_30_f,age_30_p,age_31_m,age_31_f,age_31_p,age_32_m,age_32_f,age_32_p,age_33_m,age_33_f,age_33_p,age_34_m,age_34_f,age_34_p,age_30_34_m,age_30_34_f,age_30_34_p,age_35_m,age_35_f,age_35_p,age_36_m,age_36_f,age_36_p,age_37_m,age_37_f,age_37_p,age_38_m,age_38_f,age_38_p,age_39_m,age_39_f,age_39_p,age_35_39_m,age_35_39_f,age_35_39_p,age_40_m,age_40_f,age_40_p,age_41_m,age_41_f,age_41_p,age_42_m,age_42_f,age_42_p,age_43_m,age_43_f,age_43_p,age_44_m,age_44_f,age_44_p,age_40_44_m,age_40_44_f,age_40_44_p,age_45_m,age_45_f,age_45_p,age_46_m,age_46_f,age_46_p,age_47_m,age_47_f,age_47_p,age_48_m,age_48_f,age_48_p,age_49_m,age_49_f,age_49_p,age_45_49_m,age_45_49_f,age_45_49_p,age_50_m,age_50_f,age_50_p,age_51_m,age_51_f,age_51_p,age_52_m,age_52_f,age_52_p,age_53_m,age_53_f,age_53_p,age_54_m,age_54_f,age_54_p,age_50_54_m,age_50_54_f,age_50_54_p,age_55_m,age_55_f,gcc_name16
1RNSW,14893,14045,28935,15555,14655,30206,15971,15206,31175,16692,15603,32292,16966,15789,32752,80070,75288,155360,16831,16050,32879,17130,16505,33632,17537,16489,34025,17428,16740,34164,17875,16897,34774,86792,82677,169469,17228,16389,33624,16783,15768,32547,16530,15394,31929,16327,15548,31880,16419,15736,32151,83285,78842,162124,16758,15770,32529,16624,16073,32700,16723,16172,32895,16263,15106,31366,15676,14509,30181,82041,77623,159672,15329,14606,29938,15551,14847,30391,15489,14577,30067,15012,14499,29517,15230,14443,29673,76614,72973,149585,14947,14706,29646,14896,14860,29755,14296,14666,28959,14206,14586,28793,14277,14720,28994,72617,73536,146148,14541,14941,29488,14515,14957,29471,14296,15063,29354,14497,15096,29588,14497,14987,29483,72341,75044,147386,14251,15145,29397,14133,14571,28707,13860,14603,28464,13898,14717,28609,14237,14910,29147,70384,73938,144325,14555,15413,29965,14986,15518,30508,15798,16479,32271,16370,17394,33765,17562,18346,35908,79273,83150,162419,17803,18721,36525,16512,17404,33925,16539,17547,34084,15887,16760,32642,15910,16979,32886,82652,87411,170064,16249,17037,33282,16496,17105,33608,17827,18457,36280,18304,19241,37544,18714,19439,38156,87597,91272,178869,19053,19500,Rest of NSW
1GSYD,30025,28728,58760,32242,30370,62618,31873,30482,62355,32326,30496,62825,32221,30756,62970,158690,150830,309523,32023,30298,62320,32280,30570,62854,31264,29791,61054,31600,30053,61655,31180,29540,60723,158352,150250,308603,30127,28345,58473,29196,27369,56565,28829,26998,55822,28634,27064,55699,27796,26400,54197,144579,136177,280761,28621,26995,55617,29214,27493,56707,28968,27327,56295,29704,28525,58223,31741,30410,62153,148246,140747,288992,33161,31470,64628,33678,32192,65870,33460,33298,66760,35565,35133,70694,36483,36446,72925,172342,168532,340875,37222,37653,74872,38092,38941,77038,37962,38564,76530,37578,39146,76723,37091,38894,75989,187949,193205,381150,38253,39865,78122,38474,39601,78077,39175,40162,79336,39030,40609,79633,38599,38841,77444,193532,199076,392606,38091,38199,76285,36401,36294,72690,34905,35330,70233,34151,34579,68731,33343,33827,67170,176880,178236,355116,33363,34080,67447,32984,33697,66679,33631,34432,68065,33560,35023,68583,34186,35781,69968,167724,173013,340734,34388,36594,70979,31950,33377,65323,31053,32831,63885,30383,32098,62477,29440,30270,59711,157215,165164,322379,29901,30364,60265,29387,30456,59841,30545,31522,62069,30829,31671,62499,30427,30884,61311,151092,154896,305985,29508,30800,Greater Sydney
2RVIC,8064,7572,15637,8399,8018,16419,8562,8193,16759,9051,8380,17429,8993,8532,17519,43064,40693,83756,8940,8382,17318,9147,8804,17950,9383,8809,18192,9276,8812,18091,9761,9025,18787,46509,43823,90328,9168,8779,17947,8735,8329,17071,8909,8420,17330,8803,8386,17183,8991,8583,17572,44601,42503,87104,9176,8412,17590,9052,8780,17835,9444,8879,18325,8996,8164,17163,8256,7665,15920,44924,41900,86826,8104,7650,15751,8465,7846,16309,8289,7928,16215,8173,7858,16032,8302,7884,16186,41336,39160,80503,8001,7994,15992,7922,8023,15949,7745,7771,15519,7645,7912,15564,7621,7934,15551,38940,39638,78580,7838,8147,15984,7810,8213,16017,7565,8205,15773,7755,8186,15937,7486,8211,15693,38455,40959,79411,7703,8279,15985,7336,7954,15287,7393,7833,15225,7828,8029,15860,7593,8211,15801,37853,40303,78160,7892,8337,16222,8105,8666,16776,8437,8999,17435,8637,9299,17932,9246,9816,19060,42310,45115,87425,9439,10312,19757,8846,9523,18369,9312,9817,19134,8959,9406,18358,8700,9306,18006,45261,48358,93621,8813,9610,18421,9004,9444,18446,9487,10103,19590,9736,10283,20012,9891,10625,20516,46932,50065,96993,9827,10671,Rest of Vic.
2GMEL,28233,26862,55099,29898,28171,58066,29451,27979,57436,29829,28545,58376,29466,27839,57307,146882,139399,286283,28803,27160,55962,28920,27751,56666,28146,26915,55063,28282,26803,55090,27986,26710,54693,142138,135335,277477,27203,25896,53102,26158,24789,50944,26172,24616,50787,25626,24270,49896,24924,23908,48831,130079,123487,253563,25592,24397,49994,25915,25460,51380,26383,25556,51946,28313,27325,55638,30848,30101,60948,137048,132846,269894,32313,31623,63939,33497,32388,65888,33775,32540,66320,34270,33908,68187,34539,34329,68872,168403,164798,333199,35250,35531,70778,35981,36876,72851,35126,36927,72056,36051,37439,73495,35582,36685,72268,177998,183453,361449,36104,38093,74201,36051,37896,73949,36177,37453,73636,36293,37232,73525,35472,36059,71531,180098,186733,366832,34669,34959,69632,33259,33736,66998,31811,32486,64296,30872,31317,62188,30356,30744,61103,160968,163249,324215,30274,31034,61303,29949,31133,61082,30615,32135,62744,30449,32262,62711,31231,33640,64877,152519,160201,312720,31730,34824,66555,30540,32251,62788,29581,31761,61344,29098,30705,59803,27530,29063,56594,148480,158609,307086,27651,28949,56600,26811,28357,55164,27405,29016,56421,27494,28802,56292,26876,27881,54756,136228,143012,279241,26420,27938,Greater Melbourne
3GBRI,13935,13622,27551,15090,14287,29379,15396,14402,29794,15661,14755,30419,15630,14743,30370,75701,71811,147516,15396,14816,30214,15826,15226,31052,15851,14934,30784,15799,14894,30686,15746,14804,30553,78622,74673,153301,15483,14502,29984,14746,13956,28707,14536,13910,28454,14066,13275,27339,14271,13518,27794,73100,69163,142270,14568,13762,28335,14400,13754,28149,14415,13801,28214,15354,14730,30086,15759,15813,31572,74492,71861,146356,16629,16331,32959,17021,17262,34280,17082,16821,33906,17106,17015,34116,17020,17198,34213,84854,84621,169471,16929,17247,34176,17083,17675,34762,16479,17062,33537,16364,16895,33264,16103,17016,33124,82957,85894,168858,16615,17381,33991,16572,17585,34161,16723,17537,34255,16990,17662,34648,16428,16739,33170,83327,86907,170235,16092,16543,32634,15524,16194,31714,14917,15410,30334,14803,15667,30472,14652,15614,30268,75993,79428,155425,14889,15625,30516,15077,15915,30990,15449,16270,31723,15674,16634,32312,15971,17001,32974,77070,81447,158522,16148,17316,33463,15209,16338,31550,14617,15603,30224,14333,15143,29471,14020,14852,28872,74324,79250,153580,13567,14386,27954,13452,14157,27604,14045,14743,28786,13753,14737,28488,13720,14624,28345,68537,72649,141185,13419,14159,Greater Brisbane
3RQLD,14008,13213,27225,15385,14635,30013,15722,15030,30759,15976,15018,30990,16209,15487,31693,77299,73381,150684,16287,15672,31963,16643,15986,32627,16911,16031,32943,17366,16274,33640,17395,16085,33483,84607,80052,164653,16830,16016,32848,16224,15332,31556,16091,15109,31204,15820,15086,30901,15890,14936,30828,80856,76483,157338,16416,15517,31933,16268,15316,31586,15518,14691,30212,14313,13814,28125,14009,13781,27790,76522,73117,149641,14248,13860,28110,14716,14361,29077,14902,14443,29354,15112,14925,30039,15114,15349,30465,74104,72939,147047,15312,15440,30745,15287,15525,30808,14749,15377,30125,14737,15385,30119,14957,15376,30330,75040,77098,152137,15114,15903,31012,15086,15959,31043,15093,15866,30958,15547,16412,31960,15263,15818,31087,76095,79963,156064,15112,15772,30891,14665,15393,30060,14547,15297,29840,14226,15218,29446,14783,15388,30171,73339,77064,150404,15025,15904,30933,15087,15833,30922,16230,16746,32974,16627,17521,34145,17239,18175,35408,80206,84176,164381,17794,18837,36639,16557,17311,33869,16509,17310,33821,15873,16574,32451,15681,16578,32262,82418,86611,169034,15673,16458,32130,15846,16482,32327,16765,17422,34185,16906,17671,34582,17013,17882,34896,82207,85919,168128,16999,17917,Rest of Qld
4RSAU,1878,1919,3802,2069,1991,4059,2153,2056,4209,2206,2095,4300,2283,2142,4424,10598,10198,20797,2356,2055,4412,2370,2203,4574,2463,2251,4717,2394,2243,4640,2423,2316,4730,12002,11072,23070,2322,2242,4562,2442,2236,4685,2321,2162,4482,2331,2130,4461,2286,2255,4536,11696,11025,22724,2236,2192,4430,2333,2192,4529,2303,2216,4515,2000,1816,3821,1944,1637,3579,10812,10061,20872,1878,1623,3496,2001,1640,3645,1942,1730,3670,1971,1863,3827,1985,1920,3902,9769,8772,18541,2136,1899,4033,2045,1926,3968,1995,1878,3872,1957,1891,3846,1996,1946,3943,10126,9537,19663,2144,2062,4204,2106,1950,4055,2079,2023,4097,2068,1973,4043,2062,2006,4066,10451,10010,20460,2096,2023,4120,1989,1918,3904,1983,1919,3899,2044,1971,4018,1976,1941,3914,10091,9772,19860,2150,2159,4310,2191,2046,4237,2247,2110,4360,2345,2332,4680,2488,2430,4915,11420,11074,22493,2702,2702,5409,2518,2588,5102,2654,2516,5175,2612,2423,5043,2553,2386,4946,13046,12623,25668,2588,2426,5010,2714,2520,5231,2756,2629,5385,2913,2810,5719,2912,2787,5704,13880,13172,27054,3008,2925,Rest of SA
4GADE,7360,6941,14301,7794,7353,15145,7891,7436,15321,8020,7474,15492,8091,7648,15737,39151,36842,75999,7756,7531,15283,8062,7445,15511,7840,7520,15364,7850,7653,15511,7773,7645,15419,39284,37797,77084,7693,7195,14889,7315,7022,14340,7473,7046,14517,7285,7033,14311,7473,6975,14443,37238,35272,72506,7607,7325,14933,7969,7484,15457,8123,7684,15807,8224,8011,16237,8574,8487,17063,40504,38987,79495,9106,8657,17767,9392,8894,18289,8860,8673,17533,8969,8776,17741,8865,8696,17560,45196,43695,88887,8709,8639,17345,8656,8888,17544,8659,8637,17298,8478,8911,17395,8463,8944,17402,42965,44020,86987,8725,9107,17834,8719,9187,17903,9066,9346,18412,8821,9108,17929,8576,9007,17586,43906,45753,89659,8547,8673,17217,8192,8429,16624,8077,8235,16308,7764,8086,15847,8067,8299,16369,40649,41721,82367,7973,7970,15947,8064,8236,16300,8101,8391,16496,8261,8635,16899,8808,9089,17897,41211,42320,83529,8928,9299,18227,8710,9054,17766,8483,8900,17387,8413,8872,17288,8082,8397,16480,42630,44527,87154,8292,8693,16984,8156,8613,16769,8407,8840,17248,8467,8762,17230,8206,8797,16999,41528,43703,85233,8454,8841,Greater Adelaide
5GPER,12691,11927,24620,13296,12407,25703,12946,12523,25462,13150,12386,25537,12915,12397,25309,64990,61638,126633,12993,12593,25587,13139,12342,25480,12926,12021,24943,13064,12423,25491,12969,12222,25190,65091,61605,126698,12577,11863,24438,11946,11266,23212,12101,11288,23384,11637,11342,22977,11629,10998,22629,59895,56759,116654,12031,11417,23446,12017,11639,23652,12316,11743,24057,12308,11705,24011,12860,12288,25148,61542,58780,120321,13366,12501,25871,13629,12698,26326,13424,12774,26195,13354,13147,26497,13480,13333,26811,67248,64454,131706,13913,14021,27934,14408,14560,28972,14269,14912,29183,14550,15450,29995,14630,15506,30137,71773,74442,146219,15290,15913,31199,15008,15559,30565,14956,15662,30614,15011,15346,30355,14760,14827,29588,75024,77303,152327,14136,14565,28698,13572,13930,27498,12913,13696,26607,12842,13189,26033,12483,13060,25544,65936,68444,134381,12612,13332,25938,12535,13191,25728,12533,13374,25910,12905,13539,26443,13446,14379,27827,64028,67810,131837,13726,14531,28261,12930,13566,26499,12877,13520,26394,12326,12997,25319,11997,12629,24632,63858,67245,131102,11891,12454,24346,11711,12377,24090,12026,12568,24599,11809,12597,24411,11736,12205,23949,59178,62212,121392,11286,12187,Greater Perth
5RWAU,3371,3074,6445,3598,3410,7007,3683,3469,7158,3771,3455,7230,3674,3493,7160,18095,16896,34995,3852,3459,7307,3785,3698,7485,3823,3579,7405,3819,3772,7590,3969,3794,7771,19255,18303,37560,3707,3740,7449,3615,3403,7020,3452,3172,6623,3260,3176,6433,3317,3218,6538,17359,16708,34067,3390,3105,6492,3297,3151,6448,3389,2985,6370,2857,2501,5363,2595,2259,4849,15529,13996,29525,2688,2248,4935,2832,2430,5263,2954,2549,5501,3176,2900,6075,3510,2955,6470,15157,13080,28243,3782,3193,6974,4129,3558,7683,4276,3414,7693,4458,3469,7921,4678,3711,8390,21318,17346,38662,4838,3929,8769,4618,3796,8413,4663,3738,8405,4624,3699,8320,4563,3707,8276,23313,18863,42179,4554,3534,8087,4370,3507,7874,4315,3452,7771,4204,3403,7605,4263,3319,7581,21703,17211,38915,4279,3405,7681,4267,3504,7769,4500,3607,8104,4675,3583,8262,4976,3781,8759,22699,17885,40577,4892,4031,8927,4701,3766,8463,4682,3805,8483,4502,3582,8087,4455,3516,7970,23228,18703,41931,4595,3591,8182,4514,3683,8198,4616,3720,8336,4743,3872,8615,4495,3889,8389,22963,18754,41719,4775,3966,Rest of WA
