gccsa_code16,p_noni_35_44_ptgdde_gddp_gdct,p_noni_35_44_bdl,p_noni_35_44_adip_dipl,p_noni_35_44_ct_iii_iv,p_noni_35_44_ct_i_ii,p_noni_35_44_cl_nfd,p_noni_35_44_loe_ns,p_noni_35_44_tot,p_noni_45_54_ptgdde_gddp_gdct,p_noni_45_54_bdl,p_noni_45_54_adip_dipl,p_noni_45_54_ct_iii_iv,p_noni_45_54_ct_i_ii,p_noni_45_54_cl_nfd,p_noni_45_54_loe_ns,p_noni_45_54_tot,p_noni_55_64_ptgdde_gddp_gdct,p_noni_55_64_bdl,p_noni_55_64_adip_dipl,p_noni_55_64_ct_iii_iv,p_noni_55_64_ct_i_ii,p_noni_55_64_cl_nfd,p_noni_55_64_loe_ns,p_noni_55_64_tot,p_noni_65ov_ptgdde_gddp_gdct,p_noni_65ov_bdl,p_noni_65ov_adip_dipl,p_noni_65ov_ct_iii_iv,p_noni_65ov_ct_i_ii,p_noni_65ov_cl_nfd,p_noni_65ov_loe_ns,p_noni_65ov_tot,p_noni_tot_ptgdde_gddp_gdct,p_noni_tot_bdl,p_noni_tot_adip_dipl,p_noni_tot_ct_iii_iv,p_noni_tot_ct_i_ii,p_noni_tot_cl_nfd,p_noni_tot_loe_ns,p_noni_tot_tot,p_is_ns_15_19_pgdde_gddp_gdct,p_is_ns_15_19_bdl,p_is_ns_15_19_adip_dipl,p_is_ns_15_19_ct_iii_and_iv_l,p_is_ns_15_19_ct_i_ii,p_is_ns_15_19_cl_nfd,p_is_ns_15_19_loe_ns,p_is_ns_15_19_tot,p_is_ns_20_24_pgde_gddp_gdctl,p_is_ns_20_24_bdl,p_is_ns_20_24_adip_dipl,p_is_ns_20_24_ct_iii_and_iv_l,p_is_ns_20_24_ct_i_ii,p_is_ns_20_24_cl_nfd,p_is_ns_20_24_loe_ns,p_is_ns_20_24_tot,p_is_ns_25_34_pgde_gddp_gdctl,p_is_ns_25_34_bdl,p_is_ns_25_34_adip_dipl,p_is_ns_25_34_ct_iii_and_iv_l,p_is_ns_25_34_ct_i_ii,p_is_ns_25_34_cl_nfd,p_is_ns_25_34_loe_ns,p_is_ns_25_34_tot,p_is_ns_35_44_pgde_gddp_gdctl,p_is_ns_35_44_bdl,p_is_ns_35_44_adip_dipl,p_is_ns_35_44_ct_iii_and_iv_l,p_is_ns_35_44_ct_i_ii,p_is_ns_35_44_cl_nfd,p_is_ns_35_44_loe_ns,p_is_ns_35_44_tot,p_is_ns_45_54_pgde_gddp_gdctl,p_is_ns_45_54_bdl,p_is_ns_45_54_adip_dipl,p_is_ns_45_54_ct_iii_and_iv_l,p_is_ns_45_54_ct_i_ii,p_is_ns_45_54_cl_nfd,p_is_ns_45_54_loe_ns,p_is_ns_45_54_tot,p_is_ns_55_64_pgde_gddp_gdctl,p_is_ns_55_64_bdl,p_is_ns_55_64_adip_dipl,p_is_ns_55_64_crt_iii_and_iv,p_is_ns_55_64_ct_i_ii,p_is_ns_55_64_cl_nfd,p_is_ns_55_64_loe_ns,p_is_ns_55_64_tot,p_is_ns_65ov_pgdde_gddp_gdct,p_is_ns_65ov_bdl,p_is_ns_65ov_adip_dipl,p_is_ns_65ov_crt_iii_and_iv,p_is_ns_65ov_ct_i_ii,p_is_ns_65ov_cl_nfd,p_is_ns_65ov_loe_ns,p_is_ns_65ov_tot,p_is_ns_totpdde_gddp_gdct,p_is_ns_tot_bdl,p_is_ns_tot_adip_dipl,p_is_ns_tot_ct_iii_iv,p_is_ns_tot_ct_i_ii,p_is_ns_tot_cl_nfd,p_is_ns_tot_loe_ns,p_is_ns_tot_tot,p_tot_15_19_pgde_gddp_gdctl,p_tot_15_19_bdl,p_tot_15_19_adip_dipl,p_tot_15_19_ct_iii_and_iv_l,p_tot_15_19_ct_i_ii,p_tot_15_19_cl_nfd,p_tot_15_19_loe_ns,p_tot_15_19_tot,p_tot_20_24_pgde_gddp_gdctl,p_tot_20_24_bdl,p_tot_20_24_adip_dipl,p_tot_20_24_ct_iii_and_iv_l,p_tot_20_24_ct_i_ii,p_tot_20_24_cl_nfd,p_tot_20_24_loe_ns,p_tot_20_24_tot,p_tot_25_34_pgde_gddp_gdctl,p_tot_25_34_bdl,p_tot_25_34_adip_dipl,p_tot_25_34_ct_iii_and_iv_l,p_tot_25_34_ct_i_ii,p_tot_25_34_cl_nfd,p_tot_25_34_loe_ns,p_tot_25_34_tot,p_tot_35_44_pgde_gddp_gdctl,p_tot_35_44_bdl,p_tot_35_44_adip_dipl,p_tot_35_44_ct_iii_and_iv_l,p_tot_35_44_ct_i_ii,p_tot_35_44_cl_nfd,p_tot_35_44_loe_ns,p_tot_35_44_tot,p_tot_45_54_pgde_gddp_gdctl,p_tot_45_54_bdl,p_tot_45_54_adip_dipl,p_tot_45_54_ct_iii_and_iv_l,p_tot_45_54_ct_i_ii,p_tot_45_54_cl_nfd,p_tot_45_54_loe_ns,p_tot_45_54_tot,p_tot_55_64_pgde_gddp_gdctl,p_tot_55_64_bdl,p_tot_55_64_adip_dipl,p_tot_55_64_ct_iii_and_iv_l,p_tot_55_64_ct_i_ii,p_tot_55_64_cl_nfd,p_tot_55_64_loe_ns,p_tot_55_64_tot,p_tot_65ov_ptgdde_gddp_gdct,p_tot_65ov_bdl,p_tot_65ov_adip_dipl,p_tot_65ov_ct_iii_and_iv_l,p_tot_65ov_ct_i_ii,p_tot_65ov_cl_nfd,p_tot_65ov_loe_ns,p_tot_65ov_tot,p_tot_tot_pgde_gddp_gdctl,p_tot_tot_bdl,p_tot_tot_adip_dipl,p_tot_tot_ct_iii_and_iv_l,p_tot_tot_ct_i_ii,p_tot_tot_cl_nfd,p_tot_tot_loe_ns,p_tot_tot_tot,gcc_name16
1RNSW,18744,49423,31691,70961,4748,6511,9880,191952,18458,38071,36312,78792,4973,9755,13198,199570,19830,36824,35456,70986,4570,11508,17669,196845,15081,33212,34474,72866,3553,14659,60024,233872,87437,217832,169979,404089,28801,50141,121114,1079399,3,0,4,71,27,15,8139,8258,3,62,45,224,21,22,8618,9001,46,211,134,494,46,39,17157,18126,93,265,202,591,46,65,16903,18156,85,199,249,618,55,81,20472,21760,104,195,221,592,33,88,22046,23284,93,248,263,767,29,135,36121,37659,427,1182,1115,3363,253,448,129463,136253,48,77,851,6940,2394,956,16958,28230,899,11425,7176,33488,4301,2533,14014,73832,14685,50360,25823,78841,5692,5111,28037,208548,19091,50591,33174,75087,5159,6987,28287,218373,18867,39078,37883,82407,5346,10212,35062,228847,20231,37580,36528,73450,4766,11842,40849,225242,15289,33719,35028,74398,3635,14926,97415,274407,89108,222826,176459,424613,31288,52561,260624,1257485,Rest of NSW
1GSYD,99405,179389,80550,90670,6826,13381,21294,491518,66724,120539,74016,90755,6604,16882,22700,398213,47356,83473,53400,69111,5141,16417,23541,298438,32537,65931,48245,72620,3982,19605,63057,305975,355965,747309,360796,461792,34412,80655,171784,2212721,3,10,23,77,14,11,11522,11657,37,204,130,217,20,29,18376,19012,218,585,302,397,25,69,46341,47934,214,446,291,445,28,65,34855,36345,189,339,300,517,38,112,29292,30783,163,301,239,431,33,96,24676,25940,182,410,384,723,31,159,36131,38025,998,2296,1665,2805,192,540,201197,209691,150,567,2560,7842,2139,1214,20539,35013,6721,64651,24718,37846,3846,3985,28309,170068,103657,234896,79064,97709,6494,9694,70409,601925,99931,180578,81689,92818,7002,13649,56838,532508,67210,121434,75101,92706,6754,17200,52541,432951,47722,84138,54062,70322,5231,16639,48669,326789,32830,66514,48802,73721,4038,19831,99666,345402,358231,752774,365989,472968,35504,82214,376982,2444653,Greater Sydney
2RVIC,11079,27370,17972,38687,2453,3336,6042,106941,10793,20051,19994,43060,2268,3786,7662,107617,10716,19579,19555,37228,2073,4127,9973,103245,7802,17232,20388,35094,1403,4834,31405,118164,49782,118589,97898,218430,13987,20361,67977,587017,0,6,3,48,7,4,4557,4632,8,40,43,161,20,18,4804,5108,37,116,104,285,15,21,9470,10049,48,140,116,239,20,40,9425,10022,47,106,127,312,15,42,11569,12228,66,105,120,318,19,30,12556,13207,41,154,216,479,10,56,21285,22253,244,669,731,1852,113,215,73666,77492,31,52,404,3981,1167,403,9662,15695,866,6713,4617,18880,2009,1237,7516,41830,8602,27955,15418,43391,2898,2811,15198,116274,11190,27667,18300,39451,2529,3431,15733,118303,10910,20287,20346,43849,2333,3885,19507,121121,10846,19779,19842,37811,2119,4206,22724,117330,7875,17429,20674,35689,1425,4912,52937,140942,50320,119877,99599,223051,14474,20885,143280,671490,Rest of Vic.
2GMEL,88877,164370,74672,88998,5627,10634,17885,451061,61148,105511,65875,92804,5110,12117,18784,361354,43201,70446,47862,67320,3657,10442,19622,262543,28435,55494,45792,65576,2709,11994,56974,266973,326978,673808,343781,463895,29007,58548,150963,2046979,0,11,14,55,6,3,10864,10956,40,229,164,266,29,33,16792,17559,218,692,335,496,41,74,41003,42866,239,432,306,447,31,65,31017,32526,181,344,287,565,42,74,27126,28616,148,299,262,454,19,85,22975,24233,156,416,408,858,25,121,35514,37513,994,2421,1772,3142,198,452,185291,194263,143,406,2253,8981,2136,1033,19679,34638,7149,61851,26994,40011,4056,3630,25859,169539,98457,217305,81387,102704,5987,8924,61396,576154,89295,165113,75316,90079,5721,10775,49137,485427,61496,106081,66468,93924,5172,12249,46124,391515,43449,70869,48300,68044,3690,10563,42754,287668,28628,55974,46291,66556,2738,12130,92708,305020,328619,677594,347014,470297,29489,59301,337648,2249964,Greater Melbourne
3GBRI,34764,71604,35454,56215,3115,5946,8939,216040,27672,48214,34616,53894,2577,6035,9185,182193,19006,31396,25087,42132,1896,5703,9302,134514,12266,24813,21009,38886,1461,6149,29198,133790,127596,286529,163754,290893,19957,31927,74817,995481,3,3,8,38,23,4,5935,6019,10,77,67,139,23,13,9073,9395,48,200,115,275,10,36,19313,19993,80,223,143,270,12,40,15506,16274,89,166,150,290,12,38,14758,15496,79,122,116,251,12,34,12235,12851,51,167,149,385,15,54,15992,16813,361,957,743,1641,116,224,92805,96848,56,187,2212,10109,3372,1079,10716,27741,2241,25567,12882,27844,3889,2294,13834,88553,31838,85800,33652,65962,4308,5064,29513,256134,35025,72381,36236,57888,3253,6151,24936,235871,27979,48799,35378,55251,2657,6195,24327,200591,19209,31749,25522,42929,1952,5814,21796,148977,12372,25062,21274,39490,1483,6234,45485,151404,128726,289552,167153,299466,20924,32842,170613,1109268,Greater Brisbane
3RQLD,16738,47408,32675,70737,3640,6347,9085,186634,16163,35491,35318,71543,3204,7188,11051,179953,13517,27643,28878,60351,2610,7007,12797,152797,9583,24116,25438,55773,1907,8202,39706,164733,70584,198166,157234,369962,23416,36771,90023,946152,0,3,12,82,26,12,8463,8595,10,61,44,185,17,23,10858,11203,39,174,104,390,23,31,23126,23890,58,206,177,413,23,42,21352,22274,53,159,216,467,23,61,23245,24235,71,139,177,441,11,45,21346,22236,52,182,227,590,12,83,29018,30157,285,926,966,2563,142,298,137404,142586,42,160,1622,10318,3964,1157,15852,33117,1299,13342,7848,31293,4488,2310,15712,76295,13500,51027,26828,77631,5226,5287,32911,212410,17056,48290,34016,74415,4071,6755,31937,216546,16511,36275,36698,74493,3484,7547,35483,210481,13768,28169,29754,62057,2767,7218,35037,178773,9706,24470,25916,56824,1970,8338,69537,196763,71875,201725,162678,387034,25981,38621,236464,1124382,Rest of Qld
4RSAU,1278,4840,3438,10128,965,1154,1804,23601,1384,3605,4568,11282,728,1272,2146,24978,1671,3721,4890,10251,595,1280,2572,24986,1285,3573,4603,10121,449,1443,8171,29641,6767,21831,20599,57714,5011,6405,18217,136550,0,0,0,3,5,0,989,1005,0,7,9,37,3,3,1013,1067,8,27,22,75,5,8,2150,2298,7,35,23,91,6,12,2232,2401,9,27,46,107,6,5,2961,3157,10,29,38,110,3,12,3232,3435,8,40,44,128,3,11,4965,5197,44,164,179,557,33,50,17533,18566,0,12,69,1110,407,154,2495,4257,105,1081,595,4455,765,349,1900,9254,1067,5085,2545,11143,1268,852,4159,26117,1300,4909,3554,10532,1026,1201,4328,26842,1416,3678,4728,11675,766,1327,5440,29030,1696,3793,5006,10508,616,1317,5992,28921,1297,3628,4690,10311,464,1458,13287,35135,6882,22186,21190,59736,5316,6656,37592,159554,Rest of SA
4GADE,17416,37017,18274,30013,2477,3492,4651,113327,13595,25090,20226,32418,1947,3917,5364,102563,11441,20140,17351,26028,1453,3813,5778,86008,8742,17975,16188,27568,1060,4887,19273,95696,68686,156642,92554,168135,13829,20139,44309,564293,0,0,4,26,11,3,2579,2621,6,56,22,76,15,10,3542,3726,38,154,64,162,21,13,7699,8153,57,130,72,164,18,32,6602,7073,45,95,82,197,10,16,6956,7406,39,82,88,185,11,24,6601,7027,30,138,122,328,6,31,10629,11292,220,653,464,1140,85,133,44611,47302,15,82,320,3720,1292,452,5272,11159,1047,12164,4341,14193,2412,1079,5771,41001,16535,44628,16145,35723,3472,2646,12574,131717,17528,37311,18538,30588,2550,3565,11458,121543,13719,25331,20501,32903,2002,3971,12454,110892,11530,20312,17562,26400,1481,3868,12489,93644,8786,18154,16360,27976,1080,4926,30028,107315,69163,157982,93765,171499,14287,20520,90053,617270,Greater Adelaide
5GPER,28234,62400,30501,47662,2867,5796,8622,186080,21915,42879,29618,47767,2392,6267,8874,159708,15082,28579,23453,36571,1772,5498,9080,120031,9842,23214,21741,34698,1392,6479,28918,126288,102766,255604,145090,251674,17605,30664,71525,874924,0,4,8,40,17,4,4774,4845,5,68,33,99,14,9,7436,7680,44,171,80,228,15,19,19748,20318,54,157,95,225,14,18,14829,15388,56,146,127,256,7,35,13409,14045,48,116,113,246,16,25,11194,11761,50,157,133,372,10,62,14858,15638,263,825,595,1466,98,176,86248,89664,31,137,1307,5685,2881,608,8644,19297,1716,20641,8872,22981,2897,1678,11400,70182,26059,78365,30073,58517,3907,4522,29510,230955,28378,62782,30818,48483,2962,5887,24047,203347,22072,43247,30018,48498,2446,6369,22641,175294,15207,28855,23721,37072,1806,5562,20467,132687,9929,23433,21942,35165,1413,6552,44004,142428,103398,257460,146738,256410,18307,31179,160707,974194,Greater Perth
5RWAU,2922,9306,5963,16559,1018,1606,2283,39650,2467,6724,6489,16113,838,1650,2671,36943,2217,5270,6008,12684,646,1666,2995,31477,1395,4159,4955,9402,404,1571,7469,29355,11446,36230,29485,80358,6124,8206,19796,191635,0,0,3,18,7,0,2000,2030,0,6,3,51,7,0,2221,2288,8,51,32,128,5,16,7174,7408,12,52,47,127,4,6,6517,6766,17,40,57,160,3,13,6768,7050,10,17,42,118,8,13,5913,6118,7,29,43,118,3,19,6422,6631,57,196,223,721,33,64,37009,38298,5,19,155,1747,1089,205,4120,7340,156,1493,1060,6615,1133,498,3602,14554,2319,9439,5073,19177,1595,1237,10530,49371,2971,9486,6230,17498,1179,1733,9742,48832,2532,6939,6747,16913,939,1745,10132,45940,2263,5411,6211,13134,704,1736,9342,38800,1421,4226,5055,9614,420,1602,14314,36654,11667,37007,30524,84691,7059,8757,61782,241489,Rest of WA
