yr,land_area_ha,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,gcc_code16,gcc_name16,ogc_fid
2015,,161194.0,11.7,98686.0,7.2,5GPER,Greater Perth,42
2016,,180723.0,12.1,104858.0,6.3,5GPER,Greater Perth,43
2017,,207229.0,14.7,110294.0,5.2,5GPER,Greater Perth,44
2018,641622.2,,,,,5GPER,Greater Perth,45
2014,,30806.0,,34575.0,,5RWAU,Rest of WA,46
2015,,34749.0,12.8,36312.0,5.0,5RWAU,Rest of WA,47
2016,,39398.0,13.4,37903.0,4.4,5RWAU,Rest of WA,48
2017,,44287.0,12.4,39438.0,4.0,5RWAU,Rest of WA,49
2018,252023010.0,,,,,5RWAU,Rest of WA,50
2014,,10260.0,,2893.0,,6GHOB,Greater Hobart,51
2015,,10857.0,5.8,2983.0,3.1,6GHOB,Greater Hobart,52
2016,,11659.0,7.4,3042.0,2.0,6GHOB,Greater Hobart,53
2017,,12465.0,6.9,3118.0,2.5,6GHOB,Greater Hobart,54
2018,169535.9,,,,,6GHOB,Greater Hobart,55
2014,,13981.0,,3485.0,,6RTAS,Rest of Tas.,56
2015,,15398.0,10.1,3679.0,5.6,6RTAS,Rest of Tas.,57
2016,,17083.0,10.9,3839.0,4.3,6RTAS,Rest of Tas.,58
2017,,18671.0,9.3,3977.0,3.6,6RTAS,Rest of Tas.,59
2018,6632250.0,,,,,6RTAS,Rest of Tas.,60
2014,,2303.0,,9711.0,,7GDAR,Greater Darwin,61
2015,,2992.0,29.9,10487.0,8.0,7GDAR,Greater Darwin,62
2016,,4192.0,40.1,11138.0,6.2,7GDAR,Greater Darwin,63
2017,,5680.0,35.5,11834.0,6.2,7GDAR,Greater Darwin,64
2018,316390.6,,,,,7GDAR,Greater Darwin,65
2014,,1611.0,,3801.0,,7RNTE,Rest of NT,66
2015,,2105.0,30.7,3954.0,4.0,7RNTE,Rest of NT,67
2016,,2632.0,25.0,4163.0,5.3,7RNTE,Rest of NT,68
2017,,3091.0,17.4,4323.0,3.8,7RNTE,Rest of NT,69
2018,134493040.0,,,,,7RNTE,Rest of NT,70
2014,,15475.0,,7836.0,,8ACTE,Australian Capital Territory,71
2015,,16539.0,6.9,8350.0,6.6,8ACTE,Australian Capital Territory,72
2016,,17533.0,6.0,8783.0,5.2,8ACTE,Australian Capital Territory,73
2017,,19478.0,11.1,9121.0,3.8,8ACTE,Australian Capital Territory,74
2018,235817.2,,,,,8ACTE,Australian Capital Territory,75
2014,,626.0,,173.0,,9OTER,Other Territories,76
2015,,635.0,1.4,189.0,9.2,9OTER,Other Territories,77
2016,,646.0,1.7,210.0,11.1,9OTER,Other Territories,78
2017,,651.0,0.8,228.0,8.6,9OTER,Other Territories,79
2018,25631.6,,,,,9OTER,Other Territories,80
