gcc_code16,uie_idns_omoe_nil_em,uie_idns_omoe_1_19_em,uie_idns_omoe_20more_em,uie_idns_omoe_ne_ns,uie_idns_tot,uie_tot_omoe_nil_em,uie_tot_omoe_1_19_em,uie_tot_omoe_20more_em,uie_tot_omoe_ne_ns,uie_tot_tot,gcc_name16
9OTER,7,0,0,0,8,159,96,0,9,272,Other Territories
8ACTE,280,43,5,4,334,5910,1547,194,63,7719,Australian Capital Territory
7RNTE,50,6,0,3,65,848,263,14,40,1171,Rest of NT
7GDAR,108,30,0,5,147,2241,678,42,55,3025,Greater Darwin
6RTAS,232,54,0,12,300,6196,2818,100,180,9298,Rest of Tas.
6GHOB,213,58,3,8,288,5165,1723,133,68,7088,Greater Hobart
5RWAU,562,197,10,33,799,12319,6863,165,404,19759,Rest of WA
5GPER,2541,554,33,69,3199,41761,12505,1004,500,55775,Greater Perth
4RSAU,360,117,0,15,490,10123,5660,141,350,16276,Rest of SA
4GADE,1338,228,7,46,1625,27982,8021,615,444,37067,Greater Adelaide
3RQLD,3085,706,18,81,3885,56109,19703,687,1187,77688,Rest of Qld
3GBRI,2472,429,25,56,2987,44629,11884,1066,583,58164,Greater Brisbane
2RVIC,1611,346,10,78,2043,35308,13934,419,1068,50732,Rest of Vic.
2GMEL,5425,887,50,139,6500,94021,22531,2077,1306,119940,Greater Melbourne
1RNSW,2659,602,22,120,3406,63033,26191,815,1777,91812,Rest of NSW
1GSYD,5675,899,51,135,6755,102060,26673,2499,1251,132483,Greater Sydney
