gcc_code16,mng_nni_a_15_19,mng_nni_a_20_24,mng_nni_a_25_34,mng_nni_a_35_44,mng_nni_a_45_54,mng_nni_a_55_64,mng_nni_a_65_74,mng_nni_a_75ov,mng_nni_tot,mng_1_149_a_15_19,mng_1_149_a_20_24,mng_1_149_a_25_34,mng_1_149_a_35_44,mng_1_149_a_45_54,mng_1_149_a_55_64,mng_1_149_a_65_74,mng_1_149_a_75ov,mng_1_149_tot,mng_150_299_a_15_19,mng_150_299_a_20_24,mng_150_299_a_25_34,mng_150_299_a_35_44,mng_150_299_a_45_54,mng_150_299_a_55_64,mng_150_299_a_65_74,mng_150_299_a_75ov,mng_150_299_tot,mng_300_399_a_15_19,mng_300_399_a_20_24,mng_300_399_a_25_34,mng_300_399_a_35_44,mng_300_399_a_45_54,mng_300_399_a_55_64,mng_300_399_a_65_74,mng_300_399_a_75ov,mng_300_399_tot,mng_400_499_a_15_19,mng_400_499_a_20_24,mng_400_499_a_25_34,mng_400_499_a_35_44,mng_400_499_a_45_54,mng_400_499_a_55_64,mng_400_499_a_65_74,mng_400_499_a_75ov,mng_400_499_tot,mng_500_649_a_15_19,mng_500_649_a_20_24,mng_500_649_a_25_34,mng_500_649_a_35_44,mng_500_649_a_45_54,mng_500_649_a_55_64,mng_500_649_a_65_74,mng_500_649_a_75ov,mng_500_649_tot,mng_650_799_a_15_19,mng_650_799_a_20_24,mng_650_799_a_25_34,mng_650_799_a_35_44,mng_650_799_a_45_54,mng_650_799_a_55_64,mng_650_799_a_65_74,mng_650_799_a_75ov,mng_650_799_tot,mng_800_999_a_15_19,mng_800_999_a_20_24,mng_800_999_a_25_34,mng_800_999_a_35_44,mng_800_999_a_45_54,mng_800_999_a_55_64,mng_800_999_a_65_74,mng_800_999_a_75ov,mng_800_999_tot,mng_1000_1249_a_15_19,mng_1000_1249_a_20_24,mng_1000_1249_a_25_34,mng_1000_1249_a_35_44,mng_1000_1249_a_45_54,mng_1000_1249_a_55_64,mng_1000_1249_a_65_74,mng_1000_1249_a_75ov,mng_1000_1249_tot,mng_1250_1499_a_15_19,mng_1250_1499_a_20_24,mng_1250_1499_a_25_34,mng_1250_1499_a_35_44,mng_1250_1499_a_45_54,mng_1250_1499_a_55_64,mng_1250_1499_a_65_74,mng_1250_1499_a_75ov,mng_1250_1499_tot,mng_1500_1749_a_15_19,mng_1500_1749_a_20_24,mng_1500_1749_a_25_34,mng_1500_1749_a_35_44,mng_1500_1749_a_45_54,mng_1500_1749_a_55_64,mng_1500_1749_a_65_74,mng_1500_1749_a_75ov,mng_1500_1749_tot,mng_1750_1999_a_15_19,mng_1750_1999_a_20_24,mng_1750_1999_a_25_34,mng_1750_1999_a_35_44,mng_1750_1999_a_45_54,mng_1750_1999_a_55_64,mng_1750_1999_a_65_74,mng_1750_1999_a_75ov,mng_1750_1999_tot,mng_2000_2999_a_15_19,mng_2000_2999_a_20_24,mng_2000_2999_a_25_34,mng_2000_2999_a_35_44,mng_2000_2999_a_45_54,mng_2000_2999_a_55_64,mng_2000_2999_a_65_74,mng_2000_2999_a_75ov,mng_2000_2999_tot,mng_3000mo_a_15_19,mng_3000mo_a_20_24,mng_3000mo_a_25_34,mng_3000mo_a_35_44,mng_3000mo_a_45_54,mng_3000mo_a_55_64,mng_3000mo_a_65_74,mng_3000mo_a_75ov,mng_3000mo_tot,mng_pins_a_15_19,mng_pins_a_20_24,mng_pins_a_25_34,mng_pins_a_35_44,mng_pins_a_45_54,mng_pins_a_55_64,mng_pins_a_65_74,mng_pins_a_75ov,mng_pins_tot,mng_tot_a_15_19,mng_tot_a_20_24,mng_tot_a_25_34,mng_tot_a_35_44,mng_tot_a_45_54,mng_tot_a_55_64,mng_tot_a_65_74,mng_tot_a_75ov,mng_tot_tot,pro_nni_a_15_19,pro_nni_a_20_24,pro_nni_a_25_34,pro_nni_a_35_44,pro_nni_a_45_54,pro_nni_a_55_64,pro_nni_a_65_74,pro_nni_a_75ov,pro_nni_tot,pro_1_149_a_15_19,pro_1_149_a_20_24,pro_1_149_a_25_34,pro_1_149_a_35_44,pro_1_149_a_45_54,pro_1_149_a_55_64,pro_1_149_a_65_74,pro_1_149_a_75ov,pro_1_149_tot,pro_150_299_a_15_19,pro_150_299_a_20_24,pro_150_299_a_25_34,pro_150_299_a_35_44,pro_150_299_a_45_54,pro_150_299_a_55_64,pro_150_299_a_65_74,pro_150_299_a_75ov,pro_150_299_tot,pro_300_399_a_15_19,pro_300_399_a_20_24,pro_300_399_a_25_34,pro_300_399_a_35_44,pro_300_399_a_45_54,pro_300_399_a_55_64,pro_300_399_a_65_74,pro_300_399_a_75ov,pro_300_399_tot,pro_400_499_a_15_19,pro_400_499_a_20_24,pro_400_499_a_25_34,pro_400_499_a_35_44,pro_400_499_a_45_54,pro_400_499_a_55_64,pro_400_499_a_65_74,pro_400_499_a_75ov,pro_400_499_tot,pro_500_649_a_15_19,pro_500_649_a_20_24,pro_500_649_a_25_34,pro_500_649_a_35_44,pro_500_649_a_45_54,pro_500_649_a_55_64,pro_500_649_a_65_74,pro_500_649_a_75ov,pro_500_649_tot,pro_650_799_a_15_19,pro_650_799_a_20_24,gcc_name16
1RNSW,46,46,224,476,768,938,508,100,3104,190,44,159,257,389,463,311,97,1907,88,125,300,474,740,954,697,280,3661,102,151,366,611,919,1217,991,406,4753,141,237,504,780,1155,1410,1053,381,5648,190,518,975,1382,1890,2103,1499,551,9101,141,916,1879,2005,2547,2387,1232,384,11497,96,1073,3016,3044,3375,2882,1266,392,15143,24,658,3478,3797,4167,3473,1357,371,17327,12,221,2115,3059,3251,2478,860,214,12207,7,106,1770,2987,3409,2376,667,159,11480,3,37,983,2220,2495,1902,498,110,8247,4,28,1641,4643,5529,3843,730,186,16596,3,27,560,2287,3330,2563,775,229,9770,24,77,234,389,532,580,385,217,2435,1071,4252,18197,28408,34500,29555,12824,4062,132882,22,26,87,147,134,121,33,10,583,369,279,293,358,243,225,71,14,1858,174,390,598,658,536,563,192,36,3151,117,371,714,838,668,795,350,71,3926,109,417,974,1101,924,1002,458,106,5095,126,686,1969,2102,1855,1735,783,130,9378,103,999,Rest of NSW
1GSYD,33,82,456,577,586,291,124,37,2183,254,138,221,272,268,185,88,17,1433,208,302,414,540,494,403,182,46,2591,151,436,691,780,815,627,310,73,3877,131,559,886,936,1007,810,341,83,4752,223,863,1843,1861,1898,1486,627,122,8920,187,1670,3423,2915,2774,1909,677,111,13667,149,2568,7252,4933,4295,2687,863,113,22861,47,2217,11103,7608,6097,3828,1068,124,32098,20,883,8613,7581,6019,3535,947,94,27694,11,462,8082,9101,7036,4150,881,97,29827,5,169,5982,8270,6540,3578,746,74,25370,5,132,12139,23270,18118,9682,1615,170,65130,8,46,5276,23332,24010,11170,2164,365,66375,32,141,686,929,985,530,180,64,3547,1472,10675,67056,92902,80949,44874,10803,1595,310321,89,173,497,580,444,282,94,19,2179,1604,1530,883,924,638,423,166,35,6209,784,2121,1573,1549,1063,860,394,95,8431,348,1656,2078,1922,1371,1191,581,155,9296,227,1659,2642,2145,1739,1363,784,170,10724,223,2268,5222,4175,3101,2593,1183,250,19006,242,3611,Greater Sydney
2RVIC,39,34,165,424,654,775,350,87,2529,150,42,112,233,319,395,249,82,1580,83,99,179,400,540,721,577,184,2785,73,126,295,514,701,958,717,299,3677,78,167,358,642,924,1036,804,281,4298,119,334,693,973,1320,1550,1091,388,6477,96,586,1193,1326,1676,1684,916,295,7770,48,677,1937,1962,2212,2008,886,268,9989,17,418,2219,2337,2617,2161,785,197,10756,0,143,1357,1838,2013,1525,545,126,7545,0,56,1006,1842,2046,1496,391,109,6946,3,10,648,1371,1505,1102,297,68,4995,3,24,770,2411,2829,2020,400,106,8558,0,29,258,1026,1638,1285,441,121,4795,26,51,150,258,398,404,309,130,1721,736,2802,11347,17559,21388,19117,8741,2740,84419,11,8,59,90,77,76,16,4,347,149,108,193,225,130,153,46,3,1017,69,187,419,467,311,346,127,9,1938,53,167,437,561,413,476,203,39,2351,40,185,551,701,529,567,288,43,2919,34,314,1128,1346,1047,1047,422,62,5401,34,568,Rest of Vic.
2GMEL,31,72,435,692,693,421,149,40,2541,294,207,251,375,327,220,83,30,1790,182,430,480,664,663,463,212,48,3152,131,474,782,951,1051,700,333,75,4488,124,595,977,1094,1143,872,415,83,5300,132,939,2033,2096,2167,1527,634,140,9667,100,1577,3756,3132,3019,1964,708,122,14383,101,2241,7723,5001,4670,2877,804,117,23538,29,1457,10169,7562,6513,3982,1032,124,30866,11,496,7517,7456,6183,3569,852,99,26183,3,217,6637,8584,7332,4169,891,112,27948,3,75,4675,7533,6384,3573,637,100,22984,4,73,8446,18987,16300,8593,1403,143,53957,6,39,3171,15774,17506,8203,1703,273,46667,15,150,662,921,1058,614,219,59,3697,1166,9051,57717,80819,75013,41746,10083,1566,277160,68,142,552,578,389,278,91,10,2111,1079,1347,981,1056,682,459,164,35,5802,393,1702,1939,1961,1277,931,386,52,8651,146,1360,2139,2189,1492,1152,562,98,9139,96,1272,2807,2481,1912,1527,804,156,11050,86,1812,5417,4804,3337,2459,1207,206,19323,83,2747,Greater Melbourne
3GBRI,28,29,159,248,315,231,85,25,1119,157,66,109,152,146,126,66,12,833,102,153,215,274,257,226,138,31,1397,114,216,310,364,399,353,196,44,1995,104,253,367,436,464,445,230,39,2345,112,457,802,803,884,707,347,77,4186,129,992,1773,1359,1280,847,324,48,6765,98,1520,3605,2381,2156,1380,429,43,11615,16,908,4680,3804,3268,1981,503,53,15215,10,328,3231,3461,3039,1769,388,55,12278,3,144,2884,4052,3772,2149,425,42,13470,3,42,1922,3495,3224,1754,286,29,10765,0,43,3356,8507,8524,4184,580,56,25254,3,19,1227,6095,7264,3459,680,110,18857,16,60,225,323,351,251,103,22,1357,895,5238,24875,35749,35346,19867,4788,685,127449,30,69,205,245,169,126,47,9,900,574,570,368,412,276,172,79,6,2464,323,769,681,708,479,374,137,15,3483,121,675,840,832,616,519,272,36,3913,107,615,1076,948,704,596,332,57,4429,103,956,2169,1882,1361,1054,537,91,8149,87,1501,Greater Brisbane
3RQLD,45,45,242,527,904,882,452,105,3200,174,57,149,285,377,339,225,76,1684,92,107,289,468,621,729,489,167,2952,111,147,403,585,871,932,621,234,3911,100,218,497,614,903,1012,647,236,4233,154,484,1007,1264,1547,1549,997,326,7326,150,1059,2074,1902,2121,1862,855,214,10229,87,1234,3566,2978,3333,2448,854,214,14707,32,712,3983,4070,4082,2998,955,179,17013,11,249,2351,3166,3359,2189,626,151,12108,3,123,1847,3166,3483,2199,569,110,11502,4,34,1103,2239,2473,1615,397,83,7949,0,34,1726,4286,5031,2993,597,116,14788,5,16,697,2509,3312,2202,669,164,9579,23,60,251,393,570,520,366,166,2343,982,4584,20185,28456,32985,24480,9331,2535,123531,22,21,143,179,175,139,40,8,727,357,199,269,347,255,222,64,7,1730,155,351,562,630,430,435,159,20,2731,98,292,586,719,583,589,278,50,3206,107,307,749,884,752,729,381,82,3990,132,598,1627,1762,1376,1283,587,74,7443,80,1056,Rest of Qld
4RSAU,9,20,44,137,217,210,115,20,777,36,14,43,73,100,117,62,19,461,15,23,80,138,200,247,174,50,928,24,36,86,144,265,303,216,50,1126,16,34,123,200,300,329,265,99,1371,25,80,244,360,495,518,366,104,2194,22,153,340,463,591,605,348,104,2615,4,149,542,647,743,683,313,93,3175,7,113,577,780,917,828,292,78,3589,0,30,344,499,694,551,201,40,2365,3,21,240,472,593,528,127,34,2022,0,6,149,301,434,343,115,14,1350,0,9,185,532,692,550,148,37,2147,3,4,68,253,409,352,156,49,1296,6,10,47,78,142,141,80,37,532,181,683,3098,5068,6792,6304,2986,842,25947,0,3,8,15,26,15,7,0,67,25,4,28,32,31,28,15,4,161,17,32,67,77,72,67,28,3,365,10,25,74,69,62,97,41,5,389,19,29,97,117,85,107,56,22,530,8,63,180,198,170,178,89,9,890,9,124,Rest of SA
4GADE,3,19,87,151,180,134,50,9,635,92,34,53,81,90,66,39,12,469,55,81,149,170,193,179,101,20,947,43,105,159,254,288,227,110,31,1219,31,141,259,275,375,302,180,40,1606,37,250,515,542,652,482,247,44,2769,28,475,1020,909,844,625,251,42,4196,33,634,1984,1413,1430,983,304,50,6829,12,354,2408,2040,2059,1307,332,38,8548,3,96,1595,1819,1876,1173,266,32,6851,0,47,1204,2065,2117,1332,255,33,7054,0,12,778,1726,1746,1093,180,23,5555,0,24,1061,3438,4040,2442,377,42,11426,0,9,322,1782,2676,1606,362,54,6809,3,35,123,141,178,116,38,16,649,346,2319,11713,16800,18745,12058,3088,480,65560,9,21,96,100,91,57,24,0,395,237,257,216,214,167,145,49,11,1294,83,350,398,392,306,328,113,18,1983,40,261,477,489,323,343,184,23,2145,22,268,634,593,451,467,231,42,2712,40,410,1285,1144,840,781,357,72,4926,13,634,Greater Adelaide
5GPER,10,24,152,226,302,205,57,13,1004,116,73,119,138,117,101,46,10,724,93,134,167,193,168,171,74,16,1026,51,164,258,278,284,220,104,29,1393,60,176,326,337,362,281,165,33,1732,65,306,652,614,684,498,239,54,3113,69,646,1194,904,890,679,251,48,4680,49,974,2480,1616,1461,1051,325,41,7983,22,687,3505,2431,2232,1453,402,60,10791,0,260,2576,2365,2251,1435,353,47,9287,0,119,2223,2838,2763,1715,384,34,10084,0,50,1635,2392,2317,1474,283,29,8186,0,42,3027,6581,6959,4138,654,52,21458,3,11,1305,5623,7229,3874,782,108,18936,10,49,176,240,332,153,72,13,1046,559,3709,19796,26777,28348,17453,4199,596,101440,18,38,192,220,154,96,23,6,752,431,382,369,440,222,188,65,14,2113,195,511,654,674,455,344,152,19,3004,73,422,718,723,525,417,202,38,3130,47,385,857,973,626,547,287,68,3788,61,572,1634,1581,1106,923,501,76,6459,31,846,Greater Perth
5RWAU,24,8,83,129,252,266,121,32,915,35,9,46,88,110,106,85,27,502,23,33,81,132,185,222,146,58,887,23,28,77,170,215,263,221,70,1069,14,33,123,196,266,314,249,90,1281,33,98,270,337,412,539,344,124,2154,31,142,386,406,517,517,320,91,2407,20,203,645,640,783,643,315,83,3324,13,168,808,847,1011,897,367,74,4193,3,71,533,779,886,683,252,57,3259,0,47,472,747,903,734,211,50,3164,0,15,337,577,699,502,150,37,2320,0,22,579,1268,1539,1108,263,56,4835,3,6,467,1222,1439,936,273,50,4398,0,13,54,121,149,200,130,37,715,221,900,4972,7663,9365,7927,3451,926,35425,0,7,30,36,29,21,3,0,126,41,13,78,68,55,37,25,0,305,20,33,142,167,97,88,25,4,580,12,26,119,178,117,107,50,15,629,18,44,154,192,123,163,83,14,785,17,72,259,327,246,220,114,19,1273,15,110,Rest of WA
