gcc_code16,onemeth_train_m,onemeth_train_f,onemeth_train_p,onemeth_bus_m,onemeth_bus_f,onemeth_bus_p,onemeth_ferry_m,onemeth_ferry_f,onemeth_ferry_p,onemeth_tram_inc_lt_rail_m,onemeth_tram_inc_lt_rail_f,onemeth_tram_inc_lt_rail_p,onemeth_taxi_m,onemeth_taxi_f,onemeth_taxi_p,onemeth_car_as_driver_m,onemeth_car_as_driver_f,onemeth_car_as_driver_p,onemeth_car_as_passenger_m,onemeth_car_as_passenger_f,onemeth_car_as_passenger_p,onemeth_truck_m,onemeth_truck_f,onemeth_truck_p,onemeth_motorbike_scooter_m,onemeth_motorbike_scooter_f,onemeth_motorbike_scooter_p,onemeth_bicycle_m,onemeth_bicycle_f,onemeth_bicycle_p,onemeth_other_m,onemeth_other_f,onemeth_other_p,onemeth_walked_only_m,onemeth_walked_only_f,onemeth_walked_only_p,onemeth_tot_onemeth_m,onemeth_tot_onemeth_f,onemeth_tot_onemeth_p,twometh_train_bus_m,twometh_train_bus_f,twometh_train_bus_p,twometh_train_ferry_m,twometh_train_ferry_f,twometh_train_ferry_p,twometh_trn_trm_inc_lt_rl_m,twometh_trn_trm_inc_lt_rl_f,twometh_trn_trm_inc_lt_rl_p,twometh_train_car_as_drvr_m,twometh_train_car_as_drvr_f,twometh_train_car_as_drvr_p,twometh_trn_car_as_pass_m,twometh_trn_car_as_pass_f,twometh_trn_car_as_pass_p,twometh_train_other_m,twometh_train_other_f,twometh_train_other_p,twometh_train_tot_m,twometh_train_tot_f,twometh_train_tot_p,twometh_bus_ferry_m,twometh_bus_ferry_f,twometh_bus_ferry_p,twometh_bus_trm_inc_lt_rl_m,twometh_bus_trm_inc_lt_rl_f,twometh_bus_trm_inc_lt_rl_p,twometh_bus_car_as_driver_m,twometh_bus_car_as_driver_f,twometh_bus_car_as_driver_p,twometh_bus_car_as_pass_m,twometh_bus_car_as_pass_f,twometh_bus_car_as_pass_p,twometh_bus_other_m,twometh_bus_other_f,twometh_bus_other_p,twometh_bus_tot_m,twometh_bus_tot_f,twometh_bus_tot_p,twometh_other_twometh_m,twometh_other_twometh_f,twometh_other_twometh_p,twometh_tot_twometh_m,twometh_tot_twometh_f,twometh_tot_twometh_p,threemeth_trn_2_othr_mthd_m,threemeth_trn_2_othr_mthd_f,threemeth_trn_2_othr_mthd_p,thremth_bu_2_ot_met_exc_tra_m,thremth_bu_2_ot_met_exc_tra_f,thremth_bu_2_ot_met_exc_tra_p,threemeth_oth_threemeth_m,threemeth_oth_threemeth_f,threemeth_oth_threemeth_p,threemeth_tot_threemeth_m,threemeth_tot_threemeth_f,threemeth_tot_threemeth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,meth_travel_to_work_ns_m,meth_travel_to_work_ns_f,meth_travel_to_work_ns_p,tot_m,tot_f,tot_p,gcc_name16
1RNSW,3149,2287,5429,3684,4059,7746,185,96,280,55,39,99,642,684,1323,401634,355719,757351,26318,29287,55599,12972,434,13405,5583,672,6255,5271,1575,6846,4859,2293,7148,20336,18955,39296,484685,416082,900768,426,362,789,6,3,5,19,3,28,1357,807,2167,188,228,414,197,42,238,2198,1453,3645,23,16,41,3,4,8,280,299,580,243,393,640,107,82,190,660,795,1455,4540,2165,6705,7389,4412,11799,403,331,734,93,86,178,305,90,394,797,512,1307,29471,34862,64331,46470,72076,118550,6841,6137,12979,575663,534081,1109740,Rest of NSW
1GSYD,129180,118543,247725,57396,67835,125224,4405,3118,7526,1267,1298,2566,3350,1998,5347,680399,516147,1196550,35821,53106,88926,19176,313,19491,13191,1708,14896,12859,3612,16475,7625,4021,11643,44466,47187,91655,1009137,818886,1828023,29111,30288,59405,879,735,1619,776,696,1469,18284,13799,32082,3329,6173,9500,2218,1021,3236,54599,52715,107313,771,608,1381,208,251,455,2699,2637,5336,998,2199,3200,802,650,1447,5477,6338,11818,8204,4338,12545,68281,63397,131676,7523,6955,14477,512,471,985,376,148,528,8411,7576,15986,40699,57840,98535,63749,108299,172050,11785,9365,21154,1202063,1065360,2267423,Greater Sydney
2RVIC,2933,1930,4861,1670,1770,3444,106,51,153,87,103,194,457,363,820,223336,192724,416054,13410,15182,28591,4640,144,4785,1966,312,2281,3264,980,4245,2672,1131,3802,13309,11524,24829,267844,226223,494064,165,146,316,0,0,0,158,143,299,1097,679,1775,123,126,246,161,40,200,1696,1136,2833,3,0,3,3,0,5,118,127,246,105,189,296,72,34,107,306,349,656,2132,1064,3201,4133,2553,6689,617,542,1156,44,34,78,147,30,178,813,601,1417,18706,19413,38127,25290,43607,68900,3984,3586,7573,320772,295989,616759,Rest of Vic.
2GMEL,80470,72249,152718,11224,13475,24698,294,119,411,23029,28127,51158,2698,1365,4065,713893,559015,1272910,33536,47968,81502,11634,227,11860,6855,759,7611,20876,8732,29606,6433,3503,9931,30870,32385,63251,941816,767920,1709735,11077,9592,20674,12,10,24,7907,8120,16021,15195,11339,26535,2073,3722,5793,2149,926,3071,38418,33702,72124,6,4,11,1154,1609,2763,714,692,1413,589,1082,1668,203,201,404,2667,3595,6265,8525,5824,14353,49610,43125,92737,8906,9199,18101,302,353,659,492,284,774,9705,9834,19535,36964,51536,88499,63682,114996,178676,10074,8338,18408,1111848,995745,2107592,Greater Melbourne
3GBRI,18440,20445,38893,21108,27608,48710,1131,1197,2329,66,38,108,1094,746,1844,356926,297307,654237,21805,31057,52864,9094,213,9298,9721,1010,10729,9294,2569,11868,3795,1867,5667,14882,15029,29911,467364,399095,866461,3207,3289,6498,24,34,67,10,8,15,4944,5304,10243,864,1269,2132,681,190,870,9727,10089,19820,274,300,571,0,7,11,1652,2301,3953,666,1520,2191,399,316,713,2992,4445,7438,4952,2742,7692,17674,17271,34947,1483,1567,3047,347,380,724,267,115,383,2095,2064,4158,20143,28879,49023,38671,61088,99755,4263,3582,7849,550212,511976,1062191,Greater Brisbane
3RQLD,1815,1480,3294,8242,5028,13268,426,162,587,748,963,1705,799,810,1609,374615,339703,714318,27716,31674,59389,10276,339,10613,7916,964,8880,7154,2667,9829,6508,2862,9375,20491,19361,39850,466698,406017,872714,305,345,651,0,3,3,16,25,46,929,630,1555,112,115,226,105,21,127,1468,1133,2607,192,44,234,226,346,573,621,245,866,297,477,769,206,116,325,1535,1225,2764,5265,2561,7829,8273,4928,13198,420,298,718,913,313,1223,408,156,568,1740,765,2505,27560,36268,63822,49687,65663,115348,5955,5109,11065,559913,518745,1078655,Rest of Qld
4RSAU,43,38,77,937,200,1139,31,12,42,5,9,13,113,111,220,57346,48062,105402,3801,3879,7675,1363,42,1412,584,75,659,630,159,796,1313,369,1680,4312,3499,7809,70481,56441,126921,9,6,13,0,0,0,0,0,0,62,79,142,7,0,12,0,3,4,78,91,165,0,0,0,0,0,0,124,69,193,27,13,39,20,6,32,171,91,256,727,247,973,983,418,1398,14,16,37,24,7,30,81,16,99,122,41,160,5914,5568,11484,7370,10467,17830,1077,928,2006,85948,73866,159815,Rest of SA
4GADE,4188,4728,8916,12034,16073,28104,76,27,104,1164,1562,2724,755,410,1166,211016,174907,385926,9854,16233,26086,3005,81,3084,2496,284,2777,5019,1623,6642,2488,831,3320,6257,6137,12390,258350,222893,481244,822,714,1532,0,0,3,86,107,190,780,975,1760,104,173,278,143,44,181,1932,2015,3952,3,0,3,140,174,323,1072,1752,2827,346,847,1192,192,145,331,1757,2917,4672,2689,1944,4627,6376,6878,13250,340,457,796,179,228,405,148,77,225,664,761,1425,9089,12007,21103,22066,38312,60383,2312,2144,4457,298855,283002,581856,Greater Adelaide
5GPER,12360,13304,25666,14561,13981,28540,138,63,199,53,31,82,1138,574,1710,317332,268902,586235,17313,23059,40373,5759,168,5924,3885,428,4314,7271,2099,9369,7089,1932,9024,8543,8638,17180,395445,333166,728613,7340,6831,14170,3,6,16,6,0,9,4573,4887,9458,617,999,1612,573,195,764,13106,12921,26028,21,14,36,9,4,8,697,815,1517,445,818,1260,355,158,513,1526,1812,3338,3667,1665,5334,18303,16396,34698,2115,2511,4625,219,123,344,144,55,201,2476,2691,5171,13771,21658,35434,37658,51442,89099,4348,3622,7970,472000,428978,900974,Greater Perth
5RWAU,81,56,139,16088,2027,18118,50,13,62,10,4,11,205,174,381,81114,66289,147404,9392,6822,16209,2543,107,2651,1110,315,1427,1590,808,2396,4894,1218,6106,7513,6938,14455,124601,84766,209363,16,21,31,0,0,0,0,0,0,60,72,135,6,12,13,12,0,15,93,105,203,5,0,5,0,0,0,239,62,298,64,53,115,177,27,204,479,142,625,1172,459,1632,1748,710,2458,34,13,46,141,34,179,110,36,142,288,77,368,6341,7553,13893,13463,14546,28013,3605,1742,5346,150048,109394,259437,Rest of WA
