gcc_name16,gcc_code16,i_4000more_1aw_othnw,i_4000more_bnw,i_4000more_lfsta_ns,i_4000more_tot,part_inc_stated_be_wft,part_inc_stated_be_wpt,part_inc_stated_be_baw,part_inc_stated_1eft_othpt,part_inc_stated_1eft_othaw,part_inc_stated_1eft_othnw,part_inc_stated_1ept_othaw,part_inc_stated_1ept_othnw,part_inc_stated_1aw_othnw,part_inc_stated_bnw,part_inc_stated_lfsta_ns,part_inc_stated_tot,all_inc_ns_be_wft,all_inc_ns_be_wpt,all_inc_ns_be_baw,all_inc_ns_1eft_othpt,all_inc_ns_1eft_othaw,all_inc_ns_1eft_othnw,all_inc_ns_1ept_othaw,all_inc_ns_1ept_othnw,all_inc_ns_1aw_othnw,all_inc_ns_bnw,all_inc_ns_lfsta_ns,all_inc_ns_tot,tot_be_wft,tot_be_wpt,tot_be_baw,tot_1eft_othpt,tot_1eft_othaw,tot_1eft_othnw,tot_1ept_othaw,tot_1ept_othnw,tot_1aw_othnw,tot_bnw,tot_lfsta_ns,tot_tot
Other Territories,9OTER,0,0,0,33,15,0,3,5,0,3,0,0,0,6,22,68,0,0,0,0,0,0,3,0,0,0,3,7,119,20,10,102,13,74,5,16,9,27,34,430
Australian Capital Territory,8ACTE,39,149,21,11617,918,75,37,548,106,342,23,106,49,240,2565,5002,50,4,23,31,13,22,0,0,7,16,71,241,14630,1699,511,13370,2499,7442,533,1672,427,2476,2758,48008
Rest of NT,7RNTE,3,3,4,565,197,25,8,67,7,71,5,65,23,267,424,1166,15,11,12,11,4,26,3,28,13,155,169,447,1887,250,117,1175,226,1241,63,496,137,2430,648,8667
Greater Darwin,7GDAR,15,24,4,2815,369,31,13,142,38,154,8,38,29,62,1004,1903,30,0,27,18,3,13,0,3,9,12,48,162,5046,366,200,3219,691,2963,153,472,240,699,1092,15144
Rest of Tas.,6RTAS,9,33,9,1270,505,126,30,665,56,309,28,148,55,264,1483,3667,25,7,20,39,10,20,8,6,16,47,81,273,4749,1412,279,9019,882,4582,411,1774,428,2883,1708,28122
Greater Hobart,6GHOB,5,39,6,2063,390,79,17,496,34,190,20,104,34,190,1129,2685,15,3,9,14,3,6,3,10,8,43,39,154,4479,1291,186,7886,886,3326,318,1325,258,1972,1231,23160
Rest of WA,5RWAU,50,56,12,5599,1099,197,69,1139,124,615,87,200,99,453,4976,9049,86,14,36,79,15,42,8,12,32,100,269,695,9710,2065,629,15779,1668,10439,803,2358,975,3776,5401,53618
Greater Perth,5GPER,312,675,27,37359,3214,646,228,3891,393,2509,212,938,353,1657,19849,33890,217,57,131,307,63,154,37,42,89,223,580,1904,41843,9066,1849,70230,7243,51706,2636,12499,3423,17204,20824,238521
Rest of SA,4RSAU,9,36,4,1803,711,157,36,858,66,352,39,168,47,304,2296,5019,47,10,20,51,14,21,3,21,13,69,141,404,6717,1729,398,12071,1171,5675,482,1943,491,3064,2548,36293
Greater Adelaide,4GADE,68,223,15,14578,2220,441,118,2689,246,1410,152,565,172,1205,7719,16936,114,22,79,186,31,70,13,27,47,171,322,1073,28159,6890,1286,47295,5052,25475,1712,8760,1618,13851,8343,148447
Rest of Qld,3RQLD,172,371,44,20368,4306,764,216,4082,433,2423,231,1001,368,1942,18753,34515,373,62,214,364,92,203,52,62,126,320,813,2676,54716,10198,2207,72075,7798,44504,2888,13043,3455,20725,20197,251804
Greater Brisbane,3GBRI,157,549,28,36159,4210,578,216,3708,462,2574,202,906,313,1850,14316,29346,306,37,190,355,78,175,45,59,105,264,696,2308,63063,9166,2058,75748,9444,51810,2616,13027,3240,20980,15534,266696
Rest of Vic.,2RVIC,53,130,23,9417,3037,585,176,3777,317,1635,184,651,175,1191,7208,18924,237,24,131,321,54,154,39,38,77,253,372,1709,27163,6619,1607,50792,5298,24702,2056,7370,1878,11265,8063,146809
Greater Melbourne,2GMEL,371,1455,84,77384,8137,1651,571,9754,943,6518,487,2384,809,5240,25127,61621,734,125,439,1063,171,558,97,160,246,736,1661,5990,110940,21661,4517,166629,18223,116915,5233,31304,6694,52874,28171,563155
Rest of NSW,1RNSW,138,369,41,22762,5639,1005,304,5828,580,2852,320,1266,347,2456,14462,35048,370,55,209,411,78,197,41,84,130,472,666,2704,57711,11744,2604,84784,9304,43160,3286,13884,3287,24270,15909,269939
Greater Sydney,1GSYD,533,2476,118,111231,9507,1536,645,9034,951,6802,459,2710,1007,5995,28555,67202,687,95,413,769,155,413,79,148,273,786,1806,5625,143694,21244,4875,160217,19439,127208,4978,35085,7624,61261,31794,617424
