gcc_code16,f_mgmt_cmrce_35_44,f_mgmt_cmrce_45_54,f_mgmt_cmrce_55_64,f_mgmt_cmrce_65_74,f_mgmt_cmrce_75_84,f_mgmt_cmrce_85_over,f_mgmt_cmrce_tot,f_scty_cul_15_24_yr,f_scty_cul_25_34_yr,f_scty_cul_35_44_yr,f_scty_cul_45_54_yr,f_scty_cul_55_64_yr,f_scty_cul_65_74_yr,f_scty_cul_75_84_yr,f_scty_cul_85_yr_over,f_scty_cul_tot,f_crtve_arts_15_24_yr,f_crtve_arts_25_34_yr,f_crtve_arts_35_44_yr,f_crtve_arts_45_54_yr,f_crtve_arts_55_64_yr,f_crtve_arts_65_74_yr,f_crtve_arts_75_84_yr,f_crtve_arts_85_yr_over,f_crtve_arts_tot,f_foodhos_psnlsvcs_15_24,f_foodhos_psnlsvcs_25_34,f_foodhos_psnlsvcs_35_44,f_foodhos_psnlsvcs_45_54,f_foodhos_psnlsvcs_55_64,f_foodhos_psnlsvcs_65_74,f_foodhos_psnlsvcs_75_84,f_foodhos_psnlsvcs_85_over,f_foodhos_psnlsvcs_tot,f_mix_fld_prog_15_24,f_mix_fld_prog_25_34,f_mix_fld_prog_35_44,f_mix_fld_prog_45_54,f_mix_fld_prog_55_64,f_mix_fld_prog_65_74,f_mix_fld_prog_75_84,f_mix_fld_prog_85,f_mix_fld_prog_tot,f_fld_stud_inad_desc_15_24,f_fld_stud_inad_desc_25_34,f_fld_stud_inad_desc_35_44,f_fld_stud_inad_desc_45_54,f_fld_stud_inad_desc_55_64,f_fld_stud_inad_desc_65_74,f_fld_stud_inad_desc_75_84,f_fld_stud_inad_desc_85,f_fld_stud_inad_desc_tot,f_fld_stud_ns_15_24_yr,f_fld_stud_ns_25_34_yr,f_fld_stud_ns_35_44_yr,f_fld_stud_ns_45_54_yr,f_fld_stud_ns_55_64_yr,f_fld_stud_ns_65_74_yr,f_fld_stud_ns_75_84_yr,f_fld_stud_ns_85_yr_over,f_fld_stud_ns_tot,f_tot_15_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_nat_phy_sci_15_24,p_nat_phy_sci_25_34,p_nat_phy_sci_35_44,p_nat_phy_sci_45_54,p_nat_phy_sci_55_64,p_nat_phy_sci_65_74,p_nat_phy_sci_75_84,p_nat_phy_sci_85,p_nat_phy_sci_tot,p_it_15_24,p_it_25_34,p_it_35_44,p_it_45_54,p_it_55_64,p_it_65_74,p_it_75_84,p_it_85,p_it_tot,p_egnr_rel_tech_15_24,p_egnr_rel_tech_25_34,p_egnr_rel_tech_35_44,p_egnr_rel_tech_45_54,p_egnr_rel_tech_55_64,p_egnr_rel_tech_65_74,p_egnr_rel_tech_75_84,p_egnr_rel_tech_85,p_egnr_rel_tech_tot,p_arc_bld_15_24,p_arc_bld_25_34,p_arc_bld_35_44,p_arc_bld_45_54,p_arc_bld_55_64,p_arc_bld_65_74,p_arc_bld_75_84,p_arc_bld_85_over,p_arc_bld_tot,p_agric_env_rel_stud_15_24,p_agric_env_rel_stud_25_34,p_agric_env_rel_stud_35_44,p_agric_env_rel_stud_45_54,p_agric_env_rel_stud_55_64,p_agric_env_rel_stud_65_74,p_agric_env_rel_stud_75_84,p_agric_env_rel_stud_85,p_agric_envir_rel_stud_tot,p_hlth_15_24_yr,p_hlth_25_34_yr,p_hlth_35_44_yr,p_hlth_45_54_yr,p_hlth_55_64_yr,p_hlth_65_74_yr,p_hlth_75_84_yr,p_hlth_85_yr_over,p_hlth_tot,p_edu_15_24_yr,p_edu_25_34_yr,p_edu_35_44_yr,p_edu_45_54_yr,p_edu_55_64_yr,p_edu_65_74_yr,p_edu_75_84_yr,p_edu_85_yr_over,p_edu_tot,p_mgmt_cmrce_15_24,p_mgmt_cmrce_25_34,p_mgmt_cmrce_35_44,p_mgmt_cmrce_45_54,p_mgmt_cmrce_55_64,p_mgmt_cmrce_65_74,p_mgmt_cmrce_75_84,p_mgmt_cmrce_85_over,p_mgmt_cmrce_tot,p_scty_cul_15_24_yr,p_scty_cul_25_34_yr,p_scty_cul_35_44_yr,p_scty_cul_45_54_yr,p_scty_cul_55_64_yr,p_scty_cul_65_74_yr,p_scty_cul_75_84_yr,p_scty_cul_85_yr_over,p_scty_cul_tot,p_crtve_arts_15_24_yr,p_crtve_arts_25_34_yr,p_crtve_arts_35_44_yr,p_crtve_arts_45_54_yr,p_crtve_arts_55_64_yr,p_crtve_arts_65_74_yr,p_crtve_arts_75_84_yr,p_crtve_arts_85_yr_over,p_crtve_arts_tot,p_foodhos_psnlsvcs_15_24,p_foodhos_psnlsvcs_25_34,p_foodhos_psnlsvcs_35_44,p_foodhos_psnlsvcs_45_54,p_foodhos_psnlsvcs_55_64,p_foodhos_psnlsvcs_65_74,p_foodhos_psnlsvcs_75_84,p_foodhos_psnlsvcs_85_over,p_foodhos_psnlsvcs_tot,p_mix_fld_prog_15_24,p_mix_fld_prog_25_34,p_mix_fld_prog_35_44,p_mix_fld_prog_45_54,p_mix_fld_prog_55_64,p_mix_fld_prog_65_74,p_mix_fld_prog_75_84,p_mix_fld_prog_85,p_mix_fld_prog_tot,p_fld_stud_inad_desc_15_24,p_fld_stud_inad_desc_25_34,p_fld_stud_inad_desc_35_44,p_fld_stud_inad_desc_45_54,p_fld_stud_inad_desc_55_64,p_fld_stud_inad_desc_65_74,p_fld_stud_inad_desc_75_84,p_fld_stud_inad_desc_85,p_fld_stud_inad_desc_tot,p_fld_stud_ns_15_24_yr,p_fld_stud_ns_25_34_yr,p_fld_stud_ns_35_44_yr,p_fld_stud_ns_45_54_yr,p_fld_stud_ns_55_64_yr,p_fld_stud_ns_65_74_yr,p_fld_stud_ns_75_84_yr,p_fld_stud_ns_85_yr_over,p_fld_stud_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,gcc_name16
1RNSW,27205,27152,22319,13656,4639,1695,131521,8005,17896,18918,18788,15878,7412,1862,394,89156,1925,4563,4352,3583,2732,1807,749,226,19942,6655,10384,8430,6966,4532,3105,836,387,41297,319,159,114,181,233,347,368,169,1882,377,816,1126,1176,948,624,253,100,5424,14012,11542,11924,14457,16019,17011,15746,11511,112220,53277,108948,113034,114616,108623,70489,35637,18111,622742,1389,4303,4873,4450,4534,3494,1149,318,24517,1772,4512,4266,3341,2561,1195,216,31,17885,11697,31509,32048,38050,38543,31027,15509,4791,203175,5793,13687,13552,14455,14063,9895,5075,1324,77843,3286,7108,8639,8492,6834,4335,1805,439,40939,7009,22649,22595,24867,27419,15004,6573,2222,128340,3397,15917,18475,18646,25039,15966,6109,1605,105155,13774,35178,39449,39632,33935,22337,7683,2470,194449,10584,24175,25997,26052,22904,12481,3645,839,126684,3373,7240,6582,5384,4588,3117,1206,360,31855,9195,15705,13528,11022,7814,5566,1867,654,65357,627,320,238,327,421,591,594,267,3380,843,1787,2517,2792,2383,1648,782,302,13058,30621,26978,27062,31540,33599,33901,28176,17350,229219,103346,211064,219830,229051,Rest of NSW
1GSYD,84018,62278,38938,20641,6982,3453,336417,16504,48154,44364,35211,24583,11902,3439,1016,185178,8657,22565,15646,9839,5346,2688,1183,465,66394,8467,17205,13601,10411,5703,3735,1086,519,60724,774,429,312,438,566,564,416,188,3684,1381,3974,4332,3453,2179,1194,520,180,17217,21825,30630,23636,20883,18152,16180,14387,13231,158926,108317,313225,269911,214409,155920,90901,43193,24500,1220371,6466,18065,16881,15256,11330,6984,2682,790,78457,7058,36345,36569,16925,7443,2051,275,54,106722,15335,57533,57536,61430,53334,36869,19309,6848,308188,9940,27863,26143,22858,15615,10016,5322,1556,119316,2237,6200,6542,5510,3880,1859,885,266,27377,12749,49285,40165,36042,30811,17287,8526,3243,198112,7390,31343,30303,28780,31015,19574,7794,2502,158707,43505,164016,144367,107752,70426,38894,13197,5345,587506,24002,72044,65909,53968,39781,21386,6883,2026,285994,14361,36879,25743,15970,9338,4808,2020,707,109836,11997,28670,22236,16664,9357,6109,2161,811,98010,1609,961,688,801,934,930,677,273,6872,2431,7124,7908,6724,4540,2637,1168,492,33020,46319,64842,51295,45046,37329,31156,25142,19533,320672,205401,601171,532296,433734,Greater Sydney
2RVIC,12535,10562,7417,3793,1271,651,51770,4901,10053,10981,11401,10014,4648,880,237,53117,1093,2457,2252,1737,1338,779,301,134,10084,4107,6627,4764,3880,2573,1792,556,192,24493,125,99,69,90,120,177,158,62,896,173,526,844,750,577,318,135,65,3395,7955,6279,6680,8020,8704,8906,8171,5568,60290,29445,60915,61626,59973,54997,35339,17649,9106,329041,1023,2251,2967,2263,2209,1485,424,137,12767,865,2517,2303,1560,1186,498,47,15,8993,5883,14951,15514,19034,18358,14171,6491,2093,96499,4311,9575,7575,7227,6905,4327,2166,623,42715,2022,4957,5986,5676,4139,2210,871,281,26152,4246,13898,12607,14040,14734,8366,3648,1288,72819,2115,9124,10203,10342,13247,9859,3546,1018,59449,5836,17224,19202,16900,13210,7380,2399,976,83117,6695,13046,14218,14805,13413,7010,1668,382,71244,2089,4013,3624,2670,2304,1484,503,193,16876,5440,9633,7421,6205,4371,2914,1041,328,37359,252,190,126,182,208,311,272,116,1652,401,1181,1812,1710,1452,921,391,174,8047,17045,14488,14918,17459,18064,17731,14555,8600,122857,58216,117060,118472,120088,Rest of Vic.
2GMEL,65670,45888,25788,12293,4330,2349,253253,16220,47181,43510,35569,25069,11533,3000,937,183019,8503,20803,13157,7733,4245,2158,945,431,57975,9698,19954,13721,10887,5778,4082,1181,517,65822,790,347,263,349,376,506,409,148,3188,1819,4901,4962,3684,2382,1266,487,231,19734,20793,27019,20966,19584,16977,15397,13831,10950,145524,105555,298564,247967,194418,136171,78597,38269,20464,1120006,8664,19828,17992,14149,10001,5880,2066,731,79308,6613,34956,32529,14865,6858,1904,238,44,98017,16489,58814,56136,57841,47430,32438,17103,6018,292276,12169,32775,23739,20535,13893,8288,4695,1381,117474,2617,7308,6977,5423,3323,1534,673,207,28057,13258,53474,41261,35678,28235,15652,7683,2785,198032,6235,31092,29949,30071,30649,19695,7586,2211,157497,37429,133104,115089,82999,50641,25926,8998,3881,458071,24220,67660,61202,50730,37484,19203,5575,1659,267737,14915,36149,22728,13106,7668,3998,1596,650,100809,13751,33212,22116,17010,9284,6023,2120,784,104296,1563,809,546,628,694,803,700,234,5972,3018,8674,8846,7048,4708,2632,1121,525,36573,43131,56232,44294,40430,33955,29176,24172,16441,287833,204078,574097,483400,390527,Greater Melbourne
3GBRI,32066,24581,14353,6450,1982,780,129594,9802,21977,20740,16465,11846,5581,1209,313,87923,4384,7467,5178,3333,1769,962,419,183,23677,6959,9706,6999,5157,2921,1908,524,192,34363,482,174,148,155,180,230,250,104,1722,520,1294,1605,1262,812,440,152,88,6172,10779,12117,9731,9319,8196,7591,6599,5977,70311,60448,131616,118726,97359,68783,39330,17585,9692,543550,3057,8068,7256,5782,4017,2555,828,226,31800,3825,10259,10561,5849,2614,787,100,8,34010,10092,31126,30610,30886,26486,18906,9003,2549,159671,5171,15023,12557,10963,8835,6094,2896,795,62337,1466,3385,3984,3168,2119,1159,462,121,15861,8141,25629,22601,20910,16282,9203,4005,1370,108137,3035,13471,17097,16762,15094,9611,3542,875,79488,22554,56849,53122,42168,26213,12957,3940,1327,219123,15091,31811,29757,23833,17502,9166,2438,610,130205,7827,12601,8414,5363,3097,1702,730,265,40008,9809,14827,11193,8194,4789,3200,965,320,53308,943,402,273,270,326,393,382,154,3145,1045,2747,3318,2827,1983,1169,460,208,13760,23075,26161,21470,19845,16791,14943,11619,8702,142603,115136,252366,232220,196817,Greater Brisbane
3RQLD,26331,22677,16460,9062,2883,858,116563,8318,16600,17438,16445,13653,6449,1379,236,80520,2251,4471,3816,2748,1901,1293,520,178,17172,7903,11211,9502,7712,4710,3375,830,266,45517,333,149,138,184,215,310,264,151,1737,314,833,1179,1015,780,451,201,65,4841,14687,14746,14006,15208,15454,15454,11343,7312,108198,57594,111689,111647,104890,88519,57676,26024,11423,569462,1585,4228,4425,3750,3293,2518,900,209,20911,2111,3927,4070,2649,1855,868,135,9,15631,12877,33853,34077,36381,34393,28320,12921,3219,196034,5014,14832,14846,14331,14172,10041,4592,976,78804,2473,5394,6536,5677,4270,2423,1015,236,28029,7304,22226,21433,23079,21637,12430,5338,1528,114970,3193,14217,18479,18924,18746,12697,4725,1083,92059,16521,37882,38991,34979,26564,16627,5612,1495,178676,11986,22525,23578,22199,18678,10362,2775,502,112604,3950,6981,5831,4247,3216,2341,914,263,27747,10992,16757,14958,12374,7926,5701,1658,439,70815,631,316,247,328,432,544,454,228,3190,847,2005,2662,2725,2051,1360,685,210,12537,31559,33371,31530,33451,32675,31444,21334,11382,226740,111049,218515,221675,215096,Rest of Qld
4RSAU,3063,2638,1945,954,317,117,13042,1087,2269,2374,2760,2322,1079,200,35,12120,149,349,322,219,220,115,56,28,1446,884,1412,1171,915,620,459,124,30,5623,25,36,30,47,38,61,59,35,320,34,71,111,125,60,78,30,21,528,1942,1538,1573,2080,2318,2365,1934,1432,15181,6787,13298,13456,14050,13513,8842,4047,2149,76131,95,509,525,468,470,384,93,24,2567,163,324,314,230,200,105,17,0,1358,1955,4736,4726,5559,5573,4453,2071,572,29634,673,1424,1126,1317,1495,1190,572,146,7945,715,1585,1953,1675,1147,676,211,92,8051,780,2336,2345,3285,3981,2060,788,265,15842,529,2121,2149,2041,2814,2296,659,185,12799,1471,3873,4303,4050,3381,1962,627,206,19868,1348,2959,3030,3478,3147,1662,384,70,16071,248,507,460,368,387,253,104,40,2375,1221,2101,1863,1521,1129,788,249,56,8934,47,67,46,74,70,95,87,52,543,104,203,259,352,235,243,95,45,1535,4351,4126,4185,5006,5170,4867,3619,2202,33529,13700,26862,27294,29421,Rest of SA
4GADE,15884,12292,7736,3789,1338,648,63650,4861,12113,11691,10570,8232,4081,1022,291,52866,1393,3213,2472,1750,1083,678,298,136,11021,3252,5279,3905,3377,2023,1432,463,187,19927,163,91,101,162,125,193,183,88,1109,201,804,923,650,435,283,131,82,3512,4830,5105,4430,4706,4565,4679,4698,3876,36887,27028,68591,62117,54345,43959,26515,12737,7285,302570,1464,4624,4498,3549,2862,1843,677,212,19722,1303,5159,4739,2691,1553,478,73,7,16007,5302,16144,16015,17715,15397,12090,6660,2442,91764,3181,6923,5100,5264,4517,3189,1873,630,30679,944,2427,2296,2039,1429,719,275,100,10234,4474,15986,13834,13467,12549,6445,2811,1226,70786,1579,7647,8060,7885,10110,7406,2388,893,45974,8239,27218,26812,21615,14777,8274,2978,1173,111088,7017,17481,16761,15162,12373,6903,1942,573,78209,2623,5724,4289,2973,2055,1246,495,187,19586,4575,8240,6275,5310,3283,2271,789,284,31023,310,168,179,233,213,286,285,134,1795,459,1607,1810,1475,1104,723,345,185,7707,10171,10860,9625,10044,9288,8647,7947,5853,72431,51647,130215,120285,109429,Greater Adelaide
5GPER,25843,19713,12055,6518,2686,994,104592,6398,17502,15939,12918,9771,4705,1271,319,68830,2859,5830,4017,2513,1433,959,412,150,18167,5022,9314,6503,5177,3037,1894,579,238,31754,260,173,145,132,172,230,193,70,1381,433,1236,1125,966,627,324,177,58,4948,8648,11258,8876,8106,7207,6824,6888,5868,63678,45211,115454,100514,82908,60266,35348,18514,9721,467937,3310,8678,7824,6274,4293,2545,778,255,33962,2359,7850,7380,4076,1936,578,82,7,24272,11707,34849,32921,30965,25677,17202,8189,2242,163757,5006,13357,9884,9175,6990,4825,2736,690,52652,1163,3466,3497,2718,1763,1085,465,133,14297,6938,23250,19438,17763,14236,8157,3888,1246,94914,3062,12189,14376,15195,14045,7909,3300,933,71011,13568,44721,41668,33623,21585,12563,4832,1572,174128,9476,24678,22234,18265,14316,7607,2283,590,99453,5020,9467,6460,4060,2621,1616,673,224,30141,6557,14207,10150,8153,4949,3052,1059,357,48480,561,329,278,266,294,374,324,118,2550,812,2420,2373,2217,1491,845,467,171,10781,18593,24635,19555,17616,14819,13160,11907,8523,128804,88121,224090,198038,170375,Greater Perth
5RWAU,4675,4010,2958,1620,486,116,20985,1252,3046,3135,2854,2594,1189,223,44,14343,314,786,696,537,413,276,107,27,3153,1132,2323,1736,1357,865,541,121,49,8124,77,55,31,37,48,57,54,17,375,60,194,206,241,160,91,20,5,982,3610,4455,3789,4270,4142,3481,2194,1183,27117,10944,24684,23489,21806,19462,11911,4849,1850,118998,318,1458,1480,969,781,502,126,26,5658,337,663,637,421,279,135,23,0,2502,4091,13553,12435,11728,9311,5714,1924,424,59179,1221,3512,2853,2756,2560,1634,660,136,15323,899,2012,2328,2036,1596,934,368,80,10246,1027,4181,4195,4473,4844,2795,1047,257,22826,777,3358,4354,4461,4593,2677,805,157,21179,2523,6761,6890,6162,4820,2919,804,189,31066,1662,4032,4146,3808,3510,1831,393,88,19476,506,1158,1023,820,674,486,158,40,4867,1459,3391,2998,2464,1554,945,247,77,13135,124,94,73,70,96,113,97,28,696,131,487,574,660,475,225,95,19,2673,8267,12959,11560,11776,10158,7404,4193,1909,68228,23340,57617,55557,52612,Rest of WA
