gcc_code16,solse_nwna_mnf_06_10,solse_nwna_mnf_11_15,solse_nwna_mnf_2016,solse_nwna_mnf_ns,solse_nwna_mnf_tot,solse_nwna_egwws_bf_91,solse_nwna_egwws_91_95,solse_nwna_egwws_96_00,solse_nwna_egwws_01_05,solse_nwna_egwws_06_10,solse_nwna_egwws_11_15,solse_nwna_egwws_2016,solse_nwna_egwws_ns,solse_nwna_egwws_tot,solse_nwna_const_bf_91,solse_nwna_const_91_95,solse_nwna_const_96_00,solse_nwna_const_01_05,solse_nwna_const_06_10,solse_nwna_const_11_15,solse_nwna_const_2016,solse_nwna_const_ns,solse_nwna_const_tot,solse_nwna_wst_bf_91,solse_nwna_wst_91_95,solse_nwna_wst_96_00,solse_nwna_wst_01_05,solse_nwna_wst_06_10,solse_nwna_wst_11_15,solse_nwna_wst_2016,solse_nwna_wst_ns,solse_nwna_wst_tot,solse_nwna_rett_bf_91,solse_nwna_rett_91_95,solse_nwna_rett_96_00,solse_nwna_rett_01_05,solse_nwna_rett_06_10,solse_nwna_rett_11_15,solse_nwna_rett_2016,solse_nwna_rett_ns,solse_nwna_rett_tot,solse_nwna_acfd_bf_91,solse_nwna_acfd_91_95,solse_nwna_acfd_96_00,solse_nwna_acfd_01_05,solse_nwna_acfd_06_10,solse_nwna_acfd_11_15,solse_nwna_acfd_2016,solse_nwna_acfd_ns,solse_nwna_acfd_tot,solse_nwna_tpw_bf_91,solse_nwna_tpw_91_95,solse_nwna_tpw_96_00,solse_nwna_tpw_01_05,solse_nwna_tpw_06_10,solse_nwna_tpw_11_15,solse_nwna_tpw_2016,solse_nwna_tpw_ns,solse_nwna_tpw_tot,solse_nwna_imt_bf_91,solse_nwna_imt_91_95,solse_nwna_imt_96_00,solse_nwna_imt_01_05,solse_nwna_imt_06_10,solse_nwna_imt_11_15,solse_nwna_imt_2016,solse_nwna_imt_ns,solse_nwna_imt_tot,solse_nwna_finins_bf_91,solse_nwna_finins_91_95,solse_nwna_finins_96_00,solse_nwna_finins_01_05,solse_nwna_finins_06_10,solse_nwna_finins_11_15,solse_nwna_finins_2016,solse_nwna_finins_ns,solse_nwna_finins_tot,solse_nwna_rhre_bf_91,solse_nwna_rhre_91_95,solse_nwna_rhre_96_00,solse_nwna_rhre_01_05,solse_nwna_rhre_06_10,solse_nwna_rhre_11_15,solse_nwna_rhre_2016,solse_nwna_rhre_ns,solse_nwna_rhre_tot,solse_nwna_prosts_bf_91,solse_nwna_prosts_91_95,solse_nwna_prosts_96_00,solse_nwna_prosts_01_05,solse_nwna_prosts_06_10,solse_nwna_prosts_11_15,solse_nwna_prosts_2016,solse_nwna_prosts_ns,solse_nwna_prosts_tot,solse_nwna_adsup_bf_91,solse_nwna_adsup_91_95,solse_nwna_adsup_96_00,solse_nwna_adsup_01_05,solse_nwna_adsup_06_10,solse_nwna_adsup_11_15,solse_nwna_adsup_2016,solse_nwna_adsup_ns,solse_nwna_adsup_tot,solse_nwna_pubas_bf_91,solse_nwna_pubas_91_95,solse_nwna_pubas_96_00,solse_nwna_pubas_01_05,solse_nwna_pubas_06_10,solse_nwna_pubas_11_15,solse_nwna_pubas_2016,solse_nwna_pubas_ns,solse_nwna_pubas_tot,solse_nwna_edtrn_bf_91,solse_nwna_edtrn_91_95,solse_nwna_edtrn_96_00,solse_nwna_edtrn_01_05,solse_nwna_edtrn_06_10,solse_nwna_edtrn_11_15,solse_nwna_edtrn_2016,solse_nwna_edtrn_ns,solse_nwna_edtrn_tot,solse_nwna_hc_sa_bf_91,solse_nwna_hc_sa_91_95,solse_nwna_hc_sa_96_00,solse_nwna_hc_sa_01_05,solse_nwna_hc_sa_06_10,solse_nwna_hc_sa_11_15,solse_nwna_hc_sa_2016,solse_nwna_hc_sa_ns,solse_nwna_hc_sa_tot,solse_nwna_artsr_bf_91,solse_nwna_artsr_91_95,solse_nwna_artsr_96_00,solse_nwna_artsr_01_05,solse_nwna_artsr_06_10,solse_nwna_artsr_11_15,solse_nwna_artsr_2016,solse_nwna_artsr_ns,solse_nwna_artsr_tot,solse_nwna_othsvs_bf_91,solse_nwna_othsvs_91_95,solse_nwna_othsvs_96_00,solse_nwna_othsvs_01_05,solse_nwna_othsvs_06_10,solse_nwna_othsvs_11_15,solse_nwna_othsvs_2016,solse_nwna_othsvs_ns,solse_nwna_othsvs_tot,solse_nwna_idns_bf_91,solse_nwna_idns_91_95,solse_nwna_idns_96_00,solse_nwna_idns_01_05,solse_nwna_idns_06_10,solse_nwna_idns_11_15,solse_nwna_idns_2016,solse_nwna_idns_ns,solse_nwna_idns_tot,solse_nwna_tot_bf_91,solse_nwna_tot_91_95,solse_nwna_tot_96_00,solse_nwna_tot_01_05,solse_nwna_tot_06_10,solse_nwna_tot_11_15,solse_nwna_tot_2016,solse_nwna_tot_ns,solse_nwna_tot_tot,ns_agff_bf_91,ns_agff_91_95,ns_agff_96_00,ns_agff_01_05,ns_agff_06_10,ns_agff_11_15,ns_agff_2016,ns_agff_ns,ns_agff_tot,ns_min_bf_91,ns_min_91_95,ns_min_96_00,ns_min_01_05,ns_min_06_10,ns_min_11_15,ns_min_2016,ns_min_ns,ns_min_tot,ns_mnf_bf_91,ns_mnf_91_95,ns_mnf_96_00,ns_mnf_01_05,ns_mnf_06_10,ns_mnf_11_15,ns_mnf_2016,ns_mnf_ns,ns_mnf_tot,ns_egwws_bf_91,ns_egwws_91_95,ns_egwws_96_00,ns_egwws_01_05,ns_egwws_06_10,ns_egwws_11_15,gcc_name16
1RNSW,128,473,70,106,936,0,0,0,0,0,0,0,0,0,32,7,17,20,32,57,0,6,169,7,0,0,3,8,37,13,11,84,17,10,18,17,38,57,4,8,184,292,64,105,124,251,340,41,64,1279,16,0,3,5,4,13,0,3,43,0,0,0,0,4,3,0,0,7,7,0,0,0,0,0,0,0,4,7,0,0,0,4,8,0,0,16,9,8,3,6,7,11,0,0,43,49,6,14,10,45,75,7,22,231,9,0,4,0,3,0,0,3,22,10,0,3,3,13,11,3,4,53,26,10,16,25,61,126,11,10,277,5,0,3,0,5,5,0,3,22,17,6,12,25,41,76,3,12,190,34,17,12,35,76,112,11,32,336,616,173,253,342,805,1666,229,388,4480,9,0,3,3,4,11,0,3,37,0,0,0,0,0,0,0,0,0,10,0,4,4,10,11,0,4,38,0,0,0,0,0,0,Rest of NSW
1GSYD,1136,1225,82,201,8430,36,9,14,19,25,39,3,3,140,971,403,746,682,1203,1777,151,188,6123,623,237,275,218,347,449,25,44,2229,1311,542,609,507,866,1078,76,124,5123,1963,737,937,944,1683,2999,425,516,10206,951,254,297,274,380,430,33,62,2688,58,39,41,26,63,78,10,8,328,115,39,56,46,97,96,14,22,489,119,33,71,77,112,154,15,21,586,201,88,124,136,224,322,29,35,1147,797,294,515,482,861,1217,201,141,4499,122,49,42,31,36,47,7,18,346,211,92,127,120,158,192,18,52,975,874,367,499,561,757,943,61,103,4163,76,22,32,20,46,43,6,12,263,649,331,422,392,705,869,66,82,3521,1493,582,842,824,1468,2173,235,514,8138,13814,5301,6743,6218,10327,14280,1476,2172,60346,8,3,0,0,6,4,0,0,22,0,0,0,0,4,0,0,0,4,106,37,34,34,36,42,5,12,310,3,0,0,3,10,0,Greater Sydney
2RVIC,135,342,72,77,710,0,0,0,0,0,0,0,0,4,7,3,0,9,24,29,0,0,73,6,3,3,4,16,40,8,13,93,21,5,14,12,50,53,0,8,161,84,31,34,37,119,153,22,17,504,5,0,0,0,0,4,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,3,4,0,0,6,7,0,3,3,0,6,0,3,15,16,0,3,17,42,73,11,14,176,3,0,5,0,3,0,0,0,8,0,0,4,4,8,6,0,3,26,11,4,4,12,47,41,4,7,132,5,0,0,0,3,0,0,0,8,3,0,3,8,26,22,3,4,62,38,5,18,20,76,103,13,32,314,274,95,141,191,674,1157,179,264,2981,7,0,0,0,7,10,3,3,33,0,0,0,0,0,0,0,0,0,10,0,0,0,7,11,3,0,31,0,0,0,0,0,0,Rest of Vic.
2GMEL,1484,1538,73,191,8462,27,17,17,12,24,39,0,0,138,402,155,232,324,764,1177,66,79,3201,344,182,116,158,329,567,29,47,1779,798,372,294,282,660,1303,68,106,3884,1225,512,503,677,1242,2441,336,332,7269,460,186,130,118,268,316,19,42,1542,21,17,13,16,27,38,4,4,136,58,16,20,12,53,59,3,8,236,50,20,26,23,101,131,13,16,375,114,40,40,53,160,226,33,25,693,495,172,189,213,520,710,92,76,2460,111,11,24,21,30,25,0,7,233,119,50,55,70,143,158,11,39,646,441,224,201,297,639,652,30,62,2556,40,18,18,19,31,45,10,6,194,445,244,167,190,474,632,54,73,2266,932,401,398,533,1023,1736,156,351,5539,8838,3798,3242,3891,8185,12101,1011,1494,42556,4,0,0,7,0,5,0,0,18,0,0,3,0,0,0,0,0,8,107,34,17,39,51,45,3,20,319,7,5,3,3,3,7,Greater Melbourne
3GBRI,653,469,56,94,2164,7,0,0,3,9,8,0,0,20,68,27,46,46,160,227,11,19,600,46,29,30,30,77,100,11,11,324,121,58,64,70,164,213,25,17,738,333,160,173,249,426,763,147,176,2424,41,22,34,31,83,82,5,0,307,8,3,0,3,13,3,0,0,31,0,3,3,6,13,14,4,0,48,25,19,23,22,42,35,0,0,171,24,20,13,25,35,54,3,5,172,58,41,55,67,205,392,82,69,971,18,6,6,8,14,3,0,3,59,45,17,29,29,34,67,9,10,242,95,47,60,98,218,282,23,29,850,4,0,3,4,13,13,3,4,55,61,46,50,76,186,266,27,36,745,130,80,76,117,255,365,69,126,1211,1567,783,820,1129,2688,3632,643,749,11999,4,0,3,0,4,3,0,0,16,4,0,0,0,3,3,0,0,10,22,12,15,14,22,20,3,4,120,4,0,0,0,6,0,Greater Brisbane
3RQLD,323,371,21,39,911,0,0,0,0,3,0,0,0,8,21,10,20,14,49,81,7,13,216,4,4,10,10,44,44,3,0,119,26,20,25,31,65,88,11,14,277,163,74,105,155,340,510,101,79,1525,10,6,16,12,28,23,3,7,111,0,0,0,0,3,5,0,0,13,3,4,0,3,0,3,0,4,17,8,7,3,11,13,21,0,3,69,6,8,9,10,22,23,0,5,84,19,21,24,46,91,222,51,60,531,9,0,0,3,4,4,0,3,26,5,0,4,4,15,25,6,9,72,19,12,22,29,76,116,20,27,314,3,4,6,3,4,9,5,0,30,12,20,14,34,97,123,16,12,320,28,25,18,57,120,182,34,88,554,439,251,335,546,1416,2393,426,668,6475,8,0,0,0,8,12,4,7,46,8,0,0,0,3,7,0,3,22,7,0,5,3,4,15,0,6,43,0,0,0,0,0,0,Rest of Qld
4RSAU,69,165,23,44,316,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,0,7,16,64,5,14,107,0,0,3,0,4,25,3,0,35,5,3,3,7,22,23,0,3,69,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,3,10,28,0,5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,10,0,0,12,0,0,0,0,0,3,0,0,6,0,0,0,0,3,4,0,3,8,8,0,0,4,20,23,0,5,62,55,12,17,58,195,500,70,102,1009,0,0,0,0,3,7,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,Rest of SA
4GADE,257,273,22,44,1138,10,0,0,0,13,12,0,0,30,26,18,20,31,91,126,5,3,322,32,12,14,24,47,57,0,7,191,79,41,24,39,99,127,4,17,429,202,90,73,113,304,364,29,33,1213,20,9,10,5,29,29,5,5,117,3,3,0,0,0,3,0,0,16,3,4,0,0,8,4,0,0,15,12,0,3,4,7,7,3,0,37,12,0,3,4,31,37,3,0,94,42,22,20,32,135,172,11,15,453,7,3,0,0,8,3,0,0,23,13,3,10,3,14,20,0,3,71,38,34,21,37,95,107,6,11,346,3,0,0,0,0,3,0,0,13,46,17,20,46,116,131,11,10,388,94,35,30,52,126,184,12,32,571,1143,476,389,515,1515,1832,128,211,6223,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,20,0,4,9,17,12,0,3,65,3,0,0,0,0,0,Greater Adelaide
5GPER,596,462,34,49,1781,6,0,0,0,23,12,3,0,43,90,36,44,83,327,455,16,32,1075,56,24,23,29,125,138,15,21,421,166,77,75,63,182,270,18,33,877,404,204,131,168,479,774,104,112,2372,29,14,25,38,68,122,10,13,329,4,0,0,4,11,8,0,4,25,4,0,3,0,30,10,0,3,53,13,0,8,9,18,19,0,0,73,19,10,9,21,58,46,9,3,170,72,36,56,85,219,307,32,44,851,18,12,3,9,17,8,0,0,70,50,24,32,43,79,59,11,15,316,62,31,39,92,224,213,9,23,690,21,6,5,3,23,13,0,0,74,67,41,53,74,277,251,30,28,818,130,63,72,125,402,437,44,97,1371,1644,760,689,1001,3311,3770,391,513,12069,5,0,0,0,0,3,0,0,6,8,0,3,3,12,6,0,0,26,17,5,6,15,22,18,0,3,87,3,3,0,0,0,3,Greater Perth
5RWAU,49,105,17,32,217,0,0,0,0,0,0,0,0,0,13,4,3,9,19,21,0,6,79,4,4,8,3,58,34,8,5,117,3,0,3,3,16,28,3,14,66,15,18,14,14,46,126,14,19,265,4,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,3,0,0,17,9,3,0,6,7,33,9,12,75,5,0,0,0,4,5,0,4,11,3,0,0,4,7,12,0,0,25,7,0,0,3,13,23,0,3,46,0,0,0,0,0,0,0,0,0,6,0,0,0,8,15,0,3,31,11,5,9,14,26,55,5,27,145,135,49,58,88,303,610,127,199,1559,3,0,0,0,3,3,4,0,9,3,4,4,6,9,9,0,3,40,0,0,0,0,3,3,0,0,11,0,0,0,0,3,0,Rest of WA
