gcc_name16,gcc_code16,p_eductrain_gd_gc,p_eductrain_bd,p_eductrain_add_d,p_eductrain_cert,p_eductrain_id_ns,p_eductrain_tot,p_healthcaresoca_pd,p_healthcaresoca_gd_gc,p_healthcaresoca_bd,p_healthcaresoca_add_d,p_healthcaresoca_cert,p_healthcaresoca_id_ns,p_healthcaresoca_tot,p_artrecserv_pd,p_artrecserv_gd_gc,p_artrecserv_bd,p_artrecserv_add_d,p_artrecserv_cert,p_artrecserv_id_ns,p_artrecserv_tot,p_othserv_pd,p_othserv_gd_gc,p_othserv_bd,p_othserv_add_d,p_othserv_cert,p_othserv_id_ns,p_othserv_tot,p_id_ns_pd,p_id_ns_gd_gc,p_id_ns_bd,p_id_ns_add_d,p_id_ns_cert,p_id_ns_id_ns,p_id_ns_tot,p_tot_pd,p_tot_gd_gc,p_tot_bd,p_tot_add_d,p_tot_cert,p_tot_id_ns,p_tot_tot
Other Territories,9OTER,18,52,18,26,11,130,8,5,24,21,24,3,84,0,0,18,8,25,3,48,0,0,4,6,37,0,43,0,0,3,10,25,16,51,63,46,259,220,630,124,1335
Australian Capital Territory,8ACTE,1839,6640,1542,1698,220,16787,2769,1220,7111,2955,3107,488,17653,338,162,895,316,513,57,2293,429,150,986,718,2114,122,4528,431,89,934,449,888,479,3269,27619,10453,54226,21811,31984,3792,149895
Rest of NT,7RNTE,299,1127,299,618,146,2858,342,255,1150,611,849,218,3425,33,20,120,44,152,38,408,49,34,152,107,603,110,1049,25,18,114,67,327,255,819,1399,945,4794,3030,8174,1487,19827
Greater Darwin,7GDAR,616,1868,542,865,103,4832,669,384,2323,937,1098,172,5585,80,28,235,170,310,39,859,82,32,236,215,1082,79,1729,85,33,302,229,924,361,1941,3985,2146,12790,7523,20076,2201,48723
Rest of Tas.,6RTAS,573,3960,1010,1655,207,8485,832,656,3700,2585,4307,527,12617,64,37,227,183,470,45,1025,61,36,230,343,2398,104,3171,44,15,237,236,1181,493,2219,3332,2236,15007,10596,35725,3823,70717
Greater Hobart,6GHOB,736,3679,824,1171,153,8560,1154,778,4053,2007,3424,405,11811,177,88,509,185,430,43,1423,139,69,376,333,1685,87,2690,101,23,302,160,760,296,1644,6428,3296,18658,9334,25019,2492,65228
Rest of WA,5RWAU,1917,6867,2134,3609,496,16005,1045,943,5794,3697,5139,808,17439,69,34,402,296,751,79,1630,121,74,496,730,4769,265,6467,115,62,594,685,2938,950,5345,4822,4613,29397,22046,75097,8007,143989
Greater Perth,5GPER,8575,29318,8500,10801,1700,69772,9292,5017,37967,17319,19059,3383,92025,710,370,3334,1717,3103,384,9627,1093,473,4168,4143,16429,830,27126,1744,483,6073,3952,10308,3181,25743,54850,26509,198031,102938,215181,24900,622406
Rest of SA,4RSAU,949,4537,1718,2038,234,10171,628,607,4144,3479,5520,598,14972,23,18,122,137,389,65,761,56,42,262,406,3202,151,4124,43,41,252,298,1363,574,2575,2537,2557,16683,14328,48751,5521,90371
Greater Adelaide,4GADE,4282,19551,6168,5629,779,45433,8006,4142,29313,14051,17243,2264,75016,385,182,1637,1042,1836,199,5278,675,354,2439,2409,10632,580,17083,672,189,2278,1476,4343,1685,10631,36053,16388,118527,64709,138554,14335,388573
Rest of Qld,3RQLD,7868,33964,10489,14515,1811,78112,9001,5210,38016,22831,30188,3883,109124,402,187,2307,2079,4494,497,9969,608,343,2772,4574,21358,1156,30799,755,295,3481,3391,12420,4265,24605,33771,21266,153532,112545,313437,31500,666057
Greater Brisbane,3GBRI,8517,34775,9817,12543,1478,83677,12632,6236,46368,21481,25586,3275,115584,725,391,3425,1862,3190,373,9963,1312,641,4583,5041,17463,876,29917,1845,436,5646,3797,10797,3911,26423,70525,30983,225729,119131,249413,25734,721503
Rest of Vic.,2RVIC,6731,19824,6358,6715,946,46340,5417,5539,23548,15214,20748,2965,73433,281,210,1398,1164,2297,290,5638,347,271,1392,2343,11650,588,16588,372,239,1689,1741,6726,2611,13372,19713,18731,90013,67408,178376,20209,394456
Greater Melbourne,2GMEL,21381,64832,18311,14665,2968,159934,29412,15820,84936,38992,39764,7209,216134,2754,1353,11124,5253,6516,916,27914,3538,1405,10141,10058,29387,1964,56496,5847,1432,17190,9662,18906,8545,61581,186841,75131,521227,246323,392519,55071,1477105
Rest of NSW,1RNSW,8227,38199,11744,14213,1917,86873,9998,5829,41282,26630,41403,4978,130112,430,234,2005,1436,3743,400,8253,711,331,2734,4013,24017,1040,32845,757,330,3079,2848,12231,4148,23390,41674,23893,164755,117301,338892,34361,720873
Greater Sydney,1GSYD,11961,67726,17584,15804,3400,157325,32696,10156,89721,38000,40175,7903,218639,2791,766,9279,4423,6305,942,24509,4099,1034,11592,9727,32074,2032,60567,7714,1165,20412,10633,20098,9638,69660,232116,54442,583239,259708,411695,64344,1605537
