gcc_name16,gcc_code16,tot_m,tot_f,tot_p,age_0_4_yr_m,age_0_4_yr_f,age_0_4_yr_p,age_5_14_yr_m,age_5_14_yr_f,age_5_14_yr_p,age_15_19_yr_m,age_15_19_yr_f,age_15_19_yr_p,age_20_24_yr_m,age_20_24_yr_f,age_20_24_yr_p,age_25_34_yr_m,age_25_34_yr_f,age_25_34_yr_p,age_35_44_yr_m,age_35_44_yr_f,age_35_44_yr_p,age_45_54_yr_m,age_45_54_yr_f,age_45_54_yr_p,age_55_64_yr_m,age_55_64_yr_f,age_55_64_yr_p,age_65_74_yr_m,age_65_74_yr_f,age_65_74_yr_p,age_75_84_yr_m,age_75_84_yr_f,age_75_84_yr_p,age_85ov_m,age_85ov_f,age_85ov_p,counted_census_night_home_m,counted_census_night_home_f,counted_census_night_home_p,count_census_nt_ewhere_aust_m,count_census_nt_ewhere_aust_f,count_census_nt_ewhere_aust_p,indig_aboriginal_m,indig_aboriginal_f,indig_aboriginal_p,indig_torres_strait_is_m,indig_torres_strait_is_f,indig_torres_strait_is_p,indig_bth_abor_torres_st_is_m,indig_bth_abor_torres_st_is_f,indig_bth_abor_torres_st_is_p,indig_tot_m,indig_tot_f,indig_tot_p,birthplace_australia_m,birthplace_australia_f,birthplace_australia_p,birthplace_elsewhere_m,birthplace_elsewhere_f,birthplace_elsewhere_p,lang_spoken_home_eng_only_m,lang_spoken_home_eng_only_f,lang_spoken_home_eng_only_p,lang_spoken_home_oth_lang_m,lang_spoken_home_oth_lang_f,lang_spoken_home_oth_lang_p,australian_citizen_m,australian_citizen_f,australian_citizen_p,att_educ_inst_age_0_4_m,att_educ_inst_age_0_4_f,att_educ_inst_age_0_4_p,att_educ_inst_age_5_14_m,att_educ_inst_age_5_14_f,att_educ_inst_age_5_14_p,att_edu_inst_age_15_19_m,att_edu_inst_age_15_19_f,att_edu_inst_age_15_19_p,att_edu_inst_age_20_24_m,att_edu_inst_age_20_24_f,att_edu_inst_age_20_24_p,att_edu_inst_age_25_ov_m,att_edu_inst_age_25_ov_f,att_edu_inst_age_25_ov_p,high_yr_schl_comp_yr_12_eq_m,high_yr_schl_comp_yr_12_eq_f,high_yr_schl_comp_yr_12_eq_p,high_yr_schl_comp_yr_11_eq_m,high_yr_schl_comp_yr_11_eq_f,high_yr_schl_comp_yr_11_eq_p,high_yr_schl_comp_yr_10_eq_m,high_yr_schl_comp_yr_10_eq_f,high_yr_schl_comp_yr_10_eq_p,high_yr_schl_comp_yr_9_eq_m,high_yr_schl_comp_yr_9_eq_f,high_yr_schl_comp_yr_9_eq_p,high_yr_schl_comp_yr_8_belw_m,high_yr_schl_comp_yr_8_belw_f,high_yr_schl_comp_yr_8_belw_p,no_schl_m,no_schl_f,no_schl_p,occ_priv_dwgs_m,occ_priv_dwgs_f,occ_priv_dwgs_p,other_dwgs_m,other_dwgs_f,other_dwgs_p
Rest of NSW,1RNSW,1301717,1341813,2643536,79636,74976,154615,169451,161194,330645,81832,77694,159525,75449,72109,147560,143234,147152,290388,148516,156403,304924,169896,178659,348557,178427,185530,363959,150284,152945,303231,78420,90318,168736,26562,44829,71398,1221476,1270586,2492061,80240,71229,151472,69159,70314,139473,1508,1376,2880,1437,1390,2830,72102,73085,145189,1055655,1084118,2139772,143260,152549,295805,1131372,1170957,2302328,73164,79365,152530,1150097,1193469,2343561,19828,18844,38673,153858,146551,300415,55510,55817,111326,19834,23869,43702,27442,50947,78387,379375,439856,819232,78720,77093,155811,322203,321588,643786,96736,97820,194555,62777,57173,119954,4324,4150,8476,1170058,1216697,2386753,136876,126708,263583
Greater Sydney,1GSYD,2376766,2447221,4823991,159029,151145,310173,303428,286700,590126,147983,140387,288362,172289,168451,340737,381705,392700,774405,344463,351579,696037,307388,320191,627580,253616,270395,524011,179414,193069,372488,92308,111741,204051,35147,60875,96022,2291071,2368376,4659438,85698,78852,164554,33165,33816,66978,962,968,1928,591,634,1221,34716,35419,70135,1365474,1386695,2752169,862759,910741,1773496,1400433,1416378,2816815,834127,893448,1727574,1886229,1948797,3835026,36604,34856,71462,279852,265015,544870,117392,115357,232749,78054,80466,158523,86190,122402,208586,1145472,1207689,2353159,102770,95066,197831,330098,340005,670104,90492,97117,187605,74073,87139,161215,22361,30656,53014,2199263,2273882,4473142,173909,168367,342270
Rest of Vic.,2RVIC,704128,729694,1433818,43001,40662,83665,90754,86052,176804,44925,42043,86967,40923,38606,79529,76820,80178,157001,80170,85363,165539,92963,99158,192122,97495,102238,199728,81432,83397,164829,41289,47547,88833,14351,24446,38801,657588,686387,1343977,46535,43308,89842,10799,11240,22032,436,422,861,297,259,551,11531,11912,23444,568777,588241,1157016,77153,80839,157988,607852,633556,1241408,41964,44525,86498,618924,646010,1264937,7981,7709,15691,81875,77935,159803,31805,31329,63135,9780,12294,22075,11931,23672,35600,201962,254581,456541,94147,93691,187838,117835,105109,222948,52896,46773,99672,39718,39141,78858,3104,2913,6019,626728,653462,1280191,67602,66111,133714
Greater Melbourne,2GMEL,2199597,2285616,4485211,147382,139793,287178,273047,259469,532524,136742,132275,269015,168363,165007,333367,359284,371061,730345,314991,324092,639084,285775,301538,587317,229601,247299,476902,163110,181172,344283,88091,107963,196050,33202,55950,89151,2112673,2201897,4314571,86923,83718,170637,11065,11247,22309,589,562,1154,282,327,604,11933,12136,24062,1322366,1361718,2684080,738906,781344,1520253,1371118,1410070,2781188,702072,748867,1450937,1749174,1819643,3568816,28991,27795,56781,250231,238508,488738,110557,111346,221900,80102,82955,163056,77770,110498,188270,1039767,1137055,2176823,191573,183167,374747,217407,200534,417944,91160,87719,178881,85075,108341,193420,20529,28042,48574,2037435,2117382,4154810,147305,156559,303865
Greater Brisbane,3GBRI,1117452,1153351,2270800,75846,72050,147903,152224,144286,296503,74523,72056,146581,85533,85209,170741,169060,174171,343233,155864,162065,317932,145989,153071,299059,118736,126053,244790,86138,92065,178208,39855,47651,87505,13676,24673,38357,1063673,1107261,2170935,53778,46092,99868,23729,24307,48040,1661,1559,3226,1418,1477,2894,26813,27347,54158,760476,778334,1538813,287771,304822,592593,874756,896353,1771105,173738,191620,365356,908184,940827,1849010,12996,12224,25219,140288,133370,273659,52797,54436,107236,29226,34473,63699,36186,56410,92593,501048,538805,1039856,65514,61750,127264,173192,184054,357243,38645,36274,74919,35613,40918,76532,4965,5887,10856,1028196,1070466,2098662,76529,76676,153197
Rest of Qld,3RQLD,1197426,1222294,2419724,76005,72221,148226,164017,155225,319243,76455,72830,149284,73189,71787,144979,147501,153661,301158,150306,158382,308690,161566,169397,330959,150381,155306,305688,121315,121125,242444,58621,63300,121922,18069,29061,47131,1117961,1162779,2280744,79469,59515,138984,49349,50872,100222,8810,8948,17756,6712,6825,13543,64873,66649,131520,893422,904142,1797567,199955,220134,420086,1009655,1031069,2040720,88915,102104,191020,1004462,1029693,2034156,12826,12208,25033,147934,140409,288348,47599,49253,96849,14754,20276,35024,24670,49711,74387,406768,463029,869803,84276,82049,166323,249727,249702,499426,56640,49891,106526,53875,50121,103991,3915,3593,7507,1062201,1109224,2171426,178571,156766,335330
Rest of SA,4RSAU,190368,187706,378074,10628,10211,20840,23789,22211,46004,10933,10195,21132,9562,8629,18193,19858,19391,39251,20921,20866,41789,26390,25939,52332,28251,27537,55791,24131,23633,47762,11942,12753,24701,3954,6336,10292,176372,175503,351874,13999,12199,26194,7512,7520,15030,148,141,286,108,103,207,7770,7755,15530,154890,151524,306411,20682,21748,42430,166487,165980,332472,9253,9378,18630,168369,167770,336146,1850,1735,3590,21424,20036,41462,7183,7253,14438,1115,1786,2902,2277,5294,7567,46690,57277,103964,34530,31688,66211,33084,29903,62992,12234,10313,22552,11798,10548,22349,785,558,1348,168627,169071,337695,23006,17255,40265
Greater Adelaide,4GADE,633888,661823,1295714,39238,36906,76145,76657,73146,149800,40489,38894,79385,45495,44039,89535,88071,90237,178301,82983,84275,167253,85442,88637,174077,75675,82047,157723,57017,63808,120817,30457,38044,68502,12371,21797,34170,602530,634910,1237445,31363,26910,58272,8450,8888,17339,324,321,645,201,214,416,8977,9426,18403,434535,449707,884250,164565,176489,341062,478987,498145,977128,122891,132244,255134,536690,560730,1097418,6896,6749,13642,71117,67875,138989,31300,31434,62736,18454,20719,39174,21571,32130,53697,263372,288239,551611,89672,84793,174471,75769,79758,155530,25322,26292,51614,23610,29257,52867,4686,6050,10741,586736,614478,1201217,38904,42136,81036
Greater Perth,5GPER,963536,980326,1943858,65040,61672,126713,125113,118507,243617,61400,58729,120129,68351,65083,133434,153198,153484,306680,135474,137133,272610,128061,130632,258693,103140,109824,212965,73986,78385,152368,37102,44899,82007,12680,21972,34652,907598,943036,1850635,55939,37288,93225,14970,14849,29824,394,336,728,331,332,664,15704,15518,31214,553138,560148,1113290,345029,357510,702545,709057,719772,1428821,188965,202000,390963,750315,770916,1521235,13015,12544,25558,115547,109409,224959,45854,46125,91977,24565,25479,50041,29869,44738,74607,419256,450234,869491,75083,73310,148395,150822,149341,300162,33533,32162,65691,22310,25711,48020,4724,5636,10358,870968,905217,1776178,68612,66938,135556
Rest of WA,5RWAU,270936,253230,524167,18037,16823,34861,36347,34759,71105,15633,14085,29712,13936,12444,26382,36864,34190,71057,37316,34084,71401,39332,35869,75202,35231,32821,68053,24386,22272,46655,10696,11297,21993,3157,4595,7752,248699,236924,485631,22239,16301,38540,21135,21396,42537,365,322,686,474,473,944,21977,22198,44169,193393,182469,375860,47572,45924,93497,219403,208689,428090,21782,21956,43732,219601,209989,429591,3236,3052,6285,31884,30527,62402,9252,8893,18141,1291,1834,3123,3652,8117,11763,76852,85186,162038,25652,24289,49946,60279,50269,110543,13344,10275,23623,8940,7132,16077,1045,876,1913,219284,221838,441124,85677,44406,130082
