gccsa_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,gcc_name16
1GSYD,2541152,41,162824242126,47149,64075,4.75,1.87,0.39,0.19,0.496,11.4,25.3,36.1,23.6,24.0,25.0,27.4,Greater Sydney
1RNSW,1327632,45,66616998489,40288,50177,5.29,1.92,0.36,0.14,0.47600000000000003,7.5,20.1,31.4,28.2,27.0,23.7,21.1,Rest of NSW
2GMEL,2332057,41,137182819159,45455,58825,4.59,1.83,0.4,0.19,0.474,9.7,22.9,33.8,24.2,25.1,26.0,24.7,Greater Melbourne
2RVIC,741737,45,34754693884,38850,46856,5.11,1.83,0.36,0.14,0.46799999999999997,7.0,19.7,30.7,29.3,27.9,25.0,17.9,Rest of Vic.
3GBRI,1203042,41,71049970214,46652,59059,4.51,1.8,0.4,0.19,0.46299999999999997,8.8,21.9,32.7,23.3,24.6,26.6,25.5,Greater Brisbane
3RQLD,1273744,43,68220492385,42260,53559,4.92,1.91,0.39,0.17,0.475,7.5,20.3,31.9,26.1,26.7,24.1,23.1,Rest of Qld
4GADE,689843,43,37544500946,44541,54425,4.27,1.76,0.41,0.19,0.446,8.2,20.6,31.1,23.7,26.6,27.6,22.1,Greater Adelaide
4RSAU,193783,46,9002136586,38844,46455,5.13,1.85,0.36,0.13,0.47,6.3,19.0,30.3,29.0,28.2,24.6,18.2,Rest of SA
5GPER,1115973,41,77281561327,52055,69250,4.94,1.91,0.39,0.19,0.48100000000000004,9.0,22.6,34.0,21.5,21.9,23.9,32.7,Greater Perth
5RWAU,282230,43,17541104366,47929,62152,5.55,2.06,0.37,0.16,0.479,6.5,19.1,30.9,24.1,23.0,21.6,31.2,Rest of WA
6GHOB,116024,44,5992008823,42844,51645,4.31,1.77,0.41,0.18,0.442,7.7,19.8,30.1,24.6,27.7,27.1,20.6,Greater Hobart
6RTAS,144324,45,6635064114,38744,45973,4.83,1.8,0.37,0.15,0.455,7.0,19.1,29.9,28.7,29.1,25.2,17.0,Rest of Tas.
7GDAR,81179,38,5317203919,56766,65500,3.54,1.63,0.46,0.25,0.4,6.7,17.9,28.0,16.6,21.0,30.0,32.5,Greater Darwin
7RNTE,31418,39,1796887512,49727,57193,4.21,1.75,0.41,0.21,0.41600000000000004,5.6,16.7,27.2,21.2,23.7,27.4,27.7,Rest of NT
8ACTE,233510,41,15950413768,59484,68307,3.91,1.66,0.42,0.21,0.41200000000000003,6.4,18.0,28.2,17.4,19.6,26.8,36.2,Australian Capital Territory
9OTER,1020,45,73478349,68095,72038,4.69,1.62,0.34,0.15,0.39899999999999997,5.3,15.2,25.1,18.7,13.9,22.7,44.7,Other Territories
