gccsa_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,gcc_name16
1GSYD,2495945,41,153520278521,45267,61508,5.0,1.88,0.38,0.18,0.499,11.4,25.3,36.2,23.6,24.0,24.9,27.5,Greater Sydney
1RNSW,1324764,45,63995638210,38824,48307,5.52,1.93,0.35,0.13,0.479,7.4,20.1,31.5,28.0,27.0,23.7,21.3,Rest of NSW
2GMEL,2291260,41,130470993784,43954,56943,4.79,1.83,0.38,0.18,0.478,9.9,23.3,34.1,24.0,24.9,26.1,25.0,Greater Melbourne
2RVIC,740120,45,33830607659,37977,45710,5.19,1.83,0.35,0.14,0.465,7.1,19.7,30.7,28.5,27.8,25.3,18.4,Rest of Vic.
3GBRI,1188611,40,67267005033,44887,56593,4.71,1.81,0.38,0.18,0.465,8.8,21.9,32.6,23.3,24.5,26.5,25.6,Greater Brisbane
3RQLD,1258246,42,63914148083,40403,50796,5.18,1.92,0.37,0.16,0.475,7.3,20.1,31.6,26.3,26.7,24.1,22.8,Rest of Qld
4GADE,686607,43,35865118120,42836,52235,4.48,1.77,0.39,0.18,0.45,8.3,20.8,31.3,23.8,26.4,27.6,22.2,Greater Adelaide
4RSAU,194165,46,8900894213,38272,45842,5.23,1.84,0.35,0.14,0.467,6.4,19.1,30.4,28.1,27.7,25.1,19.1,Rest of SA
5GPER,1073287,40,69511510017,48913,64765,5.11,1.91,0.37,0.18,0.484,9.2,22.7,34.0,22.2,22.3,23.8,31.8,Greater Perth
5RWAU,275248,42,15968316164,45065,58014,5.73,2.05,0.36,0.16,0.48100000000000004,6.3,18.9,30.8,24.5,23.6,21.6,30.4,Rest of WA
6GHOB,116938,44,5805599916,41456,49647,4.48,1.77,0.39,0.18,0.442,7.5,19.7,30.1,24.5,27.5,27.3,20.7,Greater Hobart
6RTAS,146719,45,6500536526,37574,44306,4.97,1.79,0.36,0.15,0.451,6.7,18.8,29.5,28.2,29.0,25.5,17.3,Rest of Tas.
7GDAR,77385,38,4768141314,53961,61616,3.58,1.63,0.45,0.23,0.39899999999999997,6.5,17.6,27.6,16.8,21.0,30.6,31.6,Greater Darwin
7RNTE,31131,39,1703067359,47897,54706,4.3,1.74,0.4,0.2,0.415,5.2,16.3,26.9,21.1,23.6,27.6,27.7,Rest of NT
8ACTE,229162,41,15021190097,57090,65548,4.03,1.67,0.41,0.2,0.41600000000000004,6.3,18.0,28.3,17.6,19.6,26.6,36.1,Australian Capital Territory
9OTER,969,46,64985822,63643,67065,3.93,1.55,0.39,0.16,0.385,4.8,15.4,24.7,17.2,14.7,25.5,42.7,Other Territories
