gcc_code16,m_pg_deg_15_24_yr,m_pg_deg_25_34_yr,m_pg_deg_35_44_yr,m_pg_deg_45_54_yr,m_pg_deg_55_64_yr,m_pg_deg_65_74_yr,m_pg_deg_75_84_yr,m_pg_deg_85_yr_over,m_pg_deg_tot,m_grad_dip_cer_15_24,m_grad_dip_cer_25_34,m_grad_dip_cer_35_44,m_grad_dip_cer_45_54,m_grad_dip_cer_55_64,m_grad_dip_cer_65_74,m_grad_dip_cer_75_84,m_grad_dip_cer_85_over,m_grad_dip_cer_tot,m_b_deg_15_24_yr,m_b_deg_25_34_yr,m_b_deg_35_44_yr,m_b_deg_45_54_yr,m_b_deg_55_64_yr,m_b_deg_65_74_yr,m_b_deg_75_84_yr,m_b_deg_85_yr_over,m_b_deg_tot,m_adv_dip_dip_15_24,m_adv_dip_dip_25_34,m_adv_dip_dip_35_44,m_adv_dip_dip_45_54,m_adv_dip_dip_55_64,m_adv_dip_dip_65_74,m_adv_dip_dip_75_84,m_adv_dip_dip_85_over,m_adv_dip_dip_total,m_cer_iii_iv_15_24_yr,m_cer_iii_iv_25_34_yr,m_cer_iii_iv_35_44_yr,m_cer_iii_iv_45_54_yr,m_cer_iii_iv_55_64_yr,m_cer_iii_iv_65_74_yr,m_cer_iii_iv_75_84_yr,m_cer_iii_iv_85_yr,m_cer_iii_iv_tot,m_cer_i_ii_15_24_yr,m_cer_i_ii_25_34_yr,m_cer_i_ii_35_44_yr,m_cer_i_ii_45_54_yr,m_cer_i_ii_55_64_yr,m_cer_i_ii_65_74_yr,m_cer_i_ii_75_84_yr,m_cer_i_ii_85_yr_over,m_cer_i_ii_tot,m_cer_nfd_15_24_yr,m_cer_nfd_25_34_yr,m_cer_nfd_35_44_yr,m_cer_nfd_45_54_yr,m_cer_nfd_55_64_yr,m_cer_nfd_65_74_yr,m_cer_nfd_75_84_yr,m_cer_nfd_85_yr_over,m_cer_nfd_tot,m_cer_tot_15_24_yr,m_cer_tot_25_34_yr,m_cer_tot_35_44_yr,m_cer_tot_45_54_yr,m_cer_tot_55_64_yr,m_cer_tot_65_74_yr,m_cer_tot_75_84_yr,m_cer_tot_85_yr_over,m_cer_tot_tot,m_lvl_educ_inad_desc_15_24,m_lvl_educ_inad_desc_25_34,m_lvl_educ_inad_desc_35_44,m_lvl_educ_inad_desc_45_54,m_lvl_educ_inad_desc_55_64,m_lvl_educ_inad_desc_65_74,m_lvl_educ_inad_desc_75_84,m_lvl_educ_inad_desc_85,m_lvl_educ_inad_desc_tot,m_lvl_educ_ns_15_24,m_lvl_educ_ns_25_34,m_lvl_educ_ns_35_44,m_lvl_educ_ns_45_54,m_lvl_educ_ns_55_64,m_lvl_educ_ns_65_74,m_lvl_educ_ns_75_84,m_lvl_educ_ns_85,m_lvl_educ_ns_tot,m_tot_15_24_yr,m_tot_25_34_yr,m_tot_35_44_yr,m_tot_45_54_yr,m_tot_55_64_yr,m_tot_65_74_yr,m_tot_75_84_yr,m_tot_85_yr_over,m_tot_tot,f_pg_deg_15_24_yr,f_pg_deg_25_34_yr,f_pg_deg_35_44_yr,f_pg_deg_45_54_yr,f_pg_deg_55_64_yr,f_pg_deg_65_74_yr,f_pg_deg_75_84_yr,f_pg_deg_85_yr_over,f_pguate_deg_tot,f_grad_dip_cer_15_24,f_grad_dip_cer_25_34,f_grad_dip_cer_35_44,f_grad_dip_cer_45_54,f_grad_dip_cer_55_64,f_grad_dip_cer_65_74,f_grad_dip_cer_75_84,f_grad_dip_cer_85_over,f_grad_dip_cer_tot,f_b_deg_15_24_yr,f_b_deg_25_34_yr,f_b_deg_35_44_yr,f_b_deg_45_54_yr,f_b_deg_55_64_yr,f_b_deg_65_74_yr,f_b_deg_75_84_yr,f_b_deg_85_yr_over,f_b_deg_tot,f_adv_dip_dip_15_24,f_adv_dip_dip_25_34,f_adv_dip_dip_35_44,f_adv_dip_dip_45_54,f_adv_dip_dip_55_64,f_adv_dip_dip_65_74,f_adv_dip_dip_75_84,f_adv_dip_dip_85_over,f_adv_dip_dip_total,f_cer_iii_iv_15_24_yr,f_cer_iii_iv_25_34_yr,f_cer_iii_iv_35_44_yr,f_cer_iii_iv_45_54_yr,f_cer_iii_iv_55_64_yr,f_cer_iii_iv_65_74_yr,f_cer_iii_iv_75_84_yr,f_cer_iii_iv_85_yr,f_cer_iii_iv_tot,f_cer_i_ii_15_24_yr,f_cer_i_ii_25_34_yr,f_cer_i_ii_35_44_yr,f_cer_i_ii_45_54_yr,f_cer_i_ii_55_64_yr,f_cer_i_ii_65_74_yr,f_cer_i_ii_75_84_yr,f_cer_i_ii_85_yr_over,f_cer_i_ii_tot,f_cer_nfd_15_24_yr,f_cer_nfd_25_34_yr,f_cer_nfd_35_44_yr,f_cer_nfd_45_54_yr,f_cer_nfd_55_64_yr,f_cer_nfd_65_74_yr,f_cer_nfd_75_84_yr,f_cer_nfd_85_yr_over,f_cer_nfd_tot,f_cer_tot_15_24_yr,f_cer_tot_25_34_yr,f_cer_tot_35_44_yr,f_cer_tot_45_54_yr,f_cer_tot_55_64_yr,f_cer_tot_65_74_yr,f_cer_tot_75_84_yr,f_cer_tot_85_yr_over,f_cer_tot_tot,f_lvl_educ_inad_desc_15_24,f_lvl_educ_inad_desc_25_34,f_lvl_educ_inad_desc_35_44,f_lvl_educ_inad_desc_45_54,f_lvl_educ_inad_desc_55_64,f_lvl_educ_inad_desc_65_74,f_lvl_educ_inad_desc_75_84,f_lvl_educ_inad_desc_85,f_lvl_educ_inad_desc_tot,f_lvl_educ_ns_15_24,f_lvl_educ_ns_25_34,f_lvl_educ_ns_35_44,f_lvl_educ_ns_45_54,f_lvl_educ_ns_55_64,f_lvl_educ_ns_65_74,f_lvl_educ_ns_75_84,f_lvl_educ_ns_85,f_lvl_educ_ns_tot,f_tot_15_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_pg_deg_15_24_yr,p_pg_deg_25_34_yr,gcc_name16
1RNSW,159,4120,5841,5716,5792,4445,1444,330,27845,103,1267,2007,2361,3206,1935,482,97,11460,4268,18522,18560,15504,16276,11104,3915,1093,89244,2448,9368,13268,14821,13982,9912,3830,1082,68714,22444,48829,47571,53767,52547,38802,19024,5170,288152,2749,2156,1584,1477,1254,806,281,56,10366,1274,2005,2421,3049,3739,3525,1674,460,18153,26463,52995,51581,58294,57540,43130,20975,5686,316664,451,820,862,928,1131,1238,692,221,6355,16172,15025,14672,16800,18092,18304,13415,6350,118837,50070,102113,106798,114434,116014,90070,44754,14864,639118,320,6159,7130,6283,5631,2824,628,94,29068,405,3430,4479,4640,5691,2572,597,102,21927,7653,33039,32596,23899,21515,12248,4335,1232,136517,5695,16750,20111,23134,22456,13402,5303,1546,108402,18374,30360,27624,28585,20550,7935,2148,948,136528,3991,3561,3594,3876,3474,1884,434,125,20944,2259,3160,4571,7165,8040,6070,2253,804,34328,24623,37079,35793,39628,32070,15886,4841,1878,191801,448,863,950,1474,2305,2323,1135,504,10011,14114,11627,11968,15553,18954,21231,18803,12755,125011,53277,108948,113034,114616,108623,70489,35637,18111,622742,481,10278,Rest of NSW
1GSYD,1821,39195,41943,28127,19530,10892,3580,864,145951,434,5064,6943,5889,5136,2597,746,164,26974,27110,102409,79885,56310,41925,23722,8961,2831,343153,11260,35711,35274,31460,22147,12728,5290,1895,155756,26062,61379,60554,62591,50507,35484,18744,6150,321476,2419,2663,2173,1926,1422,968,328,103,11992,2166,4496,5227,5843,5898,4789,2092,641,31147,30649,68541,67952,70361,57827,41244,21155,6886,364617,1445,3637,3496,3109,2671,2092,1120,429,17998,24354,33402,26895,24071,19977,16396,11998,6874,163959,97080,287952,262386,219326,169215,109664,52853,19938,1218411,3518,50218,40322,23920,14555,6452,1511,363,140849,1090,9008,10424,9178,8109,3963,966,215,42952,37919,131709,100183,64939,41627,20432,7341,2323,406478,15985,43119,46215,43539,31599,18042,7511,2751,208765,19563,36231,32235,30087,19530,8296,2847,1351,150143,3589,3825,4820,4813,3767,1853,521,214,23404,3039,5182,8421,11292,10619,7585,2961,1540,50636,26189,45239,45481,46192,33921,17730,6330,3101,224186,1367,3476,3573,4225,4605,3699,1857,882,23693,22246,30455,23720,22419,21511,20571,17671,14856,173457,108317,313225,269911,214409,155920,90901,43193,24500,1220371,5339,89413,Greater Sydney
2RVIC,171,1902,2562,2515,2442,1849,547,99,12079,90,956,1519,1750,2019,1202,239,45,7821,2534,10007,10253,7728,7974,5145,1596,456,45683,1646,5580,6863,7566,7820,5930,2118,558,38081,13345,27175,25211,28718,26040,17299,7996,2308,148099,1325,1004,771,627,612,349,79,18,4785,586,1088,1229,1392,1610,1375,529,186,7997,15259,29271,27214,30736,28256,19029,8602,2513,160877,189,416,460,469,553,572,384,122,3166,8879,8016,7988,9350,9748,9596,6894,3314,63789,28770,56146,56852,60118,58813,43321,20378,7110,331505,377,3033,3481,2881,2609,1300,238,45,13966,314,2902,3784,3841,3630,1615,357,53,16492,4572,18515,17750,12619,11434,6431,2288,679,74287,3466,9890,11386,12646,11481,7055,2720,1006,59650,9571,16170,14106,14669,10732,4391,1106,433,71182,1849,1902,1732,1670,1445,694,137,56,9487,1074,1724,2202,2480,2527,1706,582,258,12553,12501,19791,18037,18818,14706,6787,1830,758,93226,202,452,443,582,695,820,436,238,3868,8024,6330,6738,8584,10441,11341,9779,6320,67556,29445,60915,61626,59973,54997,35339,17649,9106,329041,550,4937,Rest of Vic.
2GMEL,2090,34430,32629,21068,14470,8306,2598,607,116207,525,6232,8149,7512,6643,3199,770,166,33192,26087,94577,72627,48813,34358,18865,6798,2227,304353,12511,36995,32134,27321,20688,13728,5549,1892,150822,29085,65719,58468,62640,47928,30344,16613,5270,316065,2886,2512,2006,1562,986,559,195,41,10744,1966,3806,4163,4396,3983,2785,1280,455,22847,33933,72033,64641,68601,52897,33689,18093,5770,349654,1208,2920,2662,2199,1889,1558,896,356,13678,22173,28343,22590,20587,17708,15209,11357,6077,144043,98522,275527,235430,196109,148654,94552,46049,17097,1111947,3071,43639,32768,18807,11400,5030,1143,294,116157,1532,13776,15297,13725,10412,4410,1080,226,60444,35855,121751,91535,56852,35676,17819,6571,2168,368232,16666,44227,43029,39034,27124,14977,6245,2292,193586,19931,36705,31315,30963,19549,8292,2740,1172,150666,3351,3473,3720,3601,2667,1399,348,120,18678,2692,5106,6584,7845,6488,4422,1821,973,35931,25972,45285,41620,42408,28703,14113,4914,2266,205275,1185,2864,2554,2501,2489,2291,1227,638,15739,21267,27018,21166,21092,20372,19961,17096,12591,160563,105555,298564,247967,194418,136171,78597,38269,20464,1120006,5168,78070,Greater Melbourne
3GBRI,482,10321,12362,9645,6732,3874,1243,297,44965,300,2536,3372,3453,2644,1208,329,59,13902,10151,34847,29837,21466,14587,8705,2966,734,123286,5887,13412,14969,14829,11316,6850,2420,640,70331,20349,40823,36747,35641,29588,20712,9616,2609,196087,3384,1718,1210,802,519,337,110,20,8109,1425,2152,2373,2164,2045,1713,763,239,12879,25158,44694,40329,38609,32153,22767,10491,2872,217070,610,1212,1152,1012,847,825,503,164,6333,12086,13734,11468,10450,9075,8294,5838,3075,74020,54686,120747,113494,99461,77363,52522,23788,7842,549904,772,13428,12567,8704,5389,2286,444,102,43699,717,5284,6326,5715,4063,1825,498,77,24515,15309,49934,41707,26722,16700,8774,2858,852,162867,9142,20019,20944,20150,13889,7608,2876,852,95472,17388,24336,20485,19013,12849,4937,1144,418,100565,3884,2570,2034,1842,1424,789,154,67,12767,1919,2894,3738,3976,3703,2378,799,351,19763,23186,29797,26264,24835,17975,8104,2100,835,133100,564,1107,1028,1250,1256,1103,574,251,7128,10761,12044,9888,9985,9520,9617,8230,6731,76778,60448,131616,118726,97359,68783,39330,17585,9692,543550,1251,23752,Greater Brisbane
3RQLD,240,3782,5039,4871,4293,3239,1129,163,22760,183,1325,1893,2261,2306,1401,383,51,9813,4799,18507,17992,14316,12416,9188,3321,805,81339,3127,9444,13239,14746,12988,9525,3525,874,67471,22954,50360,49460,50428,46334,34492,15043,3393,272464,3769,1985,1396,1125,805,578,198,23,9882,1340,2129,2520,2798,2933,2655,1280,290,15942,28055,54476,53382,54356,50071,37726,16519,3709,298283,408,867,1002,1029,1104,1171,738,211,6539,16642,18425,17468,18625,18200,17761,11417,4544,123086,53454,106827,110024,110207,101379,80007,37035,10346,609278,413,5521,6374,5313,4221,1973,386,77,24272,552,3511,4432,4615,4048,1904,502,58,19636,9172,34367,31750,22785,17644,10245,3521,862,130343,6506,17868,21251,22475,18488,10844,3868,990,102290,18892,28117,25524,24866,17982,7550,1718,525,125170,4654,3297,2726,2422,2135,1160,245,61,16686,2155,3222,4312,4869,4732,3611,1261,366,24527,25698,34634,32561,32155,24848,12318,3222,946,166379,473,881,970,1254,1443,1627,863,283,7793,14771,14899,14313,16291,17827,18764,13674,8209,118751,57594,111689,111647,104890,88519,57676,26024,11423,569462,655,9302,Rest of Qld
4RSAU,18,237,313,323,379,310,89,15,1686,9,111,168,236,365,211,42,5,1142,365,1700,1724,1404,1507,1147,327,76,8246,184,863,1311,1703,1921,1512,472,130,8086,3189,7079,6784,7729,7467,5392,2422,630,40701,516,510,339,258,214,126,29,8,2002,192,383,452,549,584,501,193,44,2906,3906,7976,7577,8537,8261,6020,2643,691,45612,57,126,151,168,217,187,94,46,1044,2387,2565,2598,2992,3041,2805,1866,862,19107,6912,13568,13839,15366,15698,12186,5529,1823,84919,40,448,444,379,391,228,39,5,1962,48,336,444,547,662,304,70,9,2423,843,3595,3281,2367,2412,1442,496,146,14574,499,1748,2291,3052,3078,1835,525,170,13199,2399,4251,3850,4057,3067,1266,295,104,19278,650,776,674,510,395,214,53,17,3296,311,471,736,774,734,488,159,55,3731,3365,5501,5260,5344,4199,1972,501,168,26306,48,109,119,134,176,204,113,59,962,1941,1555,1617,2231,2591,2863,2302,1601,16705,6787,13298,13456,14050,13513,8842,4047,2149,76131,53,683,Rest of SA
4GADE,254,5507,6197,4612,3618,2375,912,239,23700,104,1170,1665,1783,1739,971,233,49,7719,4834,17924,15551,10993,9072,6038,1984,753,67149,1898,6932,7932,8563,7319,5093,1835,610,40185,9571,21315,18811,21027,18185,12869,7169,2349,111288,1717,1425,950,669,468,286,94,27,5639,638,1079,1295,1460,1532,1325,629,211,8180,11919,23818,21051,23165,20184,14477,7887,2591,125103,314,701,703,677,651,608,370,161,4181,5284,5575,5069,5305,4962,4434,3592,2196,36418,24617,61627,58171,55087,47545,33995,16813,6606,304459,404,7361,6405,4181,3054,1524,340,65,23349,302,2418,3182,3006,2880,1408,315,61,13579,7284,26420,21558,14168,10875,5951,2100,799,89164,2729,9123,10514,11780,9922,5449,1998,846,52354,8236,13971,11448,11513,7857,3407,1054,455,57937,1986,2020,1592,1325,1004,470,132,41,8575,890,1549,2256,2499,2270,1610,653,331,12060,11109,17538,15300,15338,11131,5490,1840,825,78574,299,656,631,761,747,788,462,244,4579,4901,5071,4526,5104,5340,5909,5674,4439,40971,27028,68591,62117,54345,43959,26515,12737,7285,302570,657,12867,Greater Adelaide
5GPER,367,8232,10125,7719,5374,3173,1066,249,36307,215,2205,2742,2854,2188,1072,254,56,11582,8245,31376,26352,19240,13628,7893,2734,795,110248,4178,13131,12993,12314,10057,6955,2813,735,63171,16085,36119,30702,32047,26516,17635,8917,2248,170274,2701,1488,940,698,448,250,67,27,6613,898,1724,1905,2025,1782,1438,775,204,10762,19684,39333,33545,34770,28745,19320,9764,2483,187645,479,1207,1222,1057,860,791,400,137,6158,9747,13150,10549,9500,7909,6961,5434,2896,66151,42914,108635,97526,87460,68756,46167,22469,7337,481256,579,10563,9789,6362,3857,1681,388,82,33307,575,4745,5381,4888,3579,1310,361,84,20915,12213,45656,35668,23434,14787,7738,3035,805,143345,5927,16502,17332,17114,13161,7100,2926,914,80982,12189,20177,15988,14756,9556,4002,1258,471,78402,3066,2334,1980,1711,1316,731,232,81,11449,1373,2706,3908,4266,3684,2567,1034,405,19941,16628,25222,21876,20732,14556,7301,2522,961,109791,498,1305,1138,1270,1285,1163,638,275,7572,8788,11453,9330,9111,9043,9055,8642,6593,72017,45211,115454,100514,82908,60266,35348,18514,9721,467937,947,18798,Greater Perth
5RWAU,21,680,939,785,733,569,136,26,3896,22,305,463,460,488,246,54,6,2051,600,4265,4030,3132,2727,1701,475,103,17036,414,2135,2984,3375,3009,2054,604,126,14700,5514,15679,14573,14267,11518,6643,2296,455,70944,943,619,418,339,251,125,37,0,2738,271,576,746,728,741,650,204,56,3972,6728,16880,15729,15333,12510,7419,2542,509,77657,95,219,268,257,229,228,100,32,1430,4518,8445,7657,7469,6085,4185,2164,780,41294,12401,32928,32068,30806,25793,16406,6075,1584,158057,38,858,918,722,645,300,45,4,3533,99,843,1043,926,918,371,60,3,4273,1213,6665,6364,4424,3544,2062,683,139,25103,862,3396,3774,4156,4098,2343,753,192,19560,3318,6345,5374,5036,3488,1360,294,91,25308,1306,1053,818,652,530,259,56,10,4688,450,777,1072,1130,1175,703,192,53,5551,5075,8183,7267,6816,5199,2319,542,149,35547,78,230,208,240,296,290,157,38,1528,3588,4518,3921,4519,4756,4223,2610,1320,29453,10944,24684,23489,21806,19462,11911,4849,1850,118998,57,1536,Rest of WA
