gcc_code16,hnfa_15_19_ewft,hnfa_15_19_ewpt,hnfa_15_19_eafw,hnfa_15_19_ehw_ns,hnfa_15_19_tot,hnfa_20_24_ewft,hnfa_20_24_ewpt,hnfa_20_24_eafw,hnfa_20_24_ehw_ns,hnfa_20_24_tot,hnfa_25_29_ewft,hnfa_25_29_ewpt,hnfa_25_29_eafw,hnfa_25_29_ehw_ns,hnfa_25_29_tot,hnfa_30_34_ewft,hnfa_30_34_ewpt,hnfa_30_34_eafw,hnfa_30_34_ehw_ns,hnfa_30_34_tot,hnfa_35_39_ewft,hnfa_35_39_ewpt,hnfa_35_39_eafw,hnfa_35_39_ehw_ns,hnfa_35_39_tot,hnfa_40_44_ewft,hnfa_40_44_ewpt,hnfa_40_44_eafw,hnfa_40_44_ehw_ns,hnfa_40_44_tot,hnfa_45_49_ewft,hnfa_45_49_ewpt,hnfa_45_49_eafw,hnfa_45_49_ehw_ns,hnfa_45_49_tot,hnfa_50_54_ewft,hnfa_50_54_ewpt,hnfa_50_54_eafw,hnfa_50_54_ehw_ns,hnfa_50_54_tot,hnfa_55_59_ewft,hnfa_55_59_ewpt,hnfa_55_59_eafw,hnfa_55_59_ehw_ns,hnfa_55_59_tot,hnfa_60_64_ewft,hnfa_60_64_ewpt,hnfa_60_64_eafw,hnfa_60_64_ehw_ns,hnfa_60_64_tot,hnfa_65_69_ewft,hnfa_65_69_ewpt,hnfa_65_69_eafw,hnfa_65_69_ehw_ns,hnfa_65_69_tot,hnfa_70_74_ewft,hnfa_70_74_ewpt,hnfa_70_74_eafw,hnfa_70_74_ehw_ns,hnfa_70_74_tot,hnfa_75ov_ewft,hnfa_75ov_ewpt,hnfa_75ov_eafw,hnfa_75ov_ehw_ns,hnfa_75ov_tot,hnfa_tot_ewft,hnfa_tot_ewpt,hnfa_tot_eafw,hnfa_tot_ehw_ns,hnfa_tot_tot,dnhnfa_15_19_ewft,dnhnfa_15_19_ewpt,dnhnfa_15_19_eafw,dnhnfa_15_19_ehw_ns,dnhnfa_15_19_tot,dnhnfa_20_24_ewft,dnhnfa_20_24_ewpt,dnhnfa_20_24_eafw,dnhnfa_20_24_ehw_ns,dnhnfa_20_24_tot,dnhnfa_25_29_ewft,dnhnfa_25_29_ewpt,dnhnfa_25_29_eafw,dnhnfa_25_29_ehw_ns,dnhnfa_25_29_tot,dnhnfa_30_34_ewft,dnhnfa_30_34_ewpt,dnhnfa_30_34_eafw,dnhnfa_30_34_ehw_ns,dnhnfa_30_34_tot,dnhnfa_35_39_ewft,dnhnfa_35_39_ewpt,dnhnfa_35_39_eafw,dnhnfa_35_39_ehw_ns,dnhnfa_35_39_tot,dnhnfa_40_44_ewft,dnhnfa_40_44_ewpt,dnhnfa_40_44_eafw,dnhnfa_40_44_ehw_ns,dnhnfa_40_44_tot,dnhnfa_45_49_ewft,dnhnfa_45_49_ewpt,dnhnfa_45_49_eafw,dnhnfa_45_49_ehw_ns,dnhnfa_45_49_tot,dnhnfa_50_54_ewft,dnhnfa_50_54_ewpt,dnhnfa_50_54_eafw,dnhnfa_50_54_ehw_ns,dnhnfa_50_54_tot,dnhnfa_55_59_ewft,dnhnfa_55_59_ewpt,dnhnfa_55_59_eafw,dnhnfa_55_59_ehw_ns,dnhnfa_55_59_tot,dnhnfa_60_64_ewft,dnhnfa_60_64_ewpt,dnhnfa_60_64_eafw,dnhnfa_60_64_ehw_ns,dnhnfa_60_64_tot,dnhnfa_65_69_ewft,dnhnfa_65_69_ewpt,dnhnfa_65_69_eafw,dnhnfa_65_69_ehw_ns,dnhnfa_65_69_tot,dnhnfa_70_74_ewft,dnhnfa_70_74_ewpt,dnhnfa_70_74_eafw,dnhnfa_70_74_ehw_ns,dnhnfa_70_74_tot,dnhnfa_75ov_ewft,dnhnfa_75ov_ewpt,dnhnfa_75ov_eafw,dnhnfa_75ov_ehw_ns,dnhnfa_75ov_tot,dnhnfa_tot_ewft,dnhnfa_tot_ewpt,dnhnfa_tot_eafw,dnhnfa_tot_ehw_ns,dnhnfa_tot_tot,nfans_15_19_ewft,nfans_15_19_ewpt,nfans_15_19_eafw,nfans_15_19_ehw_ns,nfans_15_19_tot,nfans_20_24_ewft,nfans_20_24_ewpt,nfans_20_24_eafw,nfans_20_24_ehw_ns,nfans_20_24_tot,nfans_25_29_ewft,nfans_25_29_ewpt,nfans_25_29_eafw,nfans_25_29_ehw_ns,nfans_25_29_tot,nfans_30_34_ewft,nfans_30_34_ewpt,nfans_30_34_eafw,nfans_30_34_ehw_ns,nfans_30_34_tot,nfans_35_39_ewft,nfans_35_39_ewpt,nfans_35_39_eafw,nfans_35_39_ehw_ns,nfans_35_39_tot,nfans_40_44_ewft,nfans_40_44_ewpt,nfans_40_44_eafw,nfans_40_44_ehw_ns,nfans_40_44_tot,nfans_45_49_ewft,nfans_45_49_ewpt,nfans_45_49_eafw,nfans_45_49_ehw_ns,nfans_45_49_tot,nfans_50_54_ewft,nfans_50_54_ewpt,nfans_50_54_eafw,nfans_50_54_ehw_ns,nfans_50_54_tot,nfans_55_59_ewft,nfans_55_59_ewpt,nfans_55_59_eafw,nfans_55_59_ehw_ns,nfans_55_59_tot,nfans_60_64_ewft,nfans_60_64_ewpt,nfans_60_64_eafw,nfans_60_64_ehw_ns,nfans_60_64_tot,nfans_65_69_ewft,nfans_65_69_ewpt,nfans_65_69_eafw,nfans_65_69_ehw_ns,nfans_65_69_tot,nfans_70_74_ewft,nfans_70_74_ewpt,nfans_70_74_eafw,nfans_70_74_ehw_ns,nfans_70_74_tot,gcc_name16
1RNSW,85,499,35,14,628,160,624,41,28,853,178,541,48,18,789,213,487,57,23,782,216,438,63,34,746,372,557,88,35,1053,393,606,98,32,1127,452,664,119,44,1271,396,621,119,42,1170,264,476,128,43,908,139,353,51,31,580,52,180,20,37,292,111,285,71,110,576,3021,6316,944,487,10773,14192,42721,2532,1888,61325,47505,34290,2813,2253,86857,60520,24964,3857,1717,91058,58770,28193,4698,1607,93266,57779,29835,3092,1504,92212,67871,33029,2521,1651,105070,72894,32922,2631,1727,110167,73014,33946,3284,1646,111881,65208,34238,4245,1503,105193,38225,28177,3395,1161,70964,14020,15433,1634,730,31824,4742,6802,634,474,12655,3025,3841,392,723,7985,577764,348387,35733,18577,980465,165,398,25,57,644,503,347,49,104,1001,662,312,37,66,1080,726,407,61,68,1269,783,507,50,71,1407,992,594,34,83,1703,1000,522,42,75,1633,1075,548,57,83,1751,903,561,78,70,1608,530,437,52,41,1055,251,237,27,26,546,90,134,16,23,266,Rest of NSW
1GSYD,125,518,33,31,707,344,937,48,42,1367,442,789,65,30,1322,480,698,105,37,1323,520,662,75,26,1278,892,873,131,48,1943,809,915,121,45,1892,895,994,147,54,2086,797,896,136,57,1891,500,767,139,52,1459,241,458,72,42,799,87,287,30,32,447,80,323,51,89,551,6206,9117,1165,578,17064,17353,67477,3532,2539,90902,101614,92248,4895,5615,204367,192561,60918,7261,5814,266555,206128,59872,11759,5296,283061,184096,60622,8616,4378,257713,178091,61588,5038,3771,248481,167083,56792,3963,3689,231530,153100,51609,4388,3432,212521,122574,47106,4769,2545,176999,69558,39569,3847,1776,114753,25943,24775,2104,897,53717,6758,10937,761,421,18873,2456,5384,385,446,8674,1427322,638902,61305,40609,2168148,203,527,24,86,844,918,750,45,188,1890,1494,576,73,207,2354,1778,656,107,216,2759,1815,686,87,181,2769,1965,729,57,180,2938,1932,681,48,164,2828,1799,629,49,140,2604,1506,600,52,131,2296,867,479,31,96,1475,391,370,34,40,835,92,172,10,29,302,Greater Sydney
2RVIC,48,285,20,17,374,81,357,22,26,487,81,303,29,12,426,77,294,35,10,422,97,261,45,20,421,178,292,49,12,540,189,368,57,16,630,219,362,63,15,672,163,339,77,21,602,130,272,87,25,513,69,163,35,16,290,38,92,13,16,163,72,185,52,47,350,1456,3576,592,265,5886,6840,25106,1371,1139,34455,26372,19649,1701,1304,49030,34096,13358,2199,961,50611,31473,15570,2800,837,50684,30326,17081,1987,816,50208,35276,19487,1639,932,57340,38938,20008,1707,939,61591,39611,19896,2292,983,62779,35375,20518,2766,937,59601,22007,17507,2518,751,42790,8129,9565,1309,432,19440,2729,3900,442,309,7375,1844,2342,300,431,4918,313016,203985,23037,10777,550812,75,286,12,35,406,314,180,19,65,577,389,197,24,39,656,446,287,51,39,825,458,304,36,35,833,513,328,26,43,918,557,311,28,50,942,564,319,39,31,954,526,316,36,47,919,297,274,34,38,640,146,145,19,21,335,47,58,13,4,130,Rest of Vic.
2GMEL,63,568,38,13,671,259,791,47,26,1127,381,597,82,29,1092,419,661,113,25,1213,480,654,110,39,1271,687,801,115,40,1642,717,802,163,43,1731,693,754,168,66,1683,585,756,182,38,1569,434,623,164,40,1264,172,440,75,31,715,83,225,29,21,360,71,272,53,101,498,5040,7953,1330,514,14834,10728,67873,2610,2261,83466,84315,96971,4665,4916,190864,175249,62481,6875,5265,249872,186711,59883,11499,4614,262704,160495,61139,8450,3647,233732,154578,63724,5024,3394,226721,153317,61348,4235,3392,222293,136444,52771,4395,2994,196610,107878,47748,4678,2355,162662,61904,39628,4059,1584,107175,21640,23656,2077,863,48239,5441,9747,773,448,16415,2120,4600,373,482,7582,1260825,651580,59705,36211,2008325,129,523,24,88,767,781,844,39,182,1841,1528,581,56,186,2351,1677,620,113,162,2574,1601,697,91,161,2553,1734,749,59,159,2701,1812,755,61,151,2787,1665,668,51,135,2519,1346,636,63,88,2132,836,496,52,79,1471,330,384,26,35,779,110,161,10,32,314,Greater Melbourne
3GBRI,63,499,23,19,601,203,521,40,12,777,210,393,47,15,669,291,375,66,14,743,263,341,73,13,692,386,380,81,26,879,454,466,100,33,1047,444,407,91,28,975,360,413,103,23,895,233,314,80,17,651,108,204,24,16,353,42,133,8,18,201,33,121,24,59,236,3094,4581,766,287,8729,10282,43684,1669,1375,57009,53833,46210,2673,2209,104926,81057,29788,3943,2132,116924,85035,29359,5836,1859,122091,78701,29442,3972,1618,113732,82941,30499,2530,1628,117597,81717,28379,2353,1544,113992,73019,24446,2652,1257,101377,57010,22284,2849,1011,83148,32937,17891,2237,692,53752,11045,10556,1018,347,22961,2626,4173,288,178,7262,913,1795,120,233,3066,651114,318504,32148,16074,1017846,90,364,10,43,506,442,338,25,78,878,634,267,27,94,1019,735,338,58,82,1212,783,369,35,68,1257,923,357,36,73,1388,956,345,34,80,1424,870,332,32,64,1297,711,255,26,58,1049,436,233,27,37,726,164,137,17,26,342,42,73,3,16,133,Greater Brisbane
3RQLD,79,589,31,16,724,177,522,28,24,750,201,405,45,23,661,209,335,40,19,604,238,337,78,12,657,359,431,84,25,900,351,466,87,27,926,442,502,122,26,1087,366,499,106,32,1010,270,392,87,30,782,125,279,38,22,468,73,156,24,23,269,112,218,37,92,454,2992,5135,805,359,9294,14073,44553,1984,1627,62232,52058,32514,2500,2003,89077,65720,25260,3975,1857,96819,66033,27654,4716,1737,100136,63434,29245,3175,1624,97478,72173,31701,2671,1815,108366,75898,31032,2703,1764,111407,71818,29502,3170,1529,106014,60213,27819,3438,1352,92819,36414,22542,2765,1009,62730,13562,12852,1252,631,28295,4254,5575,448,354,10625,2175,2708,250,457,5589,597818,322959,33050,17758,971585,132,461,25,71,696,541,303,28,82,953,595,273,57,68,993,741,387,63,63,1253,834,389,47,71,1337,969,445,38,88,1536,1015,446,45,96,1601,1025,442,44,64,1571,830,420,53,67,1365,523,360,28,32,942,201,207,26,15,448,73,105,11,22,214,Rest of Qld
4RSAU,9,60,3,0,70,18,86,12,4,116,23,77,7,5,117,23,66,10,0,100,26,59,6,6,98,50,84,15,4,151,52,92,12,3,153,55,112,19,4,190,54,91,15,3,166,33,95,11,12,149,31,49,3,4,81,12,28,6,9,56,11,44,16,15,81,393,932,129,73,1536,1841,5684,308,259,8096,6756,4043,457,245,11498,8320,3344,622,227,12516,8031,4092,658,262,13041,7805,4347,472,193,12817,9368,4745,455,235,14807,10795,5323,510,259,16886,10851,5271,631,256,17007,9851,5440,744,247,16284,6575,4498,679,179,11923,2465,2587,366,119,5535,848,1209,138,80,2273,548,749,95,140,1523,84054,51324,6135,2693,144208,16,73,0,6,94,87,65,6,8,173,109,63,19,10,195,142,77,20,3,244,127,72,7,11,209,169,101,7,9,285,183,88,8,16,298,147,103,3,17,264,154,82,11,5,254,88,66,14,7,180,50,50,3,8,110,14,22,0,10,44,Rest of SA
4GADE,26,224,10,6,267,110,330,12,8,461,134,301,25,16,473,151,259,37,12,457,125,243,37,11,427,202,295,44,15,557,236,319,41,11,613,228,344,68,13,652,201,326,73,11,615,109,247,46,22,421,57,137,23,12,229,18,65,13,7,107,27,81,12,26,149,1625,3179,444,182,5429,3454,22171,891,576,27093,22591,26598,1564,1065,51817,38240,16740,2270,1020,58271,40258,17999,3350,939,62543,36753,18154,2255,737,57895,38939,18765,1478,686,59870,41659,18553,1415,778,62403,39619,17284,1699,640,59242,33590,16293,1866,491,52242,20053,13178,1470,403,35103,6400,7521,723,223,14867,1468,2973,216,136,4790,589,1318,114,149,2171,323619,197545,19306,7842,548314,36,192,6,19,259,209,217,9,39,479,339,158,22,29,538,391,193,39,25,653,419,233,19,31,709,493,246,19,33,793,489,254,18,39,804,487,243,16,41,785,422,192,19,31,662,273,190,13,28,500,101,108,14,17,241,21,55,3,4,82,Greater Adelaide
5GPER,35,309,13,4,361,96,491,30,13,621,151,376,33,12,577,159,312,34,12,512,141,266,39,12,447,244,361,55,15,671,254,378,77,8,718,254,343,55,14,665,231,347,66,9,654,151,278,55,11,501,74,170,36,8,281,15,91,8,19,140,19,111,19,21,163,1816,3832,512,148,6314,7342,34120,1339,962,43761,39752,37525,2254,1822,81360,67334,24932,3445,1797,97508,70039,26178,4679,1578,102476,60231,26325,3323,1298,91182,60651,27054,2243,1231,91176,62797,26048,2202,1233,92282,57351,23208,2414,1017,83984,45764,21280,2535,852,70430,27453,18507,2124,553,48642,9493,11052,1075,293,21919,2116,4473,347,158,7094,773,2111,157,152,3192,511085,282830,28139,12947,835005,70,261,8,30,379,303,313,17,57,694,523,223,28,52,831,652,264,54,62,1025,583,258,29,46,919,649,314,24,46,1035,644,295,21,56,1013,647,262,31,41,984,555,235,27,33,840,359,233,32,21,643,143,143,12,11,307,36,66,6,8,112,Greater Perth
5RWAU,11,71,3,6,88,18,98,4,7,127,33,79,11,5,126,33,70,17,3,121,36,65,17,3,117,65,77,15,3,160,64,85,10,0,162,96,95,17,3,209,63,106,28,7,198,51,80,19,5,151,41,54,7,3,105,24,41,7,9,82,19,69,16,9,114,555,981,165,61,1767,3563,7025,397,386,11371,11999,4221,755,491,17464,19396,4632,1540,466,26037,20768,6192,1998,542,29503,18790,6515,1499,468,27266,20328,7091,1329,539,29288,21475,7054,1479,571,30577,20246,6465,1597,526,28833,16972,6326,1624,430,25359,10103,5410,1196,293,17004,3773,3119,495,170,7552,1156,1453,197,109,2912,636,846,95,131,1711,169199,66343,14222,5118,254883,39,77,8,8,134,128,56,3,14,201,210,62,17,20,305,238,78,19,20,362,249,112,17,21,392,265,115,12,15,404,282,107,12,25,427,258,92,20,28,399,214,110,23,22,359,129,85,21,17,256,51,48,15,6,117,20,36,6,3,60,Rest of WA
